FileTitle:,IAS_Spectrum,,,,
Head:,Reference,Sample,,,
Sample ID,B2500392,,,,
System Temp hundredths:,2470,2484,,,
Detector Temp hundredths:,0,0,,,
Humidity hundredths:,5563,5545,,,
Lamp PD:,93,92,,,
Tec Temp:,0,,,,
Product SN:,8B6YK9LO,,,,
Serial Number:,5B25203,,,,
Scan Config Name:,IAS5100,,,,
Scan Config Type:,2,,,,
Start wavelength in nm:,900,,,,
End wavelength in nm:,1700,,,,
Pattern Pixel Width:,13,,,,
Exposure Time:,0,,,,
Measurement points:,105,,,,
Number of Measurement points:,801,,,,
Num Repeats:,90,90,,,
PGA Gain:,64,64,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original
900,0.25610568,1465373.282,812535.953,6090,2569
901,0.25580664,1488514.088,825935.8392,5899,2373
902,0.25550195,1511452.536,839252.3536,5760,2201
903,0.25519137,1534163.833,852472.4798,6157,2010
904,0.25487468,1556623.188,865583.2014,7144,2231
905,0.2545516,1578805.808,878571.502,8800,2518
906,0.25422189,1600686.901,891424.3653,11340,3164
907,0.25388526,1622241.673,904128.775,15154,4006
908,0.25354143,1643445.333,916671.7146,20907,5402
909,0.2531901,1664273.089,929040.1677,30348,7646
910,0.25283095,1684700.148,941221.1181,47577,12350
911,0.25246366,1704701.717,953201.5493,77876,20929
912,0.25208819,1724259.771,964971.5346,127240,35464
913,0.25170568,1743382.006,976532.8919,196660,56462
914,0.25131748,1762082.231,987890.2297,275756,80822
915,0.25092488,1780374.252,999048.1564,349629,103607
916,0.25052913,1798271.879,1010011.281,414821,123049
917,0.25013142,1815788.919,1020784.211,476939,140682
918,0.2497329,1832939.179,1031371.556,541107,157336
919,0.24933471,1849736.469,1041777.923,608649,174075
920,0.24893792,1866194.596,1052007.922,678959,190481
921,0.24854358,1882327.368,1062066.161,752756,206771
922,0.24815274,1898148.593,1071957.248,829586,223207
923,0.2477664,1913672.079,1081685.792,908813,239034
924,0.24738554,1928911.099,1091256.065,988565,254978
925,0.24701131,1943872.675,1100668.408,1070786,271881
926,0.24664491,1958559.781,1109920.619,1154030,290282
927,0.24628751,1972975.324,1119010.45,1238426,309904
928,0.24594025,1987122.212,1127935.656,1323997,329992
929,0.24560425,2001003.35,1136693.991,1411687,349384
930,0.2452806,2014621.646,1145283.208,1501189,368158
931,0.24497038,2027980.006,1153701.062,1593819,386304
932,0.24467463,2041081.337,1161945.306,1687464,403215
933,0.24439439,2053928.546,1170013.694,1779722,418330
934,0.24413068,2066524.54,1177903.981,1869566,432406
935,0.24388451,2078872.224,1185613.919,1955300,445976
936,0.24365684,2090974.138,1193141.139,2036277,461455
937,0.24344789,2102824.02,1200480.311,2109046,478528
938,0.24325711,2114406.647,1207623.087,2172355,495464
939,0.24308395,2125706.387,1214560.983,2225268,511486
940,0.24292789,2136707.612,1221285.516,2268706,528710
941,0.24278842,2147394.691,1227788.203,2301992,550301
942,0.24266505,2157751.996,1234060.561,2326982,582520
943,0.24255734,2167763.897,1240094.107,2343252,632686
944,0.24246482,2177414.763,1245880.356,2350677,703026
945,0.24238711,2186688.966,1251410.827,2352288,787459
946,0.24232378,2195570.876,1256677.035,2365501,876282
947,0.24227448,2204044.864,1261670.497,2410196,963912
948,0.24223885,2212095.945,1266383.118,2486488,1052380
949,0.24221638,2219724.522,1270816.071,2580010,1143157
950,0.24220646,2226946.693,1274979.976,2659124,1226029
951,0.24220846,2233779.261,1278885.883,2719868,1303941
952,0.2422218,2240239.031,1282544.837,2773519,1383551
953,0.24224591,2246342.808,1285967.888,2816030,1456300
954,0.24228023,2252107.395,1289166.084,2841198,1510820
955,0.24232421,2257549.596,1292150.471,2850762,1543713
956,0.24237734,2262686.217,1294932.097,2847030,1557418
957,0.24243909,2267534.06,1297522.012,2830203,1554334
958,0.24250895,2272109.93,1299931.261,2800690,1537107
959,0.24258644,2276430.632,1302170.893,2762869,1510467
960,0.24267101,2280513.177,1304252.191,2718627,1478877
961,0.24276168,2284377.058,1306189.251,2666609,1444262
962,0.24285717,2288043.406,1307998.024,2604010,1403556
963,0.24295619,2291533.382,1309694.495,2527722,1351230
964,0.24305745,2294868.144,1311294.648,2457127,1293503
965,0.24315968,2298068.853,1312814.468,2420110,1241922
966,0.24326161,2301156.668,1314269.939,2374975,1176162
967,0.24336197,2304152.748,1315677.045,2314333,1108842
968,0.24345948,2307078.255,1317051.77,2253495,1065165
969,0.24355288,2309954.347,1318410.1,2196389,1047150
970,0.24364089,2312802.184,1319768.019,2145953,1047500
971,0.24372225,2315642.925,1321141.51,2102026,1059101
972,0.24379587,2318493.365,1322543.557,2060664,1075518
973,0.24386136,2321352,1323974.563,2024652,1099094
974,0.24391851,2324212.535,1325431.637,1997587,1127134
975,0.24396712,2327068.676,1326911.888,1982711,1153794
976,0.24400699,2329914.127,1328412.426,1980794,1176676
977,0.24403792,2332742.594,1329930.36,1991866,1195902
978,0.24405972,2335547.782,1331462.799,2015926,1214128
979,0.24407219,2338323.396,1333006.852,2048576,1233185
980,0.24407514,2341063.141,1334559.629,2086333,1252549
981,0.24406838,2343760.723,1336118.238,2130661,1273162
982,0.24405171,2346409.846,1337679.79,2178773,1293992
983,0.24402495,2349004.104,1339241.289,2224284,1312656
984,0.24398827,2351534.031,1340796.908,2263759,1327799
985,0.24394223,2353986.808,1342337.717,2301836,1341771
986,0.24388741,2356349.444,1343854.622,2334208,1351948
987,0.24382436,2358608.948,1345338.535,2356800,1356897
988,0.24375365,2360752.329,1346780.363,2371330,1359045
989,0.24367584,2362766.597,1348171.015,2370346,1353950
990,0.24359146,2364638.76,1349501.401,2347806,1338516
991,0.24350108,2366355.828,1350762.43,2315687,1321163
992,0.24340521,2367904.81,1351945.01,2277851,1302899
993,0.2433044,2369272.714,1353040.051,2208185,1264098
