FileTitle:,IAS_Spectrum,,,,
Head:,Reference,Sample,,,
Sample ID,B2500406,,,,
System Temp hundredths:,2487,2524,,,
Detector Temp hundredths:,0,0,,,
Humidity hundredths:,5024,5025,,,
Lamp PD:,93,91,,,
Tec Temp:,0,,,,
Product SN:,8B6YK9LO,,,,
Serial Number:,5B25203,,,,
Scan Config Name:,IAS5100,,,,
Scan Config Type:,2,,,,
Start wavelength in nm:,900,,,,
End wavelength in nm:,1700,,,,
Pattern Pixel Width:,13,,,,
Exposure Time:,0,,,,
Measurement points:,105,,,,
Number of Measurement points:,801,,,,
Num Repeats:,90,90,,,
PGA Gain:,64,64,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original
900,0.28239314,1464524.802,764369.9167,6222,2493
901,0.28212717,1487652.23,776916.3216,5994,2181
902,0.28185626,1510575.54,789380.1332,5859,1951
903,0.28158045,1533270.286,801748.7016,6242,2036
904,0.2812998,1555712.022,814009.377,7116,2122
905,0.2810143,1577876.303,826149.5096,8947,2284
906,0.28072396,1599738.682,838156.4495,11507,3022
907,0.28042872,1621274.716,850017.5469,15166,4002
908,0.28012854,1642459.956,861720.1519,21088,5082
909,0.27982335,1663269.959,873251.6148,30349,7346
910,0.27951304,1683680.279,884599.2857,47637,11645
911,0.27919751,1703666.469,895750.5148,78101,19669
912,0.27887685,1723210.768,906695.684,127474,33378
913,0.27855202,1742320.815,917436.7009,196720,53177
914,0.27822411,1761010.287,927978.2113,275753,75792
915,0.27789421,1779292.861,938324.8609,349563,96969
916,0.27756334,1797182.213,948481.2955,414906,114832
917,0.27723249,1814692.02,958452.1611,476848,130939
918,0.27690262,1831835.958,968242.1034,540750,146537
919,0.27657466,1848627.704,977855.7682,608281,161821
920,0.27624951,1865080.935,987297.8014,678715,176914
921,0.27592807,1881209.326,996572.8487,752534,191833
922,0.2756112,1897026.555,1005685.556,829222,206865
923,0.27529973,1912546.298,1014640.569,908462,221534
924,0.27499451,1927781.686,1023442.245,988343,236035
925,0.27469633,1942739.471,1032091.57,1070554,251583
926,0.27440599,1957422.28,1040587.347,1153589,267952
927,0.27412424,1971832.668,1048928.344,1238096,285528
928,0.27385183,1985973.19,1057113.325,1323552,303516
929,0.27358951,1999846.401,1065141.059,1411174,321024
930,0.273338,2013454.857,1073010.312,1500785,337754
931,0.27309801,2026801.114,1080719.85,1593168,354077
932,0.27287023,2039887.727,1088268.44,1686763,369005
933,0.27265537,2052717.251,1095654.849,1779203,382347
934,0.2724541,2065292.243,1102877.843,1868673,394153
935,0.27226711,2077615.257,1109936.188,1954541,405293
936,0.27209506,2089688.502,1116828.506,2035453,417030
937,0.27193825,2101505.946,1123549.918,2108163,429507
938,0.27179663,2113053.152,1130091.987,2171055,442122
939,0.27167013,2124315.306,1136446.111,2224018,454752
940,0.27155872,2135277.592,1142603.691,2267416,469174
941,0.27146236,2145925.198,1148556.126,2300692,487694
942,0.27138102,2156243.308,1154294.816,2325371,515883
943,0.2713147,2166217.107,1159811.161,2341985,559751
944,0.2712634,2175831.782,1165096.561,2349294,622900
945,0.27122713,2185072.519,1170142.416,2350817,702331
