FileTitle:,IAS_Spectrum,,,,
Head:,Reference,Sample,,,
Sample ID,B2500392,,,,
System Temp hundredths:,2470,2500,,,
Detector Temp hundredths:,0,0,,,
Humidity hundredths:,5563,5520,,,
Lamp PD:,93,93,,,
Tec Temp:,0,,,,
Product SN:,8B6YK9LO,,,,
Serial Number:,5B25203,,,,
Scan Config Name:,IAS5100,,,,
Scan Config Type:,2,,,,
Start wavelength in nm:,900,,,,
End wavelength in nm:,1700,,,,
Pattern Pixel Width:,13,,,,
Exposure Time:,0,,,,
Measurement points:,105,,,,
Number of Measurement points:,801,,,,
Num Repeats:,90,90,,,
PGA Gain:,64,64,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original
900,0.2609196,1465373.282,803579.1638,6090,2620
901,0.26061518,1488514.088,816841.4567,5899,2491
902,0.2603047,1511452.536,830022.4019,5760,2152
903,0.25998823,1534163.833,843108.581,6157,2037
904,0.25966581,1556623.188,856086.5758,7144,2217
905,0.25933744,1578805.808,868942.9679,8800,2709
906,0.25900312,1600686.901,881664.3389,11340,3250
907,0.25866279,1622241.673,894237.2704,15154,4057
908,0.25831639,1643445.333,906648.3442,20907,5297
909,0.25796383,1664273.089,918884.1419,30348,7698
910,0.25760501,1684700.148,930931.2451,47577,12133
911,0.25723977,1704701.717,942776.2356,77876,20730
912,0.2568682,1724259.771,954408.93,127240,34947
913,0.25649122,1743382.006,965831.4439,196660,56008
914,0.25610991,1762082.231,977048.8145,275756,80099
915,0.25572531,1780374.252,988066.0793,349629,102682
916,0.25533844,1798271.879,998888.2756,414821,122113
917,0.25495024,1815788.919,1009520.441,476939,139353
918,0.25456167,1832939.179,1019967.612,541107,155924
919,0.25417363,1849736.469,1030234.828,608649,172602
920,0.25378701,1866194.596,1040327.124,678959,188843
921,0.25340266,1882327.368,1050249.539,752756,205021
922,0.25302143,1898148.593,1060007.109,829586,221146
923,0.25264415,1913672.079,1069604.873,908813,237125
924,0.25227164,1928911.099,1079047.519,988565,252559
925,0.25190495,1943872.675,1088335.667,1070786,269414
926,0.25154524,1958559.781,1097467.302,1154030,287583
927,0.25119364,1972975.324,1106440.366,1238426,306857
928,0.25085126,1987122.212,1115252.799,1323997,326703
929,0.25051916,2001003.35,1123902.542,1411687,346022
930,0.25019842,2014621.646,1132387.536,1501189,364328
931,0.24989005,2027980.006,1140705.722,1593819,382299
932,0.24959508,2041081.337,1148855.041,1687464,398947
933,0.2493145,2053928.546,1156833.434,1779722,413721
934,0.2490493,2066524.54,1164638.841,1869566,427434
935,0.24880044,2078872.224,1172269.205,1955300,440737
936,0.24856886,2090974.138,1179722.324,2036277,455808
937,0.24835491,2102824.02,1186992.63,2109046,472749
938,0.24815832,2114406.647,1194071.123,2172355,489231
939,0.24797884,2125706.387,1200948.647,2225268,504994
940,0.24781622,2136707.612,1207616.046,2268706,521699
941,0.24767023,2147394.691,1214064.166,2301992,542810
942,0.24754066,2157751.996,1220283.851,2326982,574398
943,0.24742731,2167763.897,1226265.946,2343252,624023
944,0.24733,2177414.763,1232001.296,2350677,693623
945,0.24724856,2186688.966,1237480.744,2352288,777661
946,0.24718286,2195570.876,1242695.136,2365501,866001
947,0.24713277,2204044.864,1247635.317,2410196,953253
948,0.24709816,2212095.945,1252292.547,2486488,1041001
949,0.24707852,2219724.522,1256668.005,2580010,1130815
950,0.24707293,2226946.693,1260772.986,2659124,1212765
951,0.24708047,2233779.261,1264619.243,2719868,1289481
952,0.24710027,2240239.031,1268218.527,2773519,1368160
953,0.24713146,2246342.808,1271582.588,2816030,1440223
954,0.24717321,2252107.395,1274723.177,2841198,1494018
955,0.24722471,2257549.596,1277652.047,2850762,1526691
956,0.24728513,2262686.217,1280380.948,2847030,1540313
957,0.24735369,2267534.06,1282921.632,2830203,1537198
958,0.24742961,2272109.93,1285285.849,2800690,1520295
959,0.24751212,2276430.632,1287485.352,2762869,1494089
960,0.24760044,2280513.177,1289532.066,2718627,1462759
961,0.24769355,2284377.058,1291440.028,2666609,1428537
962,0.24779028,2288043.406,1293224.66,2604010,1388291
963,0.24788948,2291533.382,1294901.411,2527722,1336697
964,0.24799,2294868.144,1296485.731,2457127,1279731
965,0.24809066,2298068.853,1297993.067,2420110,1228981
966,0.24819033,2301156.668,1299438.869,2374975,1164354
967,0.24828786,2304152.748,1300838.586,2314333,1098022
968,0.24838208,2307078.255,1302207.665,2253495,1055062
969,0.24847185,2309954.347,1303561.556,2196389,1037030
970,0.24855603,2312802.184,1304915.708,2145953,1037302
971,0.24863346,2315642.925,1306285.568,2102026,1048684
972,0.24870315,2318493.365,1307683.677,2060664,1064703
973,0.24876473,2321352,1309110.385,2024652,1087898
974,0.24881799,2324212.535,1310562.848,1997587,1115300
975,0.24886271,2327068.676,1312038.225,1982711,1141603
976,0.2488987,2329914.127,1313533.671,1980794,1163925
977,0.24892576,2332742.594,1315046.345,1991866,1182878
978,0.24894368,2335547.782,1316573.403,2015926,1200824
979,0.24895226,2338323.396,1318112.003,2048576,1219489
980,0.2489513,2341063.141,1319659.302,2086333,1238782
981,0.24894061,2343760.723,1321212.457,2130661,1258946
982,0.24891999,2346409.846,1322768.625,2178773,1279413
983,0.24888924,2349004.104,1324324.858,2224284,1297915
984,0.24884859,2351534.031,1325875.282,2263759,1313002
985,0.24879867,2353986.808,1327410.821,2301836,1326969
986,0.24874013,2356349.444,1328922.235,2334208,1336960
987,0.24867361,2358608.948,1330400.284,2356800,1341877
988,0.24859977,2360752.329,1331835.727,2371330,1343914
989,0.24851922,2362766.597,1333219.325,2370346,1338949
990,0.24843261,2364638.76,1334541.837,2347806,1323602
991,0.24834055,2366355.828,1335794.023,2315687,1306307
992,0.24824367,2367904.81,1336966.643,2277851,1288201
993,0.24814256,2369272.714,1338050.456,2208185,1250035
