FileTitle:,IAS_Spectrum,,,,
Head:,Reference,Sample,,,
Sample ID,B2500012,,,,
System Temp hundredths:,2496,2612,,,
Detector Temp hundredths:,0,0,,,
Humidity hundredths:,5188,4957,,,
Lamp PD:,93,93,,,
Tec Temp:,0,,,,
Product SN:,8B6YK9LO,,,,
Serial Number:,5B25203,,,,
Scan Config Name:,IAS5100,,,,
Scan Config Type:,2,,,,
Start wavelength in nm:,900,,,,
End wavelength in nm:,1700,,,,
Pattern Pixel Width:,13,,,,
Exposure Time:,0,,,,
Measurement points:,105,,,,
Number of Measurement points:,801,,,,
Num Repeats:,90,90,,,
PGA Gain:,64,64,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original
900,0.33052784,1466186.771,684954.0722,6088,2266
901,0.33014951,1489273.811,696345.9261,5818,2157
902,0.32976573,1512160.451,707672.2148,5840,1740
903,0.32937641,1534822.719,718922.066,6114,1917
904,0.32898142,1557236.644,730084.6075,7248,1831
905,0.32858065,1579378.252,741148.9669,8951,2298
906,0.32817392,1601223.574,752104.2721,11720,2801
907,0.32776107,1622748.635,762939.6508,15613,3632
908,0.32734189,1643929.465,773644.2308,21726,4807
909,0.32691617,1664742.091,784207.1397,31771,6906
910,0.32648367,1685162.542,794617.5054,50190,11002
911,0.32604413,1705166.846,804864.4555,82674,18907
912,0.32559755,1724737.519,814939.6811,134579,32286
913,0.32514489,1743881.745,824844.6174,204905,51054
914,0.32468732,1762612.568,834583.0145,282333,72300
915,0.32422597,1780943.033,844158.6227,353697,91867
916,0.3237619,1798886.184,853575.1924,417295,108870
917,0.32329616,1816455.065,862836.4736,478932,124266
918,0.32282976,1833662.72,871946.2168,542674,139128
919,0.32236366,1850522.194,880908.1721,610180,153785
920,0.32189882,1867046.53,889726.0899,680585,168187
921,0.32143615,1883248.774,898403.7203,754544,182491
922,0.32097657,1899141.969,906944.8137,831280,196672
923,0.32052095,1914739.159,915353.1203,910647,210786
924,0.32007018,1930052.855,923632.1138,990240,224506
925,0.31962522,1945089.321,931782.0384,1072547,239244
926,0.31918708,1959850.781,939801.0469,1155890,255125
927,0.31875677,1974339.389,947687.2572,1240304,272090
928,0.31833524,1988557.3,955438.7872,1325754,289286
929,0.31792344,2002506.669,963053.7545,1413576,305680
930,0.31752229,2016189.65,970530.2771,1503206,321283
931,0.3171327,2029608.398,977866.4726,1595586,336732
932,0.31675554,2042765.068,985060.459,1689340,351017
933,0.31639169,2055661.815,992110.354,1781882,363846
934,0.316042,2068300.792,999014.2754,1871429,375643
935,0.31570734,2080684.156,1005770.341,1957086,387369
936,0.31538849,2092813.725,1012376.559,2038176,400581
937,0.31508575,2104683.327,1018828.325,2111216,415149
938,0.31479883,2116278.647,1025118.371,2174169,429396
939,0.31452746,2127585,1031239.311,2226997,443244
940,0.31427136,2138587.704,1037183.756,2270548,458294
941,0.31403027,2149272.074,1042944.319,2303839,477140
942,0.31380396,2159623.428,1048513.613,2328810,504722
943,0.31359218,2169627.083,1053884.251,2345114,546924
944,0.31339472,2179268.354,1059048.845,2352326,606241
945,0.31321138,2188532.558,1064000.008,2354425,680101
946,0.31304197,2197405.013,1068730.352,2367948,761087
947,0.31288631,2205871.035,1073232.49,2412837,843667
948,0.31274422,2213916.557,1077499.379,2489366,928250
949,0.31261513,2221542.23,1081532.173,2583179,1014751
950,0.31249806,2228763.712,1085340.39,2662405,1092556
951,0.31239206,2235597.339,1088933.923,2723057,1163644
952,0.31229618,2242059.447,1092322.666,2775995,1234985
953,0.31220952,2248166.369,1095516.513,2817984,1300142
954,0.31213119,2253934.443,1098525.357,2842939,1348986
955,0.31206034,2259380.002,1101359.092,2852607,1378931
956,0.31199611,2264519.383,1104027.612,2849311,1391736
957,0.31193767,2269368.92,1106540.81,2832576,1389268
958,0.3118842,2273944.95,1108908.581,2803364,1373872
959,0.31183491,2278263.806,1111140.817,2765589,1349865
960,0.311789,2282342.072,1113247.526,2721706,1321307
961,0.31174572,2286199.294,1115240.067,2669982,1289882
962,0.31170437,2289856.974,1117130.691,2607329,1252555
963,0.31166425,2293336.647,1118931.667,2531093,1204334
964,0.31162464,2296659.848,1120655.262,2460405,1150795
965,0.31158487,2299848.115,1122313.744,2423389,1102289
966,0.31154425,2302922.981,1123919.379,2378157,1039656
967,0.3115021,2305905.983,1125484.436,2317271,975734
968,0.31145774,2308818.657,1127021.183,2255992,935159
969,0.31141051,2311682.538,1128541.885,2198597,918549
970,0.31135973,2314519.162,1130058.812,2147835,918879
971,0.31130476,2317350.065,1131584.231,2103601,928788
972,0.31124498,2320192.265,1133128.055,2061719,942769
973,0.31118005,2323043.852,1134690.33,2025503,963210
974,0.31110968,2325897.959,1136268.52,1998427,987659
975,0.31103358,2328747.72,1137860.087,1983656,1010480
976,0.31095145,2331586.266,1139462.494,1982051,1029817
977,0.31086302,2334406.731,1141073.205,1993466,1045450
978,0.31076799,2337202.247,1142689.681,2017833,1060206
979,0.31066608,2339965.949,1144309.387,2050909,1075522
980,0.310557,2342690.967,1145929.785,2089007,1091118
981,0.31044046,2345370.436,1147548.337,2133657,1107831
982,0.31031618,2347997.488,1149162.507,2181929,1124658
983,0.31018389,2350565.175,1150769.675,2227638,1139577
984,0.31004376,2353064.356,1152364.974,2266747,1151115
985,0.30989643,2355483.478,1153941.073,2304495,1161760
986,0.30974258,2357810.871,1155490.513,2336398,1169225
