FileTitle:,IAS_Spectrum,,,,
Head:,Reference,Sample,,,
Sample ID,B2500094,,,,
System Temp hundredths:,1860,2057,,,
Detector Temp hundredths:,0,0,,,
Humidity hundredths:,7217,6581,,,
Lamp PD:,91,93,,,
Tec Temp:,0,,,,
Product SN:,8B6YK9LO,,,,
Serial Number:,5B25203,,,,
Scan Config Name:,IAS5100,,,,
Scan Config Type:,2,,,,
Start wavelength in nm:,900,,,,
End wavelength in nm:,1700,,,,
Pattern Pixel Width:,13,,,,
Exposure Time:,0,,,,
Measurement points:,105,,,,
Number of Measurement points:,801,,,,
Num Repeats:,90,90,,,
PGA Gain:,64,64,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original
1004,0.32292164,2380056.753,1131528.961,16031,7199
1005,0.32266527,2379369.706,1131870.279,,
1006,0.32240426,2378555.486,1132163.181,,
1007,0.32213865,2377621.247,1132410.86,,
1008,0.3218685,2376574.144,1132616.451,,
1009,0.32159389,2375421.328,1132783.091,,
1010,0.32131489,2374169.951,1132913.913,,
1011,0.32103158,2372827.166,1133012.052,,
1012,0.32074402,2371400.126,1133080.645,,
1013,0.3204523,2369895.983,1133122.825,,
1014,0.3201565,2368321.888,1133141.727,,
1015,0.3198567,2366684.996,1133140.488,,
1016,0.319553,2364992.457,1133122.24,,
1017,0.31924549,2363250.521,1133089.654,,
1018,0.31893439,2361458.098,1133041.602,,
1019,0.31861995,2359610.537,1132975.117,,
1020,0.31830245,2357703.16,1132887.22,,
1021,0.31798212,2355731.291,1132774.931,,
1022,0.31765923,2353690.255,1132635.27,,
1023,0.31733402,2351575.374,1132465.256,,
1024,0.31700673,2349381.972,1132261.911,,
1025,0.31667762,2347105.374,1132022.253,,
1026,0.31634693,2344740.902,1131743.305,,
1027,0.31601488,2342283.881,1131422.084,,
1028,0.31568172,2339730.362,1131055.943,,
1029,0.31534777,2337081.616,1130644.598,,
1030,0.31501333,2334341.187,1130188.798,,
1031,0.31467876,2331512.628,1129689.296,,
1032,0.31434437,2328599.492,1129146.844,,
1033,0.31401052,2325605.334,1128562.197,,
1034,0.31367753,2322533.707,1127936.106,,
1035,0.31334575,2319388.164,1127269.325,,
1036,0.31301552,2316172.259,1126562.606,,
1037,0.31268721,2312889.545,1125816.702,,
1038,0.31236114,2309543.576,1125032.367,,
1039,0.31203758,2306138.352,1124210.863,,
1040,0.31171628,2302679.8,1123355.649,,
1041,0.31139686,2299174.367,1122470.78,,
1042,0.31107898,2295628.499,1121560.307,,
1043,0.31076225,2292048.644,1120628.283,,
1044,0.31044633,2288441.249,1119678.763,,
1045,0.31013084,2284812.76,1118715.799,,
1046,0.30981545,2281169.625,1117743.445,,
1047,0.30949979,2277518.289,1116765.752,,
1048,0.30918351,2273865.202,1115786.775,,
1049,0.30886626,2270216.764,1114810.539,,
1050,0.3085479,2266574.526,1113838.195,,
1051,0.30822863,2262930.869,1112865.453,,
1052,0.30790869,2259277.157,1111887.421,,
1053,0.30758834,2255604.755,1110899.208,,
1054,0.30726781,2251905.025,1109895.92,,
1055,0.30694734,2248169.331,1108872.667,,
1056,0.30662715,2244389.038,1107824.555,,
1057,0.30630747,2240555.509,1106746.694,,
1058,0.30598853,2236660.107,1105634.189,,
1059,0.30567054,2232694.197,1104482.15,,
1060,0.30535368,2228649.784,1103286.092,,
1061,0.30503772,2224526.481,1102046.356,,
1062,0.30472213,2220328.881,1100766.443,,
1063,0.30440639,2216061.665,1099449.909,,
1064,0.30409,2211729.513,1098100.312,,
1065,0.30377242,2207337.105,1096721.208,,
1066,0.30345315,2202889.121,1095316.151,,
1067,0.30313165,2198390.242,1093888.7,,
1068,0.30280742,2193845.146,1092442.41,,
1069,0.30247993,2189258.515,1090980.838,,
1070,0.30214865,2184635.031,1089507.536,,
1071,0.30181356,2179979.944,1088025.166,,
1072,0.30147572,2175299.881,1086534.239,,
1073,0.30113641,2170601.668,1085034.949,,
1074,0.30079689,2165892.132,1083527.491,,
1075,0.30045846,2161178.101,1082012.06,,
1076,0.30012241,2156466.402,1080488.849,,
1077,0.29979005,2151763.862,1078958.053,,
1078,0.2994627,2147077.308,1077419.866,,
1079,0.2991417,2142413.567,1075874.483,,
1080,0.29882839,2137779.467,1074322.099,,
1081,0.29852399,2133181.522,1072763.092,,
1082,0.29822867,2128623.859,1071199.251,,
1083,0.2979421,2124109.508,1069633.013,,
1084,0.29766399,2119641.493,1068066.821,,
1085,0.297394,2115222.839,1066503.114,,
1086,0.29713182,2110856.568,1064944.333,,
1087,0.29687712,2106545.705,1063392.919,,
1088,0.29662959,2102293.273,1061851.314,,
1089,0.2963889,2098102.297,1060321.958,,
1090,0.29615473,2093975.8,1058807.291,,
1091,0.29592677,2089916.672,1057309.652,,
1092,0.29570503,2085924.855,1055829.105,,
1093,0.29548982,2081997.409,1054363.494,,
1094,0.29528149,2078131.278,1052910.571,,
1095,0.29508037,2074323.402,1051468.087,,
1096,0.29488679,2070570.724,1050033.794,,
1097,0.29470109,2066870.186,1048605.444,,
1098,0.29452361,2063218.729,1047180.789,,
1099,0.29435467,2059613.297,1045757.58,,
1100,0.29419461,2056050.83,1044333.57,,
1101,0.29404377,2052528.308,1042906.532,,
1102,0.29390239,2049045.172,1041475.705,,
1103,0.29377058,2045604.76,1040042.645,,
1104,0.29364843,2042210.76,1038609.117,,
1105,0.29353604,2038866.858,1037176.885,,
1106,0.2934335,2035576.743,1035747.712,,
1107,0.29334091,2032344.1,1034323.363,,
1108,0.29325836,2029172.616,1032905.601,,
1109,0.29318596,2026065.979,1031496.191,,
1110,0.29312379,2023027.875,1030096.896,,
1111,0.29307196,2020061.998,1028709.475,,
1112,0.29303119,2017173.073,1027334.733,,
1113,0.29300348,2014367.926,1025971.539,,
1114,0.29299101,2011653.641,1024618.52,,
1115,0.29299593,2009037.303,1023274.307,,
1116,0.29302044,2006525.994,1021937.53,,
1117,0.29306673,2004126.799,1020606.818,,
1118,0.29313699,2001846.801,1019280.801,,
1119,0.29323344,1999693.085,1017958.109,,
1120,0.29335827,1997672.733,1016637.372,,
1121,0.29351371,1995792.813,1015317.213,,
1122,0.29370173,1994057.807,1013995.469,,
1123,0.29392387,1992466.843,1012668.341,,
1124,0.2941816,1991018.392,1011331.831,,
1125,0.29447638,1989710.919,1009981.937,,
1126,0.29480969,1988542.893,1008614.661,,
1127,0.295183,1987512.782,1007226.002,,
1128,0.2955978,1986619.052,1005811.96,,
1129,0.29605557,1985860.173,1004368.536,,
1130,0.29655779,1985234.611,1002891.729,,
1131,0.29710595,1984740.844,1001377.567,,
1132,0.29770087,1984378.127,999824.0078,,
1133,0.29834225,1984147.006,998232.2387,,
1134,0.29902969,1984048.151,996603.7512,,
1135,0.29976276,1984082.232,994940.037,,
1136,0.30054104,1984249.918,993242.5881,,
1137,0.30136409,1984551.88,991512.8962,,
1138,0.30223147,1984988.786,989752.4531,,
1139,0.30314273,1985561.307,987962.7507,,
1140,0.30409741,1986270.112,986145.2808,,
1141,0.30509504,1987115.859,984301.512,,
1142,0.30613535,1988098.838,982432.282,,
1143,0.30721827,1989218.944,980537.7355,,
1144,0.30834376,1990476.049,978617.9819,,
1145,0.30951176,1991870.026,976673.1307,,
1146,0.31072218,1993400.747,974703.2912,,
1147,0.31197498,1995068.086,972708.573,,
1148,0.31327006,1996871.914,970689.0853,,
1149,0.31460736,1998812.106,968644.9377,,
1150,0.31598678,2000888.533,966576.2395,,
1151,0.31740804,2003100.877,964483.4509,,
1152,0.31886878,2005446.84,962370.67,,
1153,0.32036537,2007922.95,960244.1489,,
1154,0.32189418,2010525.719,958110.168,,
1155,0.32345153,2013251.661,955975.0077,,
1156,0.3250337,2016097.289,953844.9484,,
1157,0.32663698,2019059.116,951726.2703,,
1158,0.3282576,2022133.655,949625.2539,,
1159,0.3298918,2025317.419,947548.1795,,
1160,0.33153576,2028606.921,945501.3275,,
1161,0.33318589,2031998.565,943490.4562,,
1162,0.3348394,2035488.326,941519.2657,,
1163,0.33649375,2039072.074,939590.9486,,
1164,0.33814636,2042745.677,937708.6979,,
1165,0.33979464,2046505.004,935875.7062,,
1166,0.34143601,2050345.926,934095.1662,,
1167,0.3430679,2054264.31,932370.2708,,
1168,0.34468772,2058256.027,930704.2126,,
1169,0.34629286,2062316.945,929100.1844,,
1170,0.3478808,2066442.925,927561.2981,,
1171,0.34945056,2070629.489,926087.0942,,
1172,0.35100344,2074871.688,924672.2125,,
1173,0.35254088,2079164.539,923310.9377,,
1174,0.35406437,2083503.062,921997.5544,,
1175,0.35557544,2087882.273,920726.3472,,
1176,0.35707561,2092297.191,919491.6008,,
1177,0.35856645,2096742.835,918287.5998,,
1178,0.36004955,2101214.221,917108.6287,,
1179,0.36152653,2105706.368,915948.9723,,
1180,0.36299853,2110215.407,914804.4297,,
1181,0.36446329,2114745.226,913681.3557,,
1182,0.36591707,2119303.016,912590.5974,,
1183,0.36735607,2123895.977,911543.0184,,
1184,0.36877649,2128531.313,910549.4824,,
1185,0.37017447,2133216.225,909620.853,,
1186,0.37154613,2137957.916,908767.9938,,
1187,0.37288756,2142763.586,908001.7686,,
1188,0.37419485,2147640.438,907333.0408,,
1189,0.37546404,2152595.637,906772.6563,,
1190,0.37669127,2157633.886,906330.2638,,
1191,0.3778728,2162755.922,906013.5844,,
1192,0.37900491,2167962.123,905830.1645,,
1193,0.38008391,2173252.865,905787.5505,,
1194,0.38110614,2178628.528,905893.289,,
1195,0.38206797,2184089.488,906154.9264,,
1196,0.38296581,2189636.123,906580.0091,,
1197,0.38379612,2195268.812,907176.0836,,
1198,0.3845554,2200987.931,907950.6964,,
1199,0.38524012,2206793.293,908911.3594,,
1200,0.3858463,2212681.438,910065.3857,,
1201,0.38636979,2218647.727,911420.0168,,
1202,0.38680657,2224687.523,912982.494,,
1203,0.3871527,2230796.187,914760.0588,,
1204,0.38740435,2236969.082,916759.9525,,
1205,0.38755779,2243201.568,918989.4165,,
1206,0.38760942,2249489.007,921455.6921,,
1207,0.38755575,2255826.762,924166.0209,,
1208,0.38739346,2262210.267,927127.604,,
1209,0.38712014,2268636.717,930346.6826,,
1210,0.38673433,2275105.107,933828.5162,,
1211,0.38623471,2281614.514,937578.3199,,
1212,0.3856201,2288164.013,941601.3088,,
1213,0.38488942,2294752.68,945902.698,,
1214,0.38404175,2301379.591,950487.7027,,
1215,0.3830763,2308043.821,955361.5381,,
1216,0.38199238,2314744.448,960529.4192,,
1217,0.38078948,2321480.531,965996.5331,,
1218,0.37947094,2328244.836,971757.063,,
1219,0.3780495,2335014.284,977777.4943,,
1220,0.37653907,2341763.346,984020.0237,,
1221,0.37495319,2348466.491,990446.8477,,
1222,0.37330508,2355098.188,997020.1626,,
1223,0.37160753,2361632.905,1003702.165,,
1224,0.36987297,2368045.113,1010455.052,,
1225,0.36811343,2374309.281,1017241.019,,
1226,0.36634052,2380399.878,1024022.263,,
1227,0.36456515,2386293.421,1030762.695,,
1228,0.36279582,2391978.489,1037436.315,,
1229,0.36104005,2397448.058,1044020.802,,
1230,0.35930515,2402695.11,1050493.842,,
1231,0.35759823,2407712.626,1056833.12,,
1232,0.35592624,2412493.588,1063016.32,,
1233,0.35429593,2417030.979,1069021.127,,
1234,0.35271394,2421317.78,1074825.227,,
1235,0.35118677,2425346.973,1080406.303,,
1236,0.34972042,2429116.191,1085745.078,,
1237,0.34831585,2432684.093,1090862.12,,
1238,0.34697074,2436152.285,1095806.036,,
1239,0.34568299,2439623.269,1100626.023,,
1240,0.34445077,2443199.548,1105371.273,,
1241,0.34327249,2446983.622,1110090.981,,
1242,0.34214679,2451077.994,1114834.342,,
1243,0.3410725,2455585.166,1119650.548,,
1244,0.34004862,2460607.64,1124588.795,,
1245,0.33907426,2466245.415,1129697.145,,
1246,0.33814849,2472520.528,1134988.391,,
1247,0.33727007,2479363.681,1140434.012,,
1248,0.33643765,2486700.38,1146003.136,,
1249,0.33564974,2494456.129,1151664.888,,
1250,0.33490476,2502556.435,1157388.397,,
1251,0.33420102,2510926.8,1163142.788,,
1252,0.3335368,2519492.731,1168897.188,,
1253,0.33291029,2528179.733,1174620.725,,
1254,0.33231965,2536913.513,1180282.62,,
1255,0.33176302,2545637.341,1185860.245,,
1256,0.33123856,2554325.387,1191345.315,,
1257,0.33074443,2562954.959,1196731.004,,
1258,0.33027884,2571503.365,1202010.483,,
1259,0.32984001,2579947.916,1207176.925,,
1260,0.32942619,2588265.918,1212223.502,,
1261,0.32903566,2596434.682,1217143.387,,
1262,0.3286667,2604431.514,1221929.752,,
1263,0.32831765,2612233.754,1226575.783,,
1264,0.32798679,2619827.479,1231078.93,,
1265,0.32767233,2627219.868,1235446.927,,
1266,0.32737246,2634421.217,1239689.032,,
1267,0.32708543,2641441.823,1243814.501,,
1268,0.32680954,2648291.98,1247832.589,,
1269,0.32654309,2654981.986,1251752.553,,
1270,0.32628443,2661522.137,1255583.649,,
1271,0.32603193,2667922.728,1259335.133,,
1272,0.32578398,2674194.056,1263016.262,,
1273,0.32553907,2680344.882,1266635.351,,
1274,0.32529595,2686379.345,1270197.885,,
1275,0.32505341,2692300.719,1273708.817,,
1276,0.32481025,2698112.275,1277173.1,,
1277,0.3245653,2703817.286,1280595.689,,
1278,0.3243174,2709419.026,1283981.536,,
1279,0.32406538,2714920.765,1287335.595,,
1280,0.32380812,2720325.776,1290662.818,,
1281,0.32354448,2725637.333,1293968.159,,
1282,0.32327385,2730858.518,1297254.995,,
1283,0.32299731,2735991.772,1300521.318,,
1284,0.3227163,2741039.398,1303763.971,,
1285,0.32243224,2746003.696,1306979.798,,
1286,0.32214654,2750886.971,1310165.643,,
1287,0.32186059,2755691.524,1313318.349,,
1288,0.32157577,2760419.657,1316434.761,,
1289,0.32129345,2765073.675,1319511.722,,
1290,0.321015,2769655.877,1322546.075,,
1291,0.32074182,2774167.495,1325533.961,,
1292,0.32047552,2778605.989,1328469.057,,
1293,0.32021777,2782967.993,1331344.494,,
1294,0.31997018,2787250.142,1334153.406,,
1295,0.31973438,2791449.071,1336888.928,,
1296,0.31951199,2795561.413,1339544.193,,
1297,0.3193046,2799583.803,1342112.334,,
1298,0.31911381,2803512.876,1344586.485,,
1299,0.3189412,2807345.265,1346959.78,,
1300,0.31878814,2811076.796,1349225.605,,
1301,0.31865531,2814700.624,1351378.181,,
1302,0.31854326,2818209.361,1353411.901,,
1303,0.31845255,2821595.616,1355321.157,,
1304,0.31838374,2824851.998,1357100.34,,
1305,0.31833738,2827971.118,1358743.842,,
1306,0.31831405,2830945.585,1360246.056,,
1307,0.31831431,2833768.009,1361601.374,,
1308,0.31833876,2836431.001,1362804.188,,
1309,0.31838814,2838928.7,1363849.169,,
1310,0.31846361,2841259.567,1364731.776,,
1311,0.3185664,2843422.821,1365447.605,,
1312,0.31869779,2845417.683,1365992.255,,
1313,0.31885903,2847243.374,1366361.323,,
1314,0.31905141,2848899.114,1366550.405,,
1315,0.31927624,2850384.123,1366555.1,,
1316,0.31953484,2851697.622,1366371.004,,
1317,0.31982854,2852838.834,1365993.717,,
1318,0.32015864,2853807.835,1365419.441,,
1319,0.32052635,2854606.616,1364645.73,,
1320,0.32093284,2855237.435,1363670.327,,
1321,0.32137934,2855702.548,1362490.973,,
1322,0.32186708,2856004.212,1361105.41,,
1323,0.32239736,2856144.682,1359511.379,,
1324,0.32297146,2856126.216,1357706.623,,
1325,0.32359073,2855951.07,1355688.884,,
1326,0.32425653,2855621.466,1353455.898,,
1327,0.32496997,2855137.052,1351005.116,,
1328,0.32573168,2854493.126,1348333.497,,
1329,0.32654229,2853684.568,1345437.955,,
1330,0.32740248,2852706.259,1342315.405,,
1331,0.32831296,2851553.076,1338962.759,,
1332,0.3292745,2850219.902,1335376.932,,
1333,0.3302879,2848701.614,1331554.837,,
1334,0.33135405,2846993.094,1327493.389,,
1335,0.33247383,2845089.228,1323189.554,,
1336,0.33364767,2842985.163,1318642.07,,
1337,0.33487538,2840676.355,1313851.781,,
1338,0.3361568,2838158.275,1308819.655,,
1339,0.3374918,2835426.397,1303546.66,,
1340,0.33888028,2832476.194,1298033.765,,
1341,0.34032221,2829303.138,1292281.936,,
1342,0.34181759,2825902.701,1286292.144,,
1343,0.34336647,2822270.358,1280065.355,,
1344,0.34496883,2818402.065,1273603.12,,
1345,0.34662273,2814301.385,1266916.157,,
1346,0.34832462,2809977.929,1260022.471,,
1347,0.35007085,2805441.479,1252940.268,,
1348,0.35185768,2800701.811,1245687.755,,
1349,0.35368128,2795768.707,1238283.137,,
1350,0.35553773,2790651.944,1230744.623,,
1351,0.35742297,2785361.303,1223090.418,,
1352,0.35933286,2779906.562,1215338.73,,
1353,0.3612632,2774297.646,1207507.543,,
1354,0.36321052,2768545.686,1199613.028,,
1355,0.36517165,2762662.406,1191670.457,,
1356,0.36714328,2756659.533,1183695.097,,
1357,0.36912202,2750548.795,1175702.215,,
1358,0.37110431,2744341.92,1167707.077,,
1359,0.37308647,2738050.636,1159724.95,,
1360,0.37506471,2731686.672,1151771.102,,
1361,0.37703505,2725261.754,1143860.798,,
