FileTitle:,IAS_Spectrum,,,,
Head:,Reference,Sample,,,
Sample ID,B2500295,,,,
System Temp hundredths:,2470,2528,,,
Detector Temp hundredths:,0,0,,,
Humidity hundredths:,5104,4965,,,
Lamp PD:,94,94,,,
Tec Temp:,0,,,,
Product SN:,8B6YK9LO,,,,
Serial Number:,5B25203,,,,
Scan Config Name:,IAS5100,,,,
Scan Config Type:,2,,,,
Start wavelength in nm:,900,,,,
End wavelength in nm:,1700,,,,
Pattern Pixel Width:,13,,,,
Exposure Time:,0,,,,
Measurement points:,105,,,,
Number of Measurement points:,801,,,,
Num Repeats:,90,90,,,
PGA Gain:,64,64,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original
900,0.30774868,1465068.252,721288.7755,6216,2371
901,0.30745708,1488210.315,733174.3024,5937,2139
902,0.30716118,1511151.109,744983.611,5681,1919
903,0.30686084,1533865.491,756704.7098,6101,1911
904,0.30655591,1556328.319,768325.6077,7182,2049
905,0.30624622,1578514.451,779834.3132,8799,2486
906,0.30593158,1600398.744,791218.835,11489,2943
907,0.3056118,1621956.056,802467.1817,15160,3705
908,0.30528667,1643161.243,813567.362,20921,4874
909,0.30495594,1663989.164,824507.3847,30434,7144
910,0.3046194,1684414.676,835275.2582,47393,11131
911,0.30427678,1704412.637,845858.9913,77887,18917
912,0.30392805,1723964.824,856249.5435,127122,32232
913,0.3035741,1743079.323,866449.0922,196465,51481
914,0.303216,1761770.469,876462.4798,275624,73915
915,0.30285476,1780052.6,886294.5489,349426,94678
916,0.30249136,1797940.049,895950.1421,414786,112750
917,0.30212676,1815447.154,905434.1018,477008,128912
918,0.30176188,1832588.251,914751.2706,540926,144457
919,0.30139759,1849377.674,923906.4911,608508,159890
920,0.30103478,1865829.76,932904.6057,678915,175185
921,0.30067428,1881958.845,941750.4571,752557,190458
922,0.30031693,1897779.265,950448.8877,829378,205686
923,0.29996353,1913305.355,959004.7402,908651,220631
924,0.2996149,1928550.852,967422.5193,988448,235438
925,0.29927202,1943522.488,975702.7868,1070651,251241
926,0.29893598,1958222.463,983843.5512,1153905,268178
927,0.29860784,1972652.899,991842.7781,1238299,285978
928,0.29828862,1986815.918,999698.4329,1323704,304132
929,0.29797933,2000713.643,1007408.481,1411523,321692
930,0.29768096,2014348.195,1014970.889,1501102,338610
931,0.29739446,2027721.698,1022383.621,1593574,355024
932,0.2971208,2040836.273,1029644.644,1687193,370545
933,0.29686089,2053694.044,1036751.923,1779735,384365
934,0.29661567,2066297.131,1043703.422,1869292,397086
935,0.29638602,2078647.659,1050497.109,1955091,409744
936,0.29617282,2090747.408,1057130.849,2036147,423381
937,0.29597623,2102590.069,1063600.113,2108948,437892
938,0.29579572,2114161.079,1069897.939,2171996,452412
939,0.29563074,2125445.506,1076017.251,2224818,466164
940,0.29548076,2136428.417,1081950.975,2268420,481468
941,0.29534529,2147094.879,1087692.037,2301656,500256
942,0.29522383,2157429.958,1093233.362,2326542,527204
943,0.29511593,2167418.723,1098567.876,2343048,568192
944,0.29502113,2177046.241,1103688.505,2350588,625713
945,0.29493903,2186297.578,1108588.174,2352159,697435
946,0.29486922,2195157.801,1113259.808,2365231,776770
947,0.2948113,2203611.979,1117696.334,2410052,859321
948,0.2947649,2211645.806,1121891.019,2486464,943332
949,0.29472947,2219259.98,1125845.292,2579956,1027873
950,0.29470422,2226470.496,1129568.905,2659037,1102717
951,0.29468841,2233294.041,1133071.986,2719744,1170365
952,0.2946813,2239747.298,1136364.66,2773342,1238185
953,0.2946822,2245846.954,1139457.056,2815634,1300142
954,0.29469039,2251609.694,1142359.3,2840716,1346940
955,0.2947052,2257052.202,1145081.52,2850344,1376321
956,0.29472596,2262191.164,1147633.842,2846551,1389508
957,0.294752,2267043.266,1150026.395,2829650,1387962
958,0.29478268,2271625.192,1152269.304,2800167,1374196
959,0.29481736,2275953.627,1154372.697,2762411,1352088
960,0.29485539,2280045.449,1156346.827,2718133,1325258
961,0.294896,2283919.828,1158203.458,2666173,1295392
962,0.29493833,2287597.447,1159955.35,2603579,1259451
963,0.29498154,2291099.017,1161615.28,2527360,1213097
964,0.29502479,2294445.246,1163196.026,2456702,1162482
965,0.29506723,2297656.846,1164710.365,2419777,1118089
966,0.29510802,2300754.527,1166171.076,2374519,1060611
967,0.29514633,2303758.997,1167590.934,2314009,1000665
968,0.29518132,2306690.968,1168982.719,2253114,961291
969,0.29521217,2309571.15,1170359.206,2196109,944151
970,0.29523804,2312420.252,1171733.175,2145742,942094
971,0.2952581,2315258.985,1173117.402,2101743,949525
972,0.29527167,2318103.864,1174522.177,2060292,960828
973,0.29527862,2320953.833,1175947.356,2024327,978924
974,0.29527898,2323803.233,1177390.068,1997289,1001522
975,0.29527278,2326646.405,1178847.438,1982549,1023153
976,0.29526004,2329477.689,1180316.595,1980414,1042050
977,0.29524079,2332291.426,1181794.664,1991559,1058400
978,0.29521505,2335081.957,1183278.773,2015601,1074380
979,0.29518286,2337843.623,1184766.049,2048265,1091590
980,0.29514423,2340570.764,1186253.617,2085997,1109490
981,0.29509918,2343257.722,1187738.606,2130346,1128619
982,0.29504775,2345898.837,1189218.142,2178355,1147958
983,0.29498996,2348488.322,1190689.277,2223894,1165440
984,0.29492594,2351016.896,1192146.994,2263403,1179556
985,0.29485594,2353471.443,1193584.015,2301454,1192653
986,0.2947802,2355838.653,1194992.942,2333819,1202413
987,0.29469898,2358105.217,1196366.378,2356425,1207090
988,0.29461251,2360257.823,1197696.929,2371033,1209052
989,0.29452103,2362283.163,1198977.196,2369933,1204284
990,0.29442478,2364167.925,1200199.785,2347292,1190007
991,0.29432397,2365898.799,1201357.298,2315303,1173139
992,0.29421884,2367462.476,1202442.339,2277377,1155061
993,0.29410961,2368845.645,1203447.512,2207743,1119856
994,0.29399648,2370034.998,1204365.422,2084818,1053883
995,0.29387963,2371021.632,1205191.019,1918438,961837
996,0.29375911,2371810.008,1205926.369,1704077,845681
997,0.29363494,2372407.109,1206574.881,1428764,702695
998,0.29350715,2372819.919,1207139.965,1110412,542071
999,0.29337577,2373055.421,1207625.031,724491,351689
1000,0.29324084,2373120.599,1208033.489,318422,153890
1001,0.29310236,2373022.438,1208368.748,81545,39260
1002,0.29296038,2372767.92,1208634.217,25207,12121
1003,0.29281491,2372364.03,1208833.307,18118,8547
1004,0.292666,2371817.751,1208969.427,15872,7515
1005,0.29251366,2371136.068,1209045.986,,
1006,0.29235789,2370326.022,1209066.509,,
1007,0.29219852,2369395.018,1209035.208,,
1008,0.2920353,2368350.59,1208956.553,,
1009,0.29186797,2367200.275,1208835.014,,
1010,0.2916963,2365951.609,1208675.062,,
1011,0.29152003,2364612.131,1208481.168,,
1012,0.29133892,2363189.374,1208257.802,,
1013,0.29115273,2361690.877,1208009.436,,
1014,0.29096121,2360124.176,1207740.538,,
1015,0.29076413,2358496.808,1207455.581,,
1016,0.29056125,2356816.308,1207159.035,,
1017,0.29035239,2355089.229,1206854.681,,
1018,0.29013792,2353314.128,1206540.713,,
1019,0.28991848,2351485.682,1206212.607,,
1020,0.28969468,2349598.539,1205865.825,,
1021,0.28946715,2347647.349,1205495.826,,
1022,0.28923652,2345626.761,1205098.069,,
1023,0.2890034,2343531.426,1204668.014,,
1024,0.28876842,2341355.992,1204201.121,,
1025,0.2885322,2339095.11,1203692.85,,
1026,0.28829535,2336743.428,1203138.661,,
1027,0.28805848,2334295.597,1202534.013,,
1028,0.28782216,2331747.125,1201874.966,,
1029,0.28758654,2329099.686,1201161.878,,
1030,0.28735159,2326357.636,1200396.98,,
1031,0.28711729,2323525.342,1199582.51,,
1032,0.28688362,2320607.174,1198720.707,,
1033,0.28665057,2317607.499,1197813.81,,
1034,0.28641812,2314530.686,1196864.058,,
1035,0.28618625,2311381.103,1195873.688,,
1036,0.28595495,2308163.118,1194844.94,,
1037,0.28572421,2304881.099,1193780.053,,
1038,0.28549402,2301539.414,1192681.264,,
1039,0.28526436,2298142.692,1191550.973,,
1040,0.28503519,2294696.68,1190392.274,,
1041,0.28480642,2291207.43,1189208.445,,
1042,0.28457801,2287680.991,1188002.768,,
1043,0.28434989,2284123.416,1186778.522,,
1044,0.284122,2280540.753,1185538.988,,
1045,0.28389428,2276939.054,1184287.444,,
1046,0.28366669,2273324.37,1183027.171,,
1047,0.28343917,2269702.75,1181761.45,,
1048,0.28321166,2266080.247,1180493.56,,
1049,0.28298413,2262462.866,1179226.758,,
1050,0.28275655,2258851.863,1177961.796,,
1051,0.28252888,2255239.513,1176694.69,,
1052,0.28230112,2251617.093,1175420.931,,
1053,0.28207324,2247975.883,1174136.01,,
1054,0.28184522,2244307.16,1172835.418,,
1055,0.28161704,2240602.202,1171514.646,,
1056,0.28138865,2236852.289,1170169.185,,
1057,0.28116003,2233048.698,1168794.525,,
1058,0.28093113,2229182.707,1167386.159,,
1059,0.28070191,2225245.595,1165939.577,,
1060,0.28047232,2221229.31,1164450.611,,
1061,0.28024238,2217133.76,1162919.139,,
1062,0.2800121,2212964.058,1161347.69,,
1063,0.27978153,2208725.411,1159738.836,,
1064,0.2795507,2204423.024,1158095.15,,
1065,0.27931964,2200062.102,1156419.207,,
1066,0.27908841,2195647.851,1154713.579,,
1067,0.27885705,2191185.475,1152980.84,,
1068,0.2786256,2186680.181,1151223.562,,
1069,0.27839411,2182137.174,1149444.321,,
1070,0.27816263,2177561.659,1147645.687,,
1071,0.27793135,2172959.051,1145830.016,,
1072,0.27770074,2168335.264,1143999.137,,
1073,0.27747133,2163696.286,1142154.802,,
1074,0.27724367,2159048.105,1140298.762,,
1075,0.27701829,2154396.709,1138432.77,,
1076,0.27679575,2149748.087,1136558.578,,
1077,0.2765766,2145108.225,1134677.936,,
1078,0.2763614,2140483.113,1132792.598,,
1079,0.27615073,2135878.738,1130904.315,,
1080,0.27594516,2131301.088,1129014.839,,
1081,0.27574524,2126755.973,1127125.89,,
1082,0.27555134,2122247.834,1125238.943,,
1083,0.27536378,2117780.485,1123355.363,,
1084,0.27518284,2113357.738,1121476.511,,
1085,0.27500882,2108983.402,1119603.752,,
1086,0.27484202,2104661.287,1117738.448,,
1087,0.27468276,2100395.205,1115881.962,,
1088,0.27453134,2096188.965,1114035.656,,
1089,0.27438807,2092046.378,1112200.895,,
1090,0.27425326,2087971.255,1110379.041,,
1091,0.27412722,2083967.229,1108571.393,,
1092,0.27400998,2080034.053,1106777.867,,
1093,0.27390132,2076167.687,1104997.026,,
1094,0.273801,2072363.934,1103227.375,,
1095,0.27370877,2068618.598,1101467.42,,
1096,0.27362439,2064927.482,1099715.668,,
1097,0.27354761,2061286.389,1097970.624,,
1098,0.27347819,2057691.123,1096230.795,,
1099,0.27341585,2054137.486,1094494.687,,
1100,0.27336035,2050621.283,1092760.806,,
1101,0.27331143,2047138.368,1091027.677,,
1102,0.27326909,2043688.009,1089294.996,,
1103,0.27323373,2040274.88,1087564.325,,
1104,0.2732058,2036904.141,1085837.389,,
1105,0.27318574,2033580.946,1084115.914,,
1106,0.27317402,2030310.455,1082401.625,,
1107,0.27317106,2027097.823,1080696.248,,
1108,0.27317734,2023948.207,1079001.509,,
1109,0.27319331,2020866.766,1077319.134,,
1110,0.27321942,2017858.656,1075650.848,,
1111,0.27325613,2014929.034,1073998.369,,
1112,0.27330441,2012083.176,1072362.256,,
1113,0.27336622,2009326.59,1070740.701,,
1114,0.27344367,2006664.819,1069131.608,,
1115,0.27353886,2004103.4,1067532.88,,
1116,0.27365393,2001647.875,1065942.423,,
1117,0.273791,1999303.783,1064358.138,,
1118,0.27395221,1997076.663,1062777.93,,
1119,0.2741397,1994972.055,1061199.704,,
1120,0.27435561,1992995.5,1059621.361,,
1121,0.27460211,1991152.525,1058040.806,,
1122,0.27488108,1989446.97,1056455.698,,
1123,0.27519384,1987879.175,1054863.201,,
1124,0.27554167,1986449.047,1053260.417,,
1125,0.27592582,1985156.493,1051644.445,,
1126,0.27634756,1984001.421,1050012.388,,
1127,0.27680815,1982983.738,1048361.347,,
1128,0.27730888,1982103.351,1046688.422,,
1129,0.277851,1981360.168,1044990.715,,
1130,0.27843579,1980754.094,1043265.327,,
1131,0.27906452,1980285.035,1041509.373,,
1132,0.27973796,1979952.609,1039721.042,,
1133,0.28045602,1979755.963,1037900.31,,
1134,0.28121852,1979694.199,1036047.324,,
1135,0.28202528,1979766.418,1034162.23,,
1136,0.28287613,1979971.722,1032245.173,,
1137,0.28377087,1980309.212,1030296.301,,
1138,0.28470931,1980777.991,1028315.76,,
1139,0.28569126,1981377.159,1026303.696,,
1140,0.28671652,1982105.818,1024260.255,,
1141,0.28778488,1982963.108,1022185.596,,
1142,0.28889624,1983949.209,1020080.178,,
1143,0.2900506,1985065.444,1017944.8,,
1144,0.29124795,1986313.193,1015780.273,,
1145,0.29248828,1987693.837,1013587.411,,
1146,0.29377157,1989208.756,1011367.026,,
1147,0.29509779,1990859.331,1009119.931,,
1148,0.2964669,1992646.944,1006846.94,,
1149,0.29787886,1994572.974,1004548.865,,
1150,0.29933362,1996638.802,1002226.52,,
1151,0.30083085,1998845.455,999881.1158,,
1152,0.30236765,2001190.288,997517.9991,,
1153,0.30393952,2003668.483,995144.9651,,
1154,0.30554193,2006275.193,992769.841,,
1155,0.30717031,2009005.571,990400.4539,,
1156,0.30882006,2011854.77,988044.631,,
1157,0.31048656,2014817.943,985710.1994,,
1158,0.31216513,2017890.244,983404.9863,,
1159,0.3138511,2021066.825,981136.8187,,
1160,0.31553974,2024342.84,978913.5238,,
1161,0.31722665,2027713.794,976742.3178,,
1162,0.31890879,2031176.586,974628.0073,,
1163,0.32058344,2034728.457,972574.8052,,
1164,0.32224787,2038366.648,970586.9244,,
1165,0.32389933,2042088.401,968668.5778,,
1166,0.32553507,2045890.956,966823.9782,,
1167,0.32715234,2049771.555,965057.3386,,
1168,0.32874839,2053727.439,963372.8717,,
1169,0.33032046,2057755.85,961774.7906,,
1170,0.33186582,2061853.996,960267.1914,,
1171,0.3333838,2066017.656,958849.0238,,
1172,0.33487653,2070240.649,957512.175,,
1173,0.33634638,2074516.651,956248.0204,,
1174,0.33779576,2078839.337,955047.9351,,
1175,0.33922712,2083202.384,953903.2945,,
1176,0.34064293,2087599.467,952805.4739,,
1177,0.34204573,2092024.263,951745.8484,,
1178,0.34343804,2096470.447,950715.7934,,
1179,0.34482244,2100931.695,949706.6842,,
1180,0.34620099,2105403.036,948711.6928,,
1181,0.34757198,2109888.924,947736.5127,,
1182,0.34893205,2114397.826,946792.1667,,
1183,0.3502778,2118938.223,945889.6971,,
1184,0.35160581,2123518.596,945040.1461,,
1185,0.35291262,2128147.427,944254.5562,,
1186,0.35419475,2132833.196,943543.9696,,
1187,0.35544868,2137584.386,942919.4287,,
1188,0.3566709,2142409.477,942391.9757,,
1189,0.35785786,2147316.902,941972.6192,,
1190,0.35900643,2152311.932,941670.1067,,
1191,0.36011411,2157394.737,941489.5449,,
1192,0.36117851,2162565.026,941435.7106,,
1193,0.36219723,2167822.51,941513.3804,,
1194,0.36316791,2173166.898,941727.3311,,
1195,0.36408822,2178597.899,942082.3396,,
1196,0.36495586,2184115.223,942583.1826,,
1197,0.36576856,2189718.581,943234.6367,,
1198,0.3665241,2195407.68,944041.4789,,
1199,0.36721985,2201181.728,945009.2211,,
1200,0.36785071,2207037.012,946147.6331,,
1201,0.36841073,2212968.771,947468.0133,,
1202,0.36889405,2218972.245,948981.6622,,
1203,0.36929491,2225042.673,950699.8804,,
1204,0.36960763,2231175.292,952633.9683,,
1205,0.36982667,2237365.341,954795.2264,,
1206,0.36994659,2243608.06,957194.9551,,
1207,0.3699621,2249898.687,959844.455,,
1208,0.36986813,2256232.553,962754.8855,,
1209,0.3696617,2262607.232,965934.0308,,
1210,0.36934198,2269022.586,969386.2241,,
1211,0.3689083,2275478.581,973115.6429,,
1212,0.36836014,2281975.182,977126.4645,,
1213,0.36769709,2288512.355,981422.8662,,
1214,0.36691884,2295090.067,986009.0255,,
1215,0.36602522,2301708.283,990889.1195,,
1216,0.36501616,2308366.97,996067.3257,,
1217,0.36389171,2315066.075,1001547.794,,
1218,0.36265545,2321798.728,1007323.844,,
1219,0.36131945,2328540.892,1013361.536,,
1220,0.35989683,2335265.871,1019622.71,,
1221,0.3584004,2341946.971,1026069.204,,
1222,0.35684264,2348557.496,1032662.858,,
1223,0.35523566,2355070.752,1039365.511,,
1224,0.35359121,2361460.042,1046139.002,,
1225,0.35192067,2367698.673,1052945.171,,
1226,0.35023507,2373759.949,1059745.856,,
1227,0.34854482,2379619.505,1066504.524,,
1228,0.34685862,2385266.687,1073194.221,,
1229,0.34518443,2390695.843,1079791.486,,
1230,0.34353,2395901.327,1086272.86,,
1231,0.34190289,2400877.493,1092614.889,,
1232,0.34031047,2405618.696,1098794.115,,
1233,0.33875995,2410119.29,1104787.082,,
1234,0.33725841,2414373.629,1110570.333,,
1235,0.33581279,2418376.068,1116120.412,,
1236,0.3344295,2422125.51,1121417.02,,
1237,0.33310962,2425680.533,1126481.294,,
1238,0.33185068,2429141.719,1131363.533,,
1239,0.33065042,2432610.521,1136114.641,,
1240,0.32950687,2436188.396,1140785.527,,
1241,0.32841824,2439976.797,1145427.095,,
1242,0.32738299,2444077.18,1150090.252,,
1243,0.32639973,2448591,1154825.905,,
