FileTitle:,IAS_Spectrum,,,,
Head:,Reference,Sample,,,
Sample ID,B2500043,,,,
System Temp hundredths:,2517,2535,,,
Detector Temp hundredths:,0,0,,,
Humidity hundredths:,5159,5163,,,
Lamp PD:,93,92,,,
Tec Temp:,0,,,,
Product SN:,8B6YK9LO,,,,
Serial Number:,5B25203,,,,
Scan Config Name:,IAS5100,,,,
Scan Config Type:,2,,,,
Start wavelength in nm:,900,,,,
End wavelength in nm:,1700,,,,
Pattern Pixel Width:,13,,,,
Exposure Time:,0,,,,
Measurement points:,105,,,,
Number of Measurement points:,801,,,,
Num Repeats:,90,90,,,
PGA Gain:,64,64,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original
900,0.29792925,1464520.077,737506.8936,6189,2290
901,0.29763871,1487637.919,749649.9699,5964,2098
902,0.29734192,1510551.919,761717.1634,5811,1945
903,0.29703892,1533237.516,773696.2866,6273,1878
904,0.29672978,1555670.147,785575.1522,7204,2001
905,0.29641449,1577825.249,797341.5727,8857,2349
906,0.29609305,1599678.26,808983.3608,11389,2860
907,0.29576542,1621204.618,820488.3291,15445,3601
908,0.29543154,1642379.759,831844.2901,21100,4949
909,0.29509133,1663179.121,843039.0565,30484,6935
910,0.29474467,1683578.141,854060.4409,47711,11151
911,0.29439144,1703552.257,864896.2558,78261,18947
912,0.29403175,1723083.668,875537.2319,127519,32250
913,0.29366663,1742180.275,885985.192,196999,51474
914,0.29329731,1760856.085,896244.5948,275941,73748
915,0.29292497,1779125.108,906319.8986,349650,94430
916,0.29255074,1797001.35,916215.5619,414741,112161
917,0.2921757,1814498.82,925936.0433,476875,128091
918,0.29180091,1831631.525,935485.8012,540804,143311
919,0.29142739,1848413.475,944869.2941,608324,158332
920,0.29105614,1864858.676,954090.9805,678687,173073
921,0.29068811,1880981.137,963155.3188,752562,187788
922,0.29032427,1896794.866,972066.7675,829316,202590
923,0.28996553,1912313.871,980829.7851,908552,216807
924,0.2896128,1927551.576,989448.5264,988261,231067
925,0.289267,1942514.585,997923.5977,1070364,246309
926,0.28892901,1957205.089,1006253.308,1153655,262574
927,0.28859974,1971625.201,1014435.929,1238120,280077
928,0.28828002,1985777.038,1022469.73,1323578,297745
929,0.28797072,1999662.714,1030352.982,1411109,315082
930,0.28767264,2013284.344,1038083.956,1500656,331657
931,0.2873866,2026644.043,1045660.922,1593208,347724
932,0.2871134,2039743.927,1053082.151,1686683,362593
933,0.28685382,2052586.111,1060345.914,1779202,375911
934,0.28660864,2065172.709,1067450.48,1868574,387696
935,0.28637863,2077505.837,1074394.121,1954495,399279
936,0.28616453,2089587.278,1081174.982,2035255,411640
937,0.28596662,2101410.918,1087788.245,2108155,424525
938,0.28578475,2112962.595,1094226.066,2171049,437559
939,0.28561875,2124227.781,1100480.467,2223902,450387
940,0.28546844,2135191.951,1106543.47,2267223,465044
941,0.2853337,2145840.58,1112407.096,2300656,483842
942,0.28521439,2156159.141,1118063.367,2325579,511777
943,0.2851104,2166133.108,1123504.304,2341777,555559
944,0.28502162,2175747.955,1128721.929,2349245,617612
945,0.28494797,2184989.156,1133708.262,2350931,695255
946,0.28488939,2193842.186,1138455.327,2364109,780642
947,0.28484582,2202292.519,1142955.143,2408933,867424
948,0.2848172,2210326.231,1147200.111,2485278,954849
949,0.2848029,2217943.772,1151191.642,2578704,1042405
950,0.28480174,2225160.254,1154940.337,2657783,1120396
951,0.28481253,2231991.448,1158457.213,2718359,1192026
952,0.28483409,2238453.123,1161753.287,2771609,1264307
953,0.28486531,2244561.052,1164839.574,2813689,1330649
954,0.28490505,2250331.004,1167727.091,2838895,1381178
955,0.28495222,2255778.752,1170426.853,2848570,1413080
956,0.28500575,2260920.066,1172949.878,2845161,1427253
957,0.28506457,2265770.716,1175307.182,2828532,1425608
958,0.28512762,2270346.474,1177509.779,2799324,1410623
959,0.28519385,2274663.111,1179568.688,2761460,1386726
960,0.28526224,2278736.689,1181495.034,2717564,1357845
961,0.28533197,2282586.76,1183301.258,2665797,1325881
962,0.28540231,2286235.179,1185000.667,2603294,1287792
963,0.28547256,2289703.84,1186606.586,2526944,1238890
964,0.28554201,2293014.639,1188132.338,2456406,1185495
965,0.28560996,2296189.469,1189591.247,2419477,1137566
966,0.2856757,2299250.227,1190996.635,2374507,1076379
967,0.28573853,2302218.807,1192361.827,2313594,1013416
968,0.28579775,2305117.103,1193700.146,2252342,972830
969,0.28585264,2307967.011,1195024.915,2195059,956619
970,0.2859025,2310790.426,1196349.458,2144356,957055
971,0.28594664,2313609.241,1197687.099,2100109,966966
972,0.2859844,2316440.781,1199048.641,2058615,980671
973,0.28601538,2319283.209,1200434.327,2022431,1001291
974,0.28603922,2322129.672,1201841.635,1995457,1026634
975,0.28605559,2324973.314,1203268.043,1980767,1050628
976,0.28606414,2327807.284,1204711.03,1978732,1070954
977,0.28606452,2330624.728,1206168.072,1990145,1087745
978,0.28605641,2333418.79,1207636.649,2014612,1103937
979,0.28603945,2336182.619,1209114.238,2047416,1121017
980,0.28601333,2338909.36,1210598.316,2085310,1138698
981,0.28597769,2341592.16,1212086.363,2129750,1157490
982,0.28593221,2344224.165,1213575.855,2177940,1176283
983,0.28587657,2346798.431,1215064.173,2223347,1193236
984,0.28581096,2349305.554,1216546.028,2262382,1206978
985,0.2857361,2351733.433,1218013.206,2300112,1219574
986,0.28565273,2354069.829,1219457.34,2332200,1228779
987,0.2855616,2356302.501,1220870.066,2354541,1232960
988,0.28546344,2358419.211,1222243.019,2368978,1234259
989,0.28535897,2360407.719,1223567.834,2367899,1229092
990,0.28524893,2362255.785,1224836.147,2345610,1214373
991,0.28513401,2363951.17,1226039.591,2313653,1197708
992,0.28501492,2365481.635,1227169.802,2276081,1180241
993,0.28489237,2366834.94,1228218.416,2206423,1145142
994,0.28476704,2367998.848,1229177.068,2083667,1077855
995,0.2846394,2368965.204,1230040.119,1917444,983730
996,0.28450929,2369738.237,1230810.189,1703217,864714
997,0.2843764,2370324.513,1231491.459,1428247,718514
998,0.28424044,2370730.601,1232088.109,1109988,554541
999,0.2841011,2370963.067,1232604.321,724410,360028
1000,0.2839581,2371028.479,1233044.275,318586,157522
1001,0.28381113,2370933.404,1233412.152,81588,40213
1002,0.28365991,2370684.411,1233712.132,25254,12267
1003,0.28350413,2370288.065,1233948.398,17946,8742
1004,0.28334351,2369750.935,1234125.129,15769,7694
1005,0.28317774,2369079.589,1234246.506,,
1006,0.28300659,2368280.7,1234316.656,,
1007,0.28283001,2367361.59,1234339.379,,
1008,0.28264809,2366329.822,1234318.35,,
1009,0.28246089,2365192.96,1234257.247,,
1010,0.28226848,2363958.567,1234159.746,,
1011,0.28207094,2362634.208,1234029.523,,
1012,0.28186833,2361227.446,1233870.255,,
1013,0.28166073,2359745.845,1233685.618,,
1014,0.28144821,2358196.968,1233479.29,,
1015,0.28123087,2356588.38,1233254.945,,
1016,0.28100876,2354927.644,1233016.261,,
1017,0.28078201,2353221.329,1232766.326,,
1018,0.28055092,2351467.936,1232503.448,,
1019,0.28031587,2349662.047,1232223.618,,
1020,0.28007727,2347798.216,1231922.806,,
1021,0.27983551,2345870.999,1231596.988,,
1022,0.27959097,2343874.95,1231242.136,,
1023,0.27934404,2341804.625,1230854.222,,
1024,0.27909511,2339654.578,1230429.22,,
1025,0.27884455,2337419.365,1229963.104,,
1026,0.27859276,2335093.541,1229451.846,,
1027,0.2783401,2332671.661,1228891.419,,
1028,0.27808693,2330149.147,1228278.331,,
1029,0.2778334,2327527.635,1227612.917,,
1030,0.27757957,2324811.465,1226897.181,,
1031,0.27732552,2322004.99,1226133.133,,
1032,0.27707132,2319112.563,1225322.783,,
1033,0.27681704,2316138.538,1224468.142,,
1034,0.27656276,2313087.267,1223571.22,,
1035,0.27630856,2309963.103,1222634.028,,
1036,0.27605452,2306770.4,1221658.575,,
1037,0.27580072,2303513.509,1220646.873,,
1038,0.27554724,2300196.784,1219600.931,,
1039,0.27529418,2296824.889,1218522.934,,
1040,0.27504159,2293403.83,1217415.815,,
1041,0.27478957,2289939.976,1216282.71,,
1042,0.27453817,2286439.694,1215126.754,,
1043,0.27428748,2282909.355,1213951.083,,
1044,0.27403759,2279355.325,1212758.833,,
1045,0.27378857,2275783.973,1211553.138,,
1046,0.27354052,2272201.668,1210337.136,,
1047,0.27329352,2268614.779,1209113.962,,
1048,0.27304768,2265029.673,1207886.75,,
1049,0.27280309,2261452.673,1206658.616,,
1050,0.2725597,2257885.013,1205430.358,,
1051,0.27231719,2254318.32,1204198.399,,
1052,0.27207523,2250743.151,1202958.676,,
1053,0.27183344,2247150.065,1201707.125,,
1054,0.27159146,2243529.62,1200439.684,,
1055,0.27134893,2239872.374,1199152.289,,
1056,0.27110547,2236168.885,1197840.878,,
1057,0.2708607,2232409.712,1196501.388,,
1058,0.27061422,2228585.413,1195129.755,,
1059,0.27036566,2224686.546,1193721.916,,
1060,0.27011463,2220704.377,1192274.117,,
1061,0.26986107,2216638.568,1190786.273,,
1062,0.26960509,2212494.278,1189260.696,,
1063,0.26934684,2208276.761,1187699.743,,
1064,0.26908645,2203991.27,1186105.769,,
1065,0.26882407,2199643.058,1184481.129,,
1066,0.26855983,2195237.381,1182828.18,,
1067,0.26829388,2190779.491,1181149.277,,
1068,0.26802637,2186274.642,1179446.775,,
1069,0.26775746,2181728.088,1177723.03,,
1070,0.26748729,2177145.084,1175980.398,,
1071,0.26721619,2172531.252,1174220.995,,
1072,0.26694488,2167893.094,1172446.367,,
1073,0.26667412,2163237.245,1170657.976,,
1074,0.26640472,2158570.338,1168857.282,,
1075,0.26613746,2153899.008,1167045.747,,
1076,0.26587314,2149229.888,1165224.832,,
1077,0.26561258,2144569.611,1163395.998,,
1078,0.2653566,2139924.813,1161560.707,,
1079,0.26510603,2135302.126,1159720.42,,
1080,0.2648617,2130708.185,1157876.598,,
1081,0.2646244,2126149.35,1156030.708,,
1082,0.26439448,2121629.897,1154184.253,,
1083,0.26417211,2117153.147,1152338.755,,
1084,0.26395743,2112722.411,1150495.735,,
1085,0.2637506,2108341.004,1148656.716,,
1086,0.26355178,2104012.238,1146823.218,,
1087,0.26336114,2099739.428,1144996.763,,
1088,0.26317884,2095525.885,1143178.874,,
1089,0.26300504,2091374.925,1141371.07,,
1090,0.2628399,2087289.859,1139574.874,,
1091,0.26268358,2083273.847,1137791.745,,
1092,0.26253607,2079326.624,1136021.744,,
1093,0.26239716,2075444.584,1134263.575,,
1094,0.26226663,2071623.983,1132515.88,,
1095,0.26214428,2067861.077,1130777.304,,
1096,0.26202987,2064152.121,1129046.493,,
1097,0.2619232,2060493.371,1127322.09,,
1098,0.26182404,2056881.081,1125602.739,,
1099,0.26173216,2053311.509,1123887.087,,
1100,0.26164733,2049780.909,1122173.775,,
1101,0.26156932,2046285.582,1120461.465,,
1102,0.26149818,2042824.787,1118749.727,,
1103,0.26143438,2039402.473,1117039.586,,
1104,0.26137844,2036023.004,1115332.192,,
1105,0.2613309,2032690.747,1113628.697,,
