FileTitle:,IAS_Spectrum,,,,
Head:,Reference,Sample,,,
Sample ID,B2500015,,,,
System Temp hundredths:,2541,2564,,,
Detector Temp hundredths:,0,0,,,
Humidity hundredths:,4894,4793,,,
Lamp PD:,95,92,,,
Tec Temp:,0,,,,
Product SN:,8B6YK9LO,,,,
Serial Number:,5B25203,,,,
Scan Config Name:,IAS5100,,,,
Scan Config Type:,2,,,,
Start wavelength in nm:,900,,,,
End wavelength in nm:,1700,,,,
Pattern Pixel Width:,13,,,,
Exposure Time:,0,,,,
Measurement points:,105,,,,
Number of Measurement points:,801,,,,
Num Repeats:,90,90,,,
PGA Gain:,64,64,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original
900,0.23815529,1464796.676,846490.444,6240,2709
901,0.23789086,1487916.127,860374.6256,6068,2423
902,0.2376221,1510833.025,874166.9184,5852,2182
903,0.23734912,1533522.663,887853.0169,6145,2201
904,0.237072,1555960.332,901418.6159,7206,2361
905,0.23679078,1578121.325,914849.4098,8930,2876
906,0.23650548,1599980.932,928131.0932,11496,3429
907,0.23621613,1621514.445,941249.3607,15344,4428
908,0.23592269,1642697.156,954189.9069,21251,5923
909,0.23562512,1663504.356,966938.4262,30573,8415
910,0.23532338,1683911.337,979480.6133,47935,13407
911,0.23501737,1703893.391,991802.1628,78554,22524
912,0.2347072,1723432.589,1003892.256,128258,38249
913,0.2343937,1742536.775,1015753.326,197616,60706
914,0.23407785,1761219.917,1027390.956,276614,86495
915,0.23376059,1779495.983,1038810.729,350169,110441
916,0.23344281,1797378.941,1050018.228,415079,131126
917,0.2331254,1814882.759,1061019.037,477251,149602
918,0.2328092,1832021.404,1071818.737,541000,167549
919,0.23249503,1848808.844,1082422.912,608616,185176
920,0.23218371,1865259.047,1092837.145,678999,202787
921,0.231876,1881385.98,1103067.018,752792,220356
922,0.23157269,1897203.613,1113118.115,829587,237770
923,0.23127453,1912725.912,1122996.018,908988,255222
924,0.23098225,1927966.265,1132705.935,988622,272225
925,0.23069677,1942931.291,1142248.692,1070864,290162
926,0.23041905,1957623.222,1151622.278,1154021,309304
927,0.23015003,1972044.221,1160824.634,1238630,329565
928,0.22989065,1986196.445,1169853.699,1323961,349809
929,0.2296418,2000082.057,1178707.417,1411517,369703
930,0.22940437,2013703.215,1187383.726,1501297,388748
931,0.22917924,2027062.081,1195880.569,1593471,407369
932,0.22896726,2040160.814,1204195.886,1687173,424743
933,0.22876928,2053001.575,1212327.618,1779548,440183
934,0.22858614,2065586.524,1220273.707,1869069,453985
935,0.22841865,2077917.821,1228032.092,1954826,466646
936,0.22826761,2089997.294,1235600.605,2035892,480020
937,0.22813308,2101818.878,1242974.465,2108561,493895
938,0.22801441,2113368.455,1250146.228,2171555,507693
939,0.22791092,2124631.548,1257108.328,2224374,521698
940,0.22782199,2135593.68,1263853.202,2267565,537681
941,0.22774701,2146240.371,1270373.285,2300990,557902
942,0.22768537,2156557.145,1276661.013,2325976,586962
943,0.22763653,2166529.523,1282708.82,2342256,631406
944,0.22759993,2176143.027,1288509.144,2349579,695286
945,0.22757506,2185383.179,1294054.419,2351248,777661
946,0.2275614,2194235.501,1299337.081,2364372,874054
947,0.2275585,2202685.516,1304349.565,2409139,977728
948,0.22756587,2210719.346,1309084.686,2485520,1083244
949,0.2275829,2218337.466,1313544.281,2579101,1185186
950,0.2276088,2225554.984,1317739.393,2658169,1272548
