Batch Number,B2600091,,,,
Category,Poultry,,,,
Specie,Chicken,,,,
Family,Layer Baladi,,,,
Brand,FARMFLAKES,,,,
Product Code,PPEP250402,,,,
Product name,CHICKEN FEED - BALADI PRODUCTION 2,,,,
NIR-Code,D20260214-00107,,,,
Serial Number:,5B25203,,,,
Scan Config Name:,IAS5100,,,,
Scan Config Type:,2,,,,
Start wavelength in nm:,900,,,,
End wavelength in nm:,1700,,,,
Pattern Pixel Width:,11,,,,
Exposure Time:,0,,,,
Measurement points:,420,,,,
Number of Measurement points:,801,,,,
Num Repeats:,90,90,,,
PGA Gain:,64,64,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original
900,0.05602758,1239369.785,1089364.755,5553,3853
901,0.0559073,1259308.611,1107196.926,5644,3801
902,0.05578694,1279120.921,1124927.836,5367,3661
903,0.05566908,1298728.36,1142481.681,5379,3563
904,0.05555596,1317955.701,1159697.863,5153,3508
905,0.05544958,1336622.656,1176411.433,5142,3251
906,0.05534874,1354695.654,1192595.039,5064,3234
907,0.05524661,1372416.923,1208479.965,5078,3246
908,0.05513619,1390058.9,1224325.824,5013,3108
909,0.05501457,1407750.878,1240255.718,5031,3120
910,0.05488867,1425236.379,1256024.852,5177,3150
911,0.05476657,1442194.595,1271327.079,5175,3064
912,0.05465354,1458406.883,1285953.195,5278,3160
913,0.05454591,1474042.997,1300062.517,5466,3203
914,0.05443819,1489364.969,1313901.92,5504,3323
915,0.05432615,1504584.713,1327671.079,5818,3335
916,0.05421082,1519652.74,1341323.498,6196,3293
917,0.05409478,1534434.614,1354732.686,6305,3468
918,0.05398045,1548832.01,1367803.986,6737,3747
919,0.0538703,1562998.612,1380664.922,6996,3873
920,0.0537668,1577195.354,1393537.578,7531,4101
921,0.05367256,1591593.943,1406564.728,7849,4344
922,0.05359131,1605549.121,1419163.02,8493,4407
923,0.05352721,1617978.802,1430360.846,8970,4944
924,0.05348324,1627959.638,1439330.063,9484,5106
925,0.05345135,1636470.597,1446961.09,10352,5488
926,0.05341685,1645722.291,1455257.022,11066,5977
927,0.05336657,1657783.111,1466091.732,11805,6403
928,0.05330448,1672337.026,1479174.205,12765,6742
929,0.05324676,1687259.558,1492571.48,13757,7320
930,0.05320848,1700463.581,1504384.501,14903,7956
931,0.05319442,1711330.808,1514047.666,16065,8530
932,0.053201,1720508.57,1522144.339,17415,9275
933,0.05322454,1728696.342,1529305.213,18974,10139
934,0.05326003,1736819.424,1536365.826,20704,11049
935,0.05330112,1746017.806,1544356.452,22614,12030
936,0.05334175,1757381.246,1554262.028,24912,13298
937,0.05338327,1770600.718,1565803.894,27452,14633
938,0.05343451,1783941.263,1577415.285,30700,16251
939,0.05350432,1795654.453,1587517.238,34202,18150
940,0.05359491,1805296.186,1595708.495,38456,20529
941,0.05370143,1813808.6,1602839.459,43392,23144
942,0.05381875,1822180.466,1609802.627,49208,26309
943,0.05394453,1830860.161,1617002.315,55606,29835
944,0.05407952,1839713.741,1624316.777,63028,33828
945,0.05422455,1848561.896,1631584.041,71124,38459
946,0.05437771,1856800.527,1638277.771,80517,43639
947,0.05453446,1863374.061,1643484.383,91109,49577
948,0.05469084,1867280.954,1646337.348,102914,56324
949,0.05485,1869328.508,1647538.715,115755,63743
950,0.05502158,1872168.996,1649390.433,130170,71849
951,0.05521384,1878406.025,1654152.848,145161,80275
952,0.05542098,1887861.604,1661686.821,161067,89233
953,0.05562541,1897707.78,1669567.283,177810,98790
954,0.0558116,1905119.166,1675369.288,195025,108259
955,0.05598322,1909213.101,1678306.153,212486,118154
956,0.05615954,1910789.616,1679010.177,228899,127183
957,0.0563587,1910740.726,1678197.449,246710,137142
958,0.05657946,1910498.74,1677132.18,263581,146420
959,0.05680527,1911910.049,1677498.657,278284,154445
960,0.05701951,1916624.459,1680805.707,294467,163232
961,0.05721919,1923810.464,1686332.041,309213,171328
962,0.05741131,1931000.137,1691885.611,323309,178879
963,0.05760289,1935938.601,1695464.468,337121,186212
964,0.05779143,1938660.894,1697111.671,349174,192465
965,0.05796861,1940463.892,1697997.164,363301,199930
966,0.05812752,1942520.297,1699174.759,377021,207020
967,0.05827552,1944993.683,1700758.61,388861,213028
968,0.05842644,1947597.661,1702443.882,404167,220740
969,0.05859081,1950092.039,1703979.236,417183,227255
970,0.05876026,1952507.224,1705424.055,430523,233977
971,0.05891986,1954967.854,1706945.925,443932,240517
972,0.05905796,1957573.391,1708677.457,457844,247245
973,0.05917685,1960317.388,1710604.24,471562,253991
974,0.05928241,1963165.635,1712673.339,486584,261104
975,0.05937831,1966033.337,1714796.402,500605,267806
976,0.05946153,1968681.073,1716776.801,514935,274472
977,0.0595278,1970841.178,1718398.269,529530,281179
978,0.05957621,1972482.157,1719637.349,544178,287981
979,0.05961308,1974091.13,1720893.98,559172,294794
980,0.05964552,1976217.547,1722618.977,570939,300133
981,0.05967519,1979008.302,1724933.789,588887,308139
982,0.05969527,1981981.553,1727445.453,605538,315541
983,0.05969851,1984614.483,1729727.334,617721,320742
984,0.05968366,1986757.709,1731654.523,636547,329240
985,0.05965597,1988671.396,1733433.001,652423,336229
986,0.05962075,1990622.488,1735274.4,668363,343062
987,0.0595794,1992673.095,1737227.342,684433,349966
988,0.05953041,1994730.951,1739217.593,697263,355067
989,0.05947259,1996723.584,1741186.753,715850,362989
990,0.05940838,1998776.63,1743234.766,733670,370643
991,0.05934201,2001114.793,1745540.756,747608,376234
992,0.05927612,2003735.282,1748091.761,768468,385277
993,0.05920525,2005481.746,1749900.947,784886,392021
994,0.0591212,2004834.836,1749675.042,801379,398885
995,0.05901813,2001294.41,1746999.8,818253,406021
996,0.05889814,1997452.625,1744127.958,835696,413260
997,0.05876556,1996464.719,1743797.608,852349,420379
998,0.05862676,1999421.556,1746938.495,870602,428101
999,0.05849028,2003643.648,1751177.626,887353,435262
1000,0.05836377,2006116.037,1753849.309,904022,442409
1001,0.05824536,2005665.819,1753933.852,921652,449911
1002,0.05812344,2003160.414,1752234.739,938872,457538
1003,0.05798708,1999602.042,1749671.392,956466,465137
1004,0.0578374,1996339.593,1747418.857,968246,470075
1005,0.05768381,1994950.905,1746821.002,990833,480399
1006,0.05753455,1996590.795,1748857.864,1010565,489294
1007,0.05738711,1999830.955,1752290.792,1022539,494404
1008,0.05723433,2002277.159,1755051.501,1045700,504728
1009,0.05707065,2002311.328,1755743.02,1063616,512912
1010,0.05689746,2000781.716,1755101.555,1080874,520633
1011,0.05671788,1999017.774,1754279.452,1098837,528645
1012,0.05653496,1997848.735,1753992.14,1110692,533597
1013,0.05635104,1997257.358,1754215.684,1132494,543425
1014,0.05616818,1997110.805,1754825.676,1152882,552305
1015,0.05598504,1996603.904,1755120.228,1166510,558063
1016,0.05579685,1994312.571,1753865.862,1191651,569145
1017,0.05559912,1989163.118,1750133.887,1210031,577036
1018,0.05539521,1983113.026,1745630.242,1227917,584686
1019,0.05519348,1979592.169,1743340.628,1246970,592650
1020,0.05500044,1980796.424,1745176.683,1266743,601046
1021,0.05481049,1984218.299,1748956.301,1285309,608752
1022,0.05461397,1986254.656,1751543.605,1306041,617219
1023,0.05440757,1984835.229,1751123.951,1325037,625049
1024,0.05420138,1980674.332,1748282.819,1343774,632461
1025,0.05400659,1974810.474,1743888.962,1363597,640255
1026,0.05381948,1968854.501,1739378.665,1383285,647797
1027,0.05362297,1964935.275,1736701.884,1403018,655527
1028,0.05340364,1964752.658,1737417.703,1413569,658542
1029,0.05317278,1966801.231,1740154.014,1440669,669117
1030,0.05295124,1968178.967,1742261.532,1463359,677601
1031,0.05275224,1966919.245,1741944.395,1473796,680464
1032,0.05256936,1963939.488,1740038.046,1500748,690613
1033,0.05239303,1960691.435,1737865.73,1520286,697217
1034,0.05221545,1957900.939,1736102.116,1538181,703151
1035,0.05203063,1955291.616,1734526.382,1556807,709143
1036,0.05183345,1952543.255,1732874.912,1566142,710885
1037,0.05162856,1949671.718,1731142.955,1589386,719032
1038,0.05142697,1946906.639,1729490.417,1610660,726178
1039,0.05123809,1944424.01,1728036.377,1621470,728612
1040,0.05106357,1942153.484,1726712.287,1648564,738276
1041,0.0509028,1939957.496,1725398.501,1665654,743473
1042,0.05075072,1937630.386,1723932.352,1681804,748475
1043,0.05059435,1934846.268,1722075.213,1698676,753715
1044,0.05042105,1931308.053,1719612.149,1716410,759226
1045,0.0502372,1927326.842,1716793.916,1731221,763769
1046,0.05006413,1923678.705,1714227.291,1748576,769485
1047,0.0499179,1920948.999,1712371.272,1763156,773972
1048,0.04978481,1918716.315,1710905.261,1776542,778072
1049,0.04964173,1916250.304,1709269.338,1790809,782587
1050,0.0494789,1913187.887,1707177.686,1804463,787125
1051,0.04931219,1909859.963,1704862.425,1817620,791583
1052,0.0491595,1906656.162,1702601.009,1818391,790920
1053,0.0490229,1903691.389,1700488.308,1839908,799819
1054,0.0488921,1900868.922,1698478.546,1855486,806023
1055,0.04875738,1898131.179,1696558.499,1855283,806029
1056,0.04861338,1895630.056,1694884.885,1875660,815010
1057,0.04845616,1893570.607,1693656.544,1886259,820268
1058,0.04828806,1891518.194,1692475.778,1894597,824974
1059,0.04812169,1887954.873,1689934.681,1903586,830098
1060,0.04796894,1881500.965,1684750.153,1900806,830677
1061,0.04782666,1873659.291,1678278.229,1914629,838983
1062,0.0476826,1867819.691,1673602.641,1925748,846705
1063,0.04752771,1866178.853,1672728.879,1924178,849138
1064,0.04736229,1866437.482,1673598.037,1941898,860879
1065,0.04718787,1865314.01,1673262.513,1947278,867818
1066,0.04700867,1861362.216,1670406.697,1951757,875269
1067,0.04683362,1855497.999,1665815.378,1956940,883840
1068,0.04667109,1848832.946,1660452.986,1963048,894207
1069,0.04651923,1842789.214,1655603.859,1965546,903770
1070,0.04637166,1838930.781,1652698.853,1970980,916294
1071,0.04622276,1837780.616,1652231.533,1973701,928667
1072,0.04606783,1837352.834,1652436.313,1975138,941760
1073,0.04590216,1835402.438,1651312.034,1977642,956733
1074,0.04573007,1831577.081,1648523.439,1979604,973150
1075,0.04556424,1827110.766,1645131.566,1980809,990337
1076,0.04541395,1823081.124,1642071.446,1969216,1002733
1077,0.04527039,1819663.43,1639534.957,1979870,1027481
1078,0.0451199,1816773.035,1637498.006,1984406,1050550
1079,0.04496007,1813777.037,1635399.379,1972440,1066065
1080,0.04480394,1809284.697,1631935.419,1983238,1094279
1081,0.04466339,1802248.479,1626115.075,1984503,1118217
1082,0.04453563,1794659.225,1619743.947,1984721,1142263
1083,0.04441184,1789895.411,1615904.945,1987600,1168010
1084,0.04428963,1789329.311,1615848.522,1980914,1188073
1085,0.04417878,1789975.061,1616844.314,1993806,1219359
1086,0.04408859,1788473.937,1615823.908,2006736,1250427
1087,0.04401223,1784011.699,1612075.824,2008377,1274024
1088,0.04393203,1777548.285,1606531.976,2032553,1310544
1089,0.04383854,1770308.931,1600333.573,2045511,1339448
1090,0.04375012,1764262.024,1595191.997,2059512,1367989
1091,0.04369012,1761417.676,1592840.29,2076712,1397442
1092,0.04365478,1761391.737,1592946.426,2097406,1428342
1093,0.0436134,1761462.542,1593162.252,2115109,1455770
1094,0.04354294,1759422,1591574.875,2137386,1485550
1095,0.04346191,1755866.441,1588654.894,2156647,1512247
1096,0.04340056,1752177.349,1585541.073,2174861,1537121
1097,0.04336969,1749014.238,1582791.298,2193402,1561951
1098,0.04335465,1746111.008,1580218.719,2210816,1585263
1099,0.04334077,1743192.128,1577627.583,2227246,1607363
1100,0.0433241,1740293.493,1575064.701,2228617,1618650
1101,0.04330479,1737566.89,1572666.87,2253155,1646590
1102,0.04328527,1735087.746,1570493.611,2271169,1669717
1103,0.04327152,1732809.938,1568481.516,2269856,1679117
1104,0.04326914,1730642.921,1566528.609,2293686,1707204
1105,0.04327786,1728241.814,1564323.77,2305697,1726836
1106,0.04329477,1725150.04,1561464.445,2316637,1745806
1107,0.04331611,1721385.016,1557980.107,2327527,1765447
1108,0.04333654,1717844.193,1554702.249,2325896,1775695
1109,0.04335179,1715382.874,1552420.187,2343568,1800630
1110,0.04336897,1713644.409,1550785.54,2358203,1823424
1111,0.04340117,1711645.69,1548861.902,2356914,1834177
1112,0.04345522,1708897.383,1546182.522,2378741,1862713
1113,0.04352477,1705929.328,1543249.919,2384327,1878528
1114,0.04360235,1703341.317,1540633.496,2388812,1893271
1115,0.04368618,1701213.738,1538412.134,2393855,1908031
1116,0.04377779,1699339.597,1536393.232,2400756,1923915
1117,0.04388094,1697653.776,1534504.544,2400986,1933921
1118,0.04400408,1696398.074,1532934.825,2406374,1947611
1119,0.044155,1695734.788,1531803.065,2406624,1956330
1120,0.04433027,1694684.85,1530236.926,2405944,1963573
1121,0.04452077,1691641.353,1526818.89,2406456,1970964
1122,0.04472669,1686463.361,1521423.85,2406266,1977081
1123,0.04496598,1682057.406,1516613.19,2405204,1982109
1124,0.0452546,1681279.598,1514904.8,2389887,1974700
1125,0.0455829,1683121.13,1515418.106,2399231,1986590
1126,0.04592978,1684533.974,1515479.265,2400963,1991632
1127,0.04628857,1683718.246,1513494.494,2383382,1980096
1128,0.0466769,1681292.552,1509963.302,2391257,1988989
1129,0.04711182,1678201.456,1505678.581,2386234,1986837
1130,0.04758777,1675816.306,1501891.773,2379165,1982151
1131,0.04808723,1675692.832,1500055.013,2372320,1977485
1132,0.04860704,1678010.051,1500332.5,2352688,1961514
1133,0.04917205,1680648.359,1500737.75,2352428,1961411
1134,0.04980701,1681630.211,1499420.652,2348842,1958157
1135,0.05050238,1681335.444,1496759.393,2331447,1942937
1136,0.05123289,1681079.226,1494016.141,2336464,1946480
1137,0.05198256,1681593.8,1491895.965,2326748,1937342
1138,0.0527505,1682800.001,1490328.505,2316064,1927258
1139,0.05353828,1684379.79,1489024.151,2306942,1918831
1140,0.05435422,1685096.245,1486861.421,2300629,1912194
1141,0.05521094,1683504.067,1482529.102,2287337,1900010
1142,0.05611503,1680491.589,1476798.74,2279129,1892148
1143,0.0570597,1679507.901,1472727.362,2266869,1880783
1144,0.05803232,1682874.209,1472378.035,2254000,1869102
1145,0.059028,1688113.147,1473579.435,2242074,1857899
1146,0.06005079,1691740.613,1473272.165,2229420,1846238
1147,0.06110257,1692557.988,1470418.61,2215802,1833759
1148,0.06217833,1691259.426,1465655.507,2190394,1811222
1149,0.06327398,1689028.359,1460033.989,2185589,1805663
1150,0.0643894,1688214.561,1455587.232,2173646,1793987
1151,0.06551925,1691040.183,1454235.291,2145020,1768446
1152,0.06665389,1696383.42,1455023.896,2138754,1761053
1153,0.06778914,1701157.389,1455309.48,2121301,1744328
1154,0.06893225,1703767.191,1453710.739,2103614,1727054
1155,0.0700988,1705419.797,1451217.487,2088502,1711443
1156,0.07129667,1707434.214,1448929.7,2066010,1689812
1157,0.07250039,1709901.245,1447007.011,2063028,1683359
1158,0.07367361,1712433.513,1445240.466,2058866,1675906
1159,0.07481378,1714962.39,1443579.895,2045316,1660115
1160,0.07595881,1717811.888,1442171.133,2050850,1659779
1161,0.07713495,1721227.873,1441130.875,2042969,1648147
1162,0.0783153,1725053.227,1440413.567,2032761,1633971
1163,0.07946261,1729020.443,1439917.208,2022456,1619732
1164,0.08057415,1732691.029,1439285.595,2014414,1606683
1165,0.08167496,1735494.269,1437964.712,1999088,1588738
1166,0.08277738,1737425.343,1435915.135,1988563,1574465
1167,0.08385811,1739809.846,1434312.133,1974906,1558210
1168,0.0848908,1743892.404,1434263.292,1960315,1541530
1169,0.08589121,1748779.591,1434973.446,1947551,1527172
1170,0.08689851,1752594.437,1434772.084,1935070,1513681
1171,0.08792617,1754843.939,1433218.264,1922018,1500895
1172,0.08894627,1756942.734,1431565.876,1900460,1482186
1173,0.08993018,1760089.914,1430884.82,1896860,1478394
1174,0.09087191,1763995.472,1430953.614,1887310,1471094
1175,0.09177405,1768018.335,1431240.826,1866278,1455537
1176,0.09265508,1772147.586,1431676.206,1863491,1455294
1177,0.09354461,1776865.35,1432550.383,1852087,1449157
1178,0.09445204,1781891.234,1433603.841,1840193,1443257
1179,0.09534501,1785226.589,1433337.071,1829564,1439033
1180,0.0961956,1785242.239,1430545.091,1811993,1430134
1181,0.09701876,1784490.189,1427234.714,1807372,1431810
1182,0.09784035,1787185.325,1426688.749,1800495,1432137
1183,0.09865972,1793888.373,1429340.469,1785354,1426411
1184,0.09945503,1800855.208,1432266.287,1785477,1433017
1185,0.10021407,1805110.434,1433143.591,1775840,1432325
1186,0.10094113,1807060.539,1432292.008,1765654,1431068
1187,0.10164202,1807877.446,1430628.821,1756986,1431545
1188,0.10232359,1809401.392,1429589.437,1751380,1435050
1189,0.10299151,1813849.701,1430901.658,1740548,1434153
1190,0.10363976,1821456.099,1434758.96,1735069,1438283
1191,0.10424962,1829250.205,1438876.403,1726672,1440194
1192,0.10480878,1834699.258,1441305.695,1717797,1442177
1193,0.1053217,1838619.635,1442680.594,1711379,1445978
1194,0.10579525,1842725.036,1444326.177,1705691,1450826
1195,0.10623304,1847716.386,1446779.254,1700099,1455426
1196,0.10663709,1853492.674,1449952.518,1688630,1454808
1197,0.10700716,1859324.282,1453275.6,1691527,1466375
1198,0.10733884,1863245.402,1455228.594,1690031,1473781
1199,0.10762757,1863925.2,1454792.007,1679489,1472763
1200,0.10786357,1864580.162,1454512.594,1684593,1484868
1201,0.10803398,1869823.052,1458030.245,1682926,1490220
1202,0.10814319,1879442.295,1465162.539,1681093,1494981
1203,0.10821349,1888723.839,1472159.847,1680947,1500667
