Batch Number,B2600056,,,,
Category,Aquaculture,,,,
Specie,Cold Fresh Water Fish,,,,
Family,Salmonoid,,,,
Brand,A'FLAKES,,,,
Product Code,FTT207002,,,,
Product name,A\'FLAKES Gold- Salmonoid Finisher 7002,,,,
NIR-Code,Y20260214-00111,,,,
Serial Number:,5B25203,,,,
Scan Config Name:,IAS5100,,,,
Scan Config Type:,2,,,,
Start wavelength in nm:,900,,,,
End wavelength in nm:,1700,,,,
Pattern Pixel Width:,11,,,,
Exposure Time:,0,,,,
Measurement points:,420,,,,
Number of Measurement points:,801,,,,
Num Repeats:,90,90,,,
PGA Gain:,64,64,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original
900,0.68951204,1238304.972,253113.6581,5462,826
901,0.68939085,1258195.676,257251.1569,5468,1033
902,0.68930294,1277969.063,261346.929,5362,954
903,0.68923961,1297542.258,265388.3796,5154,903
904,0.68916588,1316736.143,269359.8611,5076,944
905,0.68904717,1335366.583,273245.697,4953,787
906,0.68886857,1353396.433,277048.9205,5004,809
907,0.68864893,1371064.861,280807.7347,4983,833
908,0.68840985,1388641.316,284564.1784,4939,817
909,0.68817329,1406260.811,288331.8261,5095,916
910,0.68796373,1423696.051,292047.5416,5048,831
911,0.68780486,1440659.324,295635.3967,5173,859
912,0.68770415,1456946.858,299047.0772,5309,869
913,0.68761209,1472673.977,302339.2456,5517,803
914,0.6874681,1488031.816,305593.5056,5679,986
915,0.68723093,1503181.361,308873.357,5897,916
916,0.68694753,1518126.321,312147.8758,6222,933
917,0.68669061,1532819.299,315355.4529,6349,1034
918,0.68651802,1547234.293,318447.6582,6665,1031
919,0.68640271,1561494.61,321468.0242,7147,1106
920,0.68628388,1575787.098,324499.2224,7461,1044
921,0.68611014,1590217.191,327601.8167,8056,1095
922,0.685897,1604146.017,330633.5306,8599,1236
923,0.68569342,1616536.733,333343.6301,8989,1383
924,0.68554183,1626507.933,335516.8621,9661,1391
925,0.68542856,1635037.747,337364.378,10393,1546
926,0.68530544,1644308.25,339373.4011,11123,1610
927,0.68512912,1656361.082,341999.8328,12067,1716
928,0.68490979,1670886.4,345173.2533,12972,1868
929,0.68469557,1685790.897,348424.0579,13932,2010
930,0.6845306,1699016.966,351291.0751,15077,2095
931,0.6844174,1709935.264,353640.7188,16290,2334
932,0.68432483,1719147.108,355621.6649,17662,2430
933,0.68422266,1727307.537,357393.7914,19254,2756
934,0.68410226,1735354.649,359158.3592,21144,2792
935,0.68397509,1744495.645,361155.9705,23024,3166
936,0.68385322,1755886.742,363616.2479,25533,3458
937,0.68374221,1769216.099,366470.2077,28357,3806
938,0.68364066,1782675.329,369344.4659,31388,4344
939,0.68354671,1794441.676,371862.717,35243,4859
940,0.6834643,1804055.423,373925.9273,39732,5522
941,0.68340375,1812505.486,375729.7478,44837,6401
942,0.6833749,1820829.329,377480.3441,50598,7163
943,0.68336562,1829494.768,379284.9014,57281,8122
944,0.68334054,1838355.78,381143.9447,64892,9384
945,0.68326534,1847219.521,383047.9769,73529,10509
946,0.68314508,1855471.127,384865.6266,83175,12138
947,0.68302552,1862047.211,386335.9915,93973,13745
948,0.68295172,1865938.895,387209.2263,106296,15710
949,0.68292812,1867954.345,387648.5251,119433,17833
950,0.68291847,1870755.053,388238.3684,134022,20148
951,0.68288649,1876954.418,389553.6112,149074,22536
952,0.68282688,1886388.356,391565.3247,165053,25318
953,0.68276322,1896246.747,393669.3712,181792,28098
954,0.68271831,1903719.676,395261.6548,198779,30830
955,0.68269417,1907894.641,396150.5097,216052,33703
956,0.68267542,1909502.582,396501.4964,232137,36505
957,0.68264731,1909371.879,396500.0205,249789,39339
958,0.68261004,1908971.507,396450.9024,266268,42101
959,0.68257534,1910261.397,396750.4822,280321,44624
960,0.68255412,1914995.035,397753.0613,296546,47239
961,0.68254275,1922303.01,399281.4181,310842,49644
962,0.68252801,1929586.116,400807.7922,324757,52006
963,0.68249795,1934473.749,401850.8466,338404,54209
964,0.68245306,1937048.04,402427.2053,350288,56293
965,0.68240064,1938742.677,402827.8905,364368,58582
966,0.68234793,1940845.23,403313.7015,377839,60814
967,0.68230058,1943466.033,403902.3443,389708,62722
968,0.68226346,1946190.494,404503.1296,404732,65082
969,0.68223905,1948673.809,405042.0366,417723,67081
970,0.68221684,1950975.941,405541.2817,431100,69048
971,0.68218189,1953297.804,406056.5938,444641,71225
972,0.68212465,1955802.018,406630.7683,458403,73190
973,0.68205789,1958490.149,407252.2602,472058,75428
974,0.68200011,1961321.547,407895.2918,487098,77511
975,0.68196148,1964202.872,408530.8547,501087,79686
976,0.68192702,1966879.705,409120.0667,515350,81794
977,0.6818771,1969068.183,409622.3569,529871,83697
978,0.68180538,1970726.377,410035.0197,544512,85894
979,0.68173449,1972343.633,410438.4978,559374,88016
980,0.68169056,1974473.281,410923.2352,571375,89730
981,0.68167839,1977264.404,411515.6488,589235,92238
982,0.68166963,1980234.718,412142.1546,605823,94657
983,0.6816341,1982860.704,412722.4618,618090,96156
984,0.68156627,1984991.505,413230.516,636893,98827
985,0.68148747,1986884.966,413699.7433,652949,100953
986,0.68141918,1988806.97,414165.0541,668624,103206
987,0.68136581,1990837.463,414638.8573,684855,105242
988,0.68131895,1992916.258,415116.6025,697691,106944
989,0.68127069,1994995.539,415595.884,716205,109318
990,0.68121959,1997160.313,416095.8074,733915,111712
991,0.68116741,1999562.006,416646.2357,747891,113526
992,0.68111457,2002144.876,417235.1907,768617,116261
993,0.6810543,2003803.559,417638.8062,785209,118462
994,0.68097746,2003102.44,417566.5471,801673,120590
995,0.68088369,1999592.992,416924.9815,818598,122752
996,0.68080012,1995821.502,416218.6898,836057,124990
997,0.68075945,1994879.288,416061.157,852705,127210
998,0.68076841,1997828.638,416667.692,870846,129487
999,0.6807858,2002026.044,417526.3806,887729,131731
1000,0.68076676,2004498.252,418060.2928,904489,133900
1001,0.68069855,2004082.027,418039.1399,921812,136155
1002,0.68060367,2001618.968,417616.5848,939165,138496
1003,0.68050575,1998085.443,416973.3555,956641,140874
1004,0.68041959,1994826.213,416375.7976,968354,142488
1005,0.68035428,1993429.329,416146.7996,991171,145671
1006,0.68031512,1995059.38,416524.6529,1010976,148332
1007,0.68028386,1998293.589,417229.9089,1022694,149887
1008,0.68023348,2000741.678,417789.5169,1045839,153085
1009,0.68014922,2000789.713,417880.6111,1063867,155477
1010,0.68005556,1999290.722,417657.5999,1081063,157829
1011,0.6799846,1997578.879,417368.1779,1098932,160114
1012,0.67994432,1996474.318,417176.0929,1110927,161615
1013,0.67990137,1995927.315,417103.0379,1132591,164485
1014,0.6798206,1995772.433,417148.2465,1153072,166934
1015,0.67971066,1995214.484,417137.2052,1166782,168507
1016,0.67962038,1992878.573,416735.4605,1191754,171864
1017,0.67959157,1987734.763,415687.4018,1209980,174057
1018,0.67959741,1981728.319,414425.7289,1228178,176179
1019,0.67957723,1978249.707,413717.4882,1247003,178309
1020,0.6794885,1979467.392,414056.7325,1266735,180640
1021,0.6793591,1982892.52,414896.787,1285421,182862
1022,0.67923266,1984951.228,415448.4873,1305805,185422
1023,0.67913275,1983578.858,415256.7736,1324960,187546
1024,0.67904827,1979452.344,414473.5142,1343720,189656
1025,0.67896537,1973571.13,413320.9413,1363355,191873
1026,0.67888345,1967562.357,412140.2775,1383115,194197
1027,0.67881409,1963621.292,411380.443,1403040,196454
1028,0.6787659,1963503.025,411401.3127,1413562,197299
1029,0.67872031,1965664.403,411897.4131,1440373,200681
1030,0.67864672,1967125.165,412273.3622,1463166,203193
1031,0.67852852,1965872.092,412122.8891,1473714,204096
1032,0.67839279,1962873.453,411622.8842,1500637,207362
1033,0.6782749,1959649.38,411058.3502,1520167,209581
1034,0.67819102,1956946.58,410570.6997,1538019,211533
1035,0.67813017,1954443.891,410103.0901,1556594,213599
1036,0.67808066,1951775.242,409589.8115,1565836,214560
1037,0.67804687,1948953.04,409029.3762,1589144,217506
1038,0.67804351,1946230.442,408461.1489,1610305,220121
1039,0.67807219,1943797.569,407923.6133,1621238,221344
1040,0.67807703,1941555.813,407448.6225,1648308,225118
1041,0.67798704,1939328.393,407065.5185,1665292,227487
1042,0.67779296,1936912.933,406740.2342,1681502,229812
1043,0.67759496,1934061.86,406326.7407,1698456,232486
1044,0.6774978,1930557.619,405681.2769,1716005,234853
1045,0.6775051,1926695.51,404862.9039,1730884,237317
1046,0.67754255,1923162.915,404085.7425,1748153,240122
1047,0.67754537,1920474.228,403518.1827,1762766,242429
1048,0.67750857,1918234.387,403081.7194,1776365,244700
1049,0.67744579,1915769.338,402621.9331,1790512,247050
1050,0.67736874,1912746.299,402057.9237,1803978,249113
