Batch Number,B2600041,,,,
Category,Pet Food,,,,
Specie,Dog,,,,
Family,Healthcare,,,,
Brand,PETFLAKES,,,,
Product Code,DDF100001,,,,
Product name,PETFLAKES Maintenance - Adult Dog 10 Kg,,,,
NIR-Code,M20260202-00078,,,,
Serial Number:,5B25203,,,,
Scan Config Name:,IAS5100,,,,
Scan Config Type:,2,,,,
Start wavelength in nm:,900,,,,
End wavelength in nm:,1700,,,,
Pattern Pixel Width:,13,,,,
Exposure Time:,0,,,,
Measurement points:,105,,,,
Number of Measurement points:,801,,,,
Num Repeats:,90,90,,,
PGA Gain:,64,64,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original
900,0.38557719,1462611.393,601938.0074,6319,2165
901,0.38518775,1485524.414,611916.3284,6192,2007
902,0.38479389,1508237.925,621836.1522,5905,1678
903,0.38439527,1530730.005,631689.0157,6407,1771
904,0.38399156,1552978.736,641466.4556,7670,1994
905,0.38358241,1574962.198,651160.0087,9580,2305
906,0.38316749,1596658.469,660761.2116,12358,2728
907,0.38274643,1618045.631,670261.6012,16726,3669
908,0.38231886,1639101.764,679652.7143,23433,4869
909,0.38188442,1659804.947,688926.0875,34599,7233
910,0.38144273,1680133.26,698073.2577,55450,11643
911,0.38099338,1700064.784,707085.7615,92300,20279
912,0.38053626,1719583.494,715957.1198,148751,34430
913,0.38007229,1738695.783,724688.3956,220104,53100
914,0.37960264,1757413.365,733282.4437,293714,72879
915,0.37912838,1775747.957,741742.119,360413,90908
916,0.37865058,1793711.275,750070.2765,421466,106811
917,0.37817025,1811315.036,758269.7711,481877,121620
918,0.37768836,1828570.956,766343.4576,545166,136010
919,0.37720587,1845490.75,774294.1911,612455,150421
920,0.3767237,1862086.136,782124.8263,682639,164509
921,0.37624273,1878368.829,789838.2183,756471,178686
922,0.37576384,1894350.546,797437.2219,833260,192592
923,0.37528789,1910043.002,804924.6921,912381,206262
924,0.37481573,1925457.38,812303.2262,991873,219788
925,0.37434838,1940598.611,819572.4133,1073796,234797
926,0.37388698,1955467.581,826729.895,1156927,250502
927,0.37343261,1970065.109,833773.2799,1241262,267635
928,0.37298633,1984392.012,840700.1768,1326862,284700
929,0.37254919,1998449.109,847508.1944,1414443,301439
930,0.37212218,2012237.218,854194.9414,1503938,317839
931,0.3717063,2025757.156,860758.0264,1596370,334011
932,0.37130251,2039009.741,867195.0583,1690071,348684
933,0.37091174,2051995.793,873503.6457,1782494,361517
934,0.37053494,2064716.128,879681.3972,1871934,373547
935,0.37017301,2077171.565,885725.9217,1957504,386042
936,0.36982684,2089362.642,891634.755,2038587,399917
937,0.36949674,2101283.206,897403.6956,2111392,414248
938,0.36918249,2112920.29,903026.7715,2174283,427386
939,0.36888386,2124260.618,908497.9309,2227225,438751
940,0.36860061,2135290.913,913811.1222,2270621,450923
941,0.36833255,2145997.901,918960.2934,2303832,466527
942,0.36807946,2156368.305,923939.3929,2328662,491959
943,0.36784115,2166388.849,928742.3688,2344887,534928
944,0.36761746,2176046.259,933363.1695,2352207,597192
945,0.36740823,2185327.259,937795.7431,2353600,670870
946,0.36721329,2194218.572,942034.0379,2366669,743164
947,0.36703253,2202706.923,946072.002,2411152,809243
948,0.3668658,2210779.606,949903.8563,2487002,874928
949,0.3667127,2218437.517,953530.315,2580507,945000
950,0.36657253,2225695.417,956958.716,2659650,1010846
951,0.36644462,2232568.697,960196.6957,2720165,1072960
952,0.36632833,2239072.744,963251.8901,2774053,1136438
953,0.36622303,2245222.948,966131.9355,2817057,1192636
954,0.36612813,2251034.697,968844.4681,2842459,1232153
955,0.36604302,2256523.38,971397.1242,2851821,1253775
956,0.36596717,2261704.386,973797.5399,2848331,1260619
957,0.36590001,2266593.103,976053.3515,2831496,1254627
958,0.36584101,2271204.92,978172.1952,2802166,1238512
959,0.36578965,2275555.227,980161.7071,2764368,1215471
960,0.36574538,2279659.737,982029.7563,2720280,1189036
961,0.36570718,2283538.075,983786.9985,2668369,1160348
962,0.36567371,2287212.443,985445.9279,2605932,1126683
963,0.36564364,2290705.087,987019.071,2529616,1083632
964,0.36561566,2294038.257,988518.9543,2459203,1036469
965,0.36558846,2297234.198,989958.1043,2421928,994588
966,0.36556075,2300315.158,991349.0475,2376707,940794
967,0.36553124,2303303.385,992704.3105,2315906,885442
968,0.36549865,2306221.127,994036.4198,2254644,850039
969,0.36546171,2309090.629,995357.9018,2197644,835710
970,0.36541916,2311934.141,996681.2831,2146913,836316
971,0.36536973,2314773.908,998019.0903,2103059,844776
972,0.36531238,2317627.54,999381.4015,2061402,854906
973,0.36524687,2320493.202,1000768.036,2025282,868671
974,0.3651732,2323363.968,1002176.126,1998443,884730
975,0.36509133,2326232.912,1003602.804,1983584,900044
976,0.36500126,2329093.11,1005045.203,1981647,913399
977,0.36490296,2331937.636,1006500.454,1992792,925294
978,0.36479641,2334759.563,1007965.69,2016924,937449
979,0.36468161,2337551.967,1009438.044,2049657,950403
980,0.36455851,2340307.921,1010914.648,2087482,963969
981,0.36442711,2343020.5,1012392.634,2131560,978520
982,0.36428738,2345682.779,1013869.135,2179715,993610
983,0.36413929,2348287.732,1015341.217,2225227,1007108
984,0.3639831,2350825.637,1016804.158,2264479,1017717
985,0.36381935,2353283.808,1018251.272,2302040,1027379
986,0.36364855,2355649.411,1019675.773,2334069,1033877
987,0.36347126,2357909.609,1021070.876,2356349,1036147
988,0.363288,2360051.567,1022429.795,2370532,1035718
989,0.36309927,2362062.45,1023745.744,2369602,1029354
990,0.36290558,2363929.423,1025011.937,2347085,1014658
991,0.36270744,2365639.649,1026221.589,2314818,998040
992,0.36250534,2367180.294,1027367.913,2276984,980813
993,0.36229975,2368538.521,1028444.125,2206857,948043
994,0.36209115,2369701.499,1029443.439,2083390,888741
995,0.36187992,2370660.875,1030361.234,1915232,807406
996,0.36166615,2371421.89,1031199.443,1699730,706934
997,0.3614499,2371992.353,1031961.24,1426659,586335
998,0.3612312,2372380.072,1032649.801,1110687,451783
999,0.36101011,2372592.858,1033268.297,726235,293047
1000,0.36078669,2372638.518,1033819.904,320009,128685
1001,0.36056097,2372524.862,1034307.794,82119,33086
1002,0.36033303,2372259.698,1034735.143,25100,10267
1003,0.36010292,2371850.835,1035105.122,17907,7369
1004,0.35987068,2371306.082,1035420.908,15789,6503
1005,0.3596364,2370633.248,1035685.672,,
1006,0.3594001,2369840,1035902.604,,
1007,0.35916162,2368933.152,1036074.978,,
1008,0.35892073,2367919.196,1036206.102,,
1009,0.35867721,2366804.625,1036299.284,,
1010,0.35843083,2365595.931,1036357.831,,
1011,0.35818137,2364299.607,1036385.05,,
1012,0.35792861,2362922.144,1036384.249,,
1013,0.35767233,2361470.037,1036358.736,,
1014,0.35741231,2359949.777,1036311.819,,
1015,0.35714834,2358367.856,1036246.804,,
1016,0.35688022,2356730.768,1036166.999,,
1017,0.35660776,2355044.124,1036075.232,,
1018,0.35633112,2353306.397,1035970.43,,
1019,0.3560506,2351512.59,1035849.624,,
1020,0.3557665,2349657.684,1035709.835,,
1021,0.35547911,2347736.658,1035548.082,,
1022,0.35518874,2345744.492,1035361.385,,
1023,0.35489567,2343676.168,1035146.765,,
1024,0.3546002,2341526.666,1034901.241,,
1025,0.3543026,2339290.965,1034621.832,,
1026,0.35400317,2336964.046,1034305.56,,
1027,0.35370218,2334540.889,1033949.443,,
1028,0.35339992,2332017.327,1033550.858,,
1029,0.35309674,2329395.291,1033109.74,,
1030,0.35279301,2326679.371,1032627.135,,
1031,0.35248911,2323874.169,1032104.097,,
1032,0.35218542,2320984.286,1031541.678,,
1033,0.35188233,2318014.323,1030940.93,,
1034,0.35158023,2314968.881,1030302.906,,
1035,0.35127951,2311852.562,1029628.658,,
1036,0.35098057,2308669.968,1028919.24,,
1037,0.35068379,2305425.699,1028175.703,,
1038,0.3503896,2302124.356,1027399.099,,
1039,0.35009827,2298770.675,1026590.83,,
1040,0.34980956,2295369.963,1025753.792,,
1041,0.34952311,2291927.686,1024891.289,,
1042,0.34923853,2288449.307,1024006.625,,
1043,0.34895546,2284940.291,1023103.1,,
1044,0.34867351,2281406.101,1022184.019,,
1045,0.34839233,2277852.202,1021252.685,,
1046,0.34811154,2274284.058,1020312.399,,
1047,0.34783078,2270707.132,1019366.465,,
1048,0.34754968,2267126.889,1018418.185,,
1049,0.34726788,2263548.753,1017470.842,,
1050,0.34698514,2259973.651,1016525.413,,
1051,0.34670143,2256394.024,1015578.524,,
1052,0.34641678,2252801.37,1014626.315,,
1053,0.34613118,2249187.183,1013664.93,,
1054,0.34584463,2245542.963,1012690.509,,
1055,0.34555712,2241860.205,1011699.195,,
1056,0.34526865,2238130.407,1010687.13,,
1057,0.3449792,2234345.065,1009650.455,,
1058,0.34468875,2230495.677,1008585.312,,
1059,0.34439727,2226573.739,1007487.844,,
1060,0.34410474,2222571.394,1006354.475,,
1061,0.34381118,2218488.441,1005184.988,,
1062,0.34351663,2214329.694,1003981.367,,
1063,0.34322116,2210100.052,1002745.632,,
1064,0.34292481,2205804.415,1001479.803,,
1065,0.34262764,2201447.683,1000185.901,,
1066,0.34232972,2197034.754,998865.9466,,
1067,0.34203111,2192570.528,997521.9605,,
1068,0.34173187,2188059.906,996155.963,,
1069,0.34143208,2183507.787,994769.9748,,
1070,0.3411318,2178919.072,993366.0166,,
1071,0.34083122,2174299.292,991946.1739,,
1072,0.34053074,2169655.498,990512.6879,,
1073,0.34023082,2164994.961,989067.8225,,
1074,0.33993191,2160324.953,987613.8421,,
1075,0.3396345,2155652.747,986153.0106,,
1076,0.33933904,2150985.616,984687.5923,,
1077,0.33904603,2146330.832,983219.8513,,
1078,0.33875594,2141695.667,981752.0516,,
1079,0.33846928,2137087.393,980286.4574,,
1080,0.33818654,2132513.284,978825.3329,,
1081,0.33790823,2127980.189,977370.776,,
1082,0.33763475,2123491.739,975923.6185,,
1083,0.33736646,2119050.082,974484.1094,,
1084,0.33710374,2114657.36,973052.4947,,
1085,0.33684696,2110315.714,971629.0203,,
1086,0.33659649,2106027.284,970213.932,,
1087,0.33635271,2101794.212,968807.476,,
1088,0.33611601,2097618.638,967409.8979,,
1089,0.33588676,2093502.703,966021.4439,,
1090,0.33566535,2089448.549,964642.3597,,
1091,0.33545216,2085458.201,963272.8707,,
1092,0.33524723,2081531.136,961912.746,,
1093,0.3350503,2077664.344,960561.3098,,
1094,0.33486107,2073854.71,959217.8673,,
1095,0.33467925,2070099.121,957881.7242,,
1096,0.33450456,2066394.464,956552.1859,,
1097,0.33433669,2062737.623,955228.5579,,
1098,0.33417535,2059125.486,953910.1457,,
1099,0.33402022,2055554.938,952596.2547,,
1100,0.333871,2052022.866,951286.1905,,
1101,0.3337274,2048526.2,949979.2657,,
1102,0.33358949,2045064.713,948675.2492,,
1103,0.33345799,2041642.695,947374.6349,,
1104,0.33333368,2038264.834,946077.9806,,
1105,0.33321734,2034935.818,944785.8443,,
1106,0.33310976,2031660.337,943498.7841,,
1107,0.33301172,2028443.079,942217.3578,,
1108,0.33292404,2025288.733,940942.1236,,
1109,0.33284749,2022201.987,939673.6393,,
1110,0.33278289,2019187.531,938412.4629,,
1111,0.33273104,2016250.056,937159.1507,,
1112,0.33269297,2013394.669,935913.9936,,
1113,0.33267015,2010627.328,934676.7409,,
1114,0.33266408,2007954.091,933447.0762,,
1115,0.3326763,2005381.018,932224.6827,,
1116,0.33270835,2002914.17,931009.2439,,
1117,0.33276175,2000559.607,929800.4431,,
1118,0.33283804,1998323.388,928597.9637,,
1119,0.33293878,1996211.574,927401.489,,
1120,0.3330655,1994230.223,926210.7025,,
1121,0.33321974,1992385.384,925025.2834,,
