Batch Number,B2600074,,,,,,
Category,Poultry,,,,,,
Specie,Chicken,,,,,,
Family,Layer Baladi,,,,,,
Brand,FARMFLAKES,,,,,,
Product Code,PPEP250401,,,,,,
Product name,CHICKEN FEED BALADI PRODUCTION 1,,,,,,
NIR-Code,D20260211-00099,,,,,,
FileTitle:,IAS_Spectrum,,,,,,
Head:,Reference,Sample,,,,,
System Temp hundredths:,2267,2304,,,,,
Detector Temp hundredths:,0,0,,,,,
Humidity hundredths:,5181,5163,,,,,
Lamp PD:,92,93,,,,,
Tec Temp:,0,,,,,,
Product SN:,8B6YK9LO,,,,,,
Serial Number:,5B25203,,,,,,
Scan Config Name:,IAS5100,,,,,,
Scan Config Type:,2,,,,,,
Start wavelength in nm:,900,,,,,,
End wavelength in nm:,1700,,,,,,
Pattern Pixel Width:,11,,,,,,
Exposure Time:,0,,,,,,
Measurement points:,420,,,,,,
Number of Measurement points:,801,,,,,,
Num Repeats:,90,90,,,,,
PGA Gain:,64,64,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,
994,0.07042141,2007014.043,1706589.227,801505,392216,,
995,0.0703196,2003458.822,1703965.608,818354,399223,,
996,0.07021355,1999597.397,1701096.724,835800,406605,,
997,0.07009833,1998622.492,1700718.527,852501,413404,,
998,0.06997247,2001637.783,1703778.066,870661,421181,,
999,0.06983964,2005931.538,1707955.172,887438,428247,,
1000,0.0697033,2008452.571,1710638.632,904239,435315,,
1001,0.06956655,2008014.45,1710804.089,921787,442883,,
1002,0.06943281,2005496.212,1709184.844,939133,450600,,
1003,0.06930488,2001912.666,1706633.412,956646,458083,,
1004,0.06917478,1998621.326,1704338.044,968465,462923,,
1005,0.06902752,1997206.028,1703708.715,991231,473089,,
1006,0.06885269,1998828.367,1705779.185,1010957,482004,,
1007,0.06866543,2002071.779,1709283.929,1022973,487014,,
1008,0.06848958,2004555.638,1712097.649,1046031,497509,,
1009,0.06833845,2004665.99,1712787.853,1064069,505541,,
1010,0.06819467,2003225.167,1712123.551,1081239,513186,,
1011,0.06803537,2001530.887,1711303.052,1099244,521162,,
1012,0.06784949,2000390.997,1711060.635,1111089,526123,,
1013,0.06764551,1999784.375,1711345.345,1132772,535649,,
1014,0.06743373,1999577.366,1712002.848,1153190,544674,,
1015,0.06722296,1998991.188,1712331.779,1166927,550463,,
1016,0.06702034,1996653.193,1711127.205,1192018,561553,,
1017,0.06683087,1991533.109,1707484.077,1210323,569217,,
1018,0.06664686,1985559.171,1703083.614,1228451,576947,,
