Batch Number,B2600041,,,,
Category,Pet Food,,,,
Specie,Dog,,,,
Family,Healthcare,,,,
Brand,PETFLAKES,,,,
Product Code,DDF100001,,,,
Product name,PETFLAKES Maintenance - Adult Dog 10 Kg,,,,
NIR-Code,M20260202-00077,,,,
Serial Number:,5B25203,,,,
Scan Config Name:,IAS5100,,,,
Scan Config Type:,2,,,,
Start wavelength in nm:,900,,,,
End wavelength in nm:,1700,,,,
Pattern Pixel Width:,13,,,,
Exposure Time:,0,,,,
Measurement points:,105,,,,
Number of Measurement points:,801,,,,
Num Repeats:,90,90,,,
PGA Gain:,64,64,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original
900,0.38223517,1462509.775,606545.8061,6313,2114
901,0.38184033,1485420.175,616607.7665,6149,1973
902,0.38143911,1508134.629,626615.3171,6022,1877
903,0.38103165,1530630.588,636559.1146,6448,1808
904,0.38061806,1552885.507,646429.8154,7584,2014
905,0.38019841,1574876.838,656218.0761,9354,2247
906,0.37977273,1596582.034,665914.5533,12338,2799
907,0.37934104,1617978.548,675509.9035,16676,3711
908,0.3789033,1639043.833,684994.7833,23439,4913
909,0.37845947,1659755.342,694359.8492,34615,7191
910,0.37800947,1680090.528,703595.7577,55206,11697
911,0.37755319,1700026.844,712693.1654,91843,20621
912,0.37709071,1719547.822,721644.8968,148319,34789
913,0.37662299,1738660.099,730452.0179,219565,53698
914,0.37615113,1757375.803,739117.5527,293315,73690
915,0.37567616,1775707.064,747644.5253,360150,91987
916,0.37519913,1793666.01,756035.9597,421309,108202
917,0.37472099,1811264.768,764294.8801,481797,123177
918,0.3742427,1828515.466,772424.3103,545014,137683
919,0.37376519,1845430.234,780427.2746,612522,152123
920,0.37328935,1862021.2,788306.797,682743,166600
921,0.37281605,1878300.491,796065.9015,756619,181082
922,0.37234615,1894280.236,803707.6122,833273,194846
923,0.37188047,1909972.563,811234.9531,912178,208757
924,0.37141985,1925389.03,818650.7123,991755,222501
925,0.37096503,1940534.527,825954.9205,1073694,237512
926,0.37051673,1955409.63,833145.8231,1156642,253702
927,0.37007564,1970014.84,840221.6356,1241345,270859
928,0.36964243,1984350.659,847180.5735,1326661,288311
929,0.36921777,1998417.59,854020.8522,1414337,305042
930,0.36880229,2012216.134,860740.6873,1503909,321675
931,0.36839664,2025746.793,867338.2941,1596379,337884
932,0.36800142,2039010.07,873811.8881,1689850,352716
933,0.36761725,2052006.466,880159.6849,1782372,365739
934,0.36724473,2064736.484,886379.8998,1871717,377843
935,0.36688445,2077200.625,892470.7483,1957490,390249
936,0.366537,2089399.118,898430.3372,2038423,404563
937,0.36620284,2101325.685,904254.1839,2111057,419172
938,0.36588235,2112967.414,909935.1664,2174260,432104
939,0.36557588,2124311.094,915466.044,2227183,443654
940,0.36528377,2135343.516,920839.5758,2270554,455961
941,0.36500639,2146051.468,926048.5209,2303836,471862
942,0.36474407,2156421.741,931085.6387,2328599,497826
943,0.36449717,2166441.124,935943.6882,2344779,541287
944,0.36426603,2176096.406,940615.4288,2351960,604309
945,0.36405102,2185374.378,945093.6195,2353692,678855
946,0.36385248,2194261.828,949371.0197,2366548,751955
947,0.36367079,2202745.547,953440.3884,2411100,818908
948,0.36350628,2210812.899,957294.8118,2487016,885057
949,0.36335848,2218464.94,960935.1662,2580209,955542
950,0.36322607,2225716.697,964370.2745,2659457,1021422
951,0.36310773,2232583.822,967609.3171,2720082,1083824
952,0.3630022,2239081.971,970661.4747,2773857,1147373
953,0.36290823,2245226.795,973535.9277,2816690,1203822
954,0.36282462,2251033.95,976241.8569,2842131,1243457
955,0.36275018,2256519.089,978788.4426,2851388,1265111
956,0.36268375,2261697.867,981184.8656,2848047,1271999
957,0.36262419,2266585.936,983440.3063,2831270,1266032
958,0.36257037,2271198.951,985563.9453,2801973,1249681
959,0.3625212,2275552.566,987564.9633,2764191,1226488
960,0.36247559,2279662.723,989452.6409,2720122,1199786
961,0.3624326,2283548.833,991237.4588,2668019,1170805
962,0.3623914,2287232.59,992930.6892,2605703,1136821
963,0.36235115,2290735.73,994543.6181,2529489,1093476
964,0.36231105,2294079.989,996087.5316,2458931,1046170
965,0.36227028,2297287.102,997573.7159,2421743,1004383
966,0.36222802,2300378.806,999013.4569,2376438,950904
967,0.36218348,2303376.835,1000418.041,2315731,895796
968,0.36213586,2306302.925,1001798.754,2254513,860031
969,0.36208438,2309178.812,1003166.882,2197522,845189
970,0.36202824,2312026.232,1004533.711,2146893,845315
971,0.36196668,2314866.92,1005910.527,2102774,853531
972,0.361899,2317718.116,1007306.45,2061283,863445
973,0.36182493,2320578.216,1008721.515,2025251,876957
974,0.36174427,2323440.684,1010153.382,1998192,892680
975,0.36165683,2326298.981,1011599.709,1983442,907566
976,0.36156244,2329146.572,1013058.155,1981471,920799
977,0.3614609,2331976.918,1014526.378,1992746,932634
978,0.36135203,2334783.482,1016002.036,2016996,944664
979,0.36123564,2337559.727,1017482.789,2049608,957725
980,0.36111155,2340299.115,1018966.294,2087376,971321
981,0.36097956,2342995.11,1020450.211,2131670,985976
982,0.36083949,2345641.173,1021932.198,2179548,1001032
983,0.36069117,2348230.664,1023409.837,2225117,1014975
984,0.36053475,2350754.075,1024878.647,2264399,1025662
985,0.36037079,2353198.761,1026331.882,2301882,1035460
986,0.36019984,2355551.917,1027762.68,2333720,1042032
987,0.36002244,2357800.734,1029164.178,2356159,1044402
988,0.35983913,2359932.407,1030529.514,2370392,1043905
989,0.35965044,2361934.13,1031851.828,2369446,1037488
990,0.3594569,2363793.096,1033124.256,2347035,1022724
991,0.35925902,2365496.499,1034339.937,2314911,1005932
992,0.35905729,2367031.531,1035492.009,2276983,988222
993,0.35885222,2368385.388,1036573.61,2206893,955424
994,0.35864431,2369545.265,1037577.88,2083423,895511
995,0.3584339,2370502.799,1038500.164,1915162,813729
996,0.35822105,2371263.099,1039342.504,1699692,712540
997,0.35800573,2371833.816,1040108.207,1426570,590823
998,0.35778791,2372222.604,1040800.58,1110786,455478
999,0.35756758,2372437.116,1041422.928,725963,295301
1000,0.35734469,2372485.005,1041978.558,320068,129622
1001,0.35711925,2372373.924,1042470.776,82073,33377
1002,0.35689123,2372111.524,1042902.889,25230,10391
1003,0.35666062,2371705.461,1043278.204,17979,7229
1004,0.3564274,2371163.385,1043600.026,15750,6519
1005,0.35619156,2370492.951,1043871.663,,
1006,0.35595308,2369701.664,1044096.385,,
1007,0.35571187,2368796.148,1044277.248,,
1008,0.35546781,2367782.693,1044417.228,,
1009,0.35522079,2366667.591,1044519.301,,
1010,0.3549707,2365457.133,1044586.443,,
1011,0.35471741,2364157.609,1044621.63,,
1012,0.35446083,2362775.312,1044627.838,,
1013,0.35420084,2361316.531,1044608.042,,
1014,0.35393735,2359787.557,1044565.218,,
1015,0.35367024,2358194.683,1044502.342,,
1016,0.35339942,2356544.198,1044422.389,,
1017,0.35312481,2354841.589,1044327.911,,
1018,0.35284659,2353085.807,1044217.999,,
1019,0.35256502,2351272.629,1044090.066,,
1020,0.35228039,2349397.81,1043941.514,,
1021,0.35199296,2347457.107,1043769.746,,
1022,0.351703,2345446.276,1043572.163,,
1023,0.35141079,2343361.072,1043346.168,,
1024,0.35111657,2341197.251,1043089.162,,
1025,0.35082063,2338950.569,1042798.548,,
1026,0.35052321,2336616.783,1042471.727,,
1027,0.35022457,2334191.648,1042106.101,,
1028,0.34992499,2331671.632,1041699.367,,
1029,0.34962479,2329058.304,1041251.331,,
1030,0.34932435,2326355.454,1040762.717,,
1031,0.34902403,2323566.883,1040234.252,,
1032,0.34872421,2320696.39,1039666.667,,
1033,0.34842526,2317747.777,1039060.688,,
1034,0.34812756,2314724.843,1038417.044,,
1035,0.34783151,2311631.389,1037736.464,,
1036,0.34753747,2308471.214,1037019.676,,
1037,0.34724584,2305248.119,1036267.408,,
1038,0.34695701,2301965.905,1035480.388,,
1039,0.34667123,2298628.667,1034659.819,,
1040,0.34638815,2295241.78,1033808.951,,
1041,0.34610724,2291810.963,1032931.583,,
1042,0.34582796,2288341.935,1032031.519,,
1043,0.3455498,2284840.415,1031112.557,,
1044,0.34527223,2281312.122,1030178.5,,
1045,0.34499473,2277762.775,1029233.149,,
1046,0.34471677,2274198.092,1028280.305,,
1047,0.34443785,2270623.794,1027323.768,,
1048,0.34415743,2267045.598,1026367.341,,
1049,0.34387501,2263469.182,1025414.798,,
1050,0.34359036,2259895.582,1024467.098,,
1051,0.34330385,2256317.065,1023519.878,,
1052,0.34301589,2252724.928,1022568.182,,
1053,0.3427269,2249110.465,1021607.056,,
1054,0.3424373,2245464.972,1020631.545,,
1055,0.34214748,2241779.743,1019636.696,,
1056,0.34185787,2238046.074,1018617.553,,
1057,0.34156885,2234255.259,1017569.161,,
1058,0.34128084,2230398.594,1016486.567,,
1059,0.34099423,2226467.374,1015364.815,,
1060,0.34070937,2222453.596,1014199.37,,
1061,0.3404261,2218357.577,1012990.679,,
1062,0.34014395,2214185.084,1011742.444,,
1063,0.33986242,2209941.976,1010458.428,,
1064,0.33958102,2205634.114,1009142.39,,
1065,0.33929926,2201267.358,1007798.093,,
1066,0.33901665,2196847.569,1006429.296,,
1067,0.33873271,2192380.605,1005039.761,,
1068,0.33844693,2187872.328,1003633.25,,
1069,0.33815885,2183328.598,1002213.522,,
1070,0.33786795,2178755.274,1000784.337,,
1071,0.33757409,2174158.124,999348.6664,,
1072,0.33727787,2169542.69,997907.5926,,
1073,0.33698004,2164914.483,996461.9171,,
1074,0.33668134,2160279.013,995012.442,,
1075,0.33638251,2155641.791,993559.9693,,
1076,0.33608432,2151008.327,992105.3011,,
1077,0.33578754,2146384.13,990649.2394,,
1078,0.33549293,2141774.712,989192.5864,,
1079,0.33520129,2137185.582,987736.144,,
1080,0.3349134,2132622.25,986280.7142,,
1081,0.33463001,2128090.087,984827.1204,,
1082,0.33435161,2123593.382,983376.3472,,
1083,0.33407853,2119135.932,981929.4534,,
1084,0.33381113,2114721.529,980487.4984,,
1085,0.33354975,2110353.968,979051.5415,,
1086,0.33329475,2106037.04,977622.6419,,
1087,0.3330465,2101774.538,976201.8591,,
1088,0.33280534,2097570.257,974790.2522,,
1089,0.33257165,2093427.988,973388.8807,,
1090,0.33234578,2089351.524,971998.8038,,
1091,0.33212811,2085344.494,970621.0287,,
1092,0.33191875,2081406.876,969255.4149,,
1093,0.33171756,2077535.086,967900.701,,
1094,0.33152441,2073725.392,966555.5791,,
1095,0.33133916,2069974.063,965218.7413,,
1096,0.33116165,2066277.367,963888.8798,,
1097,0.33099174,2062631.572,962564.6865,,
1098,0.33082927,2059032.946,961244.8536,,
1099,0.33067409,2055477.758,959928.0731,,
1100,0.33052604,2051962.275,958613.0372,,
1101,0.33038497,2048482.811,957298.4529,,
1102,0.33025089,2045038.616,955983.9924,,
1103,0.33012414,2041633.595,954670.8593,,
1104,0.33000505,2038272.067,953360.3933,,
1105,0.32989397,2034958.354,952053.9339,,
1106,0.32979127,2031696.773,950752.8209,,
1107,0.32969729,2028491.645,949458.3939,,
1108,0.32961238,2025347.291,948171.9926,,
1109,0.32953691,2022268.028,946894.9567,,
1110,0.32947124,2019258.178,945628.6257,,
1111,0.32941573,2016322.064,944374.3345,,
1112,0.3293712,2013464.637,943132.7037,,
1113,0.32933944,2010692.125,941902.8957,,
1114,0.32932236,2008010.913,940683.8951,,
1115,0.32932186,2005427.387,939474.6865,,
1116,0.32933986,2002947.93,938274.2543,,
1117,0.32937829,2000578.928,937081.5832,,
1118,0.32943907,1998326.766,935895.6577,,
1119,0.32952415,1996197.828,934715.4623,,
1120,0.32963546,1994198.499,933539.9817,,
