Batch Number,B2500295,,,,,,
Category,Pet Food,,,,,,
Specie,Dog,,,,,,
Family,Healthcare,,,,,,
Brand,PETFLAKES,,,,,,
Product Code,DDF040002,,,,,,
Product name,PETFLAKES Performance High Protein - Adult Dog 4 Kg,,,,,,
NIR-Code,M20260202-00084,,,,,,
FileTitle:,IAS_Spectrum,,,,,,
Head:,Reference,Sample,,,,,
System Temp hundredths:,2470,2540,,,,,
Detector Temp hundredths:,0,0,,,,,
Humidity hundredths:,5104,4954,,,,,
Lamp PD:,94,94,,,,,
Tec Temp:,0,,,,,,
Product SN:,8B6YK9LO,,,,,,
Serial Number:,5B25203,,,,,,
Scan Config Name:,IAS5100,,,,,,
Scan Config Type:,2,,,,,,
Start wavelength in nm:,900,,,,,,
End wavelength in nm:,1700,,,,,,
Pattern Pixel Width:,13,,,,,,
Exposure Time:,0,,,,,,
Measurement points:,105,,,,,,
Number of Measurement points:,801,,,,,,
Num Repeats:,90,90,,,,,
PGA Gain:,64,64,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,
991,0.29785433,2365898.799,1191631.104,2315303,1163632,,
992,0.29775313,2367462.476,1192696.572,2277377,1145685,,
993,0.29764732,2368845.645,1193684.204,2207743,1110692,,
994,0.29753692,2370034.998,1194587.155,2084818,1045172,,
995,0.29742199,2371021.632,1195400.75,1918438,953964,,
996,0.29730264,2371810.008,1196126.894,1704077,838616,,
997,0.29717898,2372407.109,1196768.735,1428764,696684,,
998,0.29705112,2372819.919,1197329.422,1110412,537321,,
999,0.29691918,2373055.421,1197812.103,724491,348436,,
1000,0.29678327,2373120.599,1198219.927,318422,152447,,
1001,0.2966435,2373022.438,1198556.043,81545,39004,,
1002,0.29649998,2372767.92,1198823.599,25207,12054,,
1003,0.29635282,2372364.03,1199025.744,18118,8559,,
1004,0.29620214,2371817.751,1199165.625,15872,7511,,
1005,0.29604806,2371136.068,1199246.392,,,,
1006,0.29589063,2370326.022,1199271.343,,,,
1007,0.29572967,2369395.018,1199244.677,,,,
1008,0.2955649,2368350.59,1199170.932,,,,
1009,0.29539603,2367200.275,1199054.647,,,,
1010,0.29522277,2365951.609,1198900.359,,,,
1011,0.29504484,2364612.131,1198712.607,,,,
1012,0.29486196,2363189.374,1198495.93,,,,
1013,0.29467385,2361690.877,1198254.865,,,,
1014,0.29448023,2360124.176,1197993.95,,,,
1015,0.29428082,2358496.808,1197717.725,,,,
1016,0.29407534,2356816.308,1197430.727,,,,
1017,0.29386358,2355089.229,1197136.803,,,,
1018,0.29364592,2353314.128,1196834.183,,,,
1019,0.29342297,2351485.682,1196518.368,,,,
1020,0.29319537,2349598.539,1196184.843,,,,
1021,0.29296375,2347647.349,1195829.093,,,,
1022,0.29272873,2345626.761,1195446.6,,,,
1023,0.29249094,2343531.426,1195032.849,,,,
1024,0.292251,2341355.992,1194583.324,,,,
1025,0.29200954,2339095.11,1194093.51,,,,
1026,0.29176718,2336743.428,1193558.889,,,,
1027,0.29152453,2334295.597,1192974.946,,,,
1028,0.29128215,2331747.125,1192337.753,,,,
1029,0.29104024,2329099.686,1191647.587,,,,
1030,0.29079879,2326357.636,1190906.56,,,,
1031,0.29055783,2323525.342,1190116.79,,,,
1032,0.29031737,2320607.174,1189280.396,,,,
1033,0.29007743,2317607.499,1188399.497,,,,
1034,0.28983803,2314530.686,1187476.211,,,,
1035,0.28959918,2311381.103,1186512.657,,,,
1036,0.28936093,2308163.118,1185510.954,,,,
1037,0.28912328,2304881.099,1184473.222,,,,
1038,0.28888627,2301539.414,1183401.577,,,,
1039,0.28864994,2298142.692,1182298.258,,,,
1040,0.28841434,2294696.68,1181166.014,,,,
1041,0.28817956,2291207.43,1180007.73,,,,
1042,0.28794565,2287680.991,1178826.294,,,,
1043,0.2877127,2284123.416,1177624.592,,,,
1044,0.28748079,2280540.753,1176405.51,,,,
1045,0.28725,2276939.054,1175171.935,,,,
1046,0.28702041,2273324.37,1173926.753,,,,
1047,0.28679211,2269702.75,1172672.852,,,,
1048,0.2865652,2266080.247,1171413.117,,,,
1049,0.28633977,2262462.866,1170150.416,,,,
1050,0.28611576,2258851.863,1168885.541,,,,
1051,0.28589287,2255239.513,1167615.365,,,,
1052,0.28567074,2251617.093,1166336.323,,,,
1053,0.285449,2247975.883,1165044.853,,,,
1054,0.28522731,2244307.16,1163737.391,,,,
1055,0.28500528,2240602.202,1162410.373,,,,
1056,0.28478255,2236852.289,1161060.237,,,,
1057,0.28455875,2233048.698,1159683.417,,,,
1058,0.28433348,2229182.707,1158276.352,,,,
1059,0.28410635,2225245.595,1156835.477,,,,
1060,0.28387701,2221229.31,1155357.483,,,,
1061,0.28364553,2217133.76,1153842.066,,,,
1062,0.28341223,2212964.058,1152290.895,,,,
1063,0.28317748,2208725.411,1150705.668,,,,
1064,0.28294162,2204423.024,1149088.086,,,,
1065,0.28270501,2200062.102,1147439.849,,,,
1066,0.28246802,2195647.851,1145762.659,,,,
1067,0.28223102,2191185.475,1144058.215,,,,
1068,0.28199436,2186680.181,1142328.218,,,,
1069,0.28175844,2182137.174,1140574.368,,,,
1070,0.28152363,2177561.659,1138798.366,,,,
1071,0.28129029,2172959.051,1137002.068,,,,
1072,0.28105876,2168335.264,1135187.699,,,,
1073,0.28082936,2163696.286,1133357.541,,,,
1074,0.28060244,2159048.105,1131513.875,,,,
1075,0.28037832,2154396.709,1129658.982,,,,
1076,0.28015735,2149748.087,1127795.144,,,,
1077,0.27993988,2145108.225,1125924.642,,,,
1078,0.27972627,2140483.113,1124049.756,,,,
1079,0.27951687,2135878.738,1122172.769,,,,
1080,0.27931204,2131301.088,1120295.962,,,,
1081,0.27911215,2126755.973,1118421.516,,,,
1082,0.27891759,2122247.834,1116550.864,,,,
1083,0.27872875,2117780.485,1114685.089,,,,
1084,0.27854604,2113357.738,1112825.274,,,,
1085,0.27836985,2108983.402,1110972.504,,,,
1086,0.2782006,2104661.287,1109127.859,,,,
1087,0.27803869,2100395.205,1107292.424,,,,
1088,0.27788454,2096188.965,1105467.282,,,,
1089,0.27773856,2092046.378,1103653.515,,,,
1090,0.27760117,2087971.255,1101852.206,,,,
1091,0.27747278,2083967.229,1100064.379,,,,
1092,0.27735352,2080034.053,1098289.743,,,,
1093,0.27724321,2076167.687,1096526.728,,,,
1094,0.27714167,2072363.934,1094773.707,,,,
1095,0.27704872,2068618.598,1093029.057,,,,
1096,0.27696417,2064927.482,1091291.151,,,,
1097,0.27688784,2061286.389,1089558.364,,,,
1098,0.27681952,2057691.123,1087829.071,,,,
1099,0.27675904,2054137.486,1086101.648,,,,
1100,0.27670618,2050621.283,1084374.468,,,,
1101,0.27666075,2047138.368,1082645.927,,,,
1102,0.27662277,2043688.009,1080915.706,,,,
1103,0.27659257,2040274.88,1079185.53,,,,
1104,0.27657052,2036904.141,1077457.302,,,,
1105,0.276557,2033580.946,1075732.928,,,,
1106,0.27655238,2030310.455,1074014.314,,,,
1107,0.27655704,2027097.823,1072303.364,,,,
1108,0.27657135,2023948.207,1070601.983,,,,
1109,0.2765957,2020866.766,1068912.076,,,,
1110,0.27663046,2017858.656,1067235.549,,,,
1111,0.27667602,2014929.034,1065574.298,,,,
1112,0.27673321,2012083.176,1063929.173,,,,
1113,0.27680381,2009326.59,1062298.874,,,,
1114,0.2768897,2006664.819,1060681.843,,,,
1115,0.27699279,2004103.4,1059076.519,,,,
1116,0.27711497,2001647.875,1057481.345,,,,
1117,0.27725815,1999303.783,1055894.76,,,,
1118,0.27742427,1997076.663,1054315.205,,,,
1119,0.27761523,1994972.055,1052741.121,,,,
1120,0.27783297,1992995.5,1051170.948,,,,
1121,0.27807942,1991152.525,1049603.122,,,,
1122,0.27835644,1989446.97,1048035.329,,,,
1123,0.27866581,1987879.175,1046463.706,,,,
1124,0.27900927,1986449.047,1044884.195,,,,
1125,0.27938856,1985156.493,1043292.74,,,,
1126,0.27980545,1984001.421,1041685.285,,,,
1127,0.28026169,1982983.738,1040057.774,,,,
1128,0.28075904,1982103.351,1038406.149,,,,
1129,0.28129929,1981360.168,1036726.354,,,,
1130,0.2818842,1980754.094,1035014.332,,,,
1131,0.28251554,1980285.035,1033266.052,,,,
1132,0.28319432,1979952.609,1031479.192,,,,
1133,0.28392023,1979755.963,1029654.291,,,,
1134,0.28469281,1979694.199,1027792.16,,,,
1135,0.28551163,1979766.418,1025893.607,,,,
1136,0.28637623,1979971.722,1023959.442,,,,
1137,0.28728616,1980309.212,1021990.476,,,,
1138,0.28824094,1980777.991,1019987.517,,,,
1139,0.28924012,1981377.159,1017951.376,,,,
1140,0.2902832,1982105.818,1015882.863,,,,
1141,0.29136972,1982963.108,1013782.793,,,,
1142,0.29249933,1983949.209,1011652.178,,,,
1143,0.29367184,1985065.444,1009492.24,,,,
1144,0.29488708,1986313.193,1007304.213,,,,
1145,0.29614483,1987693.837,1005089.33,,,,
1146,0.29744489,1989208.756,1002848.826,,,,
1147,0.29878705,1990859.331,1000583.933,,,,
1148,0.30017108,1992646.944,998295.8848,,,,
1149,0.30159673,1994572.974,995985.9157,,,,
1150,0.30306377,1996638.802,993655.2591,,,,
1151,0.30457171,1998845.455,991305.4726,,,,
1152,0.30611779,2001190.288,988941.4765,,,,
1153,0.30769788,2003668.483,986570.1819,,,,
1154,0.30930779,2006275.193,984198.5262,,,,
1155,0.31094332,2009005.571,981833.4464,,,,
1156,0.31260022,2011854.77,979481.8799,,,,
1157,0.31427423,2014817.943,977150.7639,,,,
1158,0.31596107,2017890.244,974847.0355,,,,
1159,0.3176564,2021066.825,972577.6321,,,,
1160,0.31935588,2024342.84,970349.4908,,,,
1161,0.32105541,2027713.794,968169.1724,,,,
1162,0.32275178,2031176.586,966041.7532,,,,
1163,0.32444206,2034728.457,963971.9439,,,,
1164,0.32612328,2038366.648,961964.4549,,,,
1165,0.32779245,2042088.401,960023.9968,,,,
1166,0.32944659,2045890.956,958155.2801,,,,
1167,0.33108269,2049771.555,956363.0153,,,,
1168,0.33269776,2053727.439,954651.913,,,,
1169,0.33428878,2057755.85,953026.6837,,,,
1170,0.3358528,2061853.996,951491.9189,,,,
1171,0.33738895,2066017.656,950046.964,,,,
1172,0.33889927,2070240.649,948683.9641,,,,
1173,0.34038605,2074516.651,947394.543,,,,
1174,0.3418516,2078839.337,946170.3242,,,,
1175,0.34329831,2083202.384,945002.9311,,,,
1176,0.34472856,2087599.467,943883.9874,,,,
1177,0.34614479,2092024.263,942805.1166,,,,
1178,0.34754945,2096470.447,941757.9422,,,,
1179,0.34894505,2100931.695,940734.0879,,,,
1180,0.3503336,2105403.036,939726.8751,,,,
1181,0.35171359,2109888.924,938741.459,,,,
1182,0.35308202,2114397.826,937788.0311,,,,
1183,0.35443581,2118938.223,936876.8012,,,,
1184,0.35577188,2123518.596,936017.9794,,,,
1185,0.3570871,2128147.427,935221.7757,,,,
1186,0.35837833,2132833.196,934498.3999,,,,
1187,0.3596424,2137584.386,933858.0621,,,,
1188,0.36087611,2142409.477,933310.9722,,,,
1189,0.36207626,2147316.902,932867.317,,,,
1190,0.36323973,2152311.932,932535.7304,,,,
1191,0.36436352,2157394.737,932322.3459,,,,
1192,0.36544467,2162565.026,932233.0704,,,,
1193,0.36648024,2167822.51,932273.8107,,,,
1194,0.36746731,2173166.898,932450.4737,,,,
1195,0.36840299,2178597.899,932768.9663,,,,
1196,0.36928444,2184115.223,933235.1953,,,,
1197,0.37010882,2189718.581,933855.0678,,,,
1198,0.37087338,2195407.68,934634.4904,,,,
1199,0.37157503,2201181.728,935579.866,,,,
1200,0.37220888,2207037.012,936700.4682,,,,
1201,0.37276939,2212968.771,938006.6016,,,,
1202,0.37325112,2218972.245,939508.5722,,,,
1203,0.37364873,2225042.673,941216.6858,,,,
1204,0.37395695,2231175.292,943141.2484,,,,
1205,0.37417066,2237365.341,945292.566,,,,
1206,0.37428484,2243608.06,947680.9444,,,,
1207,0.37429461,2249898.687,950316.6895,,,,
1208,0.37419527,2256232.553,953209.9984,,,,
1209,0.37398393,2262607.232,956368.4578,,,,
1210,0.37365944,2269022.586,959796.9866,,,,
1211,0.37322086,2275478.581,963500.3827,,,,
1212,0.37266737,2281975.182,967483.4443,,,,
1213,0.37199828,2288512.355,971750.9694,,,,
1214,0.37121299,2295090.067,976307.7561,,,,
1215,0.37031106,2301708.283,981158.6024,,,,
1216,0.36929216,2308366.97,986308.3065,,,,
1217,0.36815609,2315066.075,991761.6381,,,,
1218,0.36690633,2321798.728,997512.2575,,,,
1219,0.3655553,2328540.892,1003525.863,,,,
1220,0.36411653,2335265.871,1009763.821,,,,
1221,0.36260321,2341946.971,1016187.501,,,,
1222,0.3610282,2348557.496,1022758.269,,,,
1223,0.35940398,2355070.752,1029437.493,,,,
1224,0.35774265,2361460.042,1036186.54,,,,
1225,0.35605596,2367698.673,1042966.78,,,,
1226,0.35435523,2373759.949,1049739.578,,,,
1227,0.35265113,2379619.505,1056468.103,,,,
1228,0.35095215,2385266.687,1063126.119,,,,
1229,0.34926588,2390695.843,1069691.254,,,,
1230,0.34759969,2395901.327,1076141.141,,,,
1231,0.34596079,2400877.493,1082453.414,,,,
1232,0.34435618,2405618.696,1088605.707,,,,
1233,0.34279275,2410119.29,1094575.653,,,,
1234,0.34127723,2414373.629,1100340.886,,,,
1235,0.33981621,2418376.068,1105879.039,,,,
1236,0.33841582,2422125.51,1111170.798,,,,
1237,0.33707723,2425680.533,1116236.904,,,,
1238,0.33579832,2429141.719,1121126.286,,,,
1239,0.33457721,2432610.521,1125888.459,,,,
1240,0.33341228,2436188.396,1130572.941,,,,
1241,0.33230212,2439976.797,1135229.249,,,,
1242,0.33124553,2444077.18,1139906.898,,,,
1243,0.33024149,2448591,1144655.406,,,,
1244,0.3292891,2453619.712,1149524.29,,,,
1245,0.32838762,2459262.281,1154561.92,,,,
1246,0.32753607,2465540.082,1159781.026,,,,
1247,0.32673305,2472383.593,1165152.574,,,,
1248,0.32597704,2479718.121,1170645.158,,,,
1249,0.32526639,2487468.97,1176227.369,,,,
1250,0.32459937,2495561.448,1181867.8,,,,
1251,0.32397416,2503920.859,1187535.041,,,,
1252,0.32338892,2512472.511,1193197.686,,,,
1253,0.32284171,2521141.708,1198824.327,,,,
1254,0.3223306,2529853.962,1204383.653,,,,
1255,0.32185359,2538552.662,1209852.941,,,,
1256,0.32140866,2547212.642,1215224.563,,,,
1257,0.3209938,2555811.935,1220492.429,,,,
1258,0.32060704,2564328.572,1225650.449,,,,
1259,0.32024643,2572740.585,1230692.531,,,,
1260,0.31991006,2581026.005,1235612.584,,,,
1261,0.31959603,2589162.863,1240404.517,,,,
1262,0.31930249,2597129.191,1245062.239,,,,
1263,0.31902761,2604903.049,1249579.672,,,,
1264,0.31876965,2612471.118,1253954.691,,,,
1265,0.31852706,2619840.894,1258194.708,,,,
1266,0.31829834,2627022.943,1262308.546,,,,
1267,0.31808203,2634027.836,1266305.028,,,,
1268,0.31787668,2640866.143,1270192.977,,,,
1269,0.31768089,2647548.431,1273981.216,,,,
1270,0.31749326,2654085.27,1277678.568,,,,
1271,0.31731244,2660487.23,1281293.855,,,,
1272,0.31713706,2666764.878,1284835.9,,,,
1273,0.31696587,2672927.039,1288312.542,,,,
1274,0.31679774,2678977.288,1291728.649,,,,
1275,0.3166316,2684918.21,1295088.536,,,,
1276,0.31646639,2690752.394,1298396.516,,,,
1277,0.31630107,2696482.426,1301656.902,,,,
1278,0.31613459,2702110.893,1304874.009,,,,
1279,0.31596592,2707640.383,1308052.149,,,,
1280,0.31579406,2713073.482,1311195.636,,,,
1281,0.31561799,2718412.779,1314308.783,,,,
1282,0.31543713,2723660.76,1317394.613,,,,
1283,0.31525229,2728819.577,1320451.739,,,,
1284,0.31506457,2733891.308,1323477.835,,,,
1285,0.31487507,2738878.032,1326470.572,,,,
1286,0.31468488,2743781.826,1329427.625,,,,
1287,0.31449506,2748604.769,1332346.667,,,,
1288,0.31430668,2753348.941,1335225.369,,,,
1289,0.3141208,2758016.418,1338061.407,,,,
1290,0.31393848,2762609.28,1340852.452,,,,
1291,0.3137609,2767128.815,1343595.318,,,,
1292,0.31358979,2771573.543,1346283.803,,,,
1293,0.31342698,2775941.373,1348911.042,,,,
1294,0.31327429,2780230.216,1351470.171,,,,
1295,0.31313354,2784437.981,1353954.326,,,,
1296,0.3130065,2788562.581,1356356.64,,,,
1297,0.31289497,2792601.924,1358670.251,,,,
1298,0.31280072,2796553.921,1360888.294,,,,
1299,0.31272553,2800416.482,1363003.903,,,,
1300,0.31267081,2804186.135,1365010.613,,,,
1301,0.31263687,2807854.856,1366903.269,,,,
1302,0.31262379,2811413.688,1368676.982,,,,
1303,0.31263165,2814853.673,1370326.867,,,,
1304,0.31266054,2818165.854,1371848.036,,,,
1305,0.31271057,2821341.272,1373235.603,,,,
1306,0.31278183,2824370.97,1374484.682,,,,
1307,0.31287447,2827245.99,1375590.384,,,,
1308,0.31298859,2829957.377,1376547.825,,,,
1309,0.31312464,2832498.472,1377352.316,,,,
1310,0.31328388,2834869.122,1377999.735,,,,
1311,0.31346772,2837070.313,1378486.058,,,,
1312,0.31367759,2839103.032,1378807.261,,,,
1313,0.31391493,2840968.268,1378959.322,,,,
1314,0.31418118,2842667.008,1378938.215,,,,
1315,0.31447782,2844200.239,1378739.918,,,,
1316,0.31480632,2845568.95,1378360.406,,,,
1317,0.3151682,2846774.126,1377795.66,,,,
1318,0.31556468,2847816.361,1377042.348,,,,
1319,0.31599643,2848695.367,1376098.692,,,,
1320,0.316464,2849410.734,1374963.132,,,,
1321,0.31696801,2849962.051,1373634.102,,,,
1322,0.31750908,2850348.909,1372110.042,,,,
1323,0.31808786,2850570.896,1370389.388,,,,
1324,0.31870502,2850627.604,1368470.576,,,,
1325,0.31936127,2850518.623,1366352.045,,,,
1326,0.32005734,2850243.529,1364032.222,,,,
1327,0.32079407,2849800.988,1361508.826,,,,
1328,0.3215725,2849188.124,1358778.377,,,,
1329,0.3223937,2848401.911,1355837.282,,,,
1330,0.32325878,2847439.324,1352681.946,,,,
1331,0.32416892,2846297.337,1349308.775,,,,
1332,0.32512531,2844972.927,1345714.175,,,,
1333,0.3261292,2843463.068,1341894.552,,,,
1334,0.32718189,2841764.733,1337846.311,,,,
1335,0.32828471,2839874.859,1333565.945,,,,
1336,0.32943791,2837789.072,1329052.71,,,,
1337,0.33064049,2835501.439,1324309.167,,,,
1338,0.33189139,2833005.936,1319338.068,,,,
1339,0.33318959,2830296.54,1314142.163,,,,
1340,0.33453408,2827367.226,1308724.206,,,,
1341,0.33592389,2824211.971,1303086.949,,,,
1342,0.33735807,2820824.75,1297233.143,,,,
1343,0.33883568,2817199.539,1291165.542,,,,
1344,0.34035577,2813330.885,1284887.313,,,,
1345,0.34191657,2809222.299,1278408.18,,,,
1346,0.34351559,2804884.419,1271743.077,,,,
1347,0.34515029,2800328.083,1264907.083,,,,
1348,0.34681807,2795564.125,1257915.277,,,,
1349,0.34851624,2790603.383,1250782.737,,,,
1350,0.35024205,2785456.692,1243524.541,,,,
1351,0.35199267,2780134.889,1236155.768,,,,
1352,0.35376517,2774648.81,1228691.497,,,,
1353,0.3555566,2769009.483,1221146.717,,,,
1354,0.35736441,2763229.535,1213535.686,,,,
1355,0.35918623,2757322.374,1205872.298,,,,
1356,0.36101957,2751301.419,1198170.446,,,,
1357,0.36286186,2745180.083,1190444.024,,,,
1358,0.36471042,2738971.785,1182706.924,,,,
1359,0.36656246,2732689.939,1174973.04,,,,
1360,0.36841507,2726347.962,1167256.264,,,,
1361,0.37026525,2719959.27,1159570.489,,,,
1362,0.37211063,2713531.01,1151924.893,,,,
1363,0.37395223,2707042.588,1144307.796,,,,
1364,0.37579214,2700465.742,1136701.75,,,,
1365,0.37763257,2693772.209,1129089.306,,,,
1366,0.37947587,2686933.725,1121453.015,,,,
1367,0.38132453,2679922.029,1113775.431,,,,
1368,0.38318117,2672708.856,1106039.103,,,,
