Batch Number,B2600074,,,,,
Category,Poultry,,,,,
Specie,Chicken,,,,,
Family,Layer Baladi,,,,,
Brand,FARMFLAKES,,,,,
Product Code,PPEP250401,,,,,
Product name,CHICKEN FEED BALADI PRODUCTION 1,,,,,
NIR-Code,D20260211-00099,,,,,
Serial Number:,5B25203,,,,,
Scan Config Name:,IAS5100,,,,,
Scan Config Type:,2,,,,,
Start wavelength in nm:,900,,,,,
End wavelength in nm:,1700,,,,,
Pattern Pixel Width:,11,,,,,
Exposure Time:,0,,,,,
Measurement points:,420,,,,,
Number of Measurement points:,801,,,,,
Num Repeats:,90,90,,,,
PGA Gain:,64,64,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,
900,0.07142964,1241094.809,1052871.383,5556,3764,
901,0.07129546,1261126.21,1070195.422,5558,3677,
902,0.07115832,1281004.744,1087407.74,5494,3659,
903,0.07102037,1300652.177,1104436.623,5264,3460,
904,0.07088398,1319908.959,1121140.383,5101,3364,
905,0.07075129,1338611.429,1137373.843,5059,3150,
906,0.07062168,1356733.898,1153115.984,5027,3180,
907,0.07048977,1374510.035,1168579.175,4966,3031,
908,0.07035003,1392201.911,1184001.339,4946,2972,
909,0.07020058,1409932.854,1199493.369,5036,2971,
910,0.0700483,1427452.288,1214823.82,5147,2952,
911,0.06990106,1444447.286,1229704.157,5139,2800,
912,0.06976349,1460702.252,1243936.504,5345,2935,
913,0.0696298,1476371.602,1257667.632,5400,2982,
914,0.06949214,1491697.663,1271126.193,5564,3084,
915,0.06934504,1506879.319,1284498.009,5724,3158,
916,0.06919341,1521888.869,1297745.489,5922,3358,
917,0.06904523,1536624.978,1310758.441,6358,3360,
918,0.0689076,1551017.045,1323454.376,6567,3612,
919,0.06878403,1565208.947,1335944.127,6918,3747,
920,0.06867654,1579435.842,1348420.808,7333,3932,
921,0.06858599,1593845.472,1361006.574,7712,4182,
922,0.06850259,1607785.691,1373173.983,8244,4400,
923,0.06841114,1620176.659,1384048.258,8809,4755,
924,0.06829837,1630098.386,1392885.585,9379,4852,
925,0.06817218,1638545.275,1400510.17,10120,5373,
926,0.06805418,1647751.187,1408761.428,10851,5687,
927,0.06796496,1659805.944,1419359.333,11655,6055,
928,0.06790475,1674386.425,1432026.139,12438,6634,
929,0.06785841,1689339.428,1444968.935,13489,7036,
930,0.06781132,1702549.53,1456426.026,14530,7527,
931,0.06776162,1713387.36,1465864.888,15796,8104,
932,0.06771812,1722503.994,1473812.106,17056,8785,
933,0.0676896,1730603.72,1480839.629,18588,9504,
934,0.06767849,1738628.918,1487744.691,20229,10338,
935,0.06768124,1747748.317,1495538.699,22101,11248,
936,0.0676942,1759079.96,1505190.184,24339,12465,
937,0.06771591,1772321.169,1516444.493,26909,13755,
938,0.06774708,1785720.986,1527800.049,29923,15296,
939,0.0677886,1797513.591,1537742.377,33505,17174,
940,0.06784024,1807227.708,1545868.824,37474,19231,
941,0.06790052,1815767.904,1552958.374,42294,21733,
942,0.06796792,1824086.722,1559831.053,47649,24610,
943,0.06804258,1832645.232,1566880.304,53780,27942,
944,0.06812648,1841374.886,1574039.889,60874,31711,
945,0.06822161,1850162.383,1581205.212,68766,36115,
946,0.06832825,1858418.057,1587870.819,77703,40955,
947,0.06844508,1865045.953,1593105.217,87875,46418,
948,0.06857104,1869002.499,1596021.882,99550,52818,
949,0.06870574,1871077.015,1597297.926,112017,59836,
950,0.06884875,1873928.305,1599205.317,126136,67555,
951,0.06899885,1880167.648,1603975.473,140838,75796,
952,0.06915422,1889625.408,1611467.313,156566,84541,
953,0.0693135,1899482.64,1619279.54,173312,93566,
954,0.06947615,1906921.809,1625012.615,190762,103004,
955,0.06963926,1911046.817,1627916.281,208431,112665,
956,0.06979724,1912625.819,1628668.803,225246,121732,
957,0.06994477,1912521.774,1628027.052,243226,131568,
958,0.07008606,1912188.908,1627214.231,260538,140970,
959,0.07023236,1913534.594,1627810.937,275658,148979,
960,0.07039349,1918264.855,1631229.556,292144,157784,
961,0.07056695,1925535.41,1636758.324,307336,165784,
962,0.070743,1932820.058,1642284.605,321801,173352,
963,0.07091335,1937810.695,1645879.368,335794,180625,
964,0.07107567,1940544.549,1647585.452,348184,186933,
965,0.07123031,1942351.225,1648532.28,362418,194283,
966,0.07137716,1944430.871,1649739.404,376343,201302,
967,0.07151569,1946933.384,1651335.822,388243,207198,
968,0.07164534,1949540.353,1653053.433,403408,214845,
969,0.07176577,1951987.512,1654669.53,416639,221219,
970,0.07187742,1954326.204,1656226.128,429981,227894,
971,0.07198099,1956717.675,1657857.425,443544,234375,
972,0.07207739,1959289.576,1659668.074,457449,240913,
973,0.07216871,1962028.322,1661638.546,471161,247523,
974,0.07225737,1964883.31,1663716.77,486217,254586,
975,0.07234262,1967757.764,1665823.611,500335,261013,
976,0.07241419,1970413.755,1667797.202,514581,267678,
977,0.0724601,1972587.648,1669460.747,529175,274200,
978,0.07247686,1974247.393,1670800.951,543839,280875,
979,0.0724795,1975869.473,1672163.545,558944,287600,
980,0.07248527,1977991.668,1673937.292,570654,292623,
981,0.07250124,1980767.875,1676225.121,588630,300717,
982,0.07251864,1983752.431,1678683.529,605312,308074,
983,0.0725276,1986459.47,1680939.618,617625,312932,
984,0.07252301,1988728.595,1682877.532,636418,321398,
985,0.07250499,1990756.342,1684663.308,652391,328130,
986,0.07247382,1992747.764,1686469.564,668170,334839,
987,0.07242827,1994767.18,1688355.684,684339,341475,
988,0.07236597,1996772.838,1690295.707,697193,346591,
989,0.07228546,1998739.472,1692274.19,715648,354333,
990,0.07219292,2000802.165,1694381.619,733630,361893,
991,0.07209836,2003176.186,1696761.453,747557,367356,
992,0.07200954,2005847.557,1699371.719,768330,376321,
993,0.07192263,2007640.591,1701231.206,784790,382967,
994,0.07182997,2007014.043,1701063.175,801505,389771,
995,0.07172626,2003458.822,1698455.455,818354,396763,
996,0.07161429,1999597.397,1695619.005,835800,403888,
997,0.07149897,1998622.492,1695242.362,852501,410703,
998,0.07138239,2001637.783,1698255.794,870661,418447,
999,0.07126003,2005931.538,1702378.293,887438,425431,
1000,0.07112627,2008452.571,1705042.882,904239,432525,
1001,0.07098013,2008014.45,1705244.684,921787,439907,
1002,0.07082641,2005496.212,1703709.063,939133,447459,
1003,0.07067023,2001912.666,1701276.492,956646,454972,
1004,0.07051387,1998621.326,1699091.037,968465,459821,
1005,0.07035802,1997206.028,1698497.259,991231,469994,
1006,0.07020338,1998828.367,1700482.32,1010957,478651,
1007,0.07004823,2002071.779,1703850.214,1022973,483643,
1008,0.06988928,2004555.638,1706588.572,1046031,494222,
1009,0.06972418,2004665.99,1707331.463,1064069,502188,
1010,0.06955548,2003225.167,1706767.189,1081239,509591,
1011,0.06938707,2001530.887,1705985.091,1099244,517475,
1012,0.06921811,2000390.997,1705676.97,1111089,522429,
1013,0.0690393,1999784.375,1705861.9,1132772,531927,
1014,0.06884121,1999577.366,1706463.476,1153190,540863,
1015,0.06862849,1998991.188,1706799.023,1166927,546553,
1016,0.06841838,1996653.193,1705627.778,1192018,557539,
1017,0.06822523,1991533.109,1702010.75,1210323,565343,
1018,0.06804053,1985559.171,1697627.118,1228451,572788,
1019,0.06784553,1982096.706,1695427.836,1247401,580712,
1020,0.06762927,1983297.504,1697299.947,1267155,588877,
1021,0.06740617,1986688.251,1701075.372,1285723,596411,
1022,0.06719503,1988718.126,1703641.484,1306311,604902,
1023,0.06700133,1987335.224,1703216.274,1325421,612542,
1024,0.06680881,1983210.53,1700434.91,1344265,619939,
1025,0.06659994,1977335.116,1696212.831,1364107,627697,
1026,0.06637196,1971319.156,1691940.091,1383668,635221,
1027,0.06613609,1967333.166,1689436.313,1403565,642733,
1028,0.06590363,1967114.961,1690153.357,1414257,645878,
1029,0.06567551,1969159.614,1692799.068,1441159,656381,
1030,0.06544689,1970549.266,1694885.67,1463765,664868,
1031,0.06521497,1969302.409,1694717.981,1474376,667722,
1032,0.0649868,1966324.669,1693044.701,1501174,677802,
1033,0.06477179,1963057.006,1691068.206,1520754,684587,
1034,0.06457117,1960233.319,1689415.967,1538613,690508,
1035,0.06437416,1957611.262,1687921.697,1557272,696767,
1036,0.06417005,1954901.782,1686377.867,1566545,698621,
1037,0.0639612,1952097.367,1684768.673,1589965,706863,
1038,0.0637584,1949369.595,1683200.265,1611117,714040,
1039,0.06356898,1946850.199,1681758.221,1622135,716741,
1040,0.06338429,1944486.541,1680430.873,1649145,726529,
1041,0.06319141,1942175.505,1679179.264,1666176,731876,
1042,0.06298668,1939748.062,1677871.306,1682314,737081,
1043,0.06278287,1936918.809,1676210.472,1699371,742529,
1044,0.06259335,1933426.395,1673918.456,1716904,748262,
1045,0.06241653,1929541.541,1671235.318,1731844,752940,
1046,0.06223953,1925941.75,1668797.415,1749024,758828,
1047,0.06205284,1923140.063,1667086.274,1763865,763544,
1048,0.06186437,1920780.643,1665763.708,1777338,767958,
1049,0.06168719,1918240.912,1664240.003,1791378,772847,
1050,0.06152479,1915203.469,1662226.206,1805001,777645,
1051,0.06136291,1911927.555,1660001.666,1818182,782333,
1052,0.06118652,1908722.728,1657892.34,1818902,782029,
1053,0.06099861,1905692.855,1655976.994,1840598,790963,
1054,0.06081604,1902783.356,1654143.969,1856176,797311,
1055,0.0606512,1899974.061,1652328.797,1855878,797432,
1056,0.06049352,1897425.601,1650711.729,1876249,806756,
1057,0.06032583,1895343.348,1649537.01,1886922,812142,
1058,0.06014258,1893292.169,1648447.264,1895225,816931,
1059,0.05995755,1889752.262,1646066.295,1904358,822463,
1060,0.05978437,1883340.541,1641135.655,1901421,822969,
1061,0.05961853,1875539.629,1634962.187,1915245,831406,
1062,0.05944448,1869708.179,1630532.094,1926647,839262,
1063,0.05925287,1868026.072,1629784.048,1924909,841846,
1064,0.05905429,1868230.654,1630708.024,1942740,853607,
1065,0.05886243,1867088.1,1630430.842,1948273,860644,
1066,0.05868182,1863156.074,1627673.971,1952604,868025,
1067,0.05850654,1857297.918,1623211.216,1957901,876811,
1068,0.05833021,1850577.107,1617994.26,1963853,887078,
1069,0.0581458,1844431.06,1613305.562,1966356,896458,
1070,0.05794634,1840468.601,1610579.156,1972016,908790,
1071,0.05773211,1839245.116,1610302.644,1974682,921080,
1072,0.0575191,1838776.804,1610682.406,1976384,934073,
1073,0.05732392,1836815.874,1609687.993,1978653,948734,
1074,0.05714963,1833000.253,1606988.957,1980686,964580,
1075,0.05698882,1828548.409,1603679.724,1981934,981479,
1076,0.05683316,1824523.147,1600723.12,1970444,993319,
1077,0.05667002,1821088.812,1598310.347,1981160,1017335,
1078,0.05648587,1818151.341,1596408.964,1985785,1039840,
1079,0.05628529,1815088.453,1594455.877,1973676,1054473,
1080,0.05609763,1810547.725,1591154.484,1984652,1081798,
1081,0.05594841,1803514.655,1585518.322,1985975,1104908,
1082,0.0558221,1795957.376,1579333.786,1986264,1127992,
1083,0.05568478,1791206.123,1575653.736,1989125,1152699,
1084,0.05552196,1790607.097,1575717.454,1982582,1171721,
1085,0.05535993,1791196.641,1576824.399,1995725,1201881,
1086,0.05522693,1789643.2,1575939.455,2008391,1231709,
1087,0.05512083,1785142.339,1572360.105,2010150,1254255,
1088,0.05501907,1778651.689,1567010.262,2034430,1289573,
1089,0.05490585,1771393.097,1561022.274,2047445,1317505,
1090,0.05478896,1765328.854,1556096.99,2061509,1344830,
1091,0.05468118,1762462.558,1553955.99,2078983,1373265,
1092,0.05458723,1762406.349,1554242.634,2099784,1402917,
1093,0.0545031,1762437.594,1554571.319,2117296,1429427,
1094,0.05442389,1760350.39,1553013.507,2139784,1458404,
1095,0.05434455,1756757.232,1550126.703,2159100,1484195,
1096,0.05426047,1753059.122,1547163.072,2177325,1508430,
1097,0.05417621,1749910.393,1544683.832,2195912,1532431,
1098,0.05410794,1747008.113,1542364.358,2213415,1555218,
1099,0.05406878,1744048.953,1539890.697,2229764,1576664,
1100,0.05404837,1741108.593,1537366.758,2231284,1587916,
1101,0.05402763,1738403.124,1535051.19,2255972,1615115,
1102,0.05399677,1736015.148,1533051.472,2273831,1637634,
1103,0.05396099,1733814.976,1531234.688,2272552,1646961,
1104,0.05392656,1731634.947,1529430.616,2296668,1674435,
1105,0.05389777,1729162.815,1527348.397,2308601,1693714,
1106,0.05387797,1726024.359,1524645.764,2319235,1712437,
1107,0.05386751,1722271.265,1521367.193,2330172,1731474,
1108,0.05386121,1718745.604,1518274.829,2328544,1741584,
1109,0.05385448,1716246.296,1516090.51,2346122,1765894,
1110,0.05385359,1714437.128,1514495.462,2360830,1788343,
1111,0.05387039,1712395.155,1512633.11,2359502,1798958,
1112,0.05390935,1709662.083,1510083.382,2380990,1826591,
1113,0.05395957,1706738.647,1507326.898,2386694,1842095,
1114,0.05400994,1704191.975,1504903.241,2390997,1856292,
1115,0.05406641,1702105.947,1502865.713,2396079,1870696,
1116,0.0541445,1700296.972,1500998.583,2402880,1886213,
1117,0.05425002,1698698.49,1499223.164,2403012,1895827,
1118,0.05436785,1697497.803,1497757.043,2408477,1908929,
1119,0.05448286,1696804.332,1496748.743,2408685,1917462,
1120,0.05460667,1695666.795,1495318.973,2408096,1924544,
1121,0.05476622,1692550.892,1492023.008,2408425,1931681,
1122,0.05497493,1687353.783,1486726.981,2408095,1937585,
1123,0.05521592,1682947.687,1482022.157,2407155,1942549,
1124,0.05546972,1682150.865,1480455.03,2392034,1935114,
1125,0.05574334,1683965.766,1481118.868,2401215,1946460,
1126,0.05605958,1685381.43,1481284.994,2403003,1951491,
1127,0.05642895,1684608.368,1479346.83,2385349,1940054,
1128,0.05683523,1682224.196,1475871.846,2393109,1948666,
1129,0.05726137,1679134.743,1471716.566,2388165,1946514,
1130,0.05771213,1676736.255,1468089.827,2380983,1941826,
1131,0.05820147,1676639.067,1466351.596,2374361,1937192,
1132,0.05873455,1679035.284,1466645.895,2354474,1921390,
1133,0.05930536,1681748.817,1467086.672,2354294,1921221,
1134,0.05991045,1682750.14,1465916.348,2350483,1917882,
1135,0.06055302,1682439.794,1463479.061,2333006,1903057,
1136,0.06123692,1682182.172,1460952.52,2338057,1906303,
1137,0.06196397,1682726.382,1458980.646,2328207,1897259,
1138,0.06273514,1683965.157,1457464.425,2317458,1887234,
1139,0.06354863,1685553.238,1456108.871,2308404,1878735,
1140,0.06438861,1686247.91,1453894.245,2302278,1872531,
1141,0.06523797,1684606.002,1449640.698,2288859,1860503,
1142,0.06610427,1681547.217,1444125.035,2280622,1852787,
1143,0.06701599,1680584.098,1440271.14,2268200,1841745,
1144,0.06798766,1684072.605,1440035.336,2255319,1830323,
1145,0.06900201,1689454.478,1441267.144,2243414,1819466,
1146,0.07004174,1693142.696,1440959.652,2230755,1808065,
1147,0.07109129,1693928.277,1438148.488,2217219,1795761,
1148,0.07213097,1692571.612,1433560.695,2191676,1773819,
1149,0.07315847,1690309.733,1428261.802,2186818,1768381,
1150,0.07422125,1689505.685,1424093.173,2175051,1757039,
1151,0.07536331,1692385.781,1422774.462,2146301,1731832,
1152,0.07655573,1697807.726,1423419.06,2140079,1724681,
1153,0.07773468,1702649.757,1423608.725,2122603,1708165,
1154,0.07887689,1705303.503,1422082.501,2104949,1691321,
1155,0.08002134,1707002.326,1419752.936,2089760,1676115,
1156,0.08120196,1709087.435,1417628.119,2067474,1654756,
1157,0.08239884,1711617.054,1415819.098,2064554,1648482,
1158,0.08357309,1714151.096,1414086.618,2060469,1641085,
1159,0.08472103,1716623.708,1412388.197,2046740,1625651,
1160,0.08588086,1719429.831,1410923.916,2052358,1625027,
1161,0.08707694,1722864.418,1409854.072,2044601,1613344,
1162,0.08827207,1726716.878,1409123.515,2034277,1599601,
1163,0.08941767,1730646.031,1408609.382,2023939,1585345,
1164,0.09051242,1734218.122,1407963.18,2016018,1572995,
1165,0.09159258,1736928.747,1406660.935,2000511,1554906,
1166,0.09268426,1738826.782,1404662.722,1990147,1540706,
1167,0.09378366,1741258.181,1403070.541,1976709,1524470,
1168,0.0948789,1745472.919,1402924.219,1961900,1508059,
1169,0.09595441,1750501.892,1403486.302,1949339,1493885,
1170,0.09699766,1754356.011,1403201.589,1936650,1480482,
1171,0.09801086,1756519.51,1401658.189,1923796,1467734,
1172,0.09900986,1758507.201,1400020.169,1902114,1449287,
1173,0.10000461,1761610.392,1399282.028,1898607,1445501,
1174,0.10098914,1765560.288,1399243.855,1889118,1438417,
1175,0.10195525,1769714.257,1399419.415,1867952,1422906,
1176,0.10290081,1773996.245,1399754.539,1865262,1422470,
1177,0.10382728,1778773.456,1400533.035,1853865,1416424,
1178,0.10473318,1783717.74,1401499.51,1841998,1410743,
1179,0.10561339,1786934.419,1401184.18,1831471,1406658,
1180,0.10646794,1786902.702,1398404.977,1813705,1397812,
1181,0.10731161,1786171.878,1395120.23,1809243,1399473,
1182,0.10815815,1788907.714,1394536.187,1802299,1399790,
1183,0.10899956,1795649.131,1397082.068,1787059,1394287,
1184,0.10981257,1802662.522,1399915.626,1787169,1400862,
1185,0.11058345,1806972.046,1400773.708,1777749,1400327,
1186,0.11131306,1808941.067,1399946.235,1767263,1399311,
1187,0.11200422,1809698.232,1398305.1,1758549,1399999,
1188,0.11266997,1811134.31,1397271.136,1753145,1403497,
1189,0.11332756,1815573.044,1398576.303,1742019,1402900,
1190,0.11397481,1823272.871,1402415.995,1736517,1406972,
1191,0.11458445,1831155.219,1406503.166,1728331,1408898,
1192,0.11513739,1836595.635,1408886.987,1719415,1410930,
