Batch Number,B2500343,,,,
Category,Pet Food,,,,
Specie,Dog,,,,
Family,Healthcare,,,,
Brand,PETFLAKES,,,,
Product Code,DDF100001,,,,
Product name,PETFLAKES Maintenance - Adult Dog 10 Kg,,,,
NIR-Code,M20260202-00091,,,,
Serial Number:,5B25203,,,,
Scan Config Name:,IAS5100,,,,
Scan Config Type:,2,,,,
Start wavelength in nm:,900,,,,
End wavelength in nm:,1700,,,,
Pattern Pixel Width:,13,,,,
Exposure Time:,0,,,,
Measurement points:,105,,,,
Number of Measurement points:,801,,,,
Num Repeats:,90,90,,,
PGA Gain:,64,64,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original
900,0.23612915,1464763.074,850429.3356,6166,2816
901,0.23585823,1487894.685,864398.4126,5949,2607
902,0.23558212,1510824.776,878277.9516,5745,2319
903,0.23530094,1533528.447,892053.4878,6149,2148
904,0.2350148,1555980.797,905710.5563,7167,2474
905,0.23472378,1578156.926,919234.6921,8884,2879
906,0.23442792,1600031.934,932611.4304,11456,3461
907,0.23412724,1621580.918,945826.3062,15267,4459
908,0.23382174,1642778.98,958864.8547,21063,6030
909,0.23351139,1663601.217,971712.611,30413,8578
910,0.23319615,1684022.731,984355.1101,47637,13488
911,0.23287594,1704018.619,996777.8873,78133,22850
912,0.23255092,1723570.786,1008969.883,127547,38464
913,0.23222216,1742687.002,1020932.987,196681,61111
914,0.23189088,1761381.182,1032672.164,275796,87112
915,0.23155829,1779667.243,1044192.379,349508,111202
916,0.23122552,1797559.1,1055498.597,414790,131777
917,0.23089368,1815070.669,1066595.782,476855,150467
918,0.23056383,1832215.866,1077488.901,540919,168060
919,0.23023703,1849008.607,1088182.917,608566,185971
920,0.22991427,1865462.807,1098682.797,678855,203436
921,0.22959654,1881592.383,1108993.505,752697,220687
922,0.22928481,1897411.249,1119120.006,829411,238079
923,0.22898002,1912933.322,1129067.265,908602,255462
924,0.22868306,1928171.958,1138839.97,988424,272394
925,0.2283946,1943133.97,1148439.559,1070534,290505
926,0.22811513,1957821.938,1157865.368,1153896,309468
927,0.22784512,1972238.367,1167116.699,1238102,329696
928,0.22758506,1986385.766,1176192.852,1323718,350272
929,0.22733541,2000266.642,1185093.129,1411352,370203
930,0.22709665,2013883.502,1193816.83,1500940,389475
931,0.22686922,2027238.852,1202363.257,1593297,408459
932,0.22665361,2040335.201,1210731.709,1687064,425907
933,0.22645025,2053175.056,1218921.489,1779579,441403
934,0.2262596,2065760.924,1226931.896,1869064,455044
935,0.22608212,2078095.311,1234762.233,1954752,467808
936,0.22591826,2090180.381,1242411.622,2035691,480618
937,0.22576823,2102010.076,1249874.959,2108549,494066
938,0.22563201,2113569.96,1257142.829,2171505,507740
939,0.22550958,2124845.22,1264205.625,2224514,521807
940,0.22540095,2135821.044,1271053.739,2267887,538036
941,0.22530611,2146482.619,1277677.561,2301240,558693
942,0.22522507,2156815.132,1284067.484,2326165,589188
943,0.22515787,2166803.771,1290213.9,2342503,635782
944,0.22510452,2176433.722,1296107.2,2350008,702269
945,0.22506509,2185690.173,1301737.777,2351678,787722
946,0.22503963,2194558.311,1307096.021,2364893,885968
947,0.22502822,2203023.323,1312172.325,2409810,990333
948,0.22503092,2211071.01,1316957.53,2486347,1095731
949,0.22504715,2218701.781,1321453.173,2579849,1197606
950,0.2250757,2225930.951,1325671.703,2658902,1285250
951,0.22511535,2232774.503,1329626.06,2719582,1364157
952,0.22516489,2239248.422,1333329.185,2773143,1443466
953,0.22522317,2245368.692,1336794.019,2815300,1518074
954,0.22528903,2251151.298,1340033.5,2840327,1576935
955,0.22536134,2256612.223,1343060.571,2849753,1616144
956,0.22543897,2261767.453,1345888.171,2846136,1635091
957,0.22552083,2266632.971,1348529.24,2829329,1635680
958,0.22560582,2271224.762,1350996.719,2799954,1620244
959,0.22569284,2275558.81,1353303.548,2762048,1594007
960,0.22578083,2279651.35,1355462.784,2717838,1561811
961,0.22586884,2283521.615,1357488.888,2665791,1525364
962,0.22595601,2287190.816,1359397.243,2603147,1482093
963,0.22604148,2290680.199,1361203.251,2526661,1426874
964,0.2261244,2294011.011,1362922.311,2456336,1367580
965,0.22620389,2297204.496,1364569.824,2419441,1316923
966,0.22627912,2300281.901,1366161.192,2374225,1252129
967,0.22634921,2303264.472,1367711.814,2313629,1184251
968,0.22641331,2306173.455,1369237.092,2252672,1137838
969,0.22647057,2309030.096,1370752.426,2195943,1115672
970,0.22652012,2311855.64,1372273.217,2145395,1111675
971,0.22656112,2314671.335,1373814.866,2101395,1118981
972,0.22659287,2317494.171,1375389.737,2060001,1131732
973,0.22661536,2320323.322,1376997.472,2023747,1153008
974,0.22662876,2323153.291,1378634.382,1996772,1180344
975,0.22663324,2325978.582,1380296.778,1982086,1207468
976,0.22662895,2328793.7,1381980.969,1979916,1230469
977,0.22661608,2331593.148,1383683.268,1991002,1249750
978,0.22659478,2334371.43,1385399.983,2015055,1268161
979,0.22656522,2337123.051,1387127.426,2047707,1288002
980,0.22652756,2339842.515,1388861.907,2085516,1308325
981,0.22648197,2342524.326,1390599.737,2129717,1330077
982,0.2264286,2345162.987,1392337.225,2177853,1351834
983,0.22636761,2347752.866,1394070.6,2223652,1371456
984,0.22629918,2350284.59,1395793.817,2262959,1387496
985,0.2262235,2352744.682,1397498.338,2301135,1401774
986,0.22614075,2355119.455,1399175.501,2333403,1411999
987,0.22605111,2357395.225,1400816.641,2355924,1416397
988,0.22595475,2359558.304,1402413.095,2370464,1417205
989,0.22585186,2361595.009,1403956.198,2369301,1410466
990,0.2257426,2363491.651,1405437.287,2346556,1393266
991,0.22562713,2365234.547,1406847.697,2314715,1373839
992,0.22550561,2366810.009,1408178.766,2276983,1354057
993,0.22537818,2368204.352,1409421.829,2207161,1314638
994,0.225245,2369403.893,1410568.224,2084258,1238666
995,0.22510619,2370399.469,1411612.017,1918064,1132357
996,0.22496185,2371195.635,1412555.55,1703683,996569
997,0.22481205,2371799.534,1413402.731,1428474,828577
998,0.22465688,2372218.309,1414157.466,1110227,639720
999,0.22449642,2372459.106,1414823.66,724488,415255
1000,0.22433075,2372529.069,1415405.221,318472,181732
1001,0.22415995,2372435.341,1415906.054,81616,46340
1002,0.22398409,2372185.066,1416330.066,25212,14201
1003,0.22380327,2371785.389,1416681.163,18139,10016
1004,0.22361756,2371243.454,1416963.252,15902,8766
1005,0.22342704,2370566.404,1417180.238,,
1006,0.22323179,2369761.42,1417336.061,,
1007,0.22303187,2368835.89,1417434.85,,
1008,0.22282733,2367797.283,1417480.807,,
1009,0.22261823,2366653.069,1417478.136,,
1010,0.22240462,2365410.716,1417431.039,,
1011,0.22218656,2364077.693,1417343.719,,
1012,0.22196411,2362661.468,1417220.377,,
1013,0.22173733,2361169.511,1417065.217,,
1014,0.22150628,2359609.29,1416882.441,,
1015,0.22127103,2357988.274,1416676.251,,
1016,0.22103164,2356313.933,1416450.851,,
1017,0.22078821,2354592.767,1416209.788,,
1018,0.22054102,2352823.43,1415951.299,,
1019,0.22029042,2351000.76,1415671.04,,
1020,0.22003678,2349119.573,1415364.65,,
1021,0.21978045,2347174.683,1415027.77,,
1022,0.21952179,2345160.904,1414656.038,,
1023,0.21926115,2343073.051,1414245.094,,
1024,0.21899888,2340905.938,1413790.577,,
1025,0.21873533,2338654.38,1413288.126,,
1026,0.21847085,2336313.19,1412733.381,,
1027,0.21820578,2333877.184,1412121.982,,
1028,0.21794044,2331341.967,1411450.153,,
1029,0.21767488,2328708.806,1410718.318,,
1030,0.21740908,2325981.439,1409928.73,,
1031,0.21714302,2323163.61,1409083.649,,
1032,0.21687666,2320259.066,1408185.335,,
1033,0.21660998,2317271.554,1407236.049,,
1034,0.21634295,2314204.821,1406238.052,,
1035,0.21607555,2311062.611,1405193.602,,
1036,0.21580775,2307848.672,1404104.962,,
1037,0.21553955,2304566.751,1402974.391,,
1038,0.21527091,2301220.592,1401804.149,,
1039,0.21500189,2297814.487,1400596.615,,
1040,0.21473283,2294355.073,1399354.672,,
1041,0.21446414,2290849.62,1398081.341,,
1042,0.21419626,2287305.398,1396779.643,,
1043,0.21392961,2283729.677,1395452.599,,
1044,0.21366462,2280129.729,1394103.23,,
1045,0.21340175,2276512.823,1392734.556,,
1046,0.21314143,2272886.229,1391349.599,,
1047,0.21288412,2269257.218,1389951.378,,
1048,0.21263027,2265633.061,1388542.916,,
1049,0.21238034,2262020.975,1387127.213,,
1050,0.21213438,2258422.524,1385705.097,,
1051,0.21189169,2254828.587,1384273.295,,
1052,0.21165146,2251228.856,1382828.075,,
1053,0.21141287,2247613.022,1381365.707,,
1054,0.2111751,2243970.779,1379882.46,,
1055,0.21093733,2240291.819,1378374.605,,
1056,0.21069871,2236565.833,1376838.411,,
1057,0.21045841,2232782.513,1375270.147,,
1058,0.21021556,2228931.553,1373666.082,,
1059,0.2099693,2225002.644,1372022.487,,
1060,0.20971883,2220986.281,1370335.921,,
1061,0.20946411,2216882.469,1368606.388,,
1062,0.20920558,2212697.443,1366836.146,,
1063,0.20894372,2208437.544,1365027.493,,
1064,0.20867902,2204109.114,1363182.725,,
1065,0.20841194,2199718.494,1361304.14,,
1066,0.20814298,2195272.026,1359394.034,,
1067,0.20787264,2190776.052,1357454.706,,
1068,0.2076014,2186236.912,1355488.453,,
1069,0.20732978,2181660.949,1353497.571,,
1070,0.20705828,2177054.504,1351484.358,,
1071,0.20678746,2172423.86,1349450.952,,
1072,0.20651798,2167775.162,1347399.114,,
1073,0.20625051,2163114.534,1345330.548,,
1074,0.20598574,2158448.1,1343246.958,,
1075,0.20572437,2153781.983,1341150.049,,
1076,0.20546709,2149122.307,1339041.524,,
1077,0.2052146,2144475.197,1336923.089,,
1078,0.20496764,2139846.777,1334796.446,,
1079,0.2047269,2135243.169,1332663.3,,
1080,0.20449314,2130670.499,1330525.355,,
1081,0.20426701,2126134.623,1328384.358,,
1082,0.20404867,2121639.375,1326242.363,,
1083,0.20383805,2117187.651,1324101.571,,
1084,0.20363507,2112782.348,1321964.184,,
1085,0.20343965,2108426.358,1319832.401,,
1086,0.20325171,2104122.577,1317708.424,,
1087,0.20307118,2099873.896,1315594.453,,
1088,0.20289797,2095683.212,1313492.69,,
1089,0.20273201,2091553.418,1311405.335,,
1090,0.20257322,2087487.407,1309334.589,,
1091,0.20242153,2083487.935,1307282.548,,
1092,0.20227698,2079554.699,1305248.991,,
1093,0.20213978,2075684.409,1303231.439,,
1094,0.2020101,2071873.651,1301227.316,,
1095,0.20188813,2068119.011,1299234.048,,
1096,0.20177408,2064417.075,1297249.059,,
1097,0.20166812,2060764.429,1295269.776,,
1098,0.20157044,2057157.659,1293293.623,,
1099,0.20148124,2053593.351,1291318.026,,
1100,0.20140069,2050068.091,1289340.409,,
1101,0.201329,2046578.512,1287358.23,,
1102,0.20126629,2043124.21,1285370.939,,
1103,0.20121266,2039709.49,1283381.157,,
1104,0.20116816,2036339.074,1281391.784,,
1105,0.20113287,2033017.682,1279405.72,,
1106,0.20110685,2029750.036,1277425.866,,
1107,0.20109018,2026540.859,1275455.121,,
1108,0.20108293,2023394.872,1273496.388,,
1109,0.20108516,2020316.796,1271552.566,,
1110,0.20109694,2017311.353,1269626.556,,
1111,0.20111834,2014383.268,1267721.245,,
1112,0.20115015,2011537.604,1265837.63,,
1113,0.20119466,2008780.12,1263972.85,,
1114,0.20125431,2006116.66,1262123.571,,
1115,0.20133158,2003553.067,1260286.461,,
1116,0.20142896,2001095.185,1258458.185,,
1117,0.20154893,1998748.857,1256635.412,,
1118,0.20169401,1996519.927,1254814.808,,
1119,0.20186671,1994414.239,1252993.04,,
