Batch Number,B2500016,,,,,,
Category,Pet Food,,,,,,
Specie,Dog,,,,,,
Family,Healthcare,,,,,,
Brand,PETFLAKES,,,,,,
Product Code,DDF040002,,,,,,
Product name,PETFLAKES Performance High Protein - Adult Dog 4 Kg,,,,,,
NIR-Code,M20260202-00083,,,,,,
FileTitle:,IAS_Spectrum,,,,,,
Head:,Reference,Sample,,,,,
System Temp hundredths:,2472,2536,,,,,
Detector Temp hundredths:,0,0,,,,,
Humidity hundredths:,5139,5084,,,,,
Lamp PD:,94,93,,,,,
Tec Temp:,0,,,,,,
Product SN:,8B6YK9LO,,,,,,
Serial Number:,5B25203,,,,,,
Scan Config Name:,IAS5100,,,,,,
Scan Config Type:,2,,,,,,
Start wavelength in nm:,900,,,,,,
End wavelength in nm:,1700,,,,,,
Pattern Pixel Width:,13,,,,,,
Exposure Time:,0,,,,,,
Measurement points:,105,,,,,,
Number of Measurement points:,801,,,,,,
Num Repeats:,90,90,,,,,
PGA Gain:,64,64,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,
900,0.28783262,1465253.899,755231.7882,6193,2511,,
901,0.28755619,1488381.749,767640.9651,5999,2267,,
902,0.28727334,1511304.256,779971.1948,5790,2039,,
903,0.28698396,1533996.975,792210.4087,6053,1966,,
904,0.28668792,1556435.464,804346.5383,7172,2089,,
905,0.28638509,1578595.281,816367.515,8892,2372,,
906,0.28607529,1600451.982,828261.2703,11403,3003,,
907,0.28575837,1621981.125,840015.7356,15153,3690,,
908,0.28543413,1643158.267,851618.8424,21082,5037,,
909,0.28510237,1663958.965,863058.5221,30370,7064,,
910,0.28476285,1684358.777,874322.7061,47549,11205,,
911,0.28441533,1704333.261,885399.326,77923,19186,,
912,0.28405987,1723864.729,896279.1932,127288,32572,,
913,0.28369763,1742961.183,906964.0673,196637,52301,,
914,0.28333002,1761636.727,917458.3092,275828,74902,,
915,0.28295835,1779905.463,927766.2799,349623,96307,,
916,0.28258392,1797781.494,937892.3403,414777,114786,,
917,0.28220794,1815278.925,947840.8513,477036,131394,,
918,0.28183162,1832411.859,957616.1737,540899,147111,,
919,0.2814561,1849194.399,967222.6685,608509,162699,,
920,0.28108251,1865640.648,976664.6966,678917,178029,,
921,0.28071192,1881764.71,985946.6189,752768,193338,,
922,0.2803454,1897580.689,995072.7963,829706,208468,,
923,0.27998398,1913102.687,1004047.59,908837,223511,,
924,0.27962869,1928344.212,1012875.043,988685,238211,,
925,0.27928053,1943311.823,1021555.497,1070809,253830,,
926,0.27894051,1958007.575,1030086.894,1154001,270827,,
927,0.2786096,1972433.45,1038467.137,1238561,288644,,
928,0.27828877,1986591.427,1046694.13,1323946,306634,,
929,0.27797894,2000483.489,1054765.773,1411735,324072,,
930,0.27768104,2014111.615,1062679.971,1501204,340718,,
931,0.27739596,2027477.786,1070434.626,1593846,357001,,
932,0.27712458,2040583.983,1078027.64,1687265,372052,,
933,0.27686778,2053432.188,1085456.916,1779802,385839,,
934,0.27662641,2066024.38,1092720.357,1869319,398475,,
935,0.27640133,2078362.541,1099815.865,1955025,410702,,
936,0.27619334,2090448.324,1106741.239,2036101,424244,,
937,0.27600263,2102275.594,1113491.78,2108600,438789,,
938,0.27582873,2113830.276,1120060.245,2171747,453269,,
939,0.27567116,2125097.937,1126439.278,2224594,467251,,
940,0.27552948,2136064.146,1132621.522,2267837,482724,,
941,0.27540325,2146714.469,1138599.619,2301329,501679,,
942,0.27529206,2157034.474,1144366.214,2326142,529363,,
943,0.27519552,2167009.729,1149913.947,2342557,571463,,
944,0.27511326,2176625.801,1155235.464,2349900,631159,,
945,0.27504493,2185868.257,1160323.406,2351478,706452,,
946,0.2749902,2194722.666,1165170.417,2364661,790784,,
947,0.27494876,2203174.595,1169769.14,2409360,878331,,
948,0.27492029,2211210.213,1174112.575,2485702,968287,,
949,0.27490418,2218830.027,1178202.265,2579130,1059560,,
950,0.27489947,2226049.168,1182048.46,2658411,1141185,,
951,0.27490522,2232883.427,1185661.803,2719021,1215607,,
952,0.27492051,2239348.594,1189052.938,2772691,1290164,,
953,0.27494445,2245460.46,1192232.51,2815026,1358591,,
954,0.27497616,2251234.815,1195211.16,2840501,1410472,,
955,0.27501476,2256687.449,1197999.534,2849989,1443200,,
956,0.27505943,2261834.152,1200608.274,2846459,1457899,,
957,0.2751093,2266690.715,1203048.024,2829818,1456328,,
958,0.27516356,2271272.929,1205329.427,2800535,1441132,,
959,0.2752214,2275596.582,1207463.128,2762666,1416860,,
960,0.27528198,2279677.757,1209459.915,2718669,1387450,,
961,0.27534456,2283536.011,1211332.321,2666900,1354875,,
962,0.27540838,2287193.196,1213094.033,2604231,1315956,,
963,0.27547272,2290671.205,1214758.753,2527968,1265511,,
964,0.27553683,2293991.93,1216340.187,2457336,1209660,,
965,0.27559998,2297177.264,1217852.04,2420305,1158950,,
966,0.27566144,2300249.099,1219308.016,2375205,1093700,,
967,0.27572047,2303229.327,1220721.82,2314493,1026929,,
968,0.27577635,2306139.841,1222107.157,2253256,984533,,
969,0.27582834,2309002.533,1223477.731,2196077,967505,,
970,0.27587571,2311839.296,1224847.248,2145319,967461,,
971,0.27591773,2314672.022,1226229.411,2101147,977761,,
972,0.27595376,2317517.995,1227635.258,2059613,992416,,
973,0.27598349,2320375.194,1229064.651,2023393,1014757,,
974,0.27600668,2323236.536,1230514.524,1996281,1042211,,
975,0.27602314,2326094.943,1231981.811,1981692,1068538,,
976,0.27603264,2328943.334,1233463.446,1979666,1090920,,
977,0.27603496,2331774.63,1234956.364,1991102,1109159,,
978,0.27602989,2334581.749,1236457.498,2015281,1126383,,
979,0.27601722,2337357.613,1237963.783,2048043,1144033,,
980,0.27599674,2340095.141,1239472.153,2086120,1162273,,
981,0.27596823,2342787.252,1240979.543,2130651,1181638,,
982,0.27593148,2345426.868,1242482.886,2178736,1200951,,
983,0.2758863,2348006.831,1243979.034,2224119,1218260,,
984,0.27583287,2350517.883,1245462.585,2263642,1232659,,
985,0.27577185,2352948.464,1246925.666,2301288,1245511,,
986,0.27570387,2355286.896,1248360.277,2333434,1255205,,
987,0.27562959,2357521.501,1249758.418,2355844,1260098,,
988,0.27554964,2359640.6,1251112.09,2370488,1262310,,
989,0.27546465,2361632.515,1252413.292,2369174,1257771,,
990,0.27537526,2363485.568,1253654.025,2346816,1243285,,
991,0.27528207,2365188.081,1254826.29,2314716,1226251,,
992,0.27518572,2366728.375,1255922.086,2277017,1208160,,
993,0.27508681,2368094.772,1256933.414,2207306,1172006,,
994,0.27498594,2369275.596,1257852.275,2084526,1103351,,
995,0.27488351,2370262.904,1258673.285,1918234,1007018,,
996,0.27477922,2371060.077,1259398.983,1703998,885213,,
997,0.27467268,2371672.634,1260033.409,1428962,735819,,
998,0.27456349,2372106.097,1260580.601,1110460,568012,,
999,0.27445124,2372365.984,1261044.596,724635,368727,,
1000,0.27433554,2372457.817,1261429.433,318501,161349,,
1001,0.27421598,2372387.114,1261739.15,81601,41049,,
1002,0.27409216,2372159.396,1261977.785,25093,12562,,
1003,0.27396368,2371780.183,1262149.376,17990,8963,,
1004,0.27383014,2371254.995,1262257.961,15791,7822,,
1005,0.27369114,2370589.352,1262307.58,,,,
1006,0.27354633,2369789.105,1262302.297,,,,
1007,0.27339566,2368862.107,1262246.348,,,,
1008,0.27323921,2367816.959,1262144.032,,,,
1009,0.27307705,2366662.264,1261999.647,,,,
1010,0.27290926,2365406.624,1261817.493,,,,
1011,0.27273592,2364058.642,1261601.868,,,,
1012,0.2725571,2362626.92,1261357.07,,,,
1013,0.27237289,2361120.063,1261087.399,,,,
1014,0.27218335,2359546.671,1260797.153,,,,
1015,0.27198859,2357915.348,1260490.631,,,,
1016,0.27178868,2356234.697,1260172.132,,,,
1017,0.27158373,2354512.202,1259845.301,,,,
1018,0.271374,2352746.28,1259508.485,,,,
1019,0.27115983,2350930.94,1259157.456,,,,
1020,0.27094156,2349060.164,1258787.97,,,,
1021,0.27071951,2347127.933,1258395.781,,,,
1022,0.27049402,2345128.227,1257976.644,,,,
1023,0.27026541,2343055.029,1257526.315,,,,
1024,0.270034,2340902.318,1257040.55,,,,
1025,0.26980013,2338664.076,1256515.102,,,,
1026,0.26956411,2336334.283,1255945.727,,,,
1027,0.26932625,2333906.921,1255328.181,,,,
1028,0.26908686,2331376.951,1254658.806,,,,
1029,0.26884607,2328746.34,1253938.15,,,,
1030,0.26860396,2326020.112,1253168.597,,,,
1031,0.26836062,2323203.306,1252352.535,,,,
1032,0.26811612,2320300.958,1251492.354,,,,
1033,0.26787055,2317318.104,1250590.444,,,,
1034,0.26762399,2314259.782,1249649.195,,,,
1035,0.26737654,2311131.028,1248670.996,,,,
1036,0.26712829,2307936.879,1247658.237,,,,
1037,0.26687932,2304682.372,1246613.308,,,,
1038,0.26662974,2301372.545,1245538.599,,,,
1039,0.26637965,2298012.399,1244436.423,,,,
1040,0.26612928,2294606.796,1243308.773,,,,
1041,0.26587884,2291160.556,1242157.552,,,,
1042,0.26562858,2287678.5,1240984.662,,,,
1043,0.26537873,2284165.45,1239792.008,,,,
1044,0.26512953,2280626.225,1238581.493,,,,
1045,0.26488123,2277065.648,1237355.021,,,,
1046,0.26463407,2273488.54,1236114.494,,,,
