Batch Number,B2500016,,,,
Category,Pet Food,,,,
Specie,Dog,,,,
Family,Healthcare,,,,
Brand,PETFLAKES,,,,
Product Code,DDF040002,,,,
Product name,PETFLAKES Performance High Protein - Adult Dog 4 Kg,,,,
NIR-Code,M20260202-00083,,,,
Serial Number:,5B25203,,,,
Scan Config Name:,IAS5100,,,,
Scan Config Type:,2,,,,
Start wavelength in nm:,900,,,,
End wavelength in nm:,1700,,,,
Pattern Pixel Width:,13,,,,
Exposure Time:,0,,,,
Measurement points:,105,,,,
Number of Measurement points:,801,,,,
Num Repeats:,90,90,,,
PGA Gain:,64,64,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original
900,0.28283797,1465253.899,763967.55,6193,2471
901,0.28256384,1488381.749,776516.1519,5999,2238
902,0.28228198,1511304.256,788987.1358,5790,2138
903,0.28199257,1533996.975,801367.8913,6053,2055
904,0.28169573,1556435.464,813645.8081,7172,2190
905,0.28139157,1578595.281,825808.2758,8892,2480
906,0.28108017,1600451.982,837842.684,11403,3113
907,0.28076156,1621981.125,849736.4224,15153,3855
908,0.28043577,1643158.267,861476.8807,21082,5157
909,0.28010277,1663958.965,873051.4485,30370,7277
910,0.27976254,1684358.777,884447.5154,47549,11439
911,0.27941499,1704333.261,895652.4712,77923,19390
912,0.27906032,1723864.729,906656.686,127288,33064
913,0.2786997,1742961.183,917461.8617,196637,52933
914,0.2783345,1761636.727,928072.3919,275828,75951
915,0.27796605,1779905.463,938492.6703,349623,97505
916,0.2775956,1797781.494,948727.0909,414777,116166
917,0.27722438,1815278.925,958780.0473,477036,132957
918,0.27685355,1832411.859,968655.9334,540899,148950
919,0.27648426,1849194.399,978359.1429,608509,164829
920,0.27611762,1865640.648,987894.0695,678917,180296
921,0.2757547,1881764.71,997265.1072,752768,195809
922,0.27539655,1897580.689,1006476.65,829706,211166
923,0.2750442,1913102.687,1015533.09,908837,226308
924,0.27469865,1928344.212,1024438.532,988685,241310
925,0.27436076,1943311.823,1033193.671,1070809,257380
926,0.27403127,1958007.575,1041796.998,1154001,274331
927,0.27371092,1972433.45,1050246.967,1238561,292542
928,0.27340045,1986591.427,1058542.033,1323946,310875
929,0.27310055,2000483.489,1066680.649,1411735,328487
930,0.27281194,2014111.615,1074661.27,1501204,345374
931,0.27253528,2027477.786,1082482.35,1593846,362029
932,0.27227126,2040583.983,1090142.343,1687265,377562
933,0.27202056,2053432.188,1097639.703,1779802,391546
934,0.27178382,2066024.38,1104972.884,1869319,404382
935,0.27156171,2078362.541,1112140.341,1955025,416994
936,0.27135486,2090448.324,1119140.398,2036101,430794
937,0.27116348,2102275.594,1125968.307,2108600,445754
938,0.27098735,2113830.276,1132616.189,2171747,460487
939,0.27082624,2125097.937,1139076.021,2224594,474910
940,0.27067994,2136064.146,1145339.784,2267837,490816
941,0.27054826,2146714.469,1151399.454,2301329,510372
942,0.27043102,2157034.474,1157247.012,2326142,538611
943,0.27032804,2167009.729,1162874.436,2342557,581728
944,0.27023917,2176625.801,1168273.705,2349900,642363
945,0.27016428,2185868.257,1173436.797,2351478,718447
946,0.27010325,2194722.666,1178355.691,2364661,803311
947,0.27005596,2203174.595,1183022.365,2409360,891278
948,0.27002232,2211210.213,1187429.172,2485702,981814
949,0.2700018,2218830.027,1191577.334,2579130,1073497
950,0.26999348,2226049.168,1195477.127,2658411,1155377
951,0.26999644,2232883.427,1199139.234,2719021,1230095
952,0.27000977,2239348.594,1202574.335,2772691,1304951
953,0.27003261,2245460.46,1205793.115,2815026,1373588
954,0.2700641,2251234.815,1208806.255,2840501,1425787
955,0.27010339,2256687.449,1211624.437,2849989,1458638
956,0.27014966,2261834.152,1214258.344,2846459,1473468
957,0.2702021,2266690.715,1216718.658,2829818,1471806
958,0.2702599,2271272.929,1219016.062,2800535,1456558
959,0.27032226,2275596.582,1221161.238,2762666,1431977
960,0.2703884,2279677.757,1223165.047,2718669,1402318
961,0.27045742,2283536.011,1225040.489,2666900,1369436
962,0.27052838,2287193.196,1226801.976,2604231,1330458
963,0.27060034,2290671.205,1228463.943,2527968,1279501
964,0.27067236,2293991.93,1230040.827,2457336,1223617
965,0.2707435,2297177.264,1231547.064,2420305,1172981
966,0.27081282,2300249.099,1232997.091,2375205,1107688
967,0.27087939,2303229.327,1234405.343,2314493,1040862
968,0.27094228,2306139.841,1235786.257,2253256,998116
969,0.27100055,2309002.533,1237154.268,2196077,980267
970,0.27105328,2311839.296,1238523.813,2145319,979753
971,0.27109953,2314672.022,1239909.329,2101147,989913
972,0.27113853,2317517.995,1241322.39,2059613,1004346
973,0.27117004,2320375.194,1242762.583,2023393,1026550
974,0.27119403,2323236.536,1244226.355,1996281,1054015
975,0.27121043,2326094.943,1245710.155,1981692,1080071
976,0.27121919,2328943.334,1247210.427,1979666,1102356
977,0.27122025,2331774.63,1248723.621,1991102,1120660
978,0.27121355,2334581.749,1250246.183,2015281,1137858
979,0.27119904,2337357.613,1251774.56,2048043,1156004
980,0.27117667,2340095.141,1253305.199,2086120,1174618
981,0.27114639,2342787.252,1254834.548,2130651,1194152
982,0.27110812,2345426.868,1256359.053,2178736,1213870
983,0.27106184,2348006.831,1257875.087,2224119,1231437
984,0.2710078,2350517.883,1259376.996,2263642,1245979
985,0.27094662,2352948.464,1260856.896,2301288,1259203
986,0.2708789,2355286.896,1262306.794,2333434,1269131
987,0.27080525,2357521.501,1263718.694,2355844,1274004
988,0.27072629,2359640.6,1265084.603,2370488,1276282
989,0.27064261,2361632.515,1266396.524,2369174,1271785
990,0.27055481,2363485.568,1267646.464,2346816,1257172
991,0.27046347,2365188.081,1268826.427,2314716,1239931
992,0.27036918,2366728.375,1269928.418,2277017,1221861
993,0.27027251,2368094.772,1270944.444,2207306,1185292
994,0.27017405,2369275.596,1271866.51,2084526,1115713
995,0.27007414,2370262.904,1272689.256,1918234,1018530
996,0.26997249,2371060.077,1273415.308,1703998,895464
997,0.26986868,2371672.634,1274048.8,1428962,744342
998,0.26976229,2372106.097,1274593.865,1110460,574742
999,0.26965289,2372365.984,1275054.639,724635,372886
1000,0.26954008,2372457.817,1275435.256,318501,163211
1001,0.26942343,2372387.114,1275739.849,81601,41710
1002,0.26930254,2372159.396,1275972.553,25093,12861
1003,0.26917696,2371780.183,1276137.503,17990,9113
1004,0.2690463,2371254.995,1276238.832,15791,7916
1005,0.26891014,2370589.352,1276280.675,,
1006,0.26876809,2369789.105,1276267.206,,
1007,0.26862007,2368862.107,1276202.847,,
1008,0.2684661,2367816.959,1276092.108,,
1009,0.2683062,2366662.264,1275939.504,,
1010,0.26814039,2365406.624,1275749.545,,
1011,0.26796868,2364058.642,1275526.745,,
1012,0.26779109,2362626.92,1275275.616,,
1013,0.26760766,2361120.063,1275000.671,,
1014,0.2674184,2359546.671,1274706.421,,
1015,0.26722334,2357915.348,1274397.379,,
1016,0.26702251,2356234.697,1274078.059,,
1017,0.26681598,2354512.202,1273752.265,,
1018,0.26660408,2352746.28,1273418.082,,
1019,0.26638731,2350930.94,1273070.809,,
1020,0.26616614,2349060.164,1272705.73,,
1021,0.26594105,2347127.933,1272318.127,,
1022,0.26571251,2345128.227,1271903.283,,
1023,0.26548099,2343055.029,1271456.48,,
1024,0.26524697,2340902.318,1270973,,
1025,0.26501091,2338664.076,1270448.127,,
1026,0.26477328,2336334.283,1269877.144,,
1027,0.26453454,2333906.921,1269255.331,,
1028,0.26429511,2331376.951,1268578.613,,
1029,0.26405517,2328746.34,1267847.487,,
1030,0.26381476,2326020.112,1267064.447,,
1031,0.26357393,2323203.306,1266231.995,,
1032,0.26333275,2320300.958,1265352.634,,
1033,0.26309125,2317318.104,1264428.864,,
1034,0.26284951,2314259.782,1263463.19,,
1035,0.26260759,2311131.028,1262458.111,,
1036,0.26236555,2307936.879,1261416.132,,
1037,0.26212345,2304682.372,1260339.752,,
1038,0.26188136,2301372.545,1259231.476,,
1039,0.26163935,2298012.399,1258093.797,,
1040,0.26139747,2294606.796,1256929.184,,
1041,0.26115576,2291160.556,1255740.097,,
1042,0.26091429,2287678.5,1254528.994,,
1043,0.26067309,2284165.45,1253298.337,,
1044,0.26043224,2280626.225,1252050.583,,
1045,0.26019178,2277065.648,1250788.195,,
1046,0.25995177,2273488.54,1249513.63,,
1047,0.25971228,2269899.72,1248229.35,,
1048,0.25947337,2266304.011,1246937.813,,
1049,0.25923511,2262706.196,1245641.463,,
1050,0.25899744,2259107.12,1244340.938,,
1051,0.25876005,2255500.177,1243033.463,,
1052,0.25852261,2251877.936,1241715.885,,
1053,0.25828479,2248232.964,1240385.052,,
1054,0.25804624,2244557.83,1239037.811,,
1055,0.25780662,2240845.101,1237671.009,,
1056,0.25756557,2237087.347,1236281.492,,
1057,0.25732275,2233277.135,1234866.109,,
1058,0.25707778,2229407.033,1233421.705,,
1059,0.2568303,2225469.61,1231945.129,,
1060,0.25657998,2221457.995,1230433.436,,
1061,0.2563269,2217371.98,1228886.164,,
1062,0.25607143,2213215.716,1227304.472,,
1063,0.25581394,2208993.432,1225689.551,,
1064,0.25555482,2204709.354,1224042.588,,
1065,0.25529444,2200367.71,1222364.774,,
1066,0.25503319,2195972.728,1220657.296,,
1067,0.25477147,2191528.636,1218921.345,,
1068,0.25450966,2187039.66,1217158.108,,
1069,0.25424817,2182510.03,1215368.775,,
1070,0.25398741,2177943.973,1213554.535,,
1071,0.25372775,2173346.323,1211716.962,,
1072,0.25346956,2168723.368,1209858.547,,
1073,0.2532132,2164081.609,1207981.917,,
1074,0.25295903,2159427.547,1206089.699,,
1075,0.25270741,2154767.685,1204184.522,,
1076,0.25245873,2150108.523,1202269.011,,
1077,0.25221335,2145456.563,1200345.796,,
1078,0.25197167,2140818.307,1198417.503,,
1079,0.25173407,2136200.256,1196486.759,,
1080,0.25150094,2131608.912,1194556.193,,
1081,0.25127271,2127050.52,1192628.269,,
1082,0.25104981,2122529.374,1190704.225,,
1083,0.25083276,2118048.872,1188784.73,,
1084,0.25062203,2113612.403,1186870.453,,
1085,0.25041813,2109223.36,1184962.06,,
1086,0.25022155,2104885.135,1183060.219,,
1087,0.2500328,2100601.117,1181165.597,,
1088,0.2498524,2096374.7,1179278.861,,
1089,0.24968084,2092209.274,1177400.68,,
1090,0.24951865,2088108.231,1175531.72,,
1091,0.24936634,2084074.813,1173672.608,,
1092,0.24922405,2080108.987,1171823.073,,
1093,0.24909159,2076207.52,1169981.967,,
1094,0.24896877,2072367.046,1168148.106,,
1095,0.24885537,2068584.199,1166320.308,,
1096,0.24875117,2064855.612,1164497.386,,
1097,0.24865597,2061177.92,1162678.159,,
1098,0.24856954,2057547.756,1160861.441,,
1099,0.24849166,2053961.755,1159046.049,,
1100,0.24842212,2050416.551,1157230.798,,
1101,0.24836068,2046908.822,1155414.522,,
1102,0.24830735,2043438.147,1153597.082,,
1103,0.2482625,2040008.703,1151779.976,,
1104,0.24822652,2036625.076,1149964.848,,
1105,0.24819983,2033291.853,1148153.34,,
1106,0.24818282,2030013.619,1146347.095,,
1107,0.2481759,2026794.963,1144547.757,,
1108,0.24817948,2023640.468,1142756.968,,
1109,0.24819397,2020554.723,1140976.371,,
1110,0.24821977,2017542.313,1139207.611,,
1111,0.24825732,2014607.826,1137452.32,,
1112,0.24830753,2011756.075,1135710.885,,
1113,0.24837244,2008992.328,1133981.145,,
1114,0.24845421,2006321.912,1132260.625,,
1115,0.248555,2003750.151,1130546.853,,
1116,0.248677,2001282.371,1128837.356,,
1117,0.24882238,1998923.898,1127129.66,,
1118,0.24899335,1996680.057,1125421.291,,
1119,0.24919211,1994556.173,1123709.778,,
