Batch Number,B2600069,,,,,,
Category,Pet Food,,,,,,
Specie,Dog,,,,,,
Family,Healthcare,,,,,,
Brand,PETFLAKES,,,,,,
Product Code,DDF100001,,,,,,
Product name,PETFLAKES Maintenance - Adult Dog 10 Kg,,,,,,
NIR-Code,M20260209-00094,,,,,,
FileTitle:,IAS_Spectrum,,,,,,
Head:,Reference,Sample,,,,,
System Temp hundredths:,1860,1904,,,,,
Detector Temp hundredths:,0,0,,,,,
Humidity hundredths:,7217,7076,,,,,
Lamp PD:,91,92,,,,,
Tec Temp:,0,,,,,,
Product SN:,8B6YK9LO,,,,,,
Serial Number:,5B25203,,,,,,
Scan Config Name:,IAS5100,,,,,,
Scan Config Type:,2,,,,,,
Start wavelength in nm:,900,,,,,,
End wavelength in nm:,1700,,,,,,
Pattern Pixel Width:,13,,,,,,
Exposure Time:,0,,,,,,
Measurement points:,105,,,,,,
Number of Measurement points:,801,,,,,,
Num Repeats:,90,90,,,,,
PGA Gain:,64,64,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,
991,0.34416294,2374236.434,1074882.584,2323495,1046050,,
992,0.34397014,2375795.44,1076065.995,2285922,1028387,,
993,0.34377202,2377172.782,1077181.1,2216292,994929,,
994,0.34356882,2378355.329,1078221.333,2093865,933939,,
995,0.34336073,2379334.358,1079182.126,1928916,851063,,
996,0.34314797,2380114.515,1080064.971,1715156,747090,,
997,0.34293074,2380702.969,1080872.506,1437140,618545,,
998,0.34270925,2381106.89,1081607.369,1114986,475171,,
999,0.34248371,2381333.449,1082272.197,726386,307308,,
1000,0.34225432,2381389.815,1082869.628,318456,134291,,
1001,0.34202129,2381283.158,1083402.3,81310,34419,,
1002,0.34178482,2381020.649,1083872.849,25239,11019,,
1003,0.34154514,2380609.457,1084283.914,18237,7881,,
1004,0.34130244,2380056.753,1084638.133,16031,6963,,
1005,0.34105695,2379369.706,1084938.142,,,,
1006,0.34080881,2378555.486,1085186.737,,,,
1007,0.34055779,2377621.247,1085387.662,,,,
1008,0.34030353,2376574.144,1085545.013,,,,
1009,0.34004566,2375421.328,1085662.89,,,,
1010,0.33978381,2374169.951,1085745.393,,,,
1011,0.33951762,2372827.166,1085796.62,,,,
1012,0.33924673,2371400.126,1085820.67,,,,
1013,0.33897079,2369895.983,1085821.643,,,,
1014,0.33868944,2368321.888,1085803.636,,,,
1015,0.33840232,2366684.996,1085770.75,,,,
1016,0.33810909,2364992.457,1085727.082,,,,
1017,0.33780948,2363250.521,1085676.115,,,,
1018,0.33750388,2361458.098,1085616.315,,,,
1019,0.33719301,2359610.537,1085543.714,,,,
1020,0.33687757,2357703.16,1085454.328,,,,
1021,0.33655827,2355731.291,1085344.171,,,,
1022,0.33623582,2353690.255,1085209.259,,,,
1023,0.33591091,2351575.374,1085045.608,,,,
1024,0.33558425,2349381.972,1084849.232,,,,
1025,0.33525652,2347105.374,1084616.148,,,,
1026,0.33492843,2344740.902,1084342.37,,,,
1027,0.33460067,2342283.881,1084023.914,,,,
1028,0.33427385,2339730.362,1083657.288,,,,
1029,0.33394818,2337081.616,1083242.533,,,,
1030,0.33362362,2334341.187,1082781.226,,,,
1031,0.33330016,2331512.628,1082274.953,,,,
1032,0.33297781,2328599.492,1081725.298,,,,
1033,0.33265655,2325605.334,1081133.846,,,,
1034,0.33233638,2322533.707,1080502.182,,,,
1035,0.33201729,2319388.164,1079831.891,,,,
1036,0.33169928,2316172.259,1079124.559,,,,
1037,0.33138236,2312889.545,1078381.769,,,,
1038,0.33106652,2309543.576,1077605.107,,,,
1039,0.33075178,2306138.352,1076796.35,,,,
1040,0.33043819,2302679.8,1075958.109,,,,
1041,0.33012579,2299174.367,1075093.219,,,,
1042,0.32981463,2295628.499,1074204.514,,,,
1043,0.32950479,2292048.644,1073294.83,,,,
1044,0.32919633,2288441.249,1072367,,,,
1045,0.3288893,2284812.76,1071423.86,,,,
1046,0.32858379,2281169.625,1070468.245,,,,
1047,0.32827987,2277518.289,1069502.989,,,,
