Batch Number,B2600076,,,,
Category,Livestock,,,,
Specie,Goat,,,,
Family,Dairy,,,,
Brand,FARMFLAKES,,,,
Product Code,PGNG250601,,,,
Product name,GOAT FEED - NEWBORN KID,,,,
NIR-Code,D20260211-00100,,,,
Serial Number:,5B25203,,,,
Scan Config Name:,IAS5100,,,,
Scan Config Type:,2,,,,
Start wavelength in nm:,900,,,,
End wavelength in nm:,1700,,,,
Pattern Pixel Width:,11,,,,
Exposure Time:,0,,,,
Measurement points:,420,,,,
Number of Measurement points:,801,,,,
Num Repeats:,90,90,,,
PGA Gain:,64,64,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original
900,0.0902413,1240124.167,1007450.847,5522,3625
901,0.09006177,1260084.795,1024089.715,5583,3680
902,0.08988362,1279925.38,1040641.241,5506,3657
903,0.08970717,1299568.733,1057041.605,5305,3389
904,0.0895343,1318834.991,1073139.447,5101,3364
905,0.08936676,1337538.86,1088778.794,5047,3214
906,0.08920334,1355643.497,1103931.58,5049,3176
907,0.08903782,1373391.112,1118810.188,4915,3077
908,0.08886387,1391054.486,1133653.342,5066,2959
909,0.08867843,1408764.289,1148576.432,4998,3035
910,0.08848615,1426268.209,1163362.468,5131,3105
911,0.08829252,1443250.065,1177739.036,5121,3016
912,0.0881016,1459492.367,1191516.955,5418,2948
913,0.08791359,1475152.798,1204823.463,5465,3200
914,0.08772791,1490478.178,1217860.977,5544,3323
915,0.08754437,1505671.251,1230795.189,5703,3361
916,0.08736413,1520704.862,1243600.252,6030,3429
917,0.08718869,1535477.149,1256188.072,6397,3610
918,0.08701912,1549915.745,1268495.619,6672,3621
919,0.08685426,1564154.137,1280634.764,7044,3903
920,0.08669217,1578413.419,1292791.815,7448,4085
921,0.08653129,1592829.303,1305082.449,7922,4268
922,0.08637214,1606756.229,1316975.986,8382,4516
923,0.08621598,1619130.895,1327596.146,8882,4884
924,0.08606358,1629048.163,1336196.538,9475,5071
925,0.08591486,1637496.441,1343586.096,10333,5434
926,0.08576988,1646690.098,1351580.743,11015,5900
927,0.08562948,1658701.365,1361879.622,11801,6328
928,0.08549533,1673220.652,1374225.14,12602,6639
929,0.08536886,1688131.896,1386875.624,13733,7174
930,0.08525086,1701355.235,1398119.008,14902,7644
931,0.08514248,1712258.236,1407429.922,16093,8437
932,0.08504564,1721455.637,1415305.51,17343,9007
933,0.08496229,1729615.535,1422287.165,18813,9874
934,0.0848915,1737670.034,1429143.408,20607,10715
935,0.08482968,1746802.231,1436858.681,22421,11732
936,0.08477352,1758145.195,1446376.048,24559,12964
937,0.08472408,1771403.74,1457449.365,27291,14257
938,0.08468656,1784826.72,1468620.209,30283,15825
939,0.08466568,1796647.521,1478417.866,33971,17835
940,0.08465795,1806387.384,1486459.01,37973,20101
941,0.08465151,1814936.279,1493515.982,43161,22622
942,0.08463482,1823232.644,1500400.742,48605,25719
943,0.08460945,1831745.376,1507494.227,54866,29062
944,0.08459072,1840437.394,1514712.911,62240,33103
945,0.08459388,1849226.778,1521935.659,70370,37499
946,0.08462159,1857522.89,1528665.912,79575,42632
947,0.08466355,1864194.421,1534008.096,89954,48336
948,0.0847094,1868162.165,1537110.802,101768,54921
949,0.08475518,1870212.855,1538635.9,114558,62151
950,0.08480312,1873036.418,1540788.755,128797,70150
951,0.08485546,1879275.462,1545734.791,143841,78517
952,0.08491434,1888764.049,1553328.715,159590,87389
953,0.08498216,1898660.61,1561223.869,176505,96760
954,0.08506122,1906124.853,1567076.215,193627,106357
955,0.08514611,1910254.429,1570164.331,211113,116063
956,0.08522447,1911825.537,1571172.224,227729,125261
957,0.08528462,1911709.449,1570859.231,245656,135250
958,0.08532973,1911365.663,1570413.615,262748,144531
959,0.08537429,1912704.491,1571352.371,277602,152665
960,0.08543182,1917434.142,1575029.312,293892,161553
961,0.0855027,1924704.215,1580743.102,308518,169613
962,0.08557909,1931976.907,1586437.036,322901,177417
963,0.08565364,1936934.364,1590234.852,336723,184730
964,0.08572106,1939622.477,1592194.598,348901,191061
965,0.08577694,1941389.663,1593440.211,363126,198647
966,0.08581799,1943452.908,1594982.892,376793,205797
967,0.08585053,1945963.67,1596923.808,388776,211830
968,0.08588517,1948598.29,1598958.345,403930,219792
969,0.08592916,1951085.266,1600836.898,417045,226271
970,0.0859711,1953457.736,1602628.719,430341,233049
971,0.0859931,1955854.923,1604514.096,443890,239808
972,0.08598378,1958390.87,1606628.974,457846,246532
973,0.08595863,1961073.632,1608923.026,471613,253238
974,0.08594008,1963883.482,1611297.135,486535,260506
975,0.08594195,1966746.694,1613639.361,500664,267237
976,0.08595211,1969424.484,1615798.579,514914,274082
977,0.08595363,1971647.777,1617617.015,529501,280768
978,0.08593608,1973372.85,1619097.76,544206,287749
979,0.08590321,1975050.831,1620597.153,559257,294684
980,0.08586059,1977192.522,1622513.69,571118,299874
981,0.08581047,1979937.115,1624953.475,589016,308188
982,0.08574982,1982843.393,1627565.945,605691,315815
983,0.0856753,1985432.291,1629970.626,617791,321101
984,0.0855876,1987568.937,1632054.283,636743,329507
985,0.08549186,1989495.931,1633996.766,652609,336529
986,0.08539331,1991462.079,1635982.797,668520,343534
987,0.08529469,1993526.745,1638050.856,684671,350533
988,0.08519685,1995606.524,1640129.203,697515,355689
989,0.08510007,1997636.421,1642163.434,716104,363783
990,0.08500009,1999735.566,1644267.523,733798,371416
991,0.08489049,2002115.161,1646639.642,747865,377311
992,0.08476639,2004759.578,1649285.755,768641,386323
993,0.08463041,2006503.225,1651237.173,785205,393450
994,0.08448712,2005818.656,1651218.504,801874,400272
995,0.08433971,2002208.022,1648805.715,818720,407445
996,0.08418863,1998297.284,1646157.826,836115,414790
997,0.08403465,1997281.191,1645904.232,852708,421983
998,0.0838796,2000265.591,1648952.182,870953,429829
999,0.08372542,2004541.184,1653063.619,887877,437057
1000,0.08357305,2007059.165,1655720.86,904429,444352
1001,0.08342096,2006633.241,1655949.341,922106,451839
1002,0.08326558,2004140.105,1654483.709,939462,459499
1003,0.08310375,2000591.471,1652169.721,956887,467347
1004,0.08293475,1997334.252,1650121.774,968661,472257
1005,0.08275978,1995936.733,1649631.675,991509,482757
1006,0.08258096,1997548.176,1651643.445,1011294,491756
1007,0.08240256,2000759.698,1654978.544,1023165,496813
1008,0.08222888,2003205.839,1657664.736,1046217,507340
1009,0.08206111,2003285.254,1658370.957,1064185,515639
1010,0.08189298,2001824.736,1657803.562,1081582,523174
1011,0.08171722,2000124.871,1657066.324,1099442,531253
1012,0.08153092,1998997.589,1656842.968,1111237,536228
1013,0.08133809,1998427.914,1657106.396,1133079,545997
1014,0.08114323,1998287.027,1657733.218,1153458,555150
1015,0.08094788,1997771.05,1658050.815,1167075,560861
1016,0.08075055,1995454.682,1656880.988,1192258,572025
1017,0.08054947,1990264.841,1653337.06,1210622,579796
1018,0.08034581,1984175.169,1649051.431,1228648,587502
1019,0.08014339,1980639.256,1646880.139,1247704,595416
1020,0.07994517,1981867.71,1648653.898,1267344,603714
1021,0.0797458,1985333.602,1652295.403,1286101,611532
1022,0.07953677,1987406.438,1654816.786,1306504,619971
1023,0.07931708,1986003.443,1654485.335,1325694,627795
1024,0.07910133,1981853.402,1651848.425,1344343,635307
1025,0.07890528,1976011.398,1647722.858,1364299,643165
1026,0.07872414,1970090.334,1643470.835,1383877,650787
1027,0.07853459,1966207.994,1640948.194,1403711,658473
1028,0.07831771,1966053.17,1641638.575,1414136,661619
1029,0.07808655,1968112.827,1644233.314,1441382,672321
1030,0.07786685,1969478.832,1646207.091,1464147,680813
1031,0.07767299,1968185.388,1645860.473,1474665,683647
1032,0.07748812,1965171.938,1644040.187,1501665,693981
1033,0.07729039,1961916.017,1642063.785,1520921,700695
1034,0.07707495,1959156.797,1640568.028,1539021,706806
1035,0.07686004,1956613.991,1639249.697,1557558,712986
1036,0.07666385,1953960.393,1637766.211,1566900,714987
1037,0.0764857,1951183.967,1636110.06,1590066,723174
