Batch Number,B2600087,,,,
Category,Poultry,,,,
Specie,Chicken,,,,
Family,Layer Baladi,,,,
Brand,FARMFLAKES,,,,
Product Code,PPES250101,,,,
Product name,CHICKEN FEED - BALADI STARTER,,,,
NIR-Code,D20260214-00105,,,,
Serial Number:,5B25203,,,,
Scan Config Name:,IAS5100,,,,
Scan Config Type:,2,,,,
Start wavelength in nm:,900,,,,
End wavelength in nm:,1700,,,,
Pattern Pixel Width:,11,,,,
Exposure Time:,0,,,,
Measurement points:,420,,,,
Number of Measurement points:,801,,,,
Num Repeats:,90,90,,,
PGA Gain:,64,64,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original
900,0.06428841,1241060.711,1070297.76,5565,3889
901,0.06413773,1261034.616,1087900.768,5627,3947
902,0.06399491,1280886.245,1105390.298,5593,3699
903,0.06386224,1300545.063,1122698.548,5442,3623
904,0.06373324,1319831.383,1139686.005,5206,3304
905,0.06360119,1338559.639,1156209.505,5176,3389
906,0.06346262,1356690.719,1172244.585,5126,3289
907,0.06331961,1374460.813,1187989.916,5010,3122
908,0.06317482,1392136.27,1203668.604,4968,3180
909,0.06302986,1409843.599,1219385.629,5048,3059
910,0.06288363,1427332.439,1234927.611,5028,3027
911,0.06273451,1444289.581,1250028.086,5114,3018
912,0.06258161,1460502.715,1264505.613,5224,3077
913,0.06242705,1476143.087,1278501.989,5427,3234
914,0.06227365,1491473.072,1292235.808,5651,3223
915,0.06212322,1506703.174,1305883.641,5592,3253
916,0.06197254,1521773.334,1319402.871,5924,3522
917,0.06181685,1536535.572,1332679.659,6122,3626
918,0.06165296,1550881.014,1345629.555,6523,3704
919,0.06148792,1564973.66,1358373.217,6813,3862
920,0.06133286,1579093.647,1371118.598,7295,4140
921,0.06119733,1593429.447,1383998.14,7732,4281
922,0.06107873,1607330.041,1396453.033,8259,4650
923,0.06096806,1619695.539,1407554.854,8858,4727
924,0.06085695,1629586.998,1416513.114,9362,5049
925,0.06074486,1637994.937,1424189.215,9991,5406
926,0.06063666,1647159.097,1432514.061,10793,5893
927,0.0605374,1659175.016,1443293.984,11617,6224
928,0.0604473,1673720.519,1456248.993,12558,6741
929,0.06036246,1688639.733,1469516.747,13443,7174
930,0.06027904,1701814.953,1481266.81,14385,7575
931,0.06020158,1712623.03,1490940.099,15626,8379
932,0.06014192,1721728.602,1499072.988,16938,8928
933,0.06011136,1729848.956,1506249.192,18416,9775
934,0.06010706,1737922.707,1513294.291,19977,10603
935,0.06011295,1747098.874,1521263.798,21904,11542
936,0.06011329,1758475.445,1531168.621,24035,12773
937,0.0601063,1771736.474,1542740.294,26725,13964
938,0.06010404,1785124.647,1554406.16,29496,15551
939,0.06011843,1796868.964,1564580.727,32967,17412
940,0.06015198,1806515.123,1572858.383,36899,19511
941,0.06019746,1815008.203,1580087.489,41717,22087
942,0.0602475,1823340.788,1587158.692,47017,24959
943,0.06030054,1831971.286,1594476.505,53063,28237
944,0.06036122,1840782.484,1601921.591,60011,32156
945,0.06043427,1849611.603,1609334.313,67649,36574
946,0.06052099,1857857.38,1616186.139,76595,41422
947,0.06061926,1864452.528,1621556.461,86508,47106
948,0.06072701,1868383.163,1624571.894,97990,53471
949,0.06084146,1870446.252,1625937.227,110243,60503
950,0.06095846,1873285.769,1627966.928,124313,68366
951,0.06107346,1879497.931,1632933.115,139093,76759
952,0.06118755,1888914.544,1640683.299,154659,85504
953,0.06130793,1898733.832,1648755.132,171600,94797
954,0.06144207,1906155.268,1654688.314,188943,104435
955,0.06158907,1910285.611,1657712.591,206682,114176
956,0.06174034,1911883.621,1658521.536,223557,123321
957,0.06188747,1911802.843,1657889.707,241833,133200
958,0.06203048,1911493.81,1657075.962,259252,142714
959,0.06217558,1912864.589,1657710.33,274514,150938
960,0.06232796,1917620.893,1661249.248,291224,159938
961,0.062485,1924904.724,1666956.38,306315,168015
962,0.06263985,1932167.322,1672649.262,320946,175698
963,0.06278679,1937082.477,1676336.966,335083,183214
964,0.06292399,1939712.875,1678083.077,347357,189507
965,0.06305119,1941437.59,1679083.303,361885,196953
966,0.06316819,1943499.489,1680413.82,375644,204103
967,0.06327776,1946039.764,1682185.748,387808,210211
968,0.06338416,1948708.373,1684079.892,402902,217842
969,0.06349059,1951211.882,1685830.248,416014,224485
970,0.06359407,1953586.875,1687480.105,429509,231003
971,0.06368944,1955984.86,1689180.456,442968,237706
972,0.06377356,1958530.047,1691050.887,456965,244430
973,0.06385172,1961231.785,1693078.916,470755,251106
974,0.06393139,1964069.311,1695217.46,485792,258262
975,0.06401563,1966964.708,1697387.239,499871,264811
976,0.06409413,1969665.362,1699410.572,514095,271488
977,0.06415414,1971886.596,1701091.956,528670,278313
978,0.064189,1973581.275,1702417.276,543537,285049
979,0.06420518,1975223.894,1703770.729,558411,291800
980,0.06421083,1977351.981,1705584.161,570270,296990
981,0.06421199,1980119.385,1707966.657,588145,305194
982,0.06421142,1983080.703,1710523.2,604857,312717
983,0.06421133,1985750.431,1712826.358,617167,317765
984,0.06420652,1987970.43,1714760.225,635863,326310
985,0.06418373,1989941.589,1716550.539,651992,333156
986,0.06413072,1991874.3,1718427.465,667682,339944
987,0.06405507,1993851.05,1720432.5,683917,346895
988,0.06397923,1995857.927,1722464.944,696779,352068
989,0.06392245,1997889.938,1724444.039,715238,360122
990,0.06387498,2000036.888,1726485.858,733029,367668
991,0.06381266,2002435.986,1728804.905,747131,373320
992,0.06371795,2005019.086,1731412.536,767829,382256
993,0.06360662,2006678.305,1733289.625,784521,389090
994,0.06350449,2005978.629,1733092.77,801142,396103
995,0.06342616,2002472.503,1730375.664,818056,403140
996,0.06335304,1998708.332,1727413.798,835439,410339
997,0.06326072,1997779.713,1726978.304,852151,417681
998,0.06313961,2000745.828,1730024.707,870396,425296
999,0.06300628,2004950.233,1734192.542,887240,432454
1000,0.06287883,2007406.327,1736826.603,903985,439652
1001,0.06276283,2006955.222,1736900.169,921460,447262
1002,0.06265082,2004462.464,1735190.291,938930,454837
1003,0.06253502,2000927.061,1732591.738,956441,462714
1004,0.06240928,1997688.491,1730288.366,968183,467746
1005,0.06226875,1996311.09,1729654.943,990953,478130
1006,0.06211111,1997938.86,1731693.72,1010612,487141
1007,0.06194665,2001149.369,1735133.343,1022471,492225
1008,0.0617896,2003560.514,1737852.291,1045649,502855
1009,0.06164761,2003568.181,1738427.213,1063771,511048
1010,0.06150973,2002040.403,1737653.212,1080871,518740
1011,0.06136181,2000327.252,1736757.739,1098889,526922
1012,0.06119808,1999254.815,1736481.134,1110688,531989
1013,0.06102652,1998762.492,1736739.438,1132541,541628
1014,0.06085598,1998671.793,1737342.722,1153026,550708
1015,0.06068682,1998163.532,1737577.592,1166621,556520
1016,0.06051132,1995828.744,1736248.787,1191704,567654
1017,0.06032221,1990610.833,1732463.747,1210003,575496
1018,0.06012249,1984491.612,1727932.535,1228168,583104
1019,0.05992133,1980928.802,1725629.435,1247237,591363
1020,0.05972676,1982136.728,1727455.411,1266856,599569
1021,0.05953725,1985590.729,1731220.899,1285518,607360
1022,0.05934772,1987662.15,1733783.421,1305988,615962
1023,0.05915499,1986261.936,1733331.12,1325142,623728
1024,0.05896118,1982097.836,1730469.322,1343939,631352
1025,0.0587692,1976204.09,1726086.65,1363668,639129
1026,0.05857831,1970206.65,1721604.807,1383456,646923
1027,0.05838481,1966267.022,1718927.986,1403137,654620
1028,0.0581862,1966111.508,1719578.276,1413840,657961
1029,0.05798393,1968212.145,1722217.412,1440888,668777
1030,0.05778015,1969623.029,1724260.814,1463376,677507
1031,0.05757516,1968349.345,1723959.346,1473997,680387
1032,0.05736681,1965328.652,1722139.681,1500965,690827
1033,0.0571532,1962041.754,1720105.331,1520409,697787
1034,0.05693726,1959230.096,1718494.657,1538213,704028
1035,0.05672793,1956614.286,1717027.64,1556994,710373
1036,0.05653361,1953870.008,1715386.784,1566179,712645
1037,0.05635223,1951012.048,1713593.147,1589574,721153
1038,0.05617523,1948270.891,1711883.141,1610740,728828
1039,0.05599562,1945819.395,1710436.327,1621706,731782
1040,0.0558137,1943566.758,1709171.985,1648726,742184
1041,0.05563167,1941350.594,1707938.802,1665718,747944
1042,0.05545112,1938967.291,1706551.372,1681898,753480
1043,0.05527257,1936140.451,1704764.098,1698810,759244
1044,0.0550962,1932622.617,1702357.856,1716507,765497
1045,0.05491995,1928704.958,1699596.579,1731368,770788
1046,0.05474025,1925090.43,1697113.504,1748652,777108
1047,0.05455522,1922310.089,1695384.567,1763195,782236
1048,0.05437057,1919988.474,1694057.122,1776684,787113
1049,0.0541941,1917471.902,1692524.291,1791141,792354
1050,0.05402869,1914432.671,1690485.327,1804527,797652
1051,0.05386832,1911159.028,1688217.91,1817436,802747
1052,0.0537064,1907990.868,1686047.843,1818308,802564
1053,0.05354145,1905017.007,1684059.417,1839933,811951
1054,0.0533759,1902132.847,1682150.883,1855480,818948
1055,0.05321176,1899284.168,1680266.589,1855295,819318
1056,0.05304872,1896676.801,1678589.941,1875529,829010
1057,0.05288587,1894584,1677366.619,1886174,834612
1058,0.05272246,1892594.916,1676236.174,1894474,839953
1059,0.05255759,1889140.191,1673811.697,1903396,845750
1060,0.05238985,1882783.541,1668824.026,1900751,846685
1061,0.0522183,1874995.939,1662578.001,1914440,855416
1062,0.05204336,1869151.585,1658063.521,1925828,863647
1063,0.05186629,1867445.41,1657225.569,1924016,866500
1064,0.0516872,1867626.255,1658069.646,1941855,878791
1065,0.05150481,1866470.727,1657739.832,1947285,886569
1066,0.05131745,1862537.545,1654960.316,1951717,894285
1067,0.05112422,1856679.031,1650488.91,1956794,903760
1068,0.05092536,1849949.596,1645259.992,1962958,914478
1069,0.05072725,1843798.954,1640538.079,1965464,924691
1070,0.05053964,1839858.157,1637739.028,1970965,937562
1071,0.05036602,1838688.296,1637352.122,1973657,950463
1072,0.05019298,1838271.357,1637633.231,1975236,964222
1073,0.05000501,1836321.305,1636604.189,1977831,979573
1074,0.04980754,1832469.54,1633914.131,1979584,996187
1075,0.04962432,1827954.586,1630576.137,1980892,1013775
1076,0.04947209,1823864.75,1627498.302,1969206,1026140
1077,0.04933131,1820410.204,1624942.332,1980001,1051130
1078,0.04917277,1817546.706,1622978.678,1984449,1074171
1079,0.04898969,1814630.734,1621058.07,1972487,1089144
1080,0.04880624,1810190.405,1617774.61,1983306,1117298
1081,0.04864536,1803106.409,1612040.664,1984505,1140629
1082,0.04850645,1795408.639,1605672.1,1984982,1163815
1083,0.04837885,1790565.388,1601811.222,1987896,1188716
1084,0.04825456,1789993.496,1601757.962,1981148,1207592
1085,0.04812959,1790653.151,1602809.402,1994315,1238035
1086,0.04800014,1789123.86,1601917.951,2007091,1267666
1087,0.0478693,1784595.012,1598344.448,2008721,1289913
1088,0.04774558,1778075.763,1592959.313,2033043,1325282
1089,0.04763542,1770827.818,1586868.408,2046027,1352783
1090,0.04753724,1764811.664,1581834.793,2060062,1380286
1091,0.04744806,1762019.878,1579656.797,2077391,1408443
1092,0.04736341,1762036.335,1579979.502,2098278,1438133
1093,0.04727678,1762093.29,1580345.778,2115851,1464394
1094,0.04718461,1759957.954,1578765.708,2138309,1493562
1095,0.04709941,1756302.822,1575795.999,2157616,1519452
1096,0.0470382,1752611.725,1572705.894,2175734,1543975
1097,0.0469994,1749543.068,1570092.482,2194497,1568279
1098,0.04695708,1746697.019,1567691.113,2211761,1591289
1099,0.04688988,1743687.275,1565232.013,2228041,1613163
1100,0.04681521,1740631.448,1562757.598,2229751,1624193
1101,0.04676496,1737833.82,1560426.401,2254258,1651933
1102,0.04674897,1735419.676,1558316.067,2272311,1675162
1103,0.04674172,1733229.653,1556375.527,2270955,1684522
1104,0.04671819,1731062.242,1554513.488,2294966,1712683
1105,0.04668211,1728588.395,1552420.924,2306961,1732357
1106,0.04665034,1725425.061,1549693.31,2317801,1751553
1107,0.04663461,1721633.738,1546344.162,2328764,1771085
1108,0.0466368,1718100.801,1543163.132,2327109,1781302
1109,0.04665708,1715665.005,1540903.391,2344585,1806015
1110,0.04668942,1713957.695,1539255.363,2359253,1828897
1111,0.04672464,1711986.117,1537360.08,2357995,1839577
1112,0.04675868,1709250.607,1534783.289,2379829,1867535
1113,0.046798,1706269.249,1531967.551,2385348,1883185
1114,0.04684965,1703634.065,1529419.645,2389813,1897318
1115,0.04691436,1701457.457,1527238.041,2394922,1911621
1116,0.04698934,1699586.282,1525295.097,2401835,1926871
1117,0.04707585,1697970.033,1523541.093,2402180,1936263
1118,0.04718376,1696781.531,1522096.434,2407496,1949190
1119,0.04732242,1696112.521,1521010.582,2407909,1957567
1120,0.04748584,1695000.697,1519441.705,2407163,1964044
1121,0.04765992,1691904.456,1516058.345,2407608,1970863
1122,0.04784222,1686715.268,1510774.202,2407454,1976580
1123,0.04805314,1682302.908,1506090.437,2406504,1980643
1124,0.04831209,1681484.238,1504460.234,2391341,1972939
1125,0.0486138,1683266.12,1505008.597,2400694,1984301
1126,0.0489418,1684645.109,1505104.388,2402325,1989032
1127,0.04929065,1683841.157,1503178.209,2384700,1977016
1128,0.04967296,1681444.958,1499718.323,2392495,1985553
1129,0.05010139,1678370.98,1495500.539,2387629,1982988
1130,0.05057581,1675985.725,1491744.717,2380491,1978236
1131,0.05108869,1675852.128,1489865.302,2373745,1973313
1132,0.05163312,1678159.261,1490047.313,2353938,1957287
1133,0.05220714,1680802.203,1490422.753,2353726,1956929
1134,0.05281241,1681813.763,1489242.734,2350215,1953427
1135,0.05345419,1681552.929,1486813.011,2332729,1938276
1136,0.05413707,1681302.048,1484255.532,2337982,1941585
1137,0.0548558,1681786.67,1482228.314,2327993,1932265
1138,0.05559329,1682957.199,1480743.329,2317264,1922331
1139,0.056337,1684519.272,1479581.806,2308336,1913680
1140,0.05710291,1685215.76,1477585.425,2302134,1907418
1141,0.05791783,1683569.184,1473374.472,2288542,1895336
1142,0.05879096,1680491.786,1467727.507,2280440,1887682
1143,0.05970549,1679518.115,1463791.432,2268210,1876578
1144,0.06064017,1683018.135,1463688.394,2255460,1865021
1145,0.06158947,1688411.329,1465172.596,2243382,1854267
1146,0.06255875,1692081.89,1465084.359,2230869,1842841
1147,0.06355054,1692827.42,1462386.423,2217377,1830621
1148,0.06455997,1691444.138,1457799.135,2191695,1808267
1149,0.06558517,1689187.288,1452421.391,2186994,1802864
1150,0.06663458,1688388.217,1448230.655,2175172,1791345
1151,0.06771197,1691238.36,1447081.034,2146385,1765866
1152,0.06880687,1696614.004,1448025.405,2139979,1758426
1153,0.06990785,1701443.218,1448470.365,2122536,1741877
1154,0.07101554,1704126.663,1447059.303,2104868,1724551
1155,0.07214061,1705830.659,1444758.655,2089769,1709024
1156,0.073289,1707841.76,1442642.178,2067399,1687251
1157,0.07445008,1710296.44,1440858.427,2064153,1680961
1158,0.07560801,1712881.604,1439193.972,2060358,1673633
1159,0.07675345,1715520.702,1437614.711,2046560,1657846
1160,0.07788406,1718428.864,1436307.734,2052209,1657514
1161,0.07900079,1721774.301,1435408.213,2044297,1645662
1162,0.08011805,1725469.766,1434793.181,2034111,1631650
1163,0.08125244,1729348.95,1434267.626,2023706,1617227
1164,0.08239815,1732996.939,1433506.424,2015842,1604465
1165,0.08353263,1735805.65,1432083.905,2000239,1586160
1166,0.0846435,1737747.244,1430023.277,1989910,1571694
1167,0.08573891,1740161.67,1428402.794,1976311,1554987
1168,0.08682535,1744307.923,1428228.858,1961680,1538277
1169,0.08789875,1749264.983,1428751.998,1948824,1523787
1170,0.0889545,1753109.21,1428415.232,1936074,1509824
1171,0.08999521,1755338.299,1426808.272,1923202,1496531
1172,0.0910271,1757409.011,1425101.345,1901672,1477453
1173,0.09205184,1760560.126,1424291.944,1897970,1473407
1174,0.09306409,1764515.366,1424168.433,1888551,1465533
1175,0.09405833,1768637.868,1424231.516,1867283,1449455
1176,0.09503094,1772879.23,1424453.298,1864542,1448769
1177,0.09597851,1777651.406,1425174.645,1853142,1442014
1178,0.0968983,1782642.276,1426152.289,1841159,1435706
1179,0.09779232,1785908.556,1425827.215,1830531,1431416
1180,0.09866731,1785881.748,1422936.064,1812827,1422219
1181,0.09953267,1785130.115,1419505.924,1808130,1423881
1182,0.10039154,1787865.383,1418872.197,1801275,1424264
1183,0.10123248,1794628.56,1421484.393,1786012,1418626
1184,0.10203755,1801636.428,1424392.269,1786148,1425493
1185,0.10280009,1805889.138,1425249.824,1776623,1424973
1186,0.10353193,1807821.202,1424372.375,1766209,1424193
1187,0.1042453,1808640.993,1422679.481,1757452,1425079
1188,0.10493747,1810198.432,1421636.993,1751891,1428732
1189,0.10559496,1814704.104,1423019.54,1740911,1428227
1190,0.10620912,1822376.39,1427016.375,1735379,1432413
1191,0.10678513,1830216.076,1431255.719,1727043,1434581
1192,0.10732966,1835670.537,1433722.408,1718414,1436313
1193,0.10783435,1839583.198,1435109.639,1711793,1439893
1194,0.10828504,1843705.857,1436834.006,1706105,1444396
1195,0.10867671,1848739.813,1439458.27,1700367,1448541
1196,0.10901265,1854554.779,1442869.387,1688811,1447520
1197,0.10929859,1860399.062,1446463.647,1691720,1458491
1198,0.10954504,1864301.097,1448675.166,1690367,1465480
1199,0.10976101,1864934.446,1448446.848,1679498,1463824
1200,0.10993882,1865567.328,1448345.29,1684689,1475666
1201,0.1100636,1870876.609,1452049.92,1683081,1480644
1202,0.11012713,1880620.478,1459398.958,1681319,1485164
1203,0.11012895,1889966.732,1466645.68,1681104,1490362
