Batch Number,B2600093,,,,
Category,Poultry,,,,
Specie,Chicken,,,,
Family,Layer Baladi,,,,
Brand,FARMFLAKES,,,,
Product Code,PPEP250401,,,,
Product name,CHICKEN FEED - BALADI PRODUCTION 1,,,,
NIR-Code,D20260216-00113,,,,
Serial Number:,5B25203,,,,
Scan Config Name:,IAS5100,,,,
Scan Config Type:,2,,,,
Start wavelength in nm:,900,,,,
End wavelength in nm:,1700,,,,
Pattern Pixel Width:,11,,,,
Exposure Time:,0,,,,
Measurement points:,420,,,,
Number of Measurement points:,801,,,,
Num Repeats:,90,90,,,
PGA Gain:,64,64,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original
900,0.0691108,1240087.916,1057649.266,5511,3895
901,0.06894631,1260037.352,1075070.914,5523,3920
902,0.06877832,1279870.566,1092415.187,5572,3784
903,0.06861695,1299525.167,1109603.316,5148,3590
904,0.06846561,1318818.057,1126469.081,5156,3418
905,0.06832703,1337559.495,1142841.701,5021,3345
906,0.06820042,1355705.825,1158684.087,4884,3172
907,0.06807893,1373488.003,1174210.454,4953,3065
908,0.0679555,1391167.073,1189662.56,4910,3143
909,0.06782474,1408865.871,1205160.548,4961,3047
910,0.06768482,1426334.762,1220496.804,5154,3098
911,0.06753439,1443261.999,1235409.061,5112,2999
912,0.06737444,1459438.879,1249716.418,5149,3141
913,0.06721478,1475048.424,1263547.288,5377,3152
914,0.06706703,1490366.726,1277103.576,5576,3048
915,0.06693892,1505614.638,1290550.228,5683,3236
916,0.06681988,1520724.891,1303859.44,5813,3327
917,0.06669393,1535536.592,1316940.769,6334,3719
918,0.06654895,1549928.997,1329728.11,6617,3682
919,0.06639609,1564061.554,1342325.215,6907,3907
920,0.06625576,1578212.957,1354908.126,7262,4058
921,0.06614506,1592570.503,1367582.737,7717,4334
922,0.06605625,1606484.354,1379813.06,8165,4649
923,0.06596883,1618857.055,1390719.9,8641,4863
924,0.06586429,1628751.848,1399557.136,9296,4994
925,0.06574384,1637158.357,1407170.925,10067,5515
926,0.06562157,1646313.429,1415438.331,10797,5819
927,0.06551158,1658310.327,1426113.939,11600,6270
928,0.06542039,1672834.142,1438906.221,12364,6855
929,0.06534827,1687743.499,1451971.79,13291,7262
930,0.06529465,1700934.316,1463500.554,14413,7804
931,0.06525507,1711778.281,1472965.057,15616,8471
932,0.065222,1720918.679,1480943.024,16860,9040
933,0.06518848,1729051.758,1488056.831,18379,9792
934,0.06515558,1737112.81,1495107.588,20092,10588
935,0.06513185,1746264.375,1503066.317,21922,11656
936,0.06512565,1757618.19,1512860.504,24070,12850
937,0.06513685,1770861.671,1524220.459,26435,14163
938,0.06515694,1784230.276,1535656.088,29484,15735
939,0.06517764,1795945.647,1545665.61,32922,17505
940,0.06519896,1805555.057,1553859.591,36928,19645
941,0.06522932,1814014.655,1561030.798,41577,22159
942,0.06527701,1822328.156,1568012.702,47014,25121
943,0.06534114,1830954.522,1575202.584,53073,28465
944,0.0654112,1839765.69,1582527.694,60105,32337
945,0.06547684,1848587.826,1589875.973,67755,36724
946,0.06553962,1856817.741,1596723.263,76524,41614
947,0.06561351,1863395.924,1602107.412,86481,47275
948,0.06571247,1867316.596,1605112.537,97900,53632
949,0.06583583,1869381.443,1606431.061,110200,60733
950,0.06596759,1872235.708,1608395.825,124253,68686
951,0.06609103,1878476.316,1613298.38,138981,77090
952,0.06620256,1887927.221,1620998.77,154824,85877
953,0.06631181,1897770.64,1629040.614,171465,95196
954,0.06642905,1905190.749,1634968.605,188736,105074
955,0.06655849,1909297.609,1638004.665,206430,114858
956,0.06669883,1910869.392,1638823.451,223515,124447
957,0.06684821,1910778.007,1638181.526,241630,134615
958,0.06700137,1910468.884,1637338.981,258968,144253
959,0.06715012,1911827.004,1637941.809,274160,152674
960,0.0672864,1916537.664,1641462.457,291004,161815
961,0.0674107,1923759.956,1647176.657,306132,170072
962,0.06752976,1930986.95,1652911.408,320687,178026
963,0.06765052,1935929.47,1656681.442,334803,185585
964,0.06777584,1938637.764,1658520.432,346992,192073
965,0.06790595,1940451.202,1659574.571,361340,199763
966,0.06803984,1942575.871,1660879.595,375218,206918
967,0.06816973,1945139.758,1662574.368,387393,213123
968,0.06828502,1947790.124,1664397.836,402540,221067
969,0.06837771,1950235.712,1666131.975,415686,227846
970,0.06845381,1952542.313,1667810.279,429023,234471
971,0.06852413,1954900.058,1669553.829,442577,241127
972,0.06859717,1957458.058,1671457.342,456572,247953
973,0.06867191,1960193.023,1673504.69,470382,254868
974,0.06874488,1963036.489,1675650.698,485367,262015
975,0.06881224,1965883.757,1677820.886,499514,268807
976,0.06886888,1968519.358,1679851.194,513638,275609
977,0.06890952,1970707.817,1681561.373,528166,282537
978,0.06893181,1972427.942,1682942.715,542922,289342
979,0.06893981,1974129.091,1684363.196,557801,296174
980,0.06893832,1976316.979,1686235.691,569699,301424
981,0.06893054,1979120.2,1688657.711,587644,309715
982,0.06891706,1982078.338,1691234.214,604250,317488
983,0.06889811,1984693.005,1693539.085,616557,322563
984,0.06887074,1986827.003,1695466.888,635248,331130
985,0.06882848,1988739.253,1697263.876,651350,338284
986,0.06876552,1990694.6,1699178.943,667199,345159
987,0.06868759,1992750.573,1701239.069,683275,352177
988,0.06860904,1994808.456,1703303.979,696168,357299
989,0.06854216,1996790.703,1705259.129,714512,365631
990,0.06848108,1998829.828,1707240.635,732354,373084
991,0.06841091,2001163.386,1709509.958,746346,378910
992,0.06831995,2003797.714,1712118.938,767037,388136
993,0.06821227,2005566.512,1714055.196,783735,395215
994,0.0680966,2004934.48,1713971.442,800286,402101
995,0.06797938,2001391.936,1711404.861,817216,409424
996,0.06786134,1997540.968,1708576.194,834578,416751
997,0.06774281,1996550.388,1708195.059,851317,423903
998,0.0676248,1999520.894,1711201.481,869275,431855
999,0.06750819,2003776.01,1715303.52,886449,439231
1000,0.06739302,2006302.506,1717921.81,902950,446522
1001,0.06727395,2005913.777,1718059.943,920444,454182
1002,0.06714029,2003446.445,1716474.853,937903,461922
1003,0.06698262,1999874.178,1714036.459,955310,469752
1004,0.06680837,1996554.975,1711878.374,967101,474794
1005,0.06663654,1995100.646,1711308.355,989784,485304
1006,0.06648316,1996695.162,1713281.02,1009604,494480
1007,0.06634172,1999907.546,1716596.395,1021467,499670
1008,0.0661967,2002329.008,1719248.838,1044478,510315
1009,0.06603661,2002334.289,1719887.258,1062620,518665
1010,0.06586444,2000787.963,1719240.471,1079822,526316
1011,0.06568641,1999040.156,1718442.928,1097719,534637
1012,0.06550548,1997918.741,1718194.579,1109599,539715
1013,0.0653186,1997367.825,1718460.1,1131250,549716
1014,0.06512244,1997214.641,1719104.593,1151651,559006
1015,0.0649208,1996660.403,1719425.674,1165332,564750
1016,0.06472368,1994330.046,1718198.572,1190481,576228
1017,0.06453917,1989192.723,1714500.802,1208825,584243
1018,0.06436185,1983185.724,1710021.377,1226856,591984
1019,0.06418066,1979688.112,1707717.846,1245752,600247
1020,0.06398772,1980860.581,1709488.508,1265492,608667
1021,0.06378329,1984220.312,1713194.231,1284080,616737
1022,0.0635683,1986202.818,1715755.093,1304649,625486
1023,0.06334737,1984760.062,1715381.193,1323877,633422
1024,0.06313396,1980598.759,1712626.047,1342519,641117
1025,0.06294203,1974746.798,1708320.626,1362368,649112
1026,0.06276746,1968806.923,1703866.926,1381968,657038
1027,0.0625897,1964902.178,1701183.777,1401892,664919
1028,0.0623913,1964727.632,1701809.933,1412482,668172
1029,0.06217671,1966779.784,1704429.446,1439436,679126
1030,0.06195888,1968161.458,1706482.508,1462110,687947
1031,0.06174622,1966907.718,1706230.75,1472776,690896
1032,0.06153652,1963927.93,1704468.669,1499726,701424
1033,0.06132622,1960664.076,1702460.232,1519159,708508
1034,0.06111321,1957839.12,1700841.31,1536808,714629
1035,0.06089683,1955183.273,1699380.561,1555558,721029
1036,0.060677,1952383.649,1697806.384,1564738,723091
1037,0.06046082,1949463.818,1696111.334,1588071,731650
1038,0.06026012,1946661.374,1694455.998,1609474,739120
1039,0.06008237,1944154.964,1692967.059,1620300,741919
1040,0.0599155,1941853.998,1691613.243,1647378,752151
1041,0.05974214,1939594.865,1690319.825,1664298,757758
1042,0.05955606,1937178.736,1688937.716,1680691,763026
1043,0.05937075,1934344.604,1687186.537,1697545,768820
1044,0.05920053,1930859.625,1684807.033,1715116,774621
1045,0.05904295,1927002.029,1682051.246,1730106,779504
1046,0.05888275,1923440.767,1679562.115,1747312,785697
1047,0.05870861,1920679.389,1677823.477,1761943,790530
1048,0.05852972,1918349.871,1676478.911,1775502,795176
1049,0.05836139,1915816.753,1674914.247,1789808,800279
1050,0.05820911,1912764.748,1672832.462,1803315,805084
1051,0.05806013,1909483.544,1670535.793,1816335,809974
1052,0.05790066,1906313.095,1668374.624,1817116,809634
1053,0.05773092,1903339.855,1666423.649,1838733,818813
1054,0.057562,1900455.003,1664545.188,1854370,825640
1055,0.05740252,1897599.712,1662654.795,1854128,825704
1056,0.05724824,1894973.635,1660943.788,1874509,835280
1057,0.05709125,1892843.477,1659676.513,1885264,840933
1058,0.05692715,1890798.524,1658510.024,1893549,845640
1059,0.05675708,1887280.884,1656072.94,1902417,851324
1060,0.0565825,1880867.358,1651108.729,1899816,852052
1061,0.05640874,1873048.207,1644902.72,1913604,860484
1062,0.05624483,1867220.98,1640404.27,1924736,868451
1063,0.05609595,1865590.086,1639533.421,1923087,871195
1064,0.05594864,1865862.686,1640329.297,1941140,883297
1065,0.05578455,1864763.113,1639982.133,1946482,890724
1066,0.0555999,1860840.574,1637228.397,1951037,898247
1067,0.05541071,1854992.922,1632794.581,1956135,907198
1068,0.05523279,1848315.541,1627583.684,1962224,917550
1069,0.0550666,1842235.594,1622850.706,1964817,927506
1070,0.05490565,1838331.967,1620012.221,1970435,940111
1071,0.05474454,1837138.967,1619561.575,1973054,952538
1072,0.05457947,1836673.328,1619766.628,1974722,965959
1073,0.05440642,1834691.385,1618663.599,1977287,981343
1074,0.05422651,1830842.163,1615936.906,1979217,997509
1075,0.05404586,1826361.066,1612652.433,1980536,1014920
1076,0.0538709,1822325.774,1609737.694,1968943,1026968
1077,0.05370653,1818905.653,1607324.772,1979678,1051649
1078,0.05355704,1816008.632,1605317.229,1984621,1074372
1079,0.05342026,1812999.97,1603162.475,1972446,1089486
1080,0.05328486,1808494.804,1599677.395,1983580,1117387
1081,0.0531403,1801451.469,1593977.809,1984985,1140674
1082,0.05299071,1793862.334,1587809.516,1985495,1164312
1083,0.05284803,1789105.391,1584119.323,1988387,1189073
1084,0.05271956,1788550.656,1584096.682,1981946,1208191
1085,0.05259998,1789206.186,1585113.667,1995144,1238475
1086,0.05248197,1787707.332,1584216.189,2007941,1268478
1087,0.05236515,1783242.366,1580684.588,2009686,1290901
1088,0.05225452,1776779.62,1575357.194,2034097,1326457
1089,0.05215234,1769545.83,1569312.642,2047093,1354199
1090,0.05205085,1763488.143,1564305.95,2061521,1381709
1091,0.05194116,1760592.82,1562132.118,2078776,1410133
1092,0.05182851,1760495.674,1562451.15,2099682,1439890
1093,0.0517312,1760537.783,1562838.659,2117097,1466341
1094,0.05166284,1758556.646,1561325.764,2139769,1495193
1095,0.05161551,1755107.266,1558433.063,2159153,1521112
1096,0.05157549,1751505.606,1555378.328,2177378,1545506
1097,0.05153375,1748373.26,1552745.942,2196105,1569502
1098,0.05148727,1745441.602,1550308.242,2213708,1592357
1099,0.05143483,1742442.184,1547831.035,2230028,1613912
1100,0.05138425,1739462.344,1545363.965,2231508,1624827
1101,0.0513467,1736721.216,1543062.112,2256265,1652259
1102,0.05132494,1734311.762,1540998.531,2274110,1675053
1103,0.05130826,1732126.288,1539115.777,2272732,1683965
1104,0.05128624,1730012.484,1537315.471,2296688,1711412
1105,0.05126022,1727615.357,1535277.317,2308495,1730389
1106,0.05123694,1724491.907,1532583.758,2318938,1748880
1107,0.05122132,1720679.702,1529250.803,2329431,1767641
1108,0.05121487,1717108.313,1526099.39,2327325,1776846
1109,0.05121872,1714662.297,1523911.964,2344375,1800918
1110,0.05123348,1712977.586,1522362.945,2358745,1822833
1111,0.05125948,1711044.621,1520554.02,2357209,1832718
1112,0.05129405,1708350.844,1518039.302,2378570,1860173
1113,0.05132821,1705409.793,1515306.713,2384082,1875331
1114,0.05135441,1702810.58,1512905.93,2388517,1889170
1115,0.05138727,1700668.511,1510888.446,2393503,1903178
1116,0.05145367,1698836.527,1509030.159,2400319,1918206
1117,0.05156301,1697260.905,1507251.045,2400656,1927345
1118,0.05168706,1696091.506,1505782.409,2405902,1940159
1119,0.05179714,1695399.844,1504786.895,2406118,1948223
1120,0.05190834,1694253.897,1503384.795,2405532,1954911
1121,0.05206051,1691170.307,1500122.884,2405988,1961660
1122,0.0522708,1686059.742,1494865.623,2405610,1967288
1123,0.05250673,1681729.761,1490216.89,2404679,1971599
1124,0.05273312,1680934.232,1488735.709,2389409,1963522
1125,0.05296324,1682701.1,1489511.098,2398567,1974820
1126,0.05323753,1684092.216,1489801.268,2400389,1979593
1127,0.05357409,1683349.477,1487990.645,2382646,1967532
1128,0.05394539,1681001.977,1484645.718,2390625,1976132
1129,0.05432271,1677906.293,1480624.712,2385750,1973727
1130,0.05471267,1675474.857,1477152.207,2378526,1968938
1131,0.05513775,1675364.879,1475610.225,2371798,1964048
1132,0.0556089,1677782.452,1476137.265,2352159,1948069
1133,0.05612077,1680510.305,1476795.678,2351925,1947701
1134,0.05666972,1681480.606,1475781.776,2348045,1944235
1135,0.057258,1681108.694,1473458.116,2330677,1929032
1136,0.05788821,1680794.645,1471046.658,2335675,1932366
1137,0.05855595,1681301.793,1469229.78,2326083,1923245
1138,0.059249,1682507.283,1467938.801,2315168,1913111
1139,0.05995725,1684055.498,1466895.394,2306163,1904606
1140,0.06068432,1684731.418,1465029.441,2299820,1898217
1141,0.06144014,1683129.537,1461091.469,2286364,1886061
1142,0.06223121,1680147.175,1455848.264,2278275,1878197
1143,0.06305456,1679208.604,1452279.108,2265867,1866954
1144,0.0639042,1682614.619,1452380.663,2253067,1855318
1145,0.06478812,1687890.833,1453972.636,2240991,1844309
1146,0.06572249,1691560.885,1454002.453,2228420,1832802
1147,0.06669879,1692420.277,1451474.551,2214896,1820370
1148,0.06768352,1691146.022,1447096.815,2189590,1798088
1149,0.06865657,1688910.795,1441949.805,2184490,1792550
1150,0.0696377,1688071.743,1437981.179,2172597,1781029
1151,0.0706467,1690863.576,1437016.862,2143985,1755783
1152,0.07168233,1696199.398,1438118.186,2137728,1748506
1153,0.07273768,1701039.913,1438721.803,2120403,1731708
1154,0.07380883,1703781.767,1437491.011,2102765,1714812
1155,0.07488594,1705519.704,1435392.911,2087602,1699579
1156,0.07595738,1707475.571,1433498.102,2065345,1677805
1157,0.07702343,1709812.459,1431940.742,2062149,1671803
1158,0.07809023,1712279.525,1430488.716,2058093,1664511
1159,0.07916285,1714841.496,1429095.101,2044584,1649100
1160,0.08024425,1717728.921,1427941.379,2050004,1648708
1161,0.08133219,1721111.72,1427173.836,2042205,1637261
1162,0.08240668,1724856.536,1426744.803,2032018,1623232
1163,0.08344574,1728742.81,1426542.274,2021618,1609256
1164,0.08445747,1732357.663,1426198.88,2013654,1596856
1165,0.08547419,1735139.192,1425148.532,1998106,1578636
1166,0.08651127,1737083.443,1423342.488,1987715,1564685
1167,0.08753897,1739499.366,1421953.191,1974295,1548529
1168,0.0885237,1743613.967,1422088.559,1959547,1532221
1169,0.08947647,1748528.231,1422971.423,1947055,1518023
1170,0.09043274,1752365.017,1422957.2,1934615,1504580
1171,0.09140187,1754618.5,1421611.201,1921508,1491911
1172,0.09235169,1756673.081,1420166.49,1899838,1473478
1173,0.09325473,1759717.186,1419672.413,1896294,1469816
1174,0.09412814,1763537.82,1419896.338,1886940,1462447
1175,0.09500065,1767585.998,1420299.387,1865646,1447061
1176,0.0958794,1771819.013,1420822.938,1863028,1446423
1177,0.09675348,1776589.84,1421784.248,1851635,1440268
1178,0.09761045,1781550.986,1422943.977,1839789,1434351
1179,0.09843851,1784779.941,1422807.58,1829248,1430038
1180,0.09923256,1784733.813,1420171.831,1811722,1420901
1181,0.10001061,1783987.637,1417037.134,1807123,1422330
1182,0.10079359,1786751.659,1416676.208,1800243,1422441
1183,0.10157831,1793558.122,1419505.73,1784883,1416317
1184,0.10234276,1800606.498,1422577.887,1785014,1422514
1185,0.10307417,1804882.523,1423556.686,1775564,1421540
1186,0.10377473,1806817.561,1422785.97,1765190,1420063
1187,0.10444779,1807619.113,1421212.883,1756715,1420149
1188,0.10509733,1809135.497,1420279.321,1751143,1423161
1189,0.10572604,1813575.414,1421705.289,1740245,1421837
1190,0.10632984,1821166.3,1425672.49,1734715,1425419
1191,0.1068994,1828935.618,1429878.127,1726440,1426645
1192,0.10742981,1834350.082,1432360.759,1717714,1427946
1193,0.10792213,1838231.332,1433765.204,1711237,1431101
1194,0.10837738,1842300.162,1435433.286,1705792,1435064
1195,0.10880138,1847267.25,1437898.893,1699954,1438748
1196,0.10920455,1853043.29,1441056.532,1688477,1437331
1197,0.10958104,1858889.801,1444350.54,1691412,1447759
1198,0.10989246,1862790.111,1446343.557,1689826,1454324
1199,0.11010934,1863377.532,1446077.31,1679189,1452307
1200,0.11026922,1863949.197,1445988.544,1684217,1463232
1201,0.11042923,1869233.435,1449553.71,1682632,1467852
1202,0.11058749,1878993.166,1456591.306,1680823,1471890
1203,0.11068967,1888357.278,1463505.964,1680815,1476770
