Batch Number,B2600092,,,,,,
Category,Livestock,,,,,,
Specie,Horse,,,,,,
Family,Pleasure,,,,,,
Brand,FARMFLAKES,,,,,,
Product Code,PHRS250801,,,,,,
Product name,HORSE FEED - SPORT HORSE - 25KG,,,,,,
NIR-Code,D20260216-00112,,,,,,
FileTitle:,IAS_Spectrum,,,,,,
Head:,Reference,Sample,,,,,
System Temp hundredths:,2102,2332,,,,,
Detector Temp hundredths:,0,0,,,,,
Humidity hundredths:,4778,4172,,,,,
Lamp PD:,93,92,,,,,
Tec Temp:,0,,,,,,
Product SN:,8B6YK9LO,,,,,,
Serial Number:,5B25203,,,,,,
Scan Config Name:,IAS5100,,,,,,
Scan Config Type:,2,,,,,,
Start wavelength in nm:,900,,,,,,
End wavelength in nm:,1700,,,,,,
Pattern Pixel Width:,11,,,,,,
Exposure Time:,0,,,,,,
Measurement points:,420,,,,,,
Number of Measurement points:,801,,,,,,
Num Repeats:,90,90,,,,,
PGA Gain:,64,64,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,
994,0.10505487,2006731.363,1575557.888,800108,381675,,
995,0.10486911,2003099.157,1573378.973,817084,388654,,
996,0.10467589,1999161.973,1570985.188,834521,395643,,
997,0.10450049,1998155.595,1570828.659,851185,402436,,
998,0.10435351,2001197.875,1573752.832,869430,410066,,
999,0.10421674,2005538.518,1577663.084,886387,416912,,
1000,0.10406868,2008083.432,1580203.707,903049,423774,,
1001,0.10390111,2007638.909,1580463.582,920448,431164,,
1002,0.1037212,2005116.176,1579131.675,938022,438485,,
1003,0.10353666,2001561.206,1577001.899,955509,446033,,
1004,0.10334965,1998325.788,1575130.872,967189,450762,,
1005,0.1031589,1996963.672,1574748.709,990121,460709,,
1006,0.10296373,1998609.437,1576754.935,1009846,469431,,
1007,0.10276392,2001840.696,1580030.967,1021732,474431,,
1008,0.10255858,2004278.933,1582703.578,1044626,484549,,
1009,0.10234832,2004318.703,1583501.414,1062695,492292,,
1010,0.10214105,2002811.097,1583065.693,1079964,499739,,
1011,0.10194653,2001086.413,1582411.073,1098054,507418,,
1012,0.10176605,1999970.839,1582186.286,1109807,512311,,
1013,0.10158584,1999437.506,1582420.839,1131533,521741,,
1014,0.10139125,1999343.243,1583055.369,1152019,530485,,
1015,0.10117966,1998871.167,1583452.877,1165919,536302,,
1016,0.10095911,1996584.212,1582444.633,1190841,546952,,
1017,0.10073641,1991398.837,1579144.366,1209160,554545,,
1018,0.10051018,1985288.439,1575119.242,1227218,562090,,
1019,0.10027628,1981711.326,1573128.186,1246245,569873,,
1020,0.10003421,1982886.596,1574938.735,1265862,578021,,
1021,0.09979156,1986309.978,1578539.551,1284540,585544,,
1022,0.0995561,1988376.707,1581038.927,1305100,594009,,
1023,0.09933034,1987003.819,1580768.826,1324341,601499,,
1024,0.09910968,1982872.819,1578284.097,1343049,608771,,
1025,0.09888941,1976989.638,1574399.629,1362876,616431,,
1026,0.09866844,1970978.183,1570411.16,1382560,623837,,
1027,0.09844934,1967021.687,1568049.64,1402362,631192,,
1028,0.09823478,1966865.294,1568699.777,1412969,634232,,
1029,0.09802078,1968973.119,1571154.903,1439851,644675,,
1030,0.09779932,1970379.667,1573079.23,1462660,652778,,
1031,0.09756658,1969081.827,1572885.763,1473269,655746,,
1032,0.09733505,1966043.601,1571296.319,1500101,665531,,
1033,0.09712074,1962778.173,1569460.843,1519654,671863,,
1034,0.0969259,1960028.081,1567965.11,1537544,677681,,
1035,0.09673298,1957471.833,1566615.943,1556170,683567,,
1036,0.09652458,1954743.384,1565183.186,1565503,685454,,
1037,0.09630416,1951856.001,1563664.621,1588798,693268,,
1038,0.09608868,1949064.234,1562203.024,1609971,700327,,
