Batch Number,B2500166,,,,
Category,Pet Food,,,,
Specie,Dog,,,,
Family,Healthcare,,,,
Brand,PETFLAKES,,,,
Product Code,DDF040021,,,,
Product name,PETFLAKES Maintenance - Mini Adult Dog 4  Kg,,,,
NIR-Code,M20260202-00080,,,,
Serial Number:,5B25203,,,,
Scan Config Name:,IAS5100,,,,
Scan Config Type:,2,,,,
Start wavelength in nm:,900,,,,
End wavelength in nm:,1700,,,,
Pattern Pixel Width:,13,,,,
Exposure Time:,0,,,,
Measurement points:,105,,,,
Number of Measurement points:,801,,,,
Num Repeats:,90,90,,,
PGA Gain:,64,64,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original
900,0.31022004,1465672.55,717491.7467,6165,2306
901,0.30991825,1488788.689,729314.4295,5964,2050
902,0.3096124,1511698.795,741059.1351,5761,1900
903,0.30930222,1534379.058,752714.784,6378,1877
904,0.30898742,1556805.666,764270.2965,7039,2097
905,0.30866774,1578954.808,775714.5932,8818,2370
906,0.30834288,1600802.674,787036.5943,11507,2966
907,0.30801254,1622325.452,798225.2203,15192,3915
908,0.30767642,1643499.332,809269.3916,21117,5142
909,0.3073342,1664300.503,820158.0286,30609,7411
910,0.30698557,1684705.153,830880.0518,48018,11884
911,0.30663019,1704689.473,841424.3815,79023,20229
912,0.30626799,1724236.136,851782.5721,128815,34436
913,0.30590001,1743352.473,861956.1909,198409,54856
914,0.30552746,1762051.673,871949.1842,277188,78578
915,0.30515154,1780346.924,881765.4983,350498,100492
916,0.30477336,1798251.413,891409.0793,415303,119512
917,0.30439402,1815778.329,900883.8737,477504,136507
918,0.30401457,1832940.861,910193.8277,541378,152899
919,0.30363603,1849752.197,919342.8875,608991,169106
920,0.3032594,1866225.525,928334.9995,679288,185207
921,0.30288564,1882374.032,937174.1099,753175,201237
922,0.30251569,1898210.909,945864.165,830040,217289
923,0.30215048,1913749.342,954409.111,909228,233046
924,0.30179089,1929002.009,962812.655,989067,248825
925,0.30143772,1943975.613,971075.7087,1071227,265700
926,0.30109169,1958672.989,979197.3743,1154597,283566
927,0.30075351,1973096.91,987176.7233,1239077,302534
928,0.30042386,1987250.144,995012.8273,1324646,321254
929,0.30010341,2001135.464,1002704.758,1412158,339768
930,0.29979284,2014755.639,1010251.587,1501763,357780
931,0.29949279,2028113.441,1017652.386,1594148,375491
932,0.2992039,2041211.64,1024906.227,1687841,392232
933,0.29892682,2054053.007,1032012.181,1780251,407137
934,0.29866217,2066640.313,1038969.32,1869773,420975
935,0.29841058,2078976.329,1045776.715,1955566,434822
936,0.29817263,2091063.468,1052433.301,2036505,449454
937,0.29794853,2102895.655,1058934.724,2109361,464626
938,0.29773806,2114458.162,1065273.285,2172275,478990
939,0.29754099,2125735.87,1071441.13,2225117,493232
940,0.2973571,2136713.659,1077430.407,2268599,509224
941,0.29718619,2147376.411,1083233.266,2301921,529252
942,0.29702807,2157709.007,1088841.853,2326865,558343
943,0.29688256,2167696.328,1094248.316,2343343,602152
944,0.29674948,2177323.255,1099444.803,2350485,663004
945,0.29662869,2186574.671,1104423.463,2352244,737417
946,0.29652004,2195435.455,1109176.443,2365452,818477
947,0.29642339,2203890.49,1113695.89,2410090,901098
948,0.29633863,2211925.287,1117974.317,2486589,985190
949,0.29626522,2219540.418,1122012.88,2580271,1070367
950,0.29620225,2226751.813,1125821.558,2659478,1145578
951,0.29614884,2233576.092,1129410.725,2720192,1213761
952,0.29610411,2240029.876,1132790.758,2773742,1281186
953,0.29606721,2246129.788,1135972.03,2816174,1342073
954,0.2960373,2251892.448,1138964.917,2841354,1387480
955,0.29601356,2257334.478,1141779.795,2850953,1415154
956,0.2959952,2262472.498,1144427.039,2847443,1426691
957,0.29598142,2267323.131,1146917.023,2830850,1423583
958,0.29597145,2271902.996,1149260.123,2801429,1408236
959,0.29596451,2276228.716,1151466.714,2763685,1384805
960,0.29595986,2280317.112,1153547.249,2719486,1356833
961,0.29595685,2284187.394,1155513.114,2667790,1325721
962,0.29595492,2287860.352,1157376.31,2604977,1288558
963,0.29595351,2291356.802,1159148.85,2528517,1240658
964,0.29595206,2294697.559,1160842.744,2457940,1189246
965,0.29595002,2297903.441,1162470.006,2421193,1144751
966,0.29594683,2300995.264,1164042.647,2375871,1087394
967,0.29594195,2303993.844,1165572.68,2315151,1026670
968,0.29593484,2306919.997,1167072.116,2253952,985763
969,0.29592495,2309794.539,1168552.967,2196932,966183
970,0.29591174,2312638.287,1170027.246,2146104,962242
971,0.29589467,2315472.058,1171506.965,2101953,968244
972,0.29587326,2318312.443,1173001.878,2060469,977739
973,0.2958472,2321158.338,1174512.284,2024270,993123
974,0.29581625,2324004.002,1176036.004,1997042,1012486
975,0.29578016,2326843.693,1177570.86,1982482,1031243
976,0.29573867,2329671.673,1179114.674,1980415,1047930
977,0.29569155,2332482.199,1180665.266,1991716,1062727
978,0.29563854,2335269.532,1182220.458,2016138,1078104
979,0.2955794,2338027.931,1183778.072,2048655,1094736
980,0.29551389,2340751.655,1185335.929,2086815,1112286
981,0.29544176,2343434.963,1186891.851,2131206,1131009
982,0.29536276,2346072.116,1188443.659,2179452,1150057
983,0.29527667,2348657.246,1189989.077,2224911,1167490
984,0.29518358,2351181.061,1191523.18,2264359,1181702
985,0.29508396,2353630.507,1193038.136,2302158,1194563
986,0.29497828,2355992.339,1194525.964,2334277,1203967
987,0.29486701,2358253.313,1195978.684,2356887,1208507
988,0.29475062,2360400.183,1197388.316,2371192,1209798
989,0.29462957,2362419.705,1198746.879,2370042,1204407
990,0.2945043,2364298.634,1200046.392,2347463,1189272
991,0.29437525,2366023.724,1201278.876,2315516,1171530
992,0.29424288,2367581.732,1202436.35,2277651,1152191
993,0.29410762,2368959.412,1203510.833,2208022,1115898
994,0.29396988,2370143.523,1204494.346,2085140,1049173
995,0.29382997,2371125.292,1205381.542,1918885,957237
996,0.29368778,2371909.518,1206175.051,1704354,841247
997,0.29354314,2372503.556,1206879.011,1429396,698990
998,0.29339588,2372914.766,1207497.56,1110911,538984
999,0.29324582,2373150.506,1208034.837,725095,349647
1000,0.29309281,2373218.133,1208494.981,318686,153052
1001,0.29293666,2373125.006,1208882.128,81624,39081
1002,0.29277721,2372878.484,1209200.418,25134,12152
1003,0.29261429,2372485.924,1209453.988,18075,8633
1004,0.29244774,2371954.684,1209646.978,15792,7568
1005,0.29227739,2371292.123,1209783.524,,
1006,0.2921031,2370505.515,1209867.678,,
1007,0.2919248,2369601.631,1209902.953,,
1008,0.29174251,2368587.052,1209892.665,,
1009,0.2915562,2367468.359,1209840.128,,
1010,0.29136587,2366252.134,1209748.657,,
1011,0.29117152,2364944.957,1209621.565,,
1012,0.29097313,2363553.41,1209462.167,,
1013,0.29077072,2362084.074,1209273.778,,
1014,0.29056426,2360543.53,1209059.711,,
1015,0.29035378,2358938.359,1208823.282,,
1016,0.29013926,2357275.143,1208567.805,,
1017,0.28992073,2355559.626,1208296.093,,
1018,0.28969844,2353790.769,1208006.901,,
1019,0.28947272,2351964.233,1207697.012,,
1020,0.28924391,2350075.662,1207363.193,,
1021,0.28901235,2348120.696,1207002.213,,
1022,0.28877837,2346094.978,1206610.842,,
1023,0.28854229,2343994.147,1206185.847,,
1024,0.28830446,2341813.847,1205723.999,,
1025,0.2880652,2339549.719,1205222.066,,
1026,0.28782484,2337197.403,1204676.816,,
1027,0.2875837,2334752.542,1204085.019,,
1028,0.2873421,2332211.509,1203443.869,,
1029,0.2871002,2329575.909,1202753.605,,
1030,0.28685814,2326849.63,1202015.794,,
1031,0.28661606,2324036.571,1201232.009,,
1032,0.28637408,2321140.627,1200403.823,,
1033,0.28613234,2318165.697,1199532.808,,
1034,0.28589098,2315115.677,1198620.537,,
1035,0.28565013,2311994.465,1197668.582,,
1036,0.28540994,2308805.958,1196678.516,,
1037,0.28517055,2305554.054,1195651.911,,
1038,0.2849321,2302242.649,1194590.34,,
1039,0.28469471,2298875.933,1193495.599,,
1040,0.2844584,2295459.357,1192370.445,,
1041,0.28422316,2291998.711,1191217.895,,
1042,0.28398896,2288499.785,1190040.967,,
1043,0.28375581,2284968.371,1188842.677,,
1044,0.28352368,2281410.258,1187626.042,,
1045,0.28329257,2277831.238,1186394.081,,
1046,0.28306249,2274237.101,1185149.809,,
1047,0.28283342,2270633.636,1183896.244,,
1048,0.28260538,2267026.636,1182636.403,,
1049,0.28237836,2263421.849,1181373.283,,
1050,0.28215232,2259820.534,1180107.675,,
1051,0.28192711,2256215.463,1178836.202,,
1052,0.28170257,2252598.467,1177555.024,,
1053,0.28147856,2248961.376,1176260.301,,
1054,0.28125489,2245296.022,1174948.193,,
1055,0.2810314,2241594.235,1173614.861,,
1056,0.28080792,2237847.845,1172256.465,,
1057,0.28058426,2234048.683,1170869.165,,
1058,0.28036026,2230188.579,1169449.12,,
1059,0.28013571,2226259.365,1167992.492,,
1060,0.27991043,2222253.471,1166495.749,,
1061,0.27968427,2218170.446,1164959.009,,
1062,0.27945708,2214014.5,1163384.783,,
1063,0.27922873,2209789.922,1161775.624,,
1064,0.27899907,2205501.003,1160134.081,,
1065,0.27876798,2201152.032,1158462.708,,
1066,0.27853532,2196747.301,1156764.056,,
1067,0.27830094,2192291.098,1155040.675,,
1068,0.27806473,2187787.715,1153295.119,,
1069,0.27782653,2183241.44,1151529.939,,
1070,0.27758623,2178656.567,1149747.684,,
1071,0.27734394,2174038.197,1147950.68,,
1072,0.27710038,2169393.381,1146140.699,,
1073,0.27685635,2164729.457,1144319.436,,
1074,0.27661269,2160053.762,1142488.584,,
1075,0.27637022,2155373.633,1140649.837,,
1076,0.27612979,2150696.41,1138804.887,,
1077,0.27589223,2146029.429,1136955.43,,
1078,0.27565842,2141380.027,1135103.157,,
1079,0.2754292,2136755.544,1133249.763,,
1080,0.27520547,2132163.316,1131396.942,,
1081,0.27498803,2127610.245,1129546.326,,
1082,0.2747772,2123099.918,1127699.088,,
1083,0.2745731,2118634.392,1125856.19,,
1084,0.2743758,2114215.717,1124018.591,,
1085,0.27418541,2109845.943,1122187.253,,
1086,0.27400203,2105527.121,1120363.135,,
1087,0.27382575,2101261.3,1118547.196,,
1088,0.27365667,2097050.531,1116740.398,,
1089,0.27349489,2092896.864,1114943.7,,
1090,0.27334051,2088802.348,1113158.063,,
1091,0.27319363,2084768.952,1111384.408,,
1092,0.27305429,2080796.818,1109622.829,,
1093,0.27292248,2076884.309,1107872.605,,
1094,0.27279818,2073029.711,1106132.986,,
1095,0.27268138,2069231.314,1104403.218,,
1096,0.27257205,2065487.405,1102682.549,,
1097,0.27247018,2061796.272,1100970.227,,
1098,0.27237573,2058156.202,1099265.499,,
1099,0.2722887,2054565.485,1097567.613,,
1100,0.27220906,2051022.407,1095875.816,,
1101,0.27213678,2047525.28,1094189.365,,
1102,0.27207194,2044073.928,1092508.076,,
1103,0.27201477,2040670.578,1090832.649,,
1104,0.27196553,2037317.668,1089163.868,,
1105,0.27192445,2034017.636,1087502.512,,
1106,0.27189178,2030772.921,1085849.364,,
1107,0.27186779,2027585.963,1084205.204,,
1108,0.27185271,2024459.199,1082570.813,,
1109,0.27184681,2021395.07,1080946.974,,
1110,0.27185033,2018396.013,1079334.466,,
1111,0.27186354,2015464.478,1077734.07,,
1112,0.27188713,2012604.447,1076146.263,,
1113,0.27192274,2009823.031,1074570.91,,
1114,0.27197213,2007127.724,1073007.8,,
1115,0.27203706,2004526.018,1071456.721,,
1116,0.27211931,2002025.408,1069917.465,,
1117,0.27222064,1999633.385,1068389.819,,
1118,0.27234284,1997357.444,1066873.572,,
1119,0.27248768,1995205.078,1065368.515,,
