Batch Number,B2500166,,,,,,,
Category,Pet Food,,,,,,,
Specie,Dog,,,,,,,
Family,Healthcare,,,,,,,
Brand,PETFLAKES,,,,,,,
Product Code,DDF040021,,,,,,,
Product name,PETFLAKES Maintenance - Mini Adult Dog 4  Kg,,,,,,,
NIR-Code,M20260202-00080,,,,,,,
FileTitle:,IAS_Spectrum,,,,,,,
Head:,Reference,Sample,,,,,,
System Temp hundredths:,2493,2557,,,,,,
Detector Temp hundredths:,0,0,,,,,,
Humidity hundredths:,5481,5420,,,,,,
Lamp PD:,91,92,,,,,,
Tec Temp:,0,,,,,,,
Product SN:,8B6YK9LO,,,,,,,
Serial Number:,5B25203,,,,,,,
Scan Config Name:,IAS5100,,,,,,,
Scan Config Type:,2,,,,,,,
Start wavelength in nm:,900,,,,,,,
End wavelength in nm:,1700,,,,,,,
Pattern Pixel Width:,13,,,,,,,
Exposure Time:,0,,,,,,,
Measurement points:,105,,,,,,,
Number of Measurement points:,801,,,,,,,
Num Repeats:,90,90,,,,,,
PGA Gain:,64,64,,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,,
987,0.29471322,2358253.313,1196402.29,2356887,1208901,,,
988,0.29459771,2360400.183,1197809.986,2371192,1210252,,,
989,0.29447825,2362419.705,1199164.609,2370042,1204804,,,
990,0.294355,2364298.634,1200459.006,2347463,1189658,,,
991,0.29422808,2366023.724,1201686.027,2315516,1171615,,,
992,0.29409765,2367581.732,1202838.519,2277651,1152573,,,
993,0.29396384,2368959.412,1203909.333,2208022,1116241,,,
994,0.29382677,2370143.523,1204891.316,2085140,1049616,,,
995,0.29368655,2371125.292,1205779.661,1918885,957930,,,
996,0.2935432,2371909.518,1206576.653,1704354,841806,,,
997,0.29339674,2372503.556,1207285.922,1429396,699329,,,
998,0.29324717,2372914.766,1207911.098,1110911,539393,,,
999,0.29309451,2373150.506,1208455.808,725095,349927,,,
1000,0.29293877,2373218.133,1208923.681,318686,153170,,,
1001,0.29277997,2373125.006,1209318.347,81624,39170,,,
1002,0.29261813,2372878.484,1209643.435,25134,12114,,,
1003,0.29245324,2372485.924,1209902.572,18075,8595,,,
1004,0.29228535,2371954.684,1210099.388,15792,7653,,,
1005,0.29211445,2371292.123,1210237.512,,,,,
1006,0.29194055,2370505.515,1210320.592,,,,,
1007,0.2917635,2369601.631,1210352.404,,,,,
1008,0.29158312,2368587.052,1210336.767,,,,,
1009,0.29139922,2367468.359,1210277.501,,,,,
1010,0.29121161,2366252.134,1210178.427,,,,,
1011,0.2910201,2364944.957,1210043.365,,,,,
1012,0.29082451,2363553.41,1209876.136,,,,,
1013,0.29062465,2362084.074,1209680.56,,,,,
1014,0.29042034,2360543.53,1209460.458,,,,,
