Batch Number,B2600079,,,,,,,
Category,Poultry,,,,,,,
Specie,Chicken,,,,,,,
Family,Layer Baladi,,,,,,,
Brand,FARMFLAKES,,,,,,,
Product Code,PPEP250401,,,,,,,
Product name,CHICKEN FEED - BALADI PRODUCTION 1,,,,,,,
NIR-Code,D20260211-00101,,,,,,,
,,,,,,,,
,,,,,,,,
FileTitle:,IAS_Spectrum,,,,,,,
Head:,Reference,Sample,,,,,,
System Temp hundredths:,2378,2500,,,,,,
Detector Temp hundredths:,0,0,,,,,,
Humidity hundredths:,5041,4625,,,,,,
Lamp PD:,94,93,,,,,,
Tec Temp:,0,,,,,,,
Product SN:,8B6YK9LO,,,,,,,
Serial Number:,5B25203,,,,,,,
Scan Config Name:,IAS5100,,,,,,,
Scan Config Type:,2,,,,,,,
Start wavelength in nm:,900,,,,,,,
End wavelength in nm:,1700,,,,,,,
Pattern Pixel Width:,11,,,,,,,
Exposure Time:,0,,,,,,,
Measurement points:,420,,,,,,,
Number of Measurement points:,801,,,,,,,
989,0.06734283,1997622.08,1710686.79,716528,371259,,,
990,0.06725383,1999603.062,1712734.189,734160,379217,,,
991,0.06715414,2001890.25,1715086.898,748135,385015,,,
992,0.06705575,2004523.571,1717732.037,768852,394356,,,
993,0.06696311,2006322.836,1719640.646,785553,401430,,,
994,0.06687805,2005723.897,1719464.036,802113,408742,,,
995,0.06679891,2002197.286,1716753.584,819121,415966,,,
996,0.06671418,1998352.806,1713791.488,836424,423293,,,
997,0.06661105,1997372.073,1713357.228,853039,430688,,,
998,0.06648694,2000357.952,1716408.956,871330,438634,,,
999,0.06635688,2004616.706,1720578.378,888126,446097,,,
1000,0.06623652,2007116.834,1723201.756,904801,453464,,,
1001,0.06612913,2006682.925,1723255.293,922376,461312,,,
1002,0.06602506,2004195.436,1721531.648,939658,469096,,,
1003,0.06591446,2000668.649,1718939.959,957280,477070,,,
1004,0.06579102,1997442.154,1716655.662,969016,482099,,,
1005,0.06565096,1996070.379,1716030.058,991756,492629,,,
1006,0.06549299,1997690.224,1718047.465,1011662,501833,,,
1007,0.06532791,2000890.18,1721453.68,1023435,507087,,,
1008,0.06517032,2003305.806,1724157.457,1046486,517940,,,
1009,0.0650279,2003339.934,1724752.353,1064606,526278,,,
1010,0.0648887,2001833.537,1724007.941,1081752,534294,,,
1011,0.06473739,2000103.224,1723118.003,1099873,542561,,,
1012,0.06456858,1998966.877,1722808.541,1111656,547670,,,
1013,0.06439328,1998398.416,1723013.979,1133362,557771,,,
1014,0.06422371,1998257.514,1723565.326,1153705,567076,,,
1015,0.06406556,1997753.398,1723758.096,1167594,572975,,,
1016,0.06391826,1995496.537,1722394.859,1192483,584374,,,
1017,0.06377918,1990440.197,1718580.793,1211036,592517,,,
1018,0.06363385,1984501.049,1714026.287,1229001,600577,,,
1019,0.06346272,1981035.238,1711707.213,1248019,608735,,,
1020,0.06325602,1982193.085,1713523.001,1267649,617266,,,
1021,0.06303745,1985528.928,1717270.724,1286332,625322,,,
1022,0.06283697,1987526.269,1719791.915,1306909,634126,,,
1023,0.06266596,1986147.166,1719275.46,1326003,642169,,,
1024,0.0625045,1982039.589,1716357.806,1344751,649934,,,
1025,0.06233048,1976168.946,1711959.902,1364538,658000,,,
1026,0.06213809,1970144.202,1707496.905,1384048,666081,,,
1027,0.06193675,1966156.805,1704831.275,1403878,673824,,,
1028,0.06173719,1965962.421,1705446.197,1414579,677230,,,
1029,0.06154899,1968046.216,1707993.833,1441734,688253,,,
1030,0.06138011,1969468.333,1709892.822,1464161,697248,,,
1031,0.06123167,1968235.625,1709406.759,1474937,700227,,,
1032,0.0610868,1965273.989,1707404.052,1501556,710916,,,
1033,0.06092589,1962050.11,1705234.878,1521156,717867,,,
1034,0.06074312,1959295.136,1703557.265,1539014,724227,,,
1035,0.06055139,1956724.665,1702073.589,1557658,730533,,,
1036,0.06036408,1954009.878,1700445.352,1567017,732813,,,
1037,0.06018569,1951162.409,1698664.971,1590332,741439,,,
1038,0.06001515,1948410.461,1696935.359,1611556,749002,,,
1039,0.05985107,1945927.287,1695413.106,1622354,751773,,,
1040,0.05969075,1943633.997,1694040.296,1649383,762165,,,
1041,0.05953111,1941383.186,1692700.636,1666598,767811,,,
1042,0.05937072,1938982.864,1691232.23,1682933,773107,,,
1043,0.05921116,1936162.335,1689392.666,1699746,778806,,,
1044,0.05905412,1932678.081,1686962.398,1717307,784843,,,
1045,0.05889994,1928808.09,1684182.226,1732280,789740,,,
1046,0.05874811,1925229.049,1681644.893,1749466,795911,,,
1047,0.05859833,1922452.515,1679798.892,1763930,800701,,,
1048,0.05845044,1920118.852,1678331.228,1777620,805234,,,
1049,0.05830414,1917600.994,1676695.157,1791793,810209,,,
1050,0.05815888,1914580.181,1674613.837,1805291,815040,,,
1051,0.05801396,1911320.204,1672320.421,1818378,819872,,,
1052,0.05786882,1908135.395,1670091.885,1819057,819309,,,
1053,0.05772467,1905127.945,1668013.187,1840908,828457,,,
1054,0.05758397,1902236.633,1666021.373,1856260,835172,,,
1055,0.05744791,1899436.609,1664090.326,1856122,834967,,,
1056,0.0573114,1896893.667,1662384.887,1876498,844525,,,
1057,0.05716766,1894821.158,1661118.297,1886933,849901,,,
1058,0.05701562,1892786.693,1659915.775,1895309,854510,,,
1059,0.05686363,1889264.351,1657406.754,1904253,859929,,,
1060,0.05671946,1882864.178,1652340.446,1901414,860383,,,
1061,0.05657845,1875063.228,1646028.958,1915303,868774,,,
1062,0.05642847,1869215.433,1641462.191,1926480,876291,,,
1063,0.05626278,1867501.207,1640582.623,1924861,878656,,,
1064,0.05609158,1867677.626,1641384.524,1942718,890584,,,
1065,0.05592769,1866534.444,1640999.011,1948042,897350,,,
1066,0.055774,1862631.942,1638147.681,1952292,904452,,,
1067,0.05562177,1856809.091,1633599.093,1957538,912868,,,
1068,0.05546303,1850107.569,1628298.242,1963694,922887,,,
1069,0.05529982,1843976.761,1623512.444,1966217,932167,,,
1070,0.05513935,1840053.176,1620656.69,1971670,944151,,,
1071,0.05498499,1838899.343,1620216.186,1974155,955887,,,
1072,0.05482939,1838488.929,1620435.055,1976066,968459,,,
