Batch Number,B2500392,,,,,,
Category,Pet Food,,,,,,
Specie,Dog,,,,,,
Family,Healthcare,,,,,,
Brand,PETFLAKES,,,,,,
Product Code,DDF040021,,,,,,
Product name,PETFLAKES Maintenance - Mini Adult Dog 4  Kg,,,,,,
NIR-Code,M20260202-00082,,,,,,
FileTitle:,IAS_Spectrum,,,,,,
Head:,Reference,Sample,,,,,
System Temp hundredths:,2470,2540,,,,,
Detector Temp hundredths:,0,0,,,,,
Humidity hundredths:,5563,5430,,,,,
Lamp PD:,93,93,,,,,
Tec Temp:,0,,,,,,
Product SN:,8B6YK9LO,,,,,,
Serial Number:,5B25203,,,,,,
Scan Config Name:,IAS5100,,,,,,
Scan Config Type:,2,,,,,,
Start wavelength in nm:,900,,,,,,
End wavelength in nm:,1700,,,,,,
Pattern Pixel Width:,13,,,,,,
Exposure Time:,0,,,,,,
Measurement points:,105,,,,,,
Number of Measurement points:,801,,,,,,
Num Repeats:,90,90,,,,,
PGA Gain:,64,64,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,
990,0.25745635,2364638.76,1307098.91,2347806,1296439,,
991,0.25736774,2366355.828,1308314.964,2315687,1279404,,
992,0.25727389,2367904.81,1309454.305,2277851,1261876,,
993,0.25717521,2369272.714,1310508.494,2208185,1224710,,
994,0.25707211,2370446.554,1311469.094,2085043,1152362,,
995,0.2569649,2371417.727,1312330.331,1918803,1051363,,
996,0.25685366,2372190.941,1313094.503,1704366,923957,,
997,0.25673844,2372773.415,1313765.434,1429068,767585,,
998,0.25661926,2373172.372,1314346.947,1110616,592153,,
999,0.25649617,2373395.031,1314842.868,724656,384418,,
1000,0.2563692,2373448.614,1315257.021,318476,168256,,
1001,0.25623839,2373340.342,1315593.229,81430,42904,,
1002,0.25610377,2373077.434,1315855.316,25168,13099,,
1003,0.25596538,2372667.113,1316047.107,18132,9435,,
1004,0.25582324,2372116.599,1316172.426,15740,8179,,
1005,0.25567741,2371433.112,1316235.097,,,,
1006,0.25552789,2370623.867,1316239.035,,,,
1007,0.25537448,2369696.035,1316188.709,,,,
1008,0.25521694,2368656.771,1316088.794,,,,
1009,0.25505502,2367513.232,1315943.966,,,,
1010,0.25488845,2366272.573,1315758.901,,,,
1011,0.254717,2364941.949,1315538.274,,,,
1012,0.2545404,2363528.516,1315286.761,,,,
1013,0.25435841,2362039.429,1315009.038,,,,
1014,0.25417077,2360481.845,1314709.78,,,,
1015,0.25397725,2358862.919,1314393.664,,,,
1016,0.25377759,2357189.806,1314065.364,,,,
1017,0.2535716,2355468.718,1313728.865,,,,
1018,0.25335954,2353698.211,1313382.528,,,,
1019,0.25314189,2351873.121,1313021.987,,,,
1020,0.25291911,2349988.258,1312642.857,,,,
1021,0.25269168,2348038.433,1312240.752,,,,
1022,0.25246006,2346018.458,1311811.286,,,,
1023,0.25222472,2343923.144,1311350.076,,,,
1024,0.25198612,2341747.302,1310852.735,,,,
