Batch Number,B2600087,,,,
Category,Poultry,,,,
Specie,Chicken,,,,
Family,Layer Baladi,,,,
Brand,FARMFLAKES,,,,
Product Code,PPES250101,,,,
Product name,CHICKEN FEED - BALADI STARTER,,,,
NIR-Code,D20260214-00105,,,,
Serial Number:,5B25203,,,,
Scan Config Name:,IAS5100,,,,
Scan Config Type:,2,,,,
Start wavelength in nm:,900,,,,
End wavelength in nm:,1700,,,,
Pattern Pixel Width:,11,,,,
Exposure Time:,0,,,,
Measurement points:,420,,,,
Number of Measurement points:,801,,,,
Num Repeats:,90,90,,,
PGA Gain:,64,64,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original
900,0.06406968,1241060.711,1070836.954,5565,4000
901,0.06394037,1261034.616,1088395.257,5627,3880
902,0.06381398,1280886.245,1105850.903,5593,3705
903,0.0636915,1300545.063,1123140.035,5442,3636
904,0.06357141,1319831.383,1140110.743,5206,3454
905,0.0634521,1338559.639,1156606.489,5176,3298
906,0.0633304,1356690.719,1172601.514,5126,3172
907,0.06320046,1374460.813,1188315.896,5010,3112
908,0.06305648,1392136.27,1203996.631,4968,2999
909,0.0628966,1409843.599,1219759.858,5048,3055
910,0.06272842,1427332.439,1235369.049,5028,2995
911,0.06256056,1444289.581,1250528.868,5114,3047
912,0.06239963,1460502.715,1265035.564,5224,3008
913,0.06224652,1476143.087,1279033.551,5427,3014
914,0.06210088,1491473.072,1292749.967,5651,3200
915,0.06196156,1506703.174,1306369.835,5592,3340
916,0.06182258,1521773.334,1319858.535,5924,3458
917,0.06167661,1536535.572,1333110.068,6122,3593
918,0.06151825,1550881.014,1346047.014,6523,3738
919,0.06135424,1564973.66,1358791.395,6813,3842
920,0.06119621,1579093.647,1371550.111,7295,4166
921,0.06105449,1593429.447,1384453.435,7732,4337
922,0.06093033,1607330.041,1396930.269,8259,4500
923,0.06082009,1619695.539,1408034.496,8858,4881
924,0.06071994,1629586.998,1416960.058,9362,5109
925,0.06062625,1637994.937,1424578.236,9991,5519
926,0.06053594,1647159.097,1432846.298,10793,5729
927,0.06044669,1659175.016,1443595.482,11617,6244
928,0.0603589,1673720.519,1456545.465,12558,6635
929,0.0602745,1688639.733,1469814.42,13443,7158
930,0.06019508,1701814.953,1481553.22,14385,7644
931,0.06012392,1712623.03,1491206.747,15626,8255
932,0.06006606,1721728.602,1499334.858,16938,8877
933,0.06002637,1729848.956,1506543.969,18416,9683
934,0.06000426,1737922.707,1513652.546,19977,10673
935,0.05999397,1747098.874,1521680.639,21904,11624
936,0.05998984,1758475.445,1531603.902,24035,12606
937,0.05999086,1771736.474,1543150.432,26725,13999
938,0.06000056,1785124.647,1554776.562,29496,15633
939,0.06002251,1796868.964,1564926.322,32967,17281
940,0.06005775,1806515.123,1573199.703,36899,19458
941,0.06010463,1815008.203,1580425.249,41717,22143
942,0.06016139,1823340.788,1587473.415,47017,25062
943,0.06022576,1831971.286,1594751.065,53063,28442
944,0.0602951,1840782.484,1602165.501,60011,32174
945,0.06036692,1849611.603,1609583.911,67649,36531
946,0.06044253,1857857.38,1616478.181,76595,41550
947,0.06052724,1864452.528,1621900.069,86508,47164
948,0.0606265,1868383.163,1624947.91,97990,53528
949,0.06074051,1870446.252,1626315.198,110243,60519
950,0.06086363,1873285.769,1628322.438,124313,68509
951,0.06098949,1879497.931,1633248.835,139093,76724
952,0.0611157,1888914.544,1640954.772,154659,85667
953,0.06124441,1898733.832,1648996.278,171600,94913
954,0.06137853,1906155.268,1654930.436,188943,104595
955,0.06151836,1910285.611,1657982.49,206682,114415
956,0.06166152,1911883.621,1658822.564,223557,123699
957,0.06180545,1911802.843,1658202.835,241833,133728
958,0.06194949,1911493.81,1657385.002,259252,143343
959,0.06209413,1912864.589,1658021.261,274514,151635
960,0.0622391,1917620.893,1661589.174,291224,160704
961,0.06238113,1924904.724,1667355.12,306315,168757
962,0.06251577,1932167.322,1673127.204,320946,176752
963,0.06264011,1937082.477,1676903.225,335083,184234
964,0.06275917,1939712.875,1678720.039,347357,190531
965,0.06288186,1941437.59,1679738.114,361885,198218
966,0.063015,1943499.489,1681006.651,375644,205318
967,0.06315245,1946039.764,1682671.19,387808,211376
968,0.06328245,1948708.373,1684474.332,402902,219219
969,0.06339528,1951211.882,1686200.259,416014,225818
970,0.06349203,1953586.875,1687876.645,429509,232487
971,0.06357749,1955984.86,1689615.958,442968,239189
972,0.06365647,1958530.047,1691506.882,456965,245931
973,0.06373396,1961231.785,1693538.072,470755,252692
974,0.06381497,1964069.311,1695671.968,485792,259901
975,0.0639003,1966964.708,1697838.074,499871,266543
976,0.06397796,1969665.362,1699865.205,514095,273279
977,0.06403367,1971886.596,1701563.89,528670,279940
978,0.06406094,1973581.275,1702919.339,543537,286887
979,0.0640702,1975223.894,1704300.349,558411,293764
980,0.064074,1977351.981,1706121.606,570270,298762
981,0.06407965,1980119.385,1708487.186,588145,307088
982,0.06408631,1983080.703,1711016.034,604857,314630
983,0.0640923,1985750.431,1713295.864,617167,319872
984,0.06409182,1987970.43,1715213.144,635863,328298
985,0.06407459,1989941.589,1716981.978,651992,335464
986,0.06403105,1991874.3,1718821.896,667682,342092
987,0.0639652,1993851.05,1720788.575,683917,349049
988,0.06389118,1995857.927,1722814.204,696779,354198
989,0.06382177,1997889.938,1724843.878,715238,362288
990,0.06375659,2000036.888,1726956.562,733029,369950
991,0.06368876,2002435.986,1729298.17,747131,375569
992,0.06361293,2005019.086,1731831.283,767829,384779
993,0.06353153,2006678.305,1733589.32,784521,391620
994,0.06344922,2005978.629,1733313.348,801142,398549
995,0.06336758,2002472.503,1730609.1,818056,405815
996,0.06327966,1998708.332,1727705.706,835439,413101
997,0.06317738,1997779.713,1727309.711,852151,420160
998,0.06305841,2000745.828,1730348.223,870396,428047
999,0.06292969,2004950.233,1734498.414,887240,435369
1000,0.06279843,2007406.327,1737148.169,903985,442539
1001,0.06267039,2006955.222,1737269.877,921460,450255
1002,0.06255054,2004462.464,1735590.977,938930,457897
1003,0.06244297,2000927.061,1732959.016,956441,465586
1004,0.06233869,1997688.491,1730569.609,968183,470810
1005,0.06222021,1996311.09,1729848.246,990953,481373
1006,0.06207365,1997938.86,1731843.082,1010612,490349
1007,0.0619061,2001149.369,1735295.37,1022471,495579
1008,0.06173177,2003560.514,1738083.735,1045649,506320
1009,0.0615616,2003568.181,1738771.569,1063771,514377
1010,0.06139851,2002040.403,1738098.284,1080871,522196
1011,0.06124426,2000327.252,1737227.865,1098889,530306
1012,0.06109724,1999254.815,1736884.393,1110688,535363
1013,0.06094949,1998762.492,1737047.541,1132541,545330
1014,0.06079271,1998671.793,1737595.873,1153026,554527
1015,0.06062433,1998163.532,1737827.631,1166621,560293
1016,0.06044677,1995828.744,1736506.844,1191704,571523
1017,0.06026211,1990610.833,1732703.512,1210003,579440
1018,0.0600722,1984491.612,1728132.622,1228168,587209
1019,0.05987992,1980928.802,1725793.962,1247237,595289
1020,0.05968854,1982136.728,1727607.458,1266856,603673
1021,0.05949803,1985590.729,1731377.248,1285518,611591
1022,0.05930634,1987662.15,1733948.614,1305988,620217
1023,0.05911269,1986261.936,1733499.946,1325142,627975
1024,0.05892053,1982097.836,1730631.324,1343939,635616
1025,0.0587338,1976204.09,1726227.345,1363668,643675
1026,0.05854924,1970206.65,1721720.062,1383456,651351
1027,0.05835726,1966267.022,1719037.026,1403137,659202
1028,0.05815061,1966111.508,1719719.184,1413840,662445
1029,0.05793498,1968212.145,1722411.552,1440888,673344
1030,0.05772059,1969623.029,1724497.331,1463376,682098
1031,0.0575136,1968349.345,1724203.723,1473997,685174
1032,0.05731121,1965328.652,1722360.168,1500965,695573
1033,0.05710956,1962041.754,1720278.216,1520409,702642
1034,0.05690703,1959230.096,1718614.28,1538213,708784
1035,0.05670451,1956614.286,1717120.232,1556994,715252
1036,0.05650319,1953870.008,1715506.944,1566179,717341
1037,0.05630687,1951012.048,1713772.159,1589574,726075
1038,0.0561212,1948270.891,1712096.102,1610740,733744
1039,0.05594988,1945819.395,1710616.462,1621706,736650
1040,0.05578759,1943566.758,1709274.733,1648726,747080
1041,0.05562654,1941350.594,1707958.954,1665718,752833
1042,0.05546144,1938967.291,1706510.804,1681898,758468
1043,0.05529142,1936140.451,1704690.097,1698810,764403
1044,0.05511618,1932622.617,1702279.54,1716507,770649
1045,0.05493834,1928704.958,1699524.606,1731368,775844
1046,0.05476301,1925090.43,1697024.555,1748652,782298
1047,0.05459406,1922310.089,1695232.95,1763195,787532
1048,0.05442767,1919988.474,1693834.396,1776684,792263
1049,0.05425745,1917471.902,1692277.408,1791141,797636
1050,0.05408207,1914432.671,1690277.56,1804527,802769
1051,0.05391022,1911159.028,1688055.045,1817436,807920
1052,0.05375095,1907990.868,1685874.869,1818308,807884
1053,0.05359962,1905017.007,1683833.836,1839933,817140
1054,0.05344089,1902132.847,1681899.176,1855480,824328
1055,0.05326407,1899284.168,1680064.207,1855295,824652
1056,0.05308221,1896676.801,1678460.475,1875529,834424
1057,0.05291531,1894584,1677252.911,1886174,840163
1058,0.0527697,1892594.916,1676053.873,1894474,845388
1059,0.0526281,1889140.191,1673539.951,1903396,851263
1060,0.05247184,1882783.541,1668508.998,1900751,851999
1061,0.05229864,1874995.939,1662270.467,1914440,860921
1062,0.05211815,1869151.585,1657778.022,1925828,869238
1063,0.05193928,1867445.41,1656947.086,1924016,872149
1064,0.05176289,1867626.255,1657780.687,1941855,884710
1065,0.05158688,1866470.727,1657426.606,1947285,892317
1066,0.05140896,1862537.545,1654611.651,1951717,900134
1067,0.05122792,1856679.031,1650094.863,1956794,909473
1068,0.0510434,1849949.596,1644812.87,1962958,920326
1069,0.05085882,1843798.954,1640041.137,1965464,930585
1070,0.05067982,1839858.157,1637210.503,1970965,943589
1071,0.05050825,1838688.296,1636815.998,1973657,956526
1072,0.05033522,1838271.357,1637096.962,1975236,970228
1073,0.0501502,1836321.305,1636057.151,1977831,985798
1074,0.04995555,1832469.54,1633357.36,1979584,1002490
1075,0.04976521,1827954.586,1630047.253,1980892,1020131
1076,0.04959098,1823864.75,1627052.828,1969206,1032338
1077,0.04943131,1820410.204,1624568.223,1980001,1057364
1078,0.04928084,1817546.706,1622574.845,1984449,1080442
1079,0.04913298,1814630.734,1620523.299,1972487,1095541
1080,0.04897919,1810190.405,1617130.486,1983306,1123501
1081,0.04881248,1803106.409,1611420.467,1984505,1146976
1082,0.04864293,1795408.639,1605167.576,1984982,1170171
1083,0.04848973,1790565.388,1601402.318,1987896,1194880
1084,0.0483626,1789993.496,1601359.549,1981148,1213837
1085,0.04824779,1790653.151,1602373.238,1994315,1244012
1086,0.04812873,1789123.86,1601443.692,2007091,1273898
1087,0.04800371,1784595.012,1597849.831,2008721,1296063
1088,0.0478819,1778075.763,1592459.362,2033043,1331417
1089,0.04777187,1770827.818,1586369.931,2046027,1358647
1090,0.04767863,1764811.664,1581319.904,2060062,1385864
1091,0.04760618,1762019.878,1579081.766,2077391,1413793
1092,0.04754395,1762036.335,1579322.81,2098278,1443580
1093,0.04746664,1762093.29,1579655.035,2115851,1469940
1094,0.04735789,1759957.954,1578135.914,2138309,1498893
1095,0.04724694,1756302.822,1575260.774,2157616,1524822
1096,0.04717568,1752611.725,1572208.12,2175734,1549251
1097,0.04714852,1749543.068,1569553.465,2194497,1573352
1098,0.04712108,1746697.019,1567099.243,2211761,1596348
1099,0.04705551,1743687.275,1564635.165,2228041,1618133
1100,0.04697532,1740631.448,1562181.564,2229751,1629271
1101,0.04692686,1737833.82,1559844.786,2254258,1656882
1102,0.04692445,1735419.676,1557686.529,2272311,1679911
1103,0.04693099,1733229.653,1555697.38,2270955,1689246
1104,0.04691047,1731062.242,1553825.398,2294966,1717229
1105,0.0468713,1728588.395,1551744.792,2306961,1736833
1106,0.04684219,1725425.061,1549008.9,2317801,1755951
1107,0.04683836,1721633.738,1545618.858,2328764,1775425
1108,0.04684955,1718100.801,1542407.35,2327109,1785232
1109,0.04686361,1715665.005,1540170.796,2344585,1810019
1110,0.04687669,1713957.695,1538591.776,2359253,1832788
1111,0.04688938,1711986.117,1536777.017,2357995,1843056
1112,0.04690379,1709250.607,1534270.577,2379829,1871273
1113,0.04692502,1706269.249,1531519.555,2385348,1886484
1114,0.04695892,1703634.065,1529034.884,2389813,1900494
1115,0.04701478,1701457.457,1526884.939,2394922,1914722
1116,0.04710377,1699586.282,1524893.282,2401835,1929885
1117,0.04722665,1697970.033,1523012.147,2402180,1939155
1118,0.04736203,1696781.531,1521471.776,2407496,1951769
1119,0.04748879,1696112.521,1520428.048,2407909,1960052
1120,0.04761771,1695000.697,1518980.388,2407163,1966473
1121,0.04777779,1691904.456,1515646.925,2407608,1973160
1122,0.04798498,1686715.268,1510277.663,2407454,1978778
1123,0.04822587,1682302.908,1505491.573,2406504,1983071
1124,0.04848351,1681484.238,1503866.51,2391341,1975049
1125,0.04875739,1683266.12,1504511.075,2400694,1986364
1126,0.04905757,1684645.109,1504703.226,2402325,1991029
1127,0.04939406,1683841.157,1502820.338,2384700,1978987
1128,0.04977364,1681444.958,1499370.694,2392495,1987480
1129,0.05020049,1678370.98,1495159.315,2387629,1984964
1130,0.05066371,1675985.725,1491442.801,2380491,1979980
1131,0.05114412,1675852.128,1489675.173,2373745,1975069
1132,0.05163949,1678159.261,1490025.444,2353938,1959062
1133,0.05217971,1680802.203,1490516.864,2353726,1958628
1134,0.05279266,1681813.763,1489310.479,2350215,1955157
1135,0.05345743,1681552.929,1486801.901,2332729,1939958
1136,0.05413217,1681302.048,1484272.251,2337982,1943438
1137,0.05480526,1681786.67,1482400.832,2327993,1934163
1138,0.05550935,1682957.199,1481029.539,2317264,1924034
1139,0.05627144,1684519.272,1479805.173,2308336,1915434
1140,0.0570722,1685215.76,1477689.925,2302134,1909193
1141,0.05788083,1683569.184,1473500.002,2288542,1896953
1142,0.05869736,1680491.786,1468043.856,2280440,1889479
1143,0.05954987,1679518.115,1464316.066,2268210,1878271
1144,0.06045467,1683018.135,1464313.698,2255460,1866763
1145,0.06140199,1688411.329,1465805.229,2243382,1856012
1146,0.06238259,1692081.89,1465678.753,2230869,1844409
1147,0.06338329,1692827.42,1462949.714,2217377,1832289
1148,0.06438244,1691444.138,1458395.182,2191695,1809949
1149,0.06537151,1689187.288,1453136.1,2186994,1804513
1150,0.06638053,1688388.217,1449078.073,2175172,1793041
1151,0.06743779,1691238.36,1447994.9,2146385,1767575
1152,0.06853442,1696614.004,1448934.091,2139979,1760391
1153,0.06964679,1701443.218,1449341.312,2122536,1743605
1154,0.07076174,1704126.663,1447905.224,2104868,1726342
1155,0.07187338,1705830.659,1445647.924,2089769,1710941
1156,0.0729757,1707841.76,1443683.274,2067399,1689156
1157,0.07407831,1710296.44,1442092.373,2064153,1682946
1158,0.07519786,1712881.604,1440553.811,2060358,1675580
1159,0.07633525,1715520.702,1438999.723,2046560,1659802
1160,0.07747095,1718428.864,1437674.644,2052209,1659601
1161,0.07858834,1721774.301,1436772.101,2044297,1647841
1162,0.0796897,1725469.766,1436209.04,2034111,1633748
1163,0.08078227,1729348.95,1435821.214,2023706,1619534
1164,0.08187231,1732996.939,1435243.155,2015842,1606797
1165,0.08296613,1735805.65,1433953.157,2000239,1588345
1166,0.0840654,1737747.244,1431928.075,1989910,1573933
1167,0.08515657,1740161.67,1430319.391,1976311,1557579
1168,0.08622313,1744307.923,1430210.716,1961680,1540752
1169,0.08726861,1749264.983,1430826.573,1948824,1526213
1170,0.08831012,1753109.21,1430536.211,1936074,1512257
1171,0.08935597,1755338.299,1428909.935,1923202,1499230
1172,0.09039605,1757409.011,1427173.577,1901672,1480211
1173,0.09141631,1760560.126,1426377.748,1897970,1475910
1174,0.09240525,1764515.366,1426330.572,1888551,1468224
1175,0.09335518,1768637.868,1426539.298,1867283,1452249
1176,0.09428146,1772879.23,1426913.637,1864542,1451595
1177,0.0952163,1777651.406,1427678.122,1853142,1444870
1178,0.09616666,1782642.276,1428556.885,1841159,1438723
1179,0.09708632,1785908.556,1428146.967,1830531,1434184
1180,0.09793553,1785881.748,1425335.734,1812827,1425083
1181,0.09874356,1785130.115,1422087.495,1808130,1426690
1182,0.09956133,1787865.383,1421587.149,1801275,1427008
1183,0.10039379,1794628.56,1424232.14,1786012,1421297
1184,0.1012017,1801636.428,1427136.304,1786148,1427813
1185,0.10196025,1805889.138,1428008.652,1776623,1427482
1186,0.10268064,1807821.202,1427167.146,1766209,1426407
1187,0.10337862,1808640.993,1425521.43,1757452,1427151
1188,0.10406083,1810198.432,1424509.507,1751891,1430845
1189,0.1047265,1814704.104,1425867.994,1740911,1430152
1190,0.10536332,1822376.39,1429798.248,1735379,1434266
1191,0.10594668,1830216.076,1434021.561,1727043,1436042
1192,0.10646228,1835670.537,1436588.753,1718414,1437680
1193,0.10693016,1839583.198,1438100.627,1711793,1441214
1194,0.1073761,1843705.857,1439844.31,1706105,1445302
1195,0.10779487,1848739.813,1442384.101,1700367,1449423
1196,0.10815807,1854554.779,1445711.359,1688811,1448397
1197,0.10845283,1860399.062,1449283.29,1691720,1459077
1198,0.10869881,1864301.097,1451500.686,1690367,1466099
1199,0.10891598,1864934.446,1451267.891,1679498,1464346
1200,0.10909892,1865567.328,1451148.993,1684689,1475754
1201,0.10923203,1870876.609,1454832.902,1683081,1480932
1202,0.10930987,1880620.478,1462147.842,1681319,1485149
1203,0.10933806,1889966.732,1469319.007,1681104,1490462
