Batch Number,B2600092,,,,
Category,Livestock,,,,
Specie,Horse,,,,
Family,Pleasure,,,,
Brand,FARMFLAKES,,,,
Product Code,PHRS250801,,,,
Product name,HORSE FEED - SPORT HORSE - 25KG,,,,
NIR-Code,D20260216-00112,,,,
Serial Number:,5B25203,,,,
Scan Config Name:,IAS5100,,,,
Scan Config Type:,2,,,,
Start wavelength in nm:,900,,,,
End wavelength in nm:,1700,,,,
Pattern Pixel Width:,11,,,,
Exposure Time:,0,,,,
Measurement points:,420,,,,
Number of Measurement points:,801,,,,
Num Repeats:,90,90,,,
PGA Gain:,64,64,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original
900,0.10983228,1242269.633,964680.6895,5596,3542
901,0.10961859,1262274.16,980697.5796,5651,3672
902,0.1094158,1282180.253,996628.449,5568,3499
903,0.10922655,1301920.648,1012413.577,5280,3327
904,0.10903903,1321293.765,1027922.452,5191,3361
905,0.10884116,1340090.621,1043020.884,5000,3081
906,0.10862838,1358264.216,1057683.865,4950,3105
907,0.10840927,1376072.042,1072091.631,4974,3054
908,0.1081935,1393804.948,1086446.898,5046,2998
909,0.10798603,1411598.672,1100842.565,4962,2938
910,0.10777986,1429170.929,1115075.601,5209,2989
911,0.10756625,1446169.726,1128893.623,5167,2774
912,0.1073397,1462357.986,1142125.963,5166,2961
913,0.10710636,1477935.487,1154912.604,5332,2956
914,0.10687493,1493205.8,1167467.338,5475,3098
915,0.10665263,1508413.745,1179961.549,5794,3291
916,0.1064397,1523497.714,1192345.461,5809,3317
917,0.10623418,1538296.52,1204497.425,6222,3304
918,0.10603402,1552688.014,1216326.528,6437,3555
919,0.10583688,1566822.483,1227956.316,6823,3690
920,0.10564044,1580966.167,1239601.61,7191,3868
921,0.10544305,1595295.221,1251405.364,7628,3995
922,0.10524686,1609160.774,1262852.35,8037,4280
923,0.10505554,1621472.814,1273075.415,8530,4596
924,0.10487176,1631301.946,1281334.718,9140,4712
925,0.10469323,1639643.571,1288416.338,9723,5119
926,0.10451539,1648739.281,1296094.297,10559,5524
927,0.10433529,1660686.802,1306027.875,11203,5910
928,0.10415909,1675171.742,1317953.973,12031,6312
929,0.10399852,1690050.256,1330151.483,12948,6736
930,0.10386351,1703215.739,1340930.122,14146,7280
931,0.10375205,1714037.707,1349796.569,15073,7901
932,0.10365271,1723157.573,1357288.853,16411,8465
933,0.10355454,1731269.541,1363986.736,17874,9321
934,0.10345247,1739302.983,1370638.019,19387,10046
935,0.10334692,1748410.831,1378150.251,21083,10843
936,0.10323893,1759695.89,1387390.41,23341,11945
937,0.10313261,1772856.155,1398108.536,25631,13194
938,0.10303464,1786157.553,1408916.06,28287,14620
939,0.10295115,1797851.862,1418413.162,31826,16473
940,0.10288545,1807484.995,1426228.973,35551,18337
941,0.10283834,1815978.259,1433086.184,40112,20798
942,0.10281046,1824299.828,1439745.59,45148,23407
943,0.10279682,1832897.485,1446576.349,50777,26329
944,0.10278635,1841658.239,1453525.602,57509,29856
945,0.10276831,1850424.303,1460504.88,64762,33835
946,0.10274181,1858600.287,1467047.532,73107,38365
947,0.10271623,1865125.706,1472284.973,82394,43563
948,0.10270109,1868993.619,1475389.648,93309,49387
949,0.10270272,1871010.147,1476975.93,105086,56028
950,0.10272432,1873830.679,1479128.909,118751,63252
951,0.10276831,1880061.941,1483897.301,133089,71020
952,0.10282737,1889525.023,1491163.529,148576,79423
953,0.1028854,1899387.209,1498746.244,165347,88457
954,0.10292732,1906817.631,1504464.129,182580,97903
955,0.10295203,1910917.958,1507613.469,200757,107442
956,0.10297006,1912463.725,1508770.372,217894,116755
957,0.10299184,1912325.716,1508585.847,236506,126586
958,0.10302302,1911967.858,1508195.248,254587,136078
959,0.10306554,1913308.657,1509105.129,270308,144380
960,0.10312071,1918063.138,1512663.011,287628,153441
961,0.10318577,1925369.958,1518198.011,303127,161507
962,0.10325563,1932668.67,1523708.117,318244,169418
963,0.10332502,1937620.919,1527368.393,332612,176842
964,0.10338399,1940274.316,1529252.312,345285,183357
965,0.10341976,1941991.242,1530479.458,359985,190820
966,0.10342279,1944002.373,1532053.738,373885,197865
967,0.10340847,1946469.89,1534048.966,386249,204003
968,0.10340322,1949079.535,1536124.228,401585,211418
969,0.10342739,1951566.806,1537998.943,414759,218049
970,0.10346751,1953958.419,1539741.463,428132,224530
971,0.10349851,1956382.504,1541541.647,441863,231102
972,0.10350232,1958944.812,1543547.083,455842,237790
973,0.10349006,1961656.882,1545727.704,469819,244377
974,0.10348036,1964505.545,1548006.908,484765,251321
975,0.10348357,1967413.259,1550286.724,498787,257816
976,0.10348481,1970105.705,1552403.872,513154,264328
977,0.10346461,1972272.432,1554183.488,527820,271079
978,0.10341444,1973866.918,1555619.684,542400,277663
979,0.10334967,1975422.214,1557077.62,557451,284294
980,0.10328869,1977541.273,1558966.806,569316,289435
981,0.10323873,1980392.375,1561394.021,587325,297309
982,0.10318966,1983464.907,1563993.213,603966,304562
983,0.10313001,1986203.104,1566367.436,616278,309608
984,0.1030538,1988429.621,1568398.534,634948,317711
985,0.102961,1990382.137,1570274.093,651019,324598
986,0.10285222,1992308.375,1572187.508,666725,331144
987,0.10273213,1994294.58,1574190.102,683044,338068
988,0.10260844,1996305.296,1576226.123,695744,342910
989,0.10248821,1998318.683,1578252.7,714346,350748
990,0.10237295,2000452.409,1580357.265,732183,358137
991,0.10226142,2002893.9,1582692.41,746242,363655
992,0.10215043,2005604.336,1585239.303,766950,372437
993,0.10202655,2007398.71,1587110.214,783550,379086
994,0.1018729,2006731.363,1587144.011,800108,385852
995,0.10168267,2003099.157,1584965.363,817084,392967
996,0.10148146,1999161.973,1582583.089,834521,400160
997,0.10130205,1998155.595,1582439.999,851185,407045
998,0.10115847,2001197.875,1585373.402,869430,414749
999,0.10102831,2005538.518,1589288.343,886387,421676
1000,0.10088527,2008083.432,1591829.265,903049,428759
1001,0.10072026,2007638.909,1592081.666,920448,436196
1002,0.10054383,2005116.176,1590727.201,938022,443665
1003,0.10036694,2001561.206,1588553.844,955509,451273
1004,0.10019032,1998325.788,1586631.15,967189,456090
1005,0.10000821,1996963.672,1586214.637,990121,466211
1006,0.09981658,1998609.437,1588222.553,1009846,474973
1007,0.09961925,2001840.696,1591513.272,1021732,479839
1008,0.09942219,2004278.933,1594174.92,1044626,490297
1009,0.09922826,2004318.703,1594918.594,1062695,498089
1010,0.09903318,2002811.097,1594434.961,1079964,505731
1011,0.09883182,2001086.413,1593800.735,1098054,513593
1012,0.09862335,1999970.839,1593677.036,1109807,518446
1013,0.0984136,1999437.506,1594021.721,1131533,527999
1014,0.09820866,1999343.243,1594698.928,1152019,536903
1015,0.0980077,1998871.167,1595060.306,1165919,542661
1016,0.0978032,1996584.212,1593985.743,1190841,553522
1017,0.09758804,1991398.837,1590633.814,1209160,561300
1018,0.097365,1985288.439,1586567.735,1227218,568827
1019,0.097143,1981711.326,1584518.777,1246245,576884
1020,0.09692982,1982886.596,1586236.934,1265862,585026
1021,0.09672307,1986309.978,1589732.138,1284540,592669
1022,0.0965166,1988376.707,1592142.99,1305100,601112
1023,0.09630516,1987003.819,1591818.473,1324341,608766
1024,0.09608725,1982872.819,1589306.324,1343049,616214
1025,0.09586226,1976989.638,1585411.987,1362876,624046
1026,0.09563294,1970978.183,1581425.996,1382560,631579
1027,0.09540558,1967021.687,1579077.939,1402362,639098
1028,0.09518657,1966865.294,1579748.833,1412969,642244
1029,0.09497549,1968973.119,1582210.628,1439851,652747
1030,0.09476775,1970379.667,1584098.458,1462660,661040
1031,0.094559,1969081.827,1583816.127,1473269,663881
1032,0.09434899,1966043.601,1582137.262,1500101,673940
1033,0.09413882,1962778.173,1580274.017,1519654,680408
1034,0.09393007,1960028.081,1578818.563,1537544,686240
1035,0.09372421,1957471.833,1577507.056,1556170,692450
1036,0.09352241,1954743.384,1576040.372,1565503,694137
1037,0.09332416,1951856.001,1574430.925,1588798,702341
1038,0.09312799,1949064.234,1572889.308,1609971,709498
1039,0.09293265,1946561.89,1571576.653,1620919,712023
1040,0.09273748,1944263.907,1570426.919,1648004,721655
1041,0.09254197,1942009.526,1569312.342,1665018,726876
1042,0.09234701,1939596.545,1568066.179,1681172,731760
1043,0.09215614,1936749.58,1566452.863,1698192,737108
1044,0.09197268,1933221.789,1564260.231,1715739,742671
1045,0.09179464,1929299.646,1561726.752,1730598,747244
1046,0.09161613,1925677.355,1559435.405,1747966,753004
