Batch Number,B2500406,,,,,,,
Category,Pet Food,,,,,,,
Specie,Dog,,,,,,,
Family,Healthcare,,,,,,,
Brand,PETFLAKES,,,,,,,
Product Code,DDF100001,,,,,,,
Product name,PETFLAKES Maintenance - Adult Dog 10 Kg,,,,,,,
NIR-Code,M20260202-00092,,,,,,,
FileTitle:,IAS_Spectrum,,,,,,,
Head:,Reference,Sample,,,,,,
System Temp hundredths:,2487,2548,,,,,,
Detector Temp hundredths:,0,0,,,,,,
Humidity hundredths:,5024,5008,,,,,,
Lamp PD:,93,92,,,,,,
Tec Temp:,0,,,,,,,
Product SN:,8B6YK9LO,,,,,,,
Serial Number:,5B25203,,,,,,,
Scan Config Name:,IAS5100,,,,,,,
Scan Config Type:,2,,,,,,,
Start wavelength in nm:,900,,,,,,,
End wavelength in nm:,1700,,,,,,,
Pattern Pixel Width:,13,,,,,,,
Exposure Time:,0,,,,,,,
Measurement points:,105,,,,,,,
Number of Measurement points:,801,,,,,,,
Num Repeats:,90,90,,,,,,
PGA Gain:,64,64,,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,,
987,0.26171784,2356511.63,1289887.24,2354739,1302418,,,
988,0.26163529,2358646.172,1291301.053,2369144,1303795,,,
989,0.26154534,2360651.893,1292666.836,2368192,1298381,,,
990,0.26144854,2362515.755,1293975.847,2345753,1283219,,,
991,0.26134543,2364224.719,1295219.342,2313797,1266423,,,
992,0.26123654,2365765.745,1296388.58,2276122,1249278,,,
993,0.2611224,2367125.794,1297474.818,2206502,1213218,,,
994,0.26100353,2368291.83,1298469.314,2083772,1143344,,,
995,0.26088032,2369255.264,1299366.121,1917676,1044731,,,
996,0.2607528,2370021,1300167.767,1703331,919165,,,
997,0.26062094,2370596.494,1300878.378,1428236,764285,,,
998,0.26048471,2370989.199,1301502.084,1109915,589865,,,
999,0.26034406,2371206.57,1302043.012,724483,382866,,,
1000,0.26019896,2371256.059,1302505.29,318327,167576,,,
1001,0.26004937,2371145.121,1302893.046,81556,42725,,,
1002,0.25989526,2370881.211,1303210.408,25245,13069,,,
1003,0.25973658,2370471.781,1303461.504,18071,9195,,,
1004,0.25957331,2369924.287,1303650.462,15791,8100,,,
1005,0.25940541,2369246.182,1303781.41,,,,,
