Batch Number,B2600041,,,,
Category,Pet Food,,,,
Specie,Dog,,,,
Family,Healthcare,,,,
Brand,PETFLAKES,,,,
Product Code,DDF100001,,,,
Product name,PETFLAKES Maintenance - Adult Dog 10 Kg,,,,
NIR-Code,M20260202-00077,,,,
Serial Number:,5B25203,,,,
Scan Config Name:,IAS5100,,,,
Scan Config Type:,2,,,,
Start wavelength in nm:,900,,,,
End wavelength in nm:,1700,,,,
Pattern Pixel Width:,13,,,,
Exposure Time:,0,,,,
Measurement points:,105,,,,
Number of Measurement points:,801,,,,
Num Repeats:,90,90,,,
PGA Gain:,64,64,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original
900,0.37382897,1462509.775,618400.4596,6313,2137
901,0.37343774,1485420.175,628653.8465,6149,2036
902,0.3730426,1508134.629,638847.963,6022,1893
903,0.3726433,1530630.588,648973.6873,6448,1800
904,0.37223959,1552885.507,659021.8975,7584,2028
905,0.37183121,1574876.838,668983.4717,9354,2526
906,0.37141787,1596582.034,678849.288,12338,2951
907,0.37099929,1617978.548,688610.2246,16676,3670
908,0.37057517,1639043.833,698257.1595,23439,4983
909,0.37014519,1659755.342,707780.9709,34615,7408
910,0.36970903,1680090.528,717172.5368,55206,12053
911,0.36926635,1700026.844,726422.7354,91843,20864
912,0.36881703,1719547.822,735524.6398,148319,35505
913,0.36836185,1738660.099,744479.6675,219565,54816
914,0.36790174,1757375.803,753291.2184,293315,75249
915,0.36743761,1775707.064,761962.6926,360150,93834
916,0.36697035,1793666.01,770497.4901,421309,110234
917,0.36650079,1811264.768,778899.0107,481797,125523
918,0.36602974,1828515.466,787170.6546,545014,140405
919,0.36555801,1845430.234,795315.8217,612522,155169
920,0.36508636,1862021.2,803337.9119,682743,169803
921,0.36461554,1878300.491,811240.3254,756619,184474
922,0.36414629,1894280.236,819026.4621,833273,198566
923,0.36367934,1909972.563,826699.7219,912178,212694
924,0.3632154,1925389.03,834263.21,991755,226726
925,0.36275549,1940534.527,841716.5864,1073694,241919
926,0.36230076,1955409.63,849057.2809,1156642,258337
927,0.36185234,1970014.84,856282.6857,1241345,275854
928,0.36141131,1984350.659,863390.193,1326661,293563
929,0.36097874,1998417.59,870377.1948,1414337,310727
930,0.36055566,2012216.134,877241.0835,1503909,327638
931,0.36014309,2025746.793,883979.2512,1596379,343954
932,0.359742,2039010.07,890589.0901,1689850,359041
933,0.35935336,2052006.466,897067.9924,1782372,372225
934,0.35897813,2064736.484,903413.3503,1871717,384462
935,0.35861722,2077200.625,909622.5559,1957490,397242
936,0.35827155,2089399.118,915692.925,2038423,411392
937,0.3579415,2101325.685,921619.9524,2111057,425970
938,0.35762698,2112967.414,927397.2769,2174260,439295
939,0.35732788,2124311.094,933018.4537,2227183,450911
940,0.3570441,2135343.516,938477.0378,2270554,463231
941,0.35677554,2146051.468,943766.5845,2303836,479404
942,0.35652211,2156421.741,948880.649,2328599,505765
943,0.35628375,2166441.124,953812.7864,2344779,550141
944,0.35606039,2176096.406,958556.5518,2351960,614580
945,0.35585198,2185374.378,963105.5005,2353692,690688
946,0.35565849,2194261.828,967453.1877,2366548,765745
947,0.35547988,2202745.547,971593.1684,2411100,834071
948,0.35531613,2210812.899,975519.294,2487016,901789
949,0.35516676,2218464.94,979232.4742,2580209,973643
950,0.35503089,2225716.697,982740.8178,2659457,1040881
951,0.35490762,2232583.822,986052.7582,2720082,1104530
952,0.3547961,2239081.971,989176.7286,2773857,1169199
953,0.3546955,2245226.795,992121.1623,2816690,1226993
954,0.35460502,2251033.95,994894.4926,2842131,1267337
955,0.35452386,2256519.089,997505.1526,2851388,1289447
956,0.35445128,2261697.867,999961.5757,2848047,1296343
957,0.35438651,2266585.936,1002272.195,2831270,1290268
958,0.35432883,2271198.951,1004445.444,2801973,1273676
959,0.35427751,2275552.566,1006489.756,2764191,1249966
960,0.35423184,2279662.723,1008413.751,2720122,1222505
961,0.35419078,2283548.833,1010228.281,2668019,1193134
962,0.35415313,2287232.59,1011945.673,2605703,1158536
963,0.35411769,2290735.73,1013578.28,2529489,1114259
964,0.35408328,2294079.989,1015138.454,2458931,1066118
965,0.3540487,2297287.102,1016638.548,2421743,1023428
966,0.3540128,2300378.806,1018090.913,2376438,968849
967,0.3539744,2303376.835,1019507.902,2315731,912755
968,0.35393235,2306302.925,1020901.867,2254513,876408
969,0.35388551,2309178.812,1022285.162,2197522,861440
970,0.35383272,2312026.232,1023670.137,2146893,861713
971,0.35377287,2314866.92,1025069.146,2102774,870041
972,0.35370501,2317718.116,1026492.083,2061283,880143
973,0.35362906,2320578.216,1027938.546,2025251,893741
974,0.35354513,2323440.684,1029405.434,1998192,909956
975,0.35345335,2326298.981,1030889.646,1983442,925024
976,0.35335384,2329146.572,1032388.084,1981471,938585
977,0.3532467,2331976.918,1033897.646,1992746,950419
978,0.35313206,2334783.482,1035415.232,2016996,962555
979,0.35301003,2337559.727,1036937.743,2049608,975968
980,0.35288073,2340299.115,1038462.078,2087376,989658
981,0.35274425,2342995.11,1039985.137,2131670,1004765
982,0.35260071,2345641.173,1041503.82,2179548,1020218
983,0.35245021,2348230.664,1043014.971,2225117,1034083
984,0.35229298,2350754.075,1044513.884,2264399,1045033
985,0.35212935,2353198.761,1045994.159,2301882,1055146
986,0.35195967,2355551.917,1047449.308,2333720,1061834
987,0.35178426,2357800.734,1048872.843,2356159,1064373
988,0.35160345,2359932.407,1050258.276,2370392,1063902
989,0.35141757,2361934.13,1051599.119,2369446,1057316
990,0.35122692,2363793.096,1052888.885,2347035,1042314
991,0.35103181,2365496.499,1054121.086,2314911,1025091
992,0.35083254,2367031.531,1055289.233,2276983,1007160
993,0.35062939,2368385.388,1056386.839,2206893,973613
994,0.35042266,2369545.265,1057407.418,2083423,912720
995,0.35021257,2370502.799,1058346.555,1915162,829243
996,0.34999926,2371263.099,1059206.128,1699692,726267
997,0.34978282,2371833.816,1059989.2,1426570,602370
998,0.34956335,2372222.604,1060698.836,1110786,464218
999,0.34934095,2372437.116,1061338.101,725963,301145
1000,0.34911574,2372485.005,1061910.058,320068,132249
1001,0.34888781,2372373.924,1062417.772,82073,33871
1002,0.34865728,2372111.524,1062864.308,25230,10551
1003,0.34842425,2371705.461,1063252.729,17979,7640
1004,0.34818883,2371163.385,1063586.1,15750,6667
1005,0.34795113,2370492.951,1063867.486,,
1006,0.34771125,2369701.664,1064099.945,,
1007,0.34746914,2368796.148,1064286.499,,
1008,0.34722467,2367782.693,1064430.157,,
1009,0.34697776,2366667.591,1064533.928,,
1010,0.34672829,2365457.133,1064600.819,,
1011,0.34647616,2364157.609,1064633.841,,
1012,0.34622128,2362775.312,1064636.002,,
1013,0.34596354,2361316.531,1064610.31,,
1014,0.34570286,2359787.557,1064559.774,,
1015,0.34543913,2358194.683,1064487.403,,
1016,0.34517227,2356544.198,1064396.206,,
1017,0.34490221,2354841.589,1064288.787,,
1018,0.34462901,2353085.807,1064164.474,,
1019,0.34435279,2351272.629,1064021.001,,
1020,0.34407367,2349397.81,1063856.093,,
1021,0.34379179,2347457.107,1063667.474,,
1022,0.34350724,2345446.276,1063452.868,,
1023,0.34322016,2343361.072,1063210,,
1024,0.34293065,2341197.251,1062936.594,,
1025,0.34263882,2338950.569,1062630.374,,
1026,0.34234478,2336616.783,1062289.066,,
1027,0.34204864,2334191.648,1061910.392,,
1028,0.34175054,2331671.632,1061492.304,,
1029,0.34145091,2329058.304,1061034.375,,
1030,0.34115029,2326355.454,1060536.887,,
1031,0.34084926,2323566.883,1060000.122,,
1032,0.34054837,2320696.39,1059424.365,,
1033,0.34024818,2317747.777,1058809.898,,
1034,0.33994926,2314724.843,1058157.005,,
1035,0.33965218,2311631.389,1057465.97,,
1036,0.33935752,2308471.214,1056737.077,,
1037,0.33906585,2305248.119,1055970.609,,
1038,0.33877775,2301965.905,1055166.849,,
1039,0.33849363,2298628.667,1054326.664,,
1040,0.3382131,2295241.78,1053453.431,,
1041,0.33793556,2291810.963,1052551.208,,
1042,0.33766041,2288341.935,1051624.051,,
1043,0.33738705,2284840.415,1050676.016,,
1044,0.33711489,2281312.122,1049711.16,,
1045,0.33684333,2277762.775,1048733.539,,
1046,0.33657178,2274198.092,1047747.21,,
1047,0.33629963,2270623.794,1046756.228,,
1048,0.3360263,2267045.598,1045764.651,,
1049,0.33575119,2263469.182,1044776.511,,
1050,0.33547393,2259895.582,1043793.149,,
1051,0.33519459,2256317.065,1042810.831,,
1052,0.33491328,2252724.928,1041825.255,,
1053,0.3346301,2249110.465,1040832.121,,
1054,0.33434514,2245464.972,1039827.129,,
1055,0.3340585,2241779.743,1038805.977,,
1056,0.33377027,2238046.074,1037764.366,,
1057,0.33348053,2234255.259,1036697.995,,
1058,0.33318937,2230398.594,1035602.563,,
1059,0.33289685,2226467.374,1034473.77,,
1060,0.33260306,2222453.596,1033307.636,,
1061,0.3323081,2218357.577,1032103.98,,
1062,0.33201208,2214185.084,1030865.112,,
1063,0.33171513,2209941.976,1029593.381,,
1064,0.33141738,2205634.114,1028291.139,,
1065,0.33111895,2201267.358,1026960.737,,
1066,0.33081999,2196847.569,1025604.527,,
1067,0.33052064,2192380.605,1024224.858,,
1068,0.33022103,2187872.328,1022824.082,,
1069,0.32992132,2183328.598,1021404.55,,
1070,0.32962164,2178755.274,1019968.612,,
1071,0.32932225,2174158.124,1018518.402,,
1072,0.32902353,2169542.69,1017055.533,,
1073,0.32872595,2164914.483,1015581.539,,
1074,0.32842994,2160279.013,1014097.954,,
1075,0.32813596,2155641.791,1012606.315,,
1076,0.32784448,2151008.327,1011108.156,,
1077,0.32755595,2146384.13,1009605.012,,
1078,0.32727085,2141774.712,1008098.418,,
1079,0.32698966,2137185.582,1006589.91,,
1080,0.32671286,2132622.25,1005081.022,,
1081,0.32644091,2128090.087,1003573.309,,
1082,0.32617396,2123593.382,1002068.48,,
1083,0.32591207,2119135.932,1000568.311,,
1084,0.32565528,2114721.529,999074.5828,,
1085,0.32540362,2110353.968,997589.0722,,
1086,0.32515715,2106037.04,996113.5582,,
1087,0.32491592,2101774.538,994649.8192,,
1088,0.32467997,2097570.257,993199.6337,,
1089,0.32444934,2093427.988,991764.78,,
1090,0.32422411,2089351.524,990347.0366,,
1091,0.32400432,2085344.494,988948.0847,,
1092,0.32379021,2081406.876,987567.4615,,
1093,0.32358222,2077535.086,986202.6113,,
1094,0.32338076,2073725.392,984850.8911,,
1095,0.32318627,2069974.063,983509.658,,
1096,0.32299918,2066277.367,982176.2692,,
1097,0.32281991,2062631.572,980848.0817,,
1098,0.3226489,2059032.946,979522.4525,,
1099,0.32248657,2055477.758,978196.7388,,
1100,0.32233336,2051962.275,976868.2977,,
1101,0.32218968,2048482.811,975534.5154,,
1102,0.32205578,2045038.616,974194.6436,,
1103,0.32193152,2041633.595,972850.8955,,
1104,0.32181678,2038272.067,971505.747,,
1105,0.32171141,2034958.354,970161.674,,
1106,0.32161528,2031696.773,968821.1527,,
1107,0.32152824,2028491.645,967486.6589,,
1108,0.32145015,2025347.291,966160.6687,,
1109,0.32138087,2022268.028,964845.6581,,
1110,0.32132025,2019258.178,963544.1031,,
1111,0.32126816,2016322.064,962258.4719,,
1112,0.32122509,2013464.637,960990.0967,,
1113,0.32119289,2010692.125,959737.9898,,
1114,0.32117355,2008010.913,958500.8806,,
1115,0.32116909,2005427.387,957277.4987,,
1116,0.32118152,2002947.93,956066.5733,,
1117,0.32121288,2000578.928,954866.8339,,
1118,0.32126519,1998326.766,953677.0099,,
1119,0.3213405,1996197.828,952495.8308,,
1120,0.32144083,1994198.499,951322.0258,,
