Batch Number,B2600093,,,,
Category,Poultry,,,,
Specie,Chicken,,,,
Family,Layer Baladi,,,,
Brand,FARMFLAKES,,,,
Product Code,PPEP250401,,,,
Product name,CHICKEN FEED - BALADI PRODUCTION 1,,,,
NIR-Code,D20260216-00113,,,,
Serial Number:,5B25203,,,,
Scan Config Name:,IAS5100,,,,
Scan Config Type:,2,,,,
Start wavelength in nm:,900,,,,
End wavelength in nm:,1700,,,,
Pattern Pixel Width:,11,,,,
Exposure Time:,0,,,,
Measurement points:,420,,,,
Number of Measurement points:,801,,,,
Num Repeats:,90,90,,,
PGA Gain:,64,64,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original
900,0.07091428,1240087.916,1053266.31,5511,3886
901,0.07077466,1260037.352,1070554.439,5523,3807
902,0.07062079,1279870.566,1087790.505,5572,3774
903,0.07045745,1299525.167,1104910.87,5148,3450
904,0.07030021,1318818.057,1121720.543,5156,3419
905,0.07016426,1337559.495,1138017.266,5021,3166
906,0.07005202,1355705.825,1153754.589,4884,3152
907,0.06994389,1373488.003,1169178.943,4953,3001
908,0.06981898,1391167.073,1184568.856,4910,3138
909,0.0696659,1408865.871,1200062.177,4961,3059
910,0.06949594,1426334.762,1215417.624,5154,3017
911,0.06932332,1443261.999,1230330.689,5112,3145
912,0.0691592,1459438.879,1244591.164,5149,3170
913,0.06900575,1475048.424,1258347.321,5377,3156
914,0.06886319,1490366.726,1271832.6,5576,3257
915,0.0687312,1505614.638,1285235.235,5683,3353
916,0.06860613,1520724.891,1298507.672,5813,3547
917,0.06848335,1535536.592,1311525.735,6334,3598
918,0.06835875,1549928.997,1324198.388,6617,3802
919,0.06823098,1564061.554,1336665.88,6907,3889
920,0.06809993,1578212.957,1349166.888,7262,4162
921,0.06796584,1592570.503,1361861.155,7717,4385
922,0.06783112,1606484.354,1374185.565,8165,4642
923,0.067699,1618857.055,1385190.492,8641,4812
924,0.06757198,1628751.848,1394064.744,9296,5167
925,0.06744902,1637158.357,1401656.735,10067,5416
926,0.06732748,1646313.429,1409889.381,10797,5866
927,0.0672059,1658310.327,1420561.055,11600,6393
928,0.06709061,1672834.142,1433383.094,12364,6812
929,0.06699283,1687743.499,1446483.935,13291,7103
930,0.06692244,1700934.316,1458025.433,14413,7811
931,0.06687888,1711778.281,1467467.962,15616,8450
932,0.06685329,1720918.679,1475390.765,16860,9118
933,0.06683703,1729051.758,1482418.984,18379,9827
934,0.06682448,1737112.81,1489373.233,20092,10721
935,0.06681278,1746264.375,1497259.957,21922,11792
936,0.06679941,1757618.19,1507041.195,24070,12831
937,0.06678526,1770861.671,1518446.094,26435,14220
938,0.06677452,1784230.276,1529946.983,29484,15708
939,0.06677138,1795945.647,1540003.858,32922,17694
940,0.0667796,1805555.057,1548214.512,36928,19871
941,0.06680261,1814014.655,1555385.982,41577,22456
942,0.0668436,1822328.156,1562366.737,47014,25395
943,0.0669014,1830954.522,1569553.609,53073,28732
944,0.06697027,1839765.69,1576856.753,60105,32662
945,0.0670445,1848587.826,1584147.387,67755,37129
946,0.06712221,1856817.741,1590915.335,76524,42094
947,0.06720557,1863395.924,1596245.074,86481,47829
948,0.06729705,1867316.596,1599266.747,97900,54271
949,0.06739697,1869381.443,1600666.874,110200,61290
950,0.06750302,1872235.708,1602719.426,124253,69385
951,0.06761234,1878476.316,1607656.966,138981,77900
952,0.06772439,1887927.221,1615328.501,154824,86658
953,0.06784165,1897770.64,1623312.286,171465,96122
954,0.06796705,1905190.749,1629188.789,188736,105738
955,0.06809933,1909297.609,1632203.483,206430,115667
956,0.06823312,1910869.392,1633043.991,223515,124943
957,0.0683631,1910778.007,1632477.221,241630,135229
958,0.06848904,1910468.884,1631739.883,258968,144650
959,0.06861436,1911827.004,1632428.739,274160,153076
960,0.06874181,1916537.664,1635970.791,291004,162141
961,0.06887044,1923759.956,1641649.509,306132,170368
962,0.06899749,1930986.95,1647334.717,320687,178265
963,0.06912117,1935929.47,1651080.926,334803,185664
964,0.06924301,1938637.764,1652926.951,346992,192205
965,0.0693659,1940451.202,1654005.045,361340,199904
966,0.06949134,1942575.871,1655337.862,375218,206884
967,0.06961284,1945139.758,1657058.98,387393,213106
968,0.0697205,1947790.124,1658905.538,402540,221060
969,0.06980686,1950235.712,1660658.163,415686,227633
970,0.0698776,1952542.313,1662351.493,429023,234391
971,0.06994289,1954900.058,1664108.619,442577,241083
972,0.07001063,1957458.058,1666026.241,456572,247880
973,0.07007934,1960193.023,1668090.083,470382,254755
974,0.07014513,1963036.489,1670256.789,485367,261863
975,0.07020349,1965883.757,1672454.634,499514,268738
976,0.07024801,1968519.358,1674525.178,513638,275433
977,0.07027198,1970707.817,1676294.269,528166,282248
978,0.07027492,1972427.942,1677746.054,542922,289129
979,0.07026994,1974129.091,1679212.292,557801,296068
980,0.07027171,1976316.979,1681066.497,569699,301189
981,0.070282,1979120.2,1683411.058,587644,309459
982,0.07028259,1982078.338,1685924.9,604250,317006
983,0.07025436,1984693.005,1688258.625,616557,322328
984,0.07019767,1986827.003,1690294.505,635248,330851
985,0.07013414,1988739.253,1692168.894,651350,337928
986,0.07008456,1990694.6,1694026.032,667199,344635
987,0.07004334,1992750.573,1695936.545,683275,351704
988,0.06998511,1994808.456,1697915.572,696168,356834
989,0.0698882,1996790.703,1699982.072,714512,364937
990,0.06976561,1998829.828,1702198.545,732354,372619
991,0.06964751,2001163.386,1704649.265,746346,378425
992,0.06955693,2003797.714,1707249.32,767037,387534
993,0.06948031,2005566.512,1709057.849,783735,394587
994,0.06939251,2004934.48,1708864.7,800286,401553
995,0.06927716,2001391.936,1706298.408,817216,408719
996,0.06914538,1997540.968,1703532.074,834578,416024
997,0.06901415,1996550.388,1703201.854,851317,423054
998,0.0688918,1999520.894,1706216.528,869275,431055
999,0.06876925,2003776.01,1710330.022,886449,438357
1000,0.06863529,2006302.506,1713014.837,902950,445613
1001,0.06848777,2005913.777,1713264.815,920444,453456
1002,0.06833515,2003446.445,1711758.888,937903,461043
1003,0.06818574,1999874.178,1709294.651,955310,468816
1004,0.06803655,1996554.975,1707044.037,967101,473782
1005,0.0678773,1995100.646,1706426.195,989784,484299
1006,0.06770049,1996695.162,1708485.406,1009604,493286
1007,0.06751324,1999907.546,1711972.092,1021467,498659
1008,0.0673273,2002329.008,1714778.924,1044478,509249
1009,0.06715035,2002334.289,1715482.273,1062620,517566
1010,0.06697971,2000787.963,1714831.119,1079822,525269
1011,0.06681114,1999040.156,1713998.248,1097719,533405
1012,0.06664064,1997918.741,1713709.402,1109599,538487
1013,0.066464,1997367.825,1713933.833,1131250,548430
1014,0.06627724,1997214.641,1714539.541,1151651,557576
1015,0.06608197,1996660.403,1714834.581,1165332,563480
1016,0.06588465,1994330.046,1713611.56,1190481,574829
1017,0.0656904,1989192.723,1709962.026,1208825,582697
1018,0.06549643,1983185.724,1705559.814,1226856,590632
1019,0.06529719,1979688.112,1703333.102,1245752,598775
1020,0.06508946,1980860.581,1705157.323,1265492,607221
1021,0.0648744,1984220.312,1708895.436,1284080,615239
1022,0.0646529,1986202.818,1711475.529,1304649,623962
1023,0.0644282,1984760.062,1711117.434,1323877,631791
1024,0.06421011,1980598.759,1708387.541,1342519,639427
1025,0.06400892,1974746.798,1704129.132,1362368,647613
1026,0.06382081,1968806.923,1699739.316,1381968,655380
1027,0.06362929,1964902.178,1697116.459,1401892,663147
1028,0.06342105,1964727.632,1697779.561,1412482,666398
1029,0.06320413,1966779.784,1700402.009,1439436,677325
1030,0.0629947,1968161.458,1702417.3,1462110,686089
1031,0.06280175,1966907.718,1702088.898,1472776,689048
1032,0.06261551,1963927.93,1700239.229,1499726,699621
1033,0.06242336,1960664.076,1698164.775,1519159,706365
1034,0.06221899,1957839.12,1696516.221,1536808,712584
1035,0.06200429,1955183.273,1695052.602,1555558,718927
1036,0.06178209,1952383.649,1693491.679,1564738,720908
1037,0.06155995,1949463.818,1691824.203,1588071,729232
1038,0.06134857,1946661.374,1690214.57,1609474,736784
1039,0.06115567,1944154.964,1688788.274,1620300,739444
1040,0.06097514,1941853.998,1687490.872,1647378,749666
1041,0.06079709,1939594.865,1686218.833,1664298,755160
1042,0.06061617,1937178.736,1684820.056,1680691,760404
1043,0.0604351,1934344.604,1683056.678,1697545,766201
1044,0.0602571,1930859.625,1680713.176,1715116,771965
1045,0.0600813,1927002.029,1678034.441,1730106,776865
1046,0.05990397,1923440.767,1675617.36,1747312,782879
1047,0.05972293,1920679.389,1673909.405,1761943,787785
1048,0.05954329,1918349.871,1672570.851,1775502,792074
1049,0.05937219,1915816.753,1671020.493,1789808,797227
1050,0.05921222,1912764.748,1668973.118,1803315,802064
1051,0.05905775,1909483.544,1666702.807,1816335,806773
1052,0.05890248,1906313.095,1664530.481,1817116,806411
1053,0.05874208,1903339.855,1662548.273,1838733,815639
1054,0.05857371,1900455.003,1660672.072,1854370,822210
1055,0.0583964,1897599.712,1658854.149,1854128,822192
1056,0.05821803,1894973.635,1657238.993,1874509,831905
1057,0.05804906,1892843.477,1656020.239,1885264,837348
1058,0.0578912,1890798.524,1654832.554,1893549,842221
1059,0.05773081,1887280.884,1652364.013,1902417,847728
1060,0.05755391,1880867.358,1647419.709,1899816,848417
1061,0.05736669,1873048.207,1641278.436,1913604,856887
1062,0.05718992,1867220.98,1636838.393,1924736,864694
1063,0.05703754,1865590.086,1635982.633,1923087,867440
1064,0.05689252,1865862.686,1636768.11,1941140,879468
1065,0.05673021,1864763.113,1636415.045,1946482,886757
1066,0.05654368,1860840.574,1633674.327,1951037,894323
1067,0.05635004,1854992.922,1629266.844,1956135,903169
1068,0.05616624,1848315.541,1624089.172,1962224,913626
1069,0.0559927,1842235.594,1619393.795,1964817,923503
1070,0.05582228,1838331.967,1616596.583,1970435,936188
1071,0.05565051,1837138.967,1616186.587,1973054,948658
1072,0.05547805,1836673.328,1616418.707,1974722,961925
1073,0.05530571,1834691.385,1615315.322,1977287,977326
1074,0.05513666,1830842.163,1612553.914,1979217,993556
1075,0.05497683,1826361.066,1609199.208,1980536,1010921
1076,0.05482909,1822325.774,1606190.032,1968943,1023214
1077,0.05468061,1818905.653,1603723.767,1979678,1047973
1078,0.05451446,1816008.632,1601782.151,1984621,1071036
1079,0.05433111,1812999.97,1599803.648,1972446,1085956
1080,0.05415493,1808494.804,1596475.769,1983580,1114007
1081,0.05400777,1801451.469,1590797.135,1984985,1137752
1082,0.05388143,1793862.334,1584556.329,1985495,1161187
1083,0.05375453,1789105.391,1580816.267,1988387,1186318
1084,0.05361743,1788550.656,1580825.074,1981946,1205675
1085,0.05348457,1789206.186,1581888.338,1995144,1236166
1086,0.05337112,1787707.332,1580976.084,2007941,1266343
1087,0.05327328,1783242.366,1577382.767,2009686,1288880
1088,0.05317451,1776779.62,1572023.571,2034097,1324535
1089,0.05306287,1769545.83,1566025.899,2047093,1352565
1090,0.05294229,1763488.143,1561098.307,2061521,1380136
1091,0.0528206,1760592.82,1558972.027,2078776,1408647
1092,0.05270901,1760495.674,1559286.627,2099682,1438545
1093,0.0526211,1760537.783,1559639.58,2117097,1465091
1094,0.05256509,1758556.646,1558085.445,2139769,1494207
1095,0.05252652,1755107.266,1555167.413,2159153,1520073
1096,0.05248482,1751505.606,1552125.049,2177378,1544504
1097,0.05243037,1748373.26,1549543.536,2196105,1568735
1098,0.05236754,1745441.602,1547169.091,2213708,1591510
1099,0.05230197,1742442.184,1544743.625,2230028,1613351
1100,0.05224135,1739462.344,1542317.119,2231508,1624049
1101,0.05219418,1736721.216,1540053.917,2256265,1651630
1102,0.05216394,1734311.762,1538024.414,2274110,1674312
1103,0.05214605,1732126.288,1536149.557,2272732,1683186
1104,0.05213503,1730012.484,1534313.85,2296688,1710845
1105,0.05212407,1727615.357,1532226.575,2308495,1729973
1106,0.05210578,1724491.907,1529520.771,2318938,1748349
1107,0.05208036,1720679.702,1526228.9,2329431,1767037
1108,0.05206219,1717108.313,1523124.834,2327325,1776373
1109,0.05206523,1714662.297,1520944.519,2344375,1800484
1110,0.05208483,1712977.586,1519381.557,2358745,1822551
1111,0.05210669,1711044.621,1517590.677,2357209,1832543
1112,0.05212466,1708350.844,1515138.749,2378570,1860097
1113,0.05214956,1705409.793,1512443.604,2384082,1875130
1114,0.05219343,1702810.58,1509985.978,2388517,1889054
1115,0.05225983,1700668.511,1507855.901,2393503,1903132
1116,0.05234762,1698836.527,1505927.178,2400319,1918048
1117,0.05245099,1697260.905,1504172.416,2400656,1927261
1118,0.05255436,1696091.506,1502778.322,2405902,1940065
1119,0.05264401,1695399.844,1501855.436,2406118,1948294
1120,0.05273705,1694253.897,1500518.82,2405532,1954731
1121,0.05286806,1691170.307,1497336.055,2405988,1961571
1122,0.05305464,1686059.742,1492170.043,2405610,1967179
1123,0.05327697,1681729.761,1487576.25,2404679,1971532
1124,0.053512,1680934.232,1486068.121,2389409,1963521
1125,0.05376402,1682701.1,1486767.145,2398567,1974687
1126,0.05405342,1684092.216,1487005.073,2400389,1979407
1127,0.05438874,1683349.477,1485202.068,2382646,1967472
1128,0.054753,1681001.977,1481887.473,2390625,1975973
1129,0.05512842,1677906.293,1477880.361,2385750,1973635
1130,0.05551809,1675474.857,1474415.277,2378526,1968900
1131,0.05593402,1675364.879,1472907.196,2371798,1963929
1132,0.05638541,1677782.452,1473500.318,2352159,1947695
1133,0.05687977,1680510.305,1474216.991,2351925,1947500
1134,0.05742451,1681480.606,1473219.13,2348045,1943952
1135,0.05801266,1681108.694,1470899.956,2330677,1928863
1136,0.05862976,1680794.645,1468537,2335675,1932018
1137,0.05927154,1681301.793,1466810.941,2326083,1922970
1138,0.05994981,1682507.283,1465571.943,2315168,1912931
1139,0.06067344,1684055.498,1464478.37,2306163,1904242
1140,0.06142938,1684731.418,1462518.258,2299820,1897815
1141,0.06220029,1683129.537,1458536.318,2286364,1885559
1142,0.06298692,1680147.175,1453317.178,2278275,1877869
1143,0.06380429,1679208.604,1449774.178,2265867,1866396
1144,0.06465933,1682614.619,1449857.54,2253067,1854835
1145,0.06554789,1687890.833,1451431.221,2240991,1843812
1146,0.06646921,1691560.885,1451504.612,2228420,1832333
1147,0.06741613,1692420.277,1449079.106,2214896,1819902
1148,0.06837164,1691146.022,1444805.757,2189590,1797479
1149,0.06932704,1688910.795,1439725.408,2184490,1791993
1150,0.07029799,1688071.743,1435796.561,2172597,1780361
1151,0.07129821,1690863.576,1434862.739,2143985,1754994
1152,0.07232689,1696199.398,1435985.358,2137728,1747669
1153,0.07338139,1701039.913,1436590.897,2120403,1731067
1154,0.07445801,1703781.767,1435343.856,2102765,1713954
1155,0.0755397,1705519.704,1433233.785,2087602,1698632
1156,0.07660848,1707475.571,1431350.588,2065345,1677178
1157,0.07766935,1709812.459,1429812.628,2062149,1670784
1158,0.07873729,1712279.525,1428358.977,2058093,1663442
1159,0.07981664,1714841.496,1426945.354,2044584,1648010
1160,0.08089769,1717728.921,1425794.516,2050004,1647574
1161,0.08196852,1721111.72,1425084.248,2042205,1635862
1162,0.08301416,1724856.536,1424750.509,2032018,1622179
1163,0.08402135,1728742.81,1424652.791,2021618,1608098
1164,0.08500862,1732357.663,1424390.091,2013654,1595696
1165,0.08601994,1735139.192,1423358.776,1998106,1577557
1166,0.08707301,1737083.443,1421502.629,1987715,1563391
1167,0.08811846,1739499.366,1420057.128,1974295,1547178
1168,0.08910281,1743613.967,1420193.526,1959547,1531034
1169,0.09004161,1748528.231,1421120.947,1947055,1516734
1170,0.09098611,1752365.017,1421145.225,1934615,1503416
1171,0.09195168,1754618.5,1419812.585,1921508,1490746
1172,0.0928986,1756673.081,1418379.165,1899838,1472237
1173,0.09379327,1759717.186,1417913.077,1896294,1468473
1174,0.09465664,1763537.82,1418169.476,1886940,1461082
1175,0.09552359,1767585.998,1418590.238,1865646,1445704
1176,0.09640179,1771819.013,1419114.936,1863028,1445309
1177,0.09727658,1776589.84,1420072.74,1851635,1438814
1178,0.09813343,1781550.986,1421231.508,1839789,1432857
1179,0.09896229,1784779.941,1421092.629,1829248,1428526
1180,0.09975976,1784733.813,1418448.883,1811722,1419442
1181,0.10054097,1783987.637,1415307.71,1807123,1420807
1182,0.10132207,1786751.659,1414953.37,1800243,1420783
1183,0.10209798,1793558.122,1417808.173,1784883,1414589
1184,0.10284828,1800606.498,1420922.964,1785014,1420798
1185,0.1035622,1804882.523,1421957.911,1775564,1419829
1186,0.10424504,1806817.561,1421246.021,1765190,1418346
1187,0.10490353,1807619.113,1419722.262,1756715,1418362
1188,0.10554453,1809135.497,1418817.579,1751143,1421338
1189,0.10617327,1813575.414,1420242.002,1740245,1419935
1190,0.10678394,1821166.3,1424182.574,1734715,1423632
1191,0.10735877,1828935.618,1428366.484,1726440,1424694
1192,0.1078866,1834350.082,1430855.009,1717714,1425799
1193,0.10837468,1838231.332,1432271.954,1711237,1428976
1194,0.1088326,1842300.162,1433929.476,1705792,1432905
1195,0.10925663,1847267.25,1436392.423,1699954,1436619
1196,0.10963362,1853043.29,1439633.517,1688477,1435156
1197,0.10995605,1858889.801,1443103.897,1691412,1445456
1198,0.11022847,1862790.111,1445224.949,1689826,1451791
1199,0.11045881,1863377.532,1444914.142,1679189,1449802
1200,0.11066042,1863949.197,1444686.638,1684217,1460686
1201,0.11084557,1869233.435,1448164.745,1682632,1465485
1202,0.11100133,1878993.166,1455203.974,1680823,1469354
1203,0.11109393,1888357.278,1462144.312,1680815,1474197
