Batch Number,B2600074,,,,,
Category,Poultry,,,,,
Specie,Chicken,,,,,
Family,Layer Baladi,,,,,
Brand,FARMFLAKES,,,,,
Product Code,PPEP250401,,,,,
Product name,CHICKEN FEED BALADI PRODUCTION 1,,,,,
NIR-Code,D20260211-00099,,,,,
Serial Number:,5B25203,,,,,
Scan Config Name:,IAS5100,,,,,
Scan Config Type:,2,,,,,
Start wavelength in nm:,900,,,,,
End wavelength in nm:,1700,,,,,
Pattern Pixel Width:,11,,,,,
Exposure Time:,0,,,,,
Measurement points:,420,,,,,
Number of Measurement points:,801,,,,,
Num Repeats:,90,90,,,,
PGA Gain:,64,64,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,
900,0.07000712,1241094.809,1056325.671,5556,3880,
901,0.0698983,1261126.21,1073643.869,5558,3751,
902,0.06976624,1281004.744,1090898.896,5494,3666,
903,0.06961185,1300652.177,1108024.383,5264,3534,
904,0.06945318,1319908.959,1124840.123,5101,3319,
905,0.0693081,1338611.429,1141159.698,5059,3298,
906,0.06918346,1356733.898,1156941.023,5027,3172,
907,0.06906717,1374510.035,1172413.329,4966,3138,
908,0.06894589,1392201.911,1187835.584,4946,2969,
909,0.06881081,1409932.854,1203337.975,5036,2952,
910,0.0686635,1427452.288,1218703.632,5147,3033,
911,0.06850699,1444447.286,1233657.808,5139,3009,
912,0.06834528,1460702.252,1248005.274,5345,3164,
913,0.06818689,1476371.602,1261853.089,5400,3154,
914,0.06804116,1491697.663,1275380.132,5564,3087,
915,0.06791425,1506879.319,1288736.787,5724,3251,
916,0.06779704,1521888.869,1301924.815,5922,3355,
917,0.06767593,1536624.978,1314897.677,6358,3509,
918,0.06753991,1551017.045,1327628.792,6567,3575,
919,0.06739271,1565208.947,1340230.841,6918,3788,
920,0.06724407,1579435.842,1352875.774,7333,4025,
921,0.06710298,1593845.472,1365662.025,7712,4314,
922,0.06697393,1607785.691,1378015.908,8244,4563,
923,0.06685877,1620176.659,1389004.35,8809,4766,
924,0.06675893,1630098.386,1397831.711,9379,4930,
925,0.0666748,1638545.275,1405347.228,10120,5336,
926,0.06660654,1647751.187,1413465.111,10851,5709,
927,0.06655415,1659805.944,1423977.634,11655,6202,
928,0.06651059,1674386.425,1436630.574,12438,6637,
929,0.06646348,1689339.428,1449617.555,13489,7024,
930,0.06640138,1702549.53,1461162.029,14530,7705,
931,0.066329,1713387.36,1470708.359,15796,8393,
932,0.06626463,1722503.994,1478752.903,17056,8957,
933,0.06622594,1730603.72,1485838.8,18588,9732,
934,0.06621419,1738628.918,1492769.352,20229,10651,
935,0.06621535,1747748.317,1500595.18,22101,11462,
936,0.06621556,1759079.96,1510323.64,24339,12714,
937,0.06621388,1772321.169,1521698.249,26909,13980,
938,0.06622211,1785720.986,1533174.166,29923,15555,
939,0.06625188,1797513.591,1543193.223,33505,17364,
940,0.06630419,1807227.708,1551346.053,37474,19604,
941,0.06636907,1815767.904,1558444.236,42294,22175,
942,0.06643641,1824086.722,1565341.394,47649,24955,
943,0.06650407,1832645.232,1572440.888,53780,28365,
944,0.06657835,1841374.886,1579660.879,60874,32128,
945,0.06666568,1850162.383,1586880.311,68766,36548,
946,0.06676744,1858418.057,1593587.71,77703,41543,
947,0.06688001,1865045.953,1598856.656,87875,47232,
948,0.06699991,1869002.499,1601806.208,99550,53498,
949,0.0671261,1871077.015,1603118.274,112017,60541,
950,0.06725931,1873928.305,1605068.825,126136,68393,
951,0.06739956,1880167.648,1609893.002,140838,76445,
952,0.06754529,1889625.408,1617448.365,156566,85347,
953,0.06769447,1899482.64,1625327.418,173312,94627,
954,0.06784589,1906921.809,1631124.064,190762,104185,
955,0.0679984,1911046.817,1634078.541,208431,113798,
956,0.06815023,1912625.819,1634857.061,225246,122967,
957,0.06829958,1912521.774,1634206.035,243226,132847,
958,0.06844803,1912188.908,1633363.178,260538,142270,
959,0.06859949,1913534.594,1633942.736,275658,150248,
960,0.06875686,1918264.855,1637388.406,292144,159296,
961,0.06891768,1925535.41,1642985.859,307336,167328,
962,0.06907677,1932820.058,1648597.559,321801,174941,
963,0.06923022,1937810.695,1652270.411,335794,182323,
964,0.06937896,1940544.549,1654034.86,348184,188559,
965,0.069526,1942351.225,1655014.366,362418,196089,
966,0.06967296,1944430.871,1656225.815,376343,202991,
967,0.06981392,1946933.384,1657819.243,388243,208985,
968,0.06993975,1949540.353,1659558.161,403408,216734,
969,0.07004398,1951987.512,1661242.575,416639,223050,
970,0.0701343,1954326.204,1662887.056,429981,229742,
971,0.07022326,1956717.675,1664580.892,443544,236248,
972,0.07031942,1959289.576,1666399.829,457449,242905,
973,0.07041484,1962028.322,1668362.543,471161,249466,
974,0.07049737,1964883.31,1670472.734,486217,256746,
975,0.07055924,1967757.764,1672678.177,500335,263267,
976,0.07060597,1970413.755,1674755.696,514581,269847,
977,0.07064554,1972587.648,1676450.646,529175,276480,
978,0.07068166,1974247.393,1677721.68,543839,283262,
979,0.07070863,1975869.473,1678995.846,558944,290015,
980,0.07071962,1977991.668,1680756.663,570654,295073,
981,0.0707146,1980767.875,1683135.121,588630,303113,
982,0.07070419,1983752.431,1685711.609,605312,310467,
983,0.0706994,1986459.47,1688030.589,617625,315601,
984,0.07069849,1988728.595,1689962.341,636418,323971,
985,0.07068591,1990756.342,1691734.47,652391,330745,
986,0.07064649,1992747.764,1693580.484,668170,337613,
987,0.07058033,1994767.18,1695555.01,684339,344394,
988,0.07049896,1996772.838,1697577.851,697193,349358,
989,0.07041336,1998739.472,1699584.774,715648,357320,
990,0.07032794,2000802.165,1701673.41,733630,364832,
991,0.07024387,2003176.186,1704022.337,747557,370366,
992,0.0701612,2005847.557,1706619.596,768330,379306,
993,0.07007425,2007640.591,1708487.134,784790,386125,
994,0.06997536,2007014.043,1708342.907,801505,393000,
995,0.06986057,2003458.822,1705767.567,818354,399958,
996,0.06973832,1999597.397,1702959.214,835800,407176,
997,0.06962004,1998622.492,1702592.575,852501,414175,
998,0.06950937,2001637.783,1705595.806,870661,421759,
999,0.06939438,2005931.538,1709707.148,887438,428845,
1000,0.06926131,2008452.571,1712380.48,904239,435964,
1001,0.06910753,2008014.45,1712613.251,921787,443446,
1002,0.06894325,2005496.212,1711112.622,939133,451021,
1003,0.06877887,2001912.666,1708701.724,956646,458713,
1004,0.06861649,1998621.326,1706530.402,968465,463435,
1005,0.06845294,1997206.028,1705964.266,991231,473839,
1006,0.0682867,1998828.367,1708003.676,1010957,482588,
1007,0.06812388,2002071.779,1711416.684,1022973,487584,
1008,0.06797268,2004555.638,1714136.614,1046031,498152,
1009,0.0678352,2004665.99,1714773.736,1064069,506018,
1010,0.0676963,2003225.167,1714089.383,1081239,513661,
1011,0.06753793,2001530.887,1713264.314,1099244,521617,
1012,0.06735171,2000390.997,1713022.95,1111089,526767,
1013,0.06714532,1999784.375,1713317.484,1132772,536210,
1014,0.066928,1999577.366,1713997.593,1153190,545126,
1015,0.06670934,1998991.188,1714358.078,1166927,551005,
1016,0.06649889,1996653.193,1713182.947,1192018,562062,
1017,0.06630393,1991533.109,1709557.066,1210323,569913,
1018,0.06611727,1985559.171,1705161.685,1228451,577305,
1019,0.06592569,1982096.706,1702939.245,1247401,585252,
1020,0.06572088,1983297.504,1704774.67,1267155,593617,
1021,0.0655091,1986688.251,1708522.176,1285723,601202,
1022,0.06529862,1988718.126,1711096.945,1306311,609726,
1023,0.0650923,1987335.224,1710719.599,1325421,617483,
1024,0.06488548,1983210.53,1707982.201,1344265,624884,
1025,0.06467318,1977335.116,1703754.833,1364107,632641,
1026,0.0644531,1971319.156,1699432.213,1383668,640355,
1027,0.06422578,1967333.166,1696883.912,1403565,647848,
1028,0.06399338,1967114.961,1697603.894,1414257,651113,
1029,0.06376193,1969159.614,1700274.299,1441159,661541,
1030,0.06353791,1970549.266,1702352.093,1463765,670221,
1031,0.06332361,1969302.409,1702114.623,1474376,673052,
1032,0.06311215,1966324.669,1700368.624,1501174,683173,
1033,0.06289565,1963057.006,1698389.363,1520754,689967,
1034,0.06267408,1960233.319,1696811.855,1538613,695866,
1035,0.06245758,1957611.262,1695387.115,1557272,702225,
1036,0.06225585,1954901.782,1693827.175,1566545,704065,
1037,0.06206601,1952097.367,1692136.768,1589965,712329,
1038,0.06187726,1949369.595,1690506.816,1611117,719596,
1039,0.06168087,1946850.199,1689085.632,1622135,722171,
1040,0.06147759,1944486.541,1687824.733,1649145,732157,
1041,0.06127075,1942175.505,1686621.836,1666176,737493,
1042,0.06106519,1939748.062,1685311.327,1682314,742641,
1043,0.06086843,1936918.809,1683615.773,1699371,748056,
1044,0.0606875,1933426.395,1681280.37,1716904,753874,
1045,0.0605187,1929541.541,1678554.431,1731844,758643,
1046,0.0603503,1925941.75,1676072.677,1749024,764400,
1047,0.06017329,1923140.063,1674316.768,1763865,769224,
1048,0.05999251,1920780.643,1672958.857,1777338,773615,
1049,0.05981686,1918240.912,1671422.672,1791378,778434,
1050,0.05964769,1915203.469,1669426.217,1805001,783128,
1051,0.05947239,1911927.555,1667243.535,1818182,787836,
1052,0.05927817,1908722.728,1665193.368,1818902,787375,
1053,0.05907214,1905692.855,1663338.968,1840598,796468,
1054,0.05887677,1902783.356,1661546.777,1856176,802911,
1055,0.0587094,1899974.061,1659733.145,1855878,803072,
1056,0.05856119,1897425.601,1658072.688,1876249,812324,
1057,0.05841564,1895343.348,1656808.26,1886922,817650,
1058,0.05826173,1893292.169,1655601.876,1895225,822480,
1059,0.05809736,1889752.262,1653131.92,1904358,827816,
1060,0.05792108,1883340.541,1648191.891,1901421,828613,
1061,0.05773486,1875539.629,1642068.932,1915245,836847,
1062,0.05754408,1869708.179,1637682.646,1926647,844707,
1063,0.05735499,1868026.072,1636921.822,1924909,847399,
1064,0.05717205,1868230.654,1637790.856,1942740,859120,
1065,0.05699788,1867088.1,1637445.779,1948273,866308,
1066,0.05682728,1863156.074,1634639.374,1952604,873724,
1067,0.05664615,1857297.918,1630179.461,1957901,882646,
1068,0.05644283,1850577.107,1625041.107,1963853,892763,
1069,0.05622778,1844431.06,1620446.306,1966356,902402,
1070,0.05602248,1840468.601,1617729.608,1972016,914888,
1071,0.05583889,1839245.116,1617337.729,1974682,927001,
1072,0.05566384,1838776.804,1617577.799,1976384,940094,
1073,0.05548055,1836815.874,1616534.867,1978653,954931,
1074,0.05528883,1833000.253,1613889.127,1980686,971033,
1075,0.05510319,1828548.409,1610657.769,1981934,987991,
1076,0.05493436,1824523.147,1607737.051,1970444,999959,
1077,0.0547721,1821088.812,1605310.434,1981160,1024207,
1078,0.05460056,1818151.341,1603354.189,1985785,1046643,
1079,0.05441753,1815088.453,1601327.882,1973676,1061525,
1080,0.05423949,1810547.725,1597976.85,1984652,1089115,
1081,0.05408142,1803514.655,1592348.97,1985975,1112444,
1082,0.0539391,1795957.376,1586196.289,1986264,1135823,
1083,0.05380022,1791206.123,1582505.923,1989125,1160532,
1084,0.05365902,1790607.097,1582491.137,1982582,1179837,
1085,0.05352198,1791196.641,1583511.72,1995725,1210252,
1086,0.05339556,1789643.2,1582599.03,2008391,1240386,
1087,0.05327683,1785142.339,1579050.518,2010150,1263200,
1088,0.05315691,1778651.689,1573743.691,2034430,1298850,
1089,0.05303161,1771393.097,1567773.584,2047445,1326692,
1090,0.05291214,1765328.854,1562836.278,2061509,1354321,
1091,0.05281273,1762462.558,1560655.928,2078983,1382967,
1092,0.05273231,1762406.349,1560895.168,2099784,1412829,
1093,0.0526541,1762437.594,1561203.977,2117296,1439532,
1094,0.05256488,1760350.39,1559675.472,2139784,1468738,
1095,0.05247286,1756757.232,1556821.752,2159100,1494632,
1096,0.0523925,1753059.122,1553831.997,2177325,1519250,
1097,0.05232938,1749910.393,1551266.545,2195912,1543158,
1098,0.05227728,1747008.113,1548879.519,2213415,1566090,
1099,0.05223011,1744048.953,1546423.938,2229764,1587682,
1100,0.05218775,1741108.593,1543967.344,2231284,1598810,
1101,0.05215237,1738403.124,1541693.792,2255972,1626297,
1102,0.05212413,1736015.148,1539676.156,2273831,1649097,
1103,0.05209993,1733814.976,1537810.498,2272552,1658312,
1104,0.05207686,1731634.947,1535958.503,2296668,1685925,
1105,0.05205565,1729162.815,1533840.632,2308601,1705339,
1106,0.05203868,1726024.359,1531116.504,2319235,1724229,
1107,0.05202642,1722271.265,1527830.356,2330172,1743469,
1108,0.05201574,1718745.604,1524740.239,2328544,1753377,
1109,0.05200387,1716246.296,1522564.666,2346122,1777885,
1110,0.05199462,1714437.128,1520992.041,2360830,1800401,
1111,0.05199525,1712395.155,1519178.281,2359502,1810942,
1112,0.05201166,1709662.083,1516696.291,2380990,1838882,
1113,0.05204696,1706738.647,1513979.726,2386694,1854329,
1114,0.05210362,1704191.975,1511523.488,2390997,1868581,
1115,0.05218093,1702105.947,1509404.556,2396079,1882903,
1116,0.05227649,1700296.972,1507468.649,2402880,1898541,
1117,0.05238618,1698698.49,1505671.111,2403012,1908163,
1118,0.0525023,1697497.803,1504204.646,2408477,1921445,
1119,0.05261832,1696804.332,1503188.504,2408685,1929807,
1120,0.0527446,1695666.795,1501744.041,2408096,1936928,
1121,0.05290127,1692550.892,1498443.827,2408425,1944012,
1122,0.05309922,1687353.783,1493162.006,2408095,1950186,
1123,0.05332812,1682947.687,1488478.263,2407155,1954696,
1124,0.05357544,1682150.865,1486926.495,2392034,1947133,
1125,0.05384705,1683965.766,1487600.117,2401215,1958694,
1126,0.05416026,1685381.43,1487777.34,2403003,1963665,
1127,0.05452196,1684608.368,1485856.919,2385349,1952210,
1128,0.05491596,1682224.196,1482408.56,2393109,1960807,
1129,0.05532602,1679134.743,1478289.608,2388165,1958562,
1130,0.05576072,1676736.255,1474701.215,2380983,1953910,
1131,0.05623928,1676639.067,1472991.691,2374361,1949297,
1132,0.0567691,1679035.284,1473298.431,2354474,1933492,
1133,0.05734109,1681748.817,1473737.182,2354294,1933257,
1134,0.05794842,1682750.14,1472553.937,2350483,1929769,
1135,0.05859185,1682439.794,1470102.732,2333006,1914812,
1136,0.0592731,1682182.172,1467573.718,2338057,1918027,
1137,0.05999131,1682726.382,1465622.734,2328207,1909014,
1138,0.06074398,1683965.157,1464161.967,2317458,1899132,
1139,0.06152805,1685553.238,1462899.273,2308404,1890552,
1140,0.06233803,1686247.91,1460775.21,2302278,1884159,
1141,0.06317039,1684606.002,1456558.573,2288859,1872188,
1142,0.06403328,1681547.217,1451027.969,2280622,1864322,
1143,0.06494147,1680584.098,1447167.428,2268200,1853216,
1144,0.06589736,1684072.605,1446983.082,2255319,1841652,
1145,0.06688092,1689454.478,1448323.484,2243414,1830749,
1146,0.06787517,1693142.696,1448166.138,2230755,1819119,
1147,0.06888024,1693928.277,1445488.963,2217219,1807047,
1148,0.06990522,1692571.612,1440926.524,2191676,1784778,
1149,0.07095823,1690309.733,1435516.071,2186818,1779208,
1150,0.07204515,1689505.685,1431246.74,2175051,1767874,
1151,0.07316494,1692385.781,1429994.686,2146301,1742572,
1152,0.0743049,1697807.726,1430815.402,2140079,1735303,
1153,0.07545324,1702649.757,1431106.931,2122603,1718697,
1154,0.07660618,1705303.503,1429537.338,2104949,1701592,
1155,0.07776165,1707002.326,1427159.352,2089760,1686382,
1156,0.07891513,1709087.435,1425112.494,2067474,1664844,
1157,0.08006874,1711617.054,1423435.747,2064554,1658468,
1158,0.0812286,1714151.096,1421741.029,2060469,1651124,
1159,0.0823946,1716623.708,1419974.386,2046740,1635615,
1160,0.08355719,1719429.831,1418493.222,2052358,1635157,
1161,0.08470634,1722864.418,1417570.819,2044601,1623463,
1162,0.08583614,1726716.878,1417049.396,2034277,1609505,
1163,0.08694327,1730646.031,1416657.891,2023939,1595198,
1164,0.0880354,1734218.122,1416016.518,2016018,1582856,
1165,0.08912936,1736928.747,1414661.859,2000511,1564605,
1166,0.0902341,1738826.782,1412609.821,1990147,1550327,
1167,0.09133572,1741258.181,1411001.411,1976709,1534069,
1168,0.09241508,1745472.919,1410905.864,1961900,1517606,
1169,0.09346378,1750501.892,1411558.265,1949339,1503531,
1170,0.09448309,1754356.011,1411349.724,1936650,1489976,
1171,0.09548048,1756519.51,1409848.681,1923796,1477271,
1172,0.09646549,1758507.201,1408246.442,1902114,1458830,
1173,0.09744295,1761610.392,1407559.998,1898607,1454947,
1174,0.09841019,1765560.288,1407577.646,1889118,1447569,
1175,0.09936405,1769714.257,1407793.977,1867952,1432172,
1176,0.10030038,1773996.245,1408161.002,1865262,1431792,
1177,0.10121316,1778773.456,1408988.602,1853865,1425594,
1178,0.10209837,1783717.74,1410028.076,1841998,1419749,
1179,0.10295967,1786934.419,1409772.213,1831471,1415594,
1180,0.10380519,1786902.702,1407005.242,1813705,1406690,
1181,0.10464309,1786171.878,1403718.926,1809243,1408246,
1182,0.10547467,1788907.714,1403179.618,1802299,1408590,
1183,0.10629277,1795649.131,1405816.74,1787059,1402902,
1184,0.10709046,1802662.522,1408717.689,1787169,1409456,
1185,0.10786382,1806972.046,1409573.142,1777749,1408770,
1186,0.10859947,1808941.067,1408720.875,1767263,1407664,
1187,0.10928295,1809698.232,1407094.316,1758549,1408226,
1188,0.10993057,1811134.31,1406112.576,1753145,1411621,
1189,0.1105753,1815573.044,1407467.671,1742019,1410836,
1190,0.11122167,1823272.871,1411334.624,1736517,1414984,
1191,0.11183418,1831155.219,1415438.402,1728331,1416891,
1192,0.11238568,1836595.635,1417842.094,1719415,1418499,
